Variable:,pr
,Uzbekistan,Andijan,Bukhara,Fergana,Karakalpakstan,Kashkadarya,Khorezm,Namangan,Samarkand,Surkhandarya,Sirdarya,Tashkent,Jizzakh,Navoiy,"Tashkent city"
1950,132.12,275.99,97.59,259.27,72.50,232.97,60.26,308.32,205.44,294.35,206.92,324.05,222.17,99.71,257.10
1951,179.42,432.59,114.18,404.43,101.51,287.62,79.70,465.91,297.85,374.16,343.91,468.42,359.53,120.49,377.20
1952,223.32,354.87,182.60,345.67,125.77,376.39,119.38,442.82,382.69,436.40,397.28,532.10,429.57,171.04,445.10
1953,252.75,498.34,196.19,560.50,118.56,420.29,109.69,603.19,439.48,526.81,517.52,675.56,534.50,186.33,588.10
1954,177.80,364.53,135.05,376.91,90.18,281.41,86.09,419.37,294.58,337.06,314.84,439.62,337.55,147.59,362.30
1955,151.57,312.23,96.11,305.33,73.82,248.95,61.93,333.79,270.11,309.45,350.99,425.76,353.11,108.43,359.20
1956,176.23,280.55,152.52,307.14,93.22,290.77,78.06,366.44,308.40,358.16,310.74,407.70,340.93,138.25,326.50
1957,172.91,305.36,121.61,311.33,83.46,308.25,80.20,354.33,309.55,429.13,305.40,394.55,351.00,133.06,320.80
1958,227.81,431.98,153.93,466.36,135.79,340.16,114.82,537.97,352.23,392.25,443.27,650.69,438.19,168.73,528.80
1959,189.31,347.61,151.92,340.33,101.41,282.47,94.99,451.82,293.19,390.01,360.47,539.52,352.79,142.81,449.60
1960,185.25,353.03,117.38,369.10,76.85,334.11,70.81,441.21,330.15,504.51,423.66,532.60,396.21,127.36,459.00
1961,153.04,216.47,113.58,205.02,73.59,260.14,57.81,258.61,274.00,370.74,293.87,343.06,333.79,126.23,294.70
1962,188.33,313.04,140.55,275.08,106.16,294.31,102.55,366.86,292.49,394.05,328.20,447.41,347.39,157.95,365.70
1963,216.70,408.44,126.27,409.23,138.28,357.63,110.72,481.00,351.57,479.80,367.24,513.13,401.88,149.48,430.20
1964,205.91,315.20,163.17,322.40,119.44,337.98,111.48,366.27,353.97,446.67,359.84,420.51,395.66,162.61,362.10
1965,163.39,271.57,103.97,287.11,104.16,240.89,72.17,361.33,274.67,326.51,319.60,427.09,336.78,110.94,346.90
1966,172.30,365.98,103.10,401.23,116.49,232.09,125.81,447.44,228.65,315.76,314.66,474.21,312.19,119.55,354.90
1967,210.15,327.57,174.91,306.19,127.74,330.65,118.85,396.99,330.79,388.13,363.28,477.16,363.07,173.63,409.80
1968,193.37,297.42,132.19,326.46,99.71,314.47,93.32,415.77,326.20,410.86,396.49,571.06,409.89,140.29,461.60
1969,331.98,624.14,240.81,660.67,173.67,501.30,208.29,802.12,543.11,590.18,693.89,924.42,684.49,256.52,783.70
1970,158.07,308.27,127.55,310.14,75.22,249.81,75.22,349.35,268.94,286.12,306.43,403.81,333.37,132.01,339.30
1971,121.68,200.83,93.17,197.21,77.12,170.36,73.37,220.39,165.87,196.14,251.57,327.24,230.21,98.91,289.10
1972,196.90,360.14,145.02,421.92,74.05,362.65,83.74,472.11,351.78,445.37,398.76,547.61,424.70,155.12,435.90
1973,203.26,251.60,159.16,287.14,161.13,282.53,139.77,327.52,276.44,351.77,307.37,376.83,322.53,161.72,333.80
1974,155.39,295.04,136.21,316.23,79.08,258.34,74.93,347.22,280.78,268.91,254.26,360.63,286.48,129.21,292.40
1975,132.04,211.97,104.43,215.83,60.00,232.80,58.59,262.38,237.21,292.46,264.28,335.57,288.11,102.40,301.90
1976,199.87,331.48,157.46,344.99,106.33,328.60,100.55,422.45,331.20,399.06,368.77,482.76,386.54,160.65,422.30
1977,186.93,432.74,133.69,474.67,91.03,271.36,97.88,552.09,292.76,326.13,410.21,534.75,405.29,139.91,455.40
1978,250.14,309.61,199.60,338.13,177.46,330.78,176.15,420.87,316.24,392.32,419.07,542.89,399.34,227.80,460.30
1979,201.94,322.53,149.38,352.26,114.81,290.95,115.90,423.66,314.47,363.89,400.16,528.75,409.27,163.79,453.30
1980,211.23,304.95,172.80,346.26,147.67,283.45,110.67,412.20,303.76,338.22,311.61,462.04,338.32,181.15,367.80
1981,256.97,380.01,196.08,403.77,188.90,354.70,196.76,467.31,357.92,395.42,382.91,494.59,405.58,224.21,385.10
1982,195.06,276.16,179.22,294.63,118.33,313.54,92.64,327.23,297.27,373.94,340.87,407.55,349.29,160.31,386.90
1983,172.49,286.68,123.66,291.45,126.00,256.09,114.95,340.28,245.75,304.30,286.70,366.04,299.37,128.40,294.90
1984,182.59,367.78,140.49,394.87,93.70,267.10,98.00,452.91,297.93,346.31,355.31,450.56,373.91,147.03,389.70
1985,175.91,308.38,128.36,339.46,114.82,255.83,94.72,382.02,256.61,309.16,314.33,441.32,317.31,133.57,365.00
1986,155.49,270.54,119.80,290.17,97.77,215.40,88.70,350.19,215.60,306.05,248.02,365.91,252.90,129.19,310.60
1987,237.23,530.89,165.47,538.12,148.67,326.48,137.93,579.21,355.33,400.71,469.86,620.21,471.08,170.62,510.00
1988,208.44,363.73,187.44,390.91,145.52,303.62,110.60,387.47,290.42,388.57,309.02,413.15,333.44,162.30,330.40
1989,170.62,253.17,118.65,267.21,112.68,252.78,109.10,329.68,248.94,332.74,275.61,404.45,293.50,136.73,358.40
1990,201.63,359.49,133.30,383.51,144.19,273.75,99.49,447.93,298.92,358.34,363.20,488.72,384.78,140.95,420.20
1991,227.23,367.79,163.43,406.39,126.94,356.48,116.86,442.98,395.66,457.72,397.10,498.70,458.65,186.31,436.30
1992,234.81,324.55,182.84,320.86,147.20,373.73,160.93,391.38,385.17,438.89,399.36,508.65,450.32,188.60,398.30
1993,262.97,506.00,174.52,541.08,142.97,429.78,108.79,654.85,452.13,489.88,561.55,746.11,593.56,175.14,625.90
1994,217.88,330.34,143.73,342.09,158.53,341.13,131.14,426.66,330.57,371.87,385.35,546.60,389.78,150.37,469.70
1995,134.91,204.09,93.38,203.13,91.62,240.65,69.65,233.23,222.82,275.56,239.72,279.06,265.40,90.89,218.70
1996,139.67,320.35,98.78,351.05,62.91,244.71,56.12,419.44,234.79,320.28,263.50,416.42,280.62,91.24,318.80
1997,207.79,267.04,162.65,278.96,103.31,389.52,88.42,338.61,382.22,455.31,372.97,461.78,426.30,169.96,397.30
1998,254.76,539.18,185.74,586.01,115.06,429.76,105.03,709.13,437.30,529.62,517.50,717.17,545.98,182.33,572.50
1999,200.23,383.73,130.38,419.65,117.96,316.10,74.58,485.62,325.96,382.32,423.02,559.95,416.73,133.44,476.70
2000,165.73,310.52,119.71,309.78,112.79,254.51,83.85,345.67,262.67,326.01,277.05,383.51,302.43,113.24,319.40
2001,167.17,286.16,121.20,296.82,122.98,237.06,90.66,350.46,238.93,284.10,281.57,401.46,291.28,118.54,350.40
2002,245.66,441.35,178.27,467.06,140.39,385.87,124.32,553.42,395.09,479.54,471.30,635.86,487.23,181.72,535.50
2003,280.35,468.67,205.66,499.82,182.71,371.08,162.67,594.11,400.08,449.03,498.12,698.97,507.91,234.05,576.70
2004,230.37,379.00,165.09,408.63,146.96,345.81,118.91,463.63,360.55,423.42,442.09,549.59,436.59,175.71,488.40
2005,203.14,320.92,168.74,331.74,121.01,309.45,120.50,397.21,329.55,384.50,343.60,451.68,387.63,163.04,372.10
2006,197.12,320.32,137.64,348.38,136.57,296.45,110.59,407.34,293.34,383.85,352.34,471.74,366.61,135.68,405.30
2007,192.52,324.85,145.22,348.31,116.04,307.80,102.30,404.92,308.91,395.36,353.96,460.04,373.44,138.33,394.60
2008,162.07,272.12,104.85,285.28,105.89,251.88,68.33,333.55,260.24,334.17,324.03,390.46,334.65,108.58,345.50
2009,232.70,326.22,171.98,382.78,126.06,433.11,97.77,440.35,418.62,557.32,432.48,527.03,482.70,161.35,447.40
2010,173.02,392.13,103.99,392.81,107.85,263.26,64.40,465.19,268.73,353.31,347.48,496.00,348.17,104.64,387.80
2011,196.54,345.42,130.94,367.07,124.73,280.02,99.97,433.18,303.02,366.85,380.30,498.13,394.95,144.98,422.60
2012,191.96,265.36,144.32,298.89,100.26,372.52,81.43,341.62,349.77,487.12,361.99,418.53,396.78,133.53,357.50
2013,216.00,301.20,159.59,319.95,144.94,322.28,128.70,374.15,323.87,409.92,366.15,447.92,393.34,176.06,401.40
2014,210.90,329.37,144.07,361.79,133.53,347.72,116.62,417.74,341.37,455.85,394.61,501.14,418.48,142.56,437.70
2015,243.62,399.82,168.09,434.41,160.96,359.96,133.16,498.30,357.81,459.67,428.21,567.33,444.56,188.70,477.80
2016,253.64,420.78,172.95,417.10,188.28,338.16,158.77,509.05,341.90,430.50,389.01,564.44,417.07,204.54,468.90
2017,191.98,352.54,151.44,336.35,124.61,270.17,110.96,425.61,280.91,320.07,306.12,469.22,328.68,154.64,375.10
2018,169.38,329.40,120.87,331.98,100.08,247.21,93.79,388.36,249.34,316.55,300.62,430.69,314.48,135.31,357.70
2019,217.67,288.09,176.19,319.20,117.67,402.62,102.71,358.20,388.84,511.76,393.66,430.42,435.83,166.82,365.80
2020,185.30,306.61,146.59,313.01,88.78,350.67,83.86,365.82,334.16,450.38,353.77,423.76,380.33,135.44,356.50
