Variable:,pr
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
1945,643.05,638.62,571.42,718.86,666.63,649.70,596.10,681.41
1946,513.21,512.71,456.34,570.95,548.80,545.10,466.61,532.61
1947,654.78,588.33,690.34,625.15,665.49,678.20,687.53,655.59
1948,618.25,639.32,588.54,678.48,643.50,634.80,566.65,606.33
1949,587.73,547.02,597.82,600.01,601.86,611.20,593.69,584.03
1950,650.23,627.89,572.15,762.15,686.34,667.60,596.39,679.66
1951,467.85,452.10,454.34,492.82,481.86,471.00,440.87,483.90
1952,735.83,683.65,707.54,754.74,768.63,767.20,744.05,755.25
1953,522.37,425.77,539.36,445.91,525.28,529.60,579.51,584.85
1954,585.84,563.12,563.94,646.58,606.96,595.70,547.81,594.40
1955,615.87,602.51,595.02,607.95,648.83,669.80,591.25,636.98
1956,678.41,659.72,686.23,678.97,706.35,723.20,663.07,668.46
1957,671.50,589.66,627.50,663.04,701.04,686.70,686.13,745.68
1958,723.38,662.99,732.61,705.56,746.03,746.30,744.67,734.97
1959,494.24,506.12,462.50,546.87,524.13,523.00,447.25,488.02
1960,690.89,712.52,637.43,770.78,708.71,701.90,629.70,704.26
1961,528.18,438.47,524.15,509.54,532.91,535.20,561.18,586.64
1962,718.80,635.05,697.26,680.07,745.94,760.10,738.36,789.33
1963,522.69,509.64,463.17,567.38,558.37,571.00,492.19,551.11
1964,570.81,548.17,610.18,533.82,595.74,609.50,580.63,539.98
1965,570.33,536.69,566.36,578.42,586.19,576.30,556.26,590.87
1966,662.96,647.80,664.59,653.53,674.23,672.80,641.78,683.72
1967,638.12,599.80,625.16,641.30,663.65,669.70,624.52,664.19
1968,584.05,586.47,581.26,564.60,599.84,594.20,547.93,607.16
1969,598.84,511.92,669.36,544.96,588.52,583.10,663.63,593.52
1970,710.70,745.50,725.84,749.39,717.83,730.80,670.20,666.33
1971,561.93,487.08,620.02,507.14,548.17,544.80,610.50,575.69
1972,585.30,614.80,542.07,663.62,611.07,611.10,528.60,571.49
1973,628.24,593.01,624.52,609.73,661.84,683.40,647.62,623.42
1974,658.63,696.15,641.57,725.84,673.08,676.00,613.07,622.49
1975,505.33,523.44,487.11,513.37,513.75,493.10,476.90,516.07
1976,501.24,498.49,489.05,496.45,502.82,493.40,480.18,532.37
1977,675.69,679.15,663.08,697.23,704.99,710.20,643.60,666.13
1978,633.54,590.30,574.38,663.96,659.53,654.40,587.75,715.50
1979,582.57,566.90,545.89,608.33,591.25,589.10,558.55,624.88
1980,704.51,697.14,720.83,743.83,702.57,711.90,684.40,686.16
1981,632.93,585.99,623.12,633.49,648.01,643.20,615.83,677.47
1982,564.54,501.79,573.29,538.70,593.80,591.60,565.77,591.80
1983,550.36,516.90,539.31,568.24,550.36,546.00,534.43,588.43
1984,571.66,531.94,579.52,559.01,565.28,551.00,591.44,595.05
1985,669.90,602.98,656.03,641.37,663.07,654.90,705.10,735.64
1986,578.09,523.63,563.85,586.90,580.59,577.60,573.12,630.90
1987,608.08,525.69,591.23,583.02,613.00,599.20,620.33,691.70
1988,630.38,622.90,613.35,623.74,636.76,632.60,620.84,657.88
1989,643.21,538.44,617.28,612.15,682.53,677.00,642.16,733.80
1990,699.02,620.09,682.67,673.85,700.73,686.00,702.78,789.11
1991,540.11,458.42,558.87,474.17,534.87,517.20,578.97,603.99
1992,559.71,566.84,528.59,585.89,557.61,544.40,532.51,590.49
1993,640.76,580.64,649.40,649.07,652.51,632.90,648.56,657.22
1994,599.51,600.49,567.56,630.65,617.68,603.20,559.19,622.54
1995,589.46,546.71,557.18,594.04,580.27,570.50,595.07,658.10
1996,568.86,554.13,586.81,547.82,587.00,586.30,552.33,569.89
1997,660.56,612.12,652.29,629.87,677.13,675.80,660.57,709.95
1998,770.46,679.73,758.13,718.39,815.60,837.60,799.95,820.25
1999,578.24,550.90,619.66,566.07,574.33,565.50,596.79,556.46
2000,617.61,569.70,594.04,583.47,626.50,616.30,622.65,687.88
2001,653.39,616.59,643.71,650.37,674.97,681.40,632.71,688.16
2002,541.80,537.42,565.65,550.60,553.97,535.20,525.48,516.03
2003,587.89,511.81,576.84,557.35,600.24,597.10,597.50,658.97
2004,677.45,637.29,672.05,670.74,723.87,720.00,649.09,693.68
2005,621.92,554.48,626.03,616.26,650.28,660.80,620.39,648.07
2006,584.23,512.83,611.01,554.43,577.01,569.20,615.47,617.22
2007,621.52,571.35,638.74,619.10,612.42,610.70,644.49,638.19
2008,665.50,662.54,653.94,669.66,687.75,680.30,644.21,670.11
2009,803.80,751.61,780.01,762.09,839.81,850.30,825.40,843.02
2010,714.51,712.60,655.81,771.95,737.66,722.10,661.92,754.22
2011,557.37,514.06,543.03,555.76,567.68,567.80,567.23,589.88
2012,748.85,639.80,768.18,678.82,767.31,779.50,792.73,808.97
2013,657.51,648.40,659.65,664.11,655.78,655.30,647.14,667.46
2014,560.32,527.71,522.27,569.16,578.51,576.50,534.72,619.37
2015,526.29,493.60,497.59,536.77,547.40,555.60,517.71,559.55
2016,698.07,665.88,655.92,719.60,710.32,713.50,687.73,747.50
2017,740.44,697.10,664.28,764.64,766.63,761.50,711.84,829.83
2018,579.68,519.49,580.81,552.39,586.43,585.00,602.32,620.27
2019,560.70,509.68,514.25,540.25,577.22,591.80,561.24,643.07
2020,592.21,540.67,556.25,570.74,597.18,595.20,608.66,665.16
