Variable:,pr
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
1943,2332.10,2332.10,2332.10,2332.10,2332.10,2332.10,2332.10,2332.10
1944,2506.50,2506.50,2506.50,2506.50,2506.50,2506.50,2506.50,2506.50
1945,2345.70,2345.70,2345.70,2345.70,2345.70,2345.70,2345.70,2345.70
1946,2214.90,2214.90,2214.90,2214.90,2214.90,2214.90,2214.90,2214.90
1947,2118.10,2118.10,2118.10,2118.10,2118.10,2118.10,2118.10,2118.10
1948,2592.90,2592.90,2592.90,2592.90,2592.90,2592.90,2592.90,2592.90
1949,2514.50,2514.50,2514.50,2514.50,2514.50,2514.50,2514.50,2514.50
1950,2619.00,2619.00,2619.00,2619.00,2619.00,2619.00,2619.00,2619.00
1951,2562.00,2562.00,2562.00,2562.00,2562.00,2562.00,2562.00,2562.00
1952,2998.00,2998.00,2998.00,2998.00,2998.00,2998.00,2998.00,2998.00
1953,2580.20,2580.20,2580.20,2580.20,2580.20,2580.20,2580.20,2580.20
1954,2973.60,2973.60,2973.60,2973.60,2973.60,2973.60,2973.60,2973.60
1955,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90,2929.90
1956,2840.20,2840.20,2840.20,2840.20,2840.20,2840.20,2840.20,2840.20
1957,2399.60,2399.60,2399.60,2399.60,2399.60,2399.60,2399.60,2399.60
1958,3188.80,3188.80,3188.80,3188.80,3188.80,3188.80,3188.80,3188.80
1959,2408.40,2408.40,2408.40,2408.40,2408.40,2408.40,2408.40,2408.40
1960,2864.40,2864.40,2864.40,2864.40,2864.40,2864.40,2864.40,2864.40
1961,2375.20,2375.20,2375.20,2375.20,2375.20,2375.20,2375.20,2375.20
1962,2528.10,2528.10,2528.10,2528.10,2528.10,2528.10,2528.10,2528.10
1963,2427.50,2427.50,2427.50,2427.50,2427.50,2427.50,2427.50,2427.50
1964,2237.90,2237.90,2237.90,2237.90,2237.90,2237.90,2237.90,2237.90
1965,2476.20,2476.20,2476.20,2476.20,2476.20,2476.20,2476.20,2476.20
1966,2730.00,2730.00,2730.00,2730.00,2730.00,2730.00,2730.00,2730.00
1967,2407.60,2407.60,2407.60,2407.60,2407.60,2407.60,2407.60,2407.60
1968,2254.80,2254.80,2254.80,2254.80,2254.80,2254.80,2254.80,2254.80
1969,2870.70,2870.70,2870.70,2870.70,2870.70,2870.70,2870.70,2870.70
1970,2910.30,2910.30,2910.30,2910.30,2910.30,2910.30,2910.30,2910.30
1971,2440.30,2440.30,2440.30,2440.30,2440.30,2440.30,2440.30,2440.30
1972,2469.80,2469.80,2469.80,2469.80,2469.80,2469.80,2469.80,2469.80
1973,1876.00,1876.00,1876.00,1876.00,1876.00,1876.00,1876.00,1876.00
1974,2377.00,2377.00,2377.00,2377.00,2377.00,2377.00,2377.00,2377.00
1975,2560.00,2560.00,2560.00,2560.00,2560.00,2560.00,2560.00,2560.00
1976,2258.10,2258.10,2258.10,2258.10,2258.10,2258.10,2258.10,2258.10
1977,2422.00,2422.00,2422.00,2422.00,2422.00,2422.00,2422.00,2422.00
1978,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80,2336.80
1979,3217.00,3217.00,3217.00,3217.00,3217.00,3217.00,3217.00,3217.00
1980,2411.40,2411.40,2411.40,2411.40,2411.40,2411.40,2411.40,2411.40
1981,2768.40,2768.40,2768.40,2768.40,2768.40,2768.40,2768.40,2768.40
1982,2604.30,2604.30,2604.30,2604.30,2604.30,2604.30,2604.30,2604.30
1983,2471.90,2471.90,2471.90,2471.90,2471.90,2471.90,2471.90,2471.90
1984,2712.40,2712.40,2712.40,2712.40,2712.40,2712.40,2712.40,2712.40
1985,2425.10,2425.10,2425.10,2425.10,2425.10,2425.10,2425.10,2425.10
1986,2756.10,2756.10,2756.10,2756.10,2756.10,2756.10,2756.10,2756.10
1987,3067.80,3067.80,3067.80,3067.80,3067.80,3067.80,3067.80,3067.80
1988,2909.80,2909.80,2909.80,2909.80,2909.80,2909.80,2909.80,2909.80
1989,2944.80,2944.80,2944.80,2944.80,2944.80,2944.80,2944.80,2944.80
1990,2716.50,2716.50,2716.50,2716.50,2716.50,2716.50,2716.50,2716.50
1991,2453.90,2453.90,2453.90,2453.90,2453.90,2453.90,2453.90,2453.90
1992,3149.30,3149.30,3149.30,3149.30,3149.30,3149.30,3149.30,3149.30
1993,2392.50,2392.50,2392.50,2392.50,2392.50,2392.50,2392.50,2392.50
1994,2102.30,2102.30,2102.30,2102.30,2102.30,2102.30,2102.30,2102.30
1995,2449.80,2449.80,2449.80,2449.80,2449.80,2449.80,2449.80,2449.80
1996,2810.00,2810.00,2810.00,2810.00,2810.00,2810.00,2810.00,2810.00
1997,2377.80,2377.80,2377.80,2377.80,2377.80,2377.80,2377.80,2377.80
1998,3099.90,3099.90,3099.90,3099.90,3099.90,3099.90,3099.90,3099.90
1999,2654.70,2654.70,2654.70,2654.70,2654.70,2654.70,2654.70,2654.70
2000,2168.70,2168.70,2168.70,2168.70,2168.70,2168.70,2168.70,2168.70
2001,2533.50,2533.50,2533.50,2533.50,2533.50,2533.50,2533.50,2533.50
2002,2611.70,2611.70,2611.70,2611.70,2611.70,2611.70,2611.70,2611.70
2003,2599.70,2599.70,2599.70,2599.70,2599.70,2599.70,2599.70,2599.70
2004,3278.10,3278.10,3278.10,3278.10,3278.10,3278.10,3278.10,3278.10
2005,3310.10,3310.10,3310.10,3310.10,3310.10,3310.10,3310.10,3310.10
2006,3117.30,3117.30,3117.30,3117.30,3117.30,3117.30,3117.30,3117.30
2007,2498.30,2498.30,2498.30,2498.30,2498.30,2498.30,2498.30,2498.30
2008,3181.90,3181.90,3181.90,3181.90,3181.90,3181.90,3181.90,3181.90
2009,2199.70,2199.70,2199.70,2199.70,2199.70,2199.70,2199.70,2199.70
2010,3081.90,3081.90,3081.90,3081.90,3081.90,3081.90,3081.90,3081.90
2011,2934.90,2934.90,2934.90,2934.90,2934.90,2934.90,2934.90,2934.90
2012,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50,2552.50
2013,2487.80,2487.80,2487.80,2487.80,2487.80,2487.80,2487.80,2487.80
2014,2586.90,2586.90,2586.90,2586.90,2586.90,2586.90,2586.90,2586.90
2015,1710.40,1710.40,1710.40,1710.40,1710.40,1710.40,1710.40,1710.40
2016,2759.30,2759.30,2759.30,2759.30,2759.30,2759.30,2759.30,2759.30
2017,2864.10,2864.10,2864.10,2864.10,2864.10,2864.10,2864.10,2864.10
2018,2515.70,2515.70,2515.70,2515.70,2515.70,2515.70,2515.70,2515.70
2019,2472.70,2472.70,2472.70,2472.70,2472.70,2472.70,2472.70,2472.70
2020,2473.60,2473.60,2473.60,2473.60,2473.60,2473.60,2473.60,2473.60
