Variable:,pr
,"Kyrgyz Republic",Batken,Chuy,Jalal-Abad,Naryn,Osh,Talas,Ysyk-Kol,Bishkek
1938,305.34,423.33,290.91,332.83,266.20,324.62,297.79,272.14,294.50
1939,288.56,352.96,312.34,335.76,242.15,305.41,330.10,240.90,319.39
1940,375.95,403.47,405.39,448.06,334.55,370.37,429.18,327.82,407.46
1941,407.12,566.46,440.01,501.87,328.23,401.86,500.11,312.65,439.39
1942,424.11,621.81,422.27,541.20,343.05,465.37,512.79,285.18,414.36
1943,371.04,559.61,305.31,511.49,262.94,479.02,463.61,230.40,277.52
1944,317.33,401.71,294.42,317.52,318.77,379.48,291.70,256.53,321.06
1945,415.84,571.93,384.05,538.21,317.80,514.51,510.55,282.71,371.94
1946,358.72,410.20,398.80,426.83,317.19,350.30,440.10,292.82,373.71
1947,390.28,458.05,438.36,484.86,328.29,361.75,526.04,313.26,444.56
1948,332.71,481.01,317.42,450.15,253.45,435.63,400.26,183.81,307.92
1949,436.25,561.29,436.52,566.86,342.31,495.37,550.54,311.21,418.01
1950,341.88,376.89,367.44,400.96,306.03,362.22,385.55,281.23,358.22
1951,457.80,586.75,455.34,569.49,390.81,536.68,546.80,310.94,467.61
1952,403.16,526.06,397.12,519.41,341.38,440.40,502.13,276.84,387.02
1953,511.76,878.55,447.66,626.27,374.06,673.28,571.02,321.22,429.40
1954,409.35,541.87,375.71,470.47,345.34,473.24,447.54,336.29,359.98
1955,369.47,498.84,374.75,419.35,308.49,434.76,427.64,278.91,374.66
1956,374.72,441.80,384.81,434.59,319.14,348.48,465.79,346.48,386.49
1957,366.22,490.43,350.89,425.74,305.81,432.44,411.79,282.63,351.94
1958,490.61,689.91,504.50,629.10,347.56,560.08,665.74,350.09,494.26
1959,427.87,504.92,420.71,559.03,341.35,462.30,571.04,327.86,395.05
1960,403.36,574.61,393.28,513.55,317.80,461.01,497.50,276.86,385.49
1961,278.53,343.10,321.83,325.96,208.43,275.48,354.74,250.76,321.40
1962,365.11,418.23,374.30,449.76,314.11,411.13,447.87,274.13,370.69
1963,421.10,572.96,432.18,511.81,349.72,450.69,482.43,319.91,436.00
1964,381.53,525.82,388.46,426.82,319.07,438.60,420.37,301.07,382.19
1965,376.33,457.87,392.01,450.56,337.27,397.03,445.47,286.73,393.96
1966,471.95,603.55,513.38,540.50,408.58,536.85,558.59,343.93,526.56
1967,371.38,447.19,387.48,475.46,302.75,407.13,503.41,263.67,387.49
1968,391.72,534.95,397.99,509.57,314.26,440.61,537.92,247.75,380.97
1969,606.82,866.21,548.95,858.04,466.51,698.98,790.56,366.27,528.83
1970,397.69,486.53,436.80,468.03,330.72,452.58,469.21,301.10,447.28
1971,301.82,349.44,321.08,324.15,256.38,317.29,352.15,280.06,315.14
1972,429.32,650.01,410.68,526.03,343.69,472.79,532.69,304.06,388.22
1973,325.87,489.15,332.27,360.07,268.04,353.20,380.82,256.03,323.98
1974,355.57,446.58,331.53,366.91,316.38,384.02,388.40,333.98,332.60
1975,297.14,366.98,308.83,322.23,239.31,343.92,337.43,263.30,298.05
1976,381.91,510.94,401.86,478.16,309.36,434.39,432.60,272.30,410.11
1977,408.59,629.84,394.37,525.47,312.09,491.99,476.33,260.68,403.53
1978,380.47,536.39,405.39,485.09,291.26,434.56,513.35,245.82,415.67
1979,385.46,521.87,403.87,480.77,295.66,419.67,478.33,292.39,403.79
1980,402.06,553.66,417.08,499.13,327.02,425.56,480.71,298.03,425.69
1981,471.02,600.23,470.55,514.92,413.04,539.31,489.11,394.35,485.62
1982,311.77,457.36,307.61,340.22,247.96,362.12,329.65,260.93,313.60
1983,344.35,442.13,372.89,403.71,298.95,358.71,401.41,266.34,375.96
1984,378.75,584.15,372.44,499.06,280.25,422.99,437.29,260.45,362.72
1985,363.08,509.90,376.06,422.97,280.66,408.46,420.74,290.65,355.96
1986,380.85,428.75,369.02,413.28,343.45,433.53,392.79,342.56,338.87
1987,563.89,729.68,579.37,691.49,462.68,677.12,635.13,399.39,611.63
1988,432.21,644.11,436.84,491.43,340.42,491.20,485.61,337.59,432.68
1989,336.04,429.87,364.35,394.22,276.87,381.08,400.27,254.09,358.11
1990,385.82,541.84,363.27,499.69,281.26,451.52,480.77,284.22,343.98
1991,396.59,633.76,347.15,474.88,311.04,536.21,429.66,248.58,334.66
1992,393.20,528.87,398.24,467.86,329.35,434.04,468.63,295.91,393.23
1993,539.21,789.55,511.96,695.34,407.52,614.16,681.50,376.09,487.99
1994,384.59,528.80,370.50,494.81,286.71,447.27,507.19,273.78,346.54
1995,271.67,346.10,245.97,285.99,228.38,342.41,310.56,230.57,257.87
1996,383.12,487.87,361.83,486.54,316.81,467.14,467.96,260.43,340.88
1997,313.35,463.09,310.93,380.55,249.10,372.15,365.96,214.83,321.65
1998,539.15,845.66,488.64,718.25,383.14,640.38,644.47,363.94,470.86
1999,450.67,614.66,454.19,535.84,354.11,507.85,513.95,360.63,439.09
2000,376.29,454.80,391.46,424.86,323.81,408.93,410.67,322.68,399.32
2001,350.46,429.40,355.87,406.72,309.13,419.00,387.78,259.91,363.19
2002,525.24,708.17,575.91,650.29,417.46,563.54,658.49,379.59,577.24
2003,575.90,763.83,566.19,684.65,470.65,660.32,673.66,446.53,559.16
2004,465.59,642.06,446.06,525.89,398.40,565.13,508.98,348.52,450.60
2005,429.31,512.00,413.88,472.95,381.05,470.60,465.63,382.13,414.21
2006,383.01,520.53,392.19,450.15,310.60,420.47,448.55,303.20,401.96
2007,370.62,516.30,361.05,449.41,291.76,423.04,430.70,284.81,359.42
2008,346.53,431.88,371.81,385.06,308.24,387.60,362.79,278.44,380.34
2009,423.48,615.67,446.78,479.41,352.15,432.14,468.22,346.10,450.26
2010,478.01,572.57,473.93,555.84,414.14,569.72,546.73,367.95,472.67
2011,442.71,565.47,478.96,505.05,377.97,466.32,494.58,364.74,484.37
2012,346.28,503.78,299.75,378.58,296.22,446.75,359.94,261.27,293.57
2013,387.45,484.02,401.04,437.06,334.61,399.10,438.87,336.27,403.48
2014,360.48,542.97,351.85,455.60,275.80,421.66,453.17,238.11,346.09
2015,433.28,652.80,414.26,538.81,330.47,491.43,520.91,314.26,398.12
2016,561.18,612.58,632.13,650.09,490.40,582.85,653.18,473.10,630.83
2017,431.06,494.22,425.44,525.19,383.45,522.89,518.76,299.73,413.70
2018,396.32,494.96,390.79,466.19,349.29,441.93,458.18,305.82,387.83
2019,367.21,527.34,352.30,413.47,299.95,396.60,401.55,313.38,351.37
2020,398.63,491.92,400.19,437.81,358.85,425.40,436.17,342.55,395.41
