Variable:,pr
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,Oromia,SNNPR,Somali,Tigray
1980,704.63,1004.65,313.25,1031.62,1041.56,463.10,962.41,625.80,912.93,961.50,269.56,751.85
1981,794.49,1112.97,345.24,1068.11,1158.94,523.09,1100.14,611.80,999.01,1100.99,418.63,617.91
1982,928.02,1138.19,394.47,927.27,1073.76,760.40,1216.82,960.40,1278.99,1436.92,561.64,556.90
1983,837.77,1303.38,359.98,1022.33,1028.08,649.47,1097.52,777.40,1134.05,1338.21,401.92,559.37
1984,629.57,966.54,205.56,859.61,1144.90,377.89,898.56,527.20,842.30,846.89,274.85,418.77
1985,807.27,1177.24,312.60,1167.64,1453.93,556.52,1016.15,722.70,1047.01,983.82,383.81,575.96
1986,710.29,1032.48,340.31,985.00,1056.10,521.35,867.85,657.60,905.34,952.02,346.14,611.46
1987,748.11,967.23,309.02,887.66,966.96,571.26,896.66,762.80,981.78,1026.00,451.47,588.48
1988,817.86,1145.37,390.93,1055.96,1098.96,585.61,1187.77,697.80,1041.32,1284.97,373.84,706.27
1989,824.57,1193.11,367.05,1075.99,1115.96,574.97,1099.48,680.40,1035.39,1153.27,486.07,507.17
1990,737.26,1147.84,288.79,886.95,1090.07,503.87,1053.00,570.50,1024.82,1011.11,377.74,386.39
1991,746.17,1000.12,304.55,1030.83,1327.94,515.08,1130.67,626.40,947.19,1057.92,320.74,572.90
1992,759.56,1054.84,362.43,919.78,1025.84,711.38,1130.93,912.90,1042.17,1126.64,338.13,537.44
1993,846.93,1202.65,382.84,1192.55,1366.20,694.96,1040.94,844.20,1129.77,1123.37,364.33,612.16
1994,811.76,1062.24,373.18,1187.46,1463.31,577.37,1107.17,714.30,1001.29,984.54,404.11,601.41
1995,728.64,1040.62,378.54,1029.07,998.82,612.91,995.12,707.10,914.13,1001.71,355.61,571.86
1996,855.05,1417.33,405.19,1172.23,1176.37,738.66,1165.90,965.50,1143.02,1208.93,385.38,528.29
1997,865.20,1113.42,337.40,1070.27,1120.38,614.17,1162.28,849.90,1137.81,1290.30,482.67,518.41
1998,859.59,1254.35,417.68,1229.50,1264.25,621.71,1046.75,772.10,1095.62,1172.10,397.08,724.09
1999,742.05,1041.55,390.79,1138.14,1237.92,708.71,1012.96,872.40,898.52,908.00,355.80,560.80
2000,847.47,1165.23,391.03,1329.91,1371.12,697.58,1152.31,885.80,1026.78,1053.52,402.30,685.27
2001,801.45,1141.65,389.23,1107.02,1188.39,689.75,1211.94,883.70,1027.34,1116.61,361.22,607.36
2002,723.25,914.29,307.64,973.11,1077.83,445.45,1001.66,586.90,911.87,962.98,389.38,568.29
2003,769.06,1092.53,340.59,1106.01,1152.23,523.64,1014.41,720.10,965.95,983.89,388.57,647.89
2004,803.41,1150.32,347.47,1019.04,1071.60,618.24,875.18,814.00,1083.88,1070.34,452.93,500.56
2005,844.94,1304.57,369.65,1186.98,1227.16,550.70,1010.96,721.40,1112.16,1132.07,396.77,661.86
2006,859.65,1313.94,395.61,1198.70,1257.35,684.90,1050.81,837.20,1106.70,1178.31,420.98,634.47
2007,841.36,1196.48,347.39,1155.02,1279.29,583.45,994.40,845.30,1075.27,1104.78,450.10,645.83
2008,841.10,1109.59,330.76,1155.38,1302.26,509.47,1039.53,700.70,1096.52,1184.76,405.31,594.48
2009,756.73,1094.02,320.32,1010.67,1098.21,478.72,1036.21,665.70,998.74,1084.13,356.88,520.72
2010,843.94,1158.29,367.62,1125.94,1335.00,656.83,1131.73,816.90,1096.73,1194.15,401.24,589.07
2011,818.21,1258.63,361.53,1056.19,1144.72,614.36,1084.22,752.60,1101.66,1098.44,423.55,496.19
2012,844.14,1197.82,353.46,1140.95,1267.98,573.58,1146.66,726.90,1108.84,1237.97,390.41,532.06
2013,898.65,1190.16,410.48,1130.23,1192.67,896.73,1014.48,1239.90,1196.36,1158.57,529.30,571.95
2014,903.11,1200.79,383.97,1277.29,1446.97,694.07,1215.33,986.70,1136.00,1247.46,434.15,678.92
2015,822.78,1100.69,291.07,969.53,1211.81,527.71,1132.67,771.50,1092.59,1226.16,449.25,529.74
2016,901.76,1399.38,405.19,1235.51,1295.29,745.31,1112.95,927.70,1196.39,1177.32,446.31,637.50
2017,912.79,1172.46,400.11,1232.38,1232.03,783.64,972.67,1064.60,1151.58,1125.06,582.87,610.76
2018,889.10,1182.26,413.25,1240.03,1316.42,763.14,1110.38,902.70,1123.00,1158.03,462.11,719.68
2019,986.73,1298.15,380.61,1293.86,1458.09,693.07,1176.73,877.90,1295.40,1369.28,523.55,683.96
2020,905.84,1349.64,406.66,1289.33,1301.26,681.07,1152.98,837.10,1153.88,1299.98,417.64,719.45
