Variable:,pr
,Egypt,Alexandria,Assiut,Aswan,Behera,"Beni Suef",Cairo,Dakahlia,Damietta,Fayoum,Gharbia,Giza,Ismailia,"Kafr El-Shikh",Kalyoubia,Luxor,Matrouh,Menia,Menoufia,"New Valley","North Sinai","Port Said",Qena,"Red Sea",Shrkia,"South Sinai",Suez,Suhag
1916,47.71,247.73,41.70,13.34,163.98,28.06,53.06,132.18,163.57,31.96,97.66,38.59,58.41,203.85,45.86,26.12,78.75,26.28,71.15,26.51,133.54,460.70,36.73,52.70,83.31,89.00,36.32,39.47
1917,45.67,240.72,37.56,13.34,159.28,24.49,47.43,122.76,151.37,30.25,92.15,36.88,51.53,194.28,41.78,26.12,74.86,23.17,68.50,26.44,122.82,448.82,36.76,50.86,76.21,80.51,30.54,38.36
1918,47.67,197.94,54.03,13.34,125.96,36.95,56.84,118.31,150.26,26.06,81.52,38.04,66.60,162.02,37.22,26.12,66.80,34.49,55.59,26.70,146.16,356.83,36.81,56.72,77.50,130.04,52.62,43.49
1919,39.01,172.92,39.28,13.34,116.55,22.40,30.86,69.94,77.01,20.60,61.61,29.69,27.50,127.88,26.65,26.12,59.43,23.20,46.61,26.49,81.35,205.83,36.27,48.80,39.88,64.54,22.40,38.24
1920,44.60,193.27,44.55,13.40,131.29,30.31,50.98,113.57,139.38,25.54,84.21,34.54,59.56,174.09,36.39,26.12,58.34,28.04,57.11,26.49,142.70,408.26,37.14,55.21,74.14,104.81,43.37,40.74
1921,49.05,235.45,62.88,13.51,164.91,50.70,69.87,129.87,156.98,37.52,100.22,50.10,62.51,193.35,49.77,26.12,63.52,45.41,74.78,26.60,142.37,403.18,36.84,59.37,82.91,117.42,58.21,45.62
1922,36.08,131.06,33.77,13.74,90.67,21.43,31.67,69.19,80.79,17.19,54.64,26.41,29.38,112.43,23.44,26.12,48.38,20.32,37.61,26.14,72.93,221.74,36.19,49.44,41.52,59.60,25.27,36.07
1923,33.99,112.37,37.02,13.52,76.69,18.67,23.57,56.04,68.56,14.04,42.77,22.23,26.85,89.19,17.61,26.12,37.66,20.63,30.66,26.09,70.95,163.29,36.40,51.38,33.31,67.03,20.19,36.96
1924,44.28,236.20,39.12,13.85,156.68,23.62,40.65,110.78,133.22,28.07,86.49,34.24,46.24,183.78,38.14,26.12,76.49,23.78,63.10,26.25,96.56,354.31,36.28,50.57,67.26,66.51,27.07,38.32
1925,38.50,186.09,29.89,12.82,115.69,18.58,32.75,84.07,101.32,21.22,64.46,28.08,36.97,134.44,29.01,19.47,65.86,18.59,47.22,23.95,81.71,251.34,27.73,46.77,50.64,67.68,22.61,27.55
1926,33.19,135.62,31.30,12.24,85.51,18.72,33.41,73.94,91.24,16.83,53.74,24.75,35.68,110.86,24.54,17.24,41.57,18.73,36.77,22.83,77.84,227.64,25.38,47.12,47.49,66.69,26.98,26.97
1927,29.59,150.89,21.79,10.07,105.19,15.50,29.19,78.00,90.82,18.83,62.93,24.41,33.68,131.39,25.35,11.16,37.39,15.42,43.79,22.22,81.29,251.22,14.13,31.35,46.61,49.08,19.77,18.12
1928,26.61,97.99,19.91,10.29,56.60,10.71,16.51,43.28,51.65,10.06,33.19,17.15,19.61,71.42,12.99,13.06,36.23,12.31,22.55,22.72,55.70,153.37,15.94,31.70,26.10,39.20,12.15,18.43
1929,49.61,219.35,46.26,14.02,142.88,35.42,51.76,104.05,121.14,25.80,82.93,40.97,51.56,167.08,38.82,22.75,100.94,31.53,60.30,24.42,109.19,320.97,33.52,55.53,64.41,91.34,45.78,36.15
1930,39.16,216.06,42.57,10.61,141.27,33.60,49.48,102.93,122.28,25.68,81.09,36.69,47.66,166.56,36.72,11.36,59.91,29.98,58.00,22.79,101.02,320.95,15.68,39.73,63.60,87.61,41.59,28.53
1931,27.06,87.40,24.00,11.05,54.70,15.01,24.02,56.66,73.73,11.50,38.31,19.61,26.92,72.99,17.83,11.16,27.58,15.53,25.65,22.60,76.40,197.85,14.47,33.83,36.35,54.26,19.45,20.34
1932,32.39,162.07,19.95,10.46,110.03,14.14,25.06,85.21,97.08,17.00,65.77,23.54,26.66,149.80,24.25,11.16,66.12,13.59,44.63,19.89,59.26,262.77,14.11,31.64,44.45,40.80,15.33,17.48
1933,27.37,76.59,24.00,10.77,50.57,17.66,26.82,43.38,52.93,13.84,32.09,22.01,23.52,59.75,16.54,11.16,39.90,16.55,23.69,19.52,65.03,161.52,14.43,34.04,30.59,56.54,21.50,19.41
1934,35.04,164.06,20.80,10.59,110.21,20.22,36.86,82.90,95.04,16.74,67.52,26.43,32.28,138.56,29.21,11.76,69.86,16.09,47.18,19.43,89.21,255.75,15.12,35.14,46.33,61.26,29.50,17.52
1935,22.88,74.03,16.67,8.71,49.53,8.30,12.25,39.69,43.82,7.86,30.28,12.95,13.25,71.68,9.91,11.44,29.33,9.22,19.97,19.07,51.61,120.57,15.21,30.30,19.38,39.80,9.53,16.24
1936,28.47,92.22,24.87,8.21,65.82,19.22,28.37,53.06,64.85,17.45,39.15,25.05,29.36,70.28,20.46,11.77,41.87,17.14,30.24,19.94,75.11,183.22,16.27,33.40,36.08,53.01,22.86,21.34
1937,33.30,124.50,35.33,9.28,82.15,26.54,38.27,78.21,97.46,20.19,52.36,31.80,42.91,105.77,24.63,15.55,44.35,23.21,36.43,20.55,92.38,217.36,22.58,43.78,50.08,75.77,34.74,27.11
1938,34.81,162.70,26.58,7.61,106.32,21.48,36.04,73.58,88.14,25.08,58.70,32.68,31.99,122.19,24.13,13.87,65.78,18.89,42.44,21.14,87.37,230.92,18.94,32.99,44.27,56.94,24.79,26.18
1939,30.96,108.66,28.38,7.03,67.19,20.07,34.03,62.53,81.92,19.42,43.98,25.92,37.30,79.29,20.79,14.17,47.14,19.28,30.64,20.69,94.11,222.54,20.02,32.57,43.89,65.33,27.45,26.79
1940,27.83,113.34,22.90,8.07,75.01,14.60,22.02,52.87,62.67,12.73,42.30,18.74,26.04,88.56,17.63,12.61,43.97,14.11,30.53,19.05,64.43,150.30,19.29,33.17,32.07,53.69,19.03,21.36
1941,30.10,132.92,23.27,8.40,85.35,14.74,27.68,76.10,94.33,14.05,55.02,19.30,38.16,116.40,22.98,17.72,40.90,14.08,36.62,19.18,90.67,266.98,25.22,39.69,48.92,62.91,22.31,23.14
1942,30.22,105.75,32.44,6.39,65.20,21.67,27.56,57.00,73.18,17.83,38.20,27.17,29.29,80.28,16.76,16.36,44.35,21.17,26.17,21.61,74.61,168.65,21.89,33.33,35.40,58.86,23.21,31.95
1943,39.38,221.99,36.13,7.59,138.18,29.94,49.53,119.24,151.09,22.87,86.68,35.70,58.35,164.30,38.15,13.53,73.81,26.83,61.14,19.64,100.33,363.72,18.30,37.83,75.92,79.64,41.54,26.33
1944,32.55,120.58,28.32,9.36,86.90,15.53,23.87,67.28,79.86,13.19,50.29,20.44,32.04,112.56,20.98,21.51,42.87,16.27,34.27,19.61,116.92,221.03,33.31,44.99,39.36,80.73,19.22,27.54
1945,32.93,144.52,24.45,9.43,101.20,20.64,34.22,80.79,94.88,17.61,62.91,26.04,38.58,128.80,26.64,15.53,49.61,18.03,43.19,20.11,94.32,247.81,24.52,39.51,49.16,66.42,27.87,24.42
1946,23.70,89.05,16.06,6.43,57.56,13.41,21.03,50.55,58.35,10.53,37.49,17.76,21.39,79.32,14.54,10.33,29.65,11.42,24.51,18.67,55.31,131.19,13.36,30.38,28.81,48.26,18.33,15.13
1947,27.55,118.66,20.92,6.17,77.53,21.79,32.12,53.31,68.21,19.53,41.07,26.56,29.17,79.34,20.07,10.84,41.54,18.10,31.03,18.86,63.64,168.04,14.18,31.25,36.27,55.12,24.92,17.19
1948,39.20,220.87,27.98,6.91,139.83,22.00,42.21,106.19,126.52,24.59,83.33,32.74,46.17,178.85,33.86,13.24,78.97,19.35,57.28,22.24,91.19,321.88,18.14,33.68,64.32,64.86,32.54,24.13
1949,39.32,242.32,30.73,7.29,163.64,24.27,40.89,111.27,130.17,25.20,91.10,34.44,48.44,191.25,38.01,14.15,69.75,22.09,66.05,22.34,110.94,368.94,19.88,35.27,66.38,67.00,30.74,25.97
1950,32.10,117.19,22.77,9.61,78.62,17.06,28.76,66.30,77.75,14.34,50.71,22.49,28.86,103.62,22.88,12.03,50.34,15.57,35.02,22.19,79.75,207.91,17.36,36.25,39.08,69.93,23.12,19.40
1951,27.96,134.43,23.70,6.45,89.71,15.82,27.06,69.53,84.57,15.81,52.81,21.99,29.88,116.24,20.00,12.94,41.18,14.94,35.52,20.16,75.65,259.06,17.02,29.75,41.14,36.21,20.94,21.95
1952,28.69,107.63,21.80,8.34,68.58,14.28,25.24,67.54,85.64,12.66,46.48,18.80,30.90,96.12,18.88,10.73,36.43,14.11,31.06,23.81,69.73,233.57,14.33,33.29,42.31,45.76,19.79,18.71
1953,28.84,118.98,20.29,8.74,80.26,11.03,23.84,73.67,88.07,12.44,51.12,16.42,34.11,119.62,21.11,13.62,40.08,11.57,32.92,18.96,103.83,255.30,17.80,36.24,43.50,52.96,17.23,19.51
1954,37.22,186.27,27.31,7.02,130.02,20.91,34.34,91.98,109.27,21.60,72.91,33.95,42.77,157.30,29.64,11.04,69.66,19.35,51.41,20.05,117.96,313.09,15.75,32.35,55.49,82.68,28.50,21.08
1955,27.65,148.86,17.81,7.53,102.84,11.99,25.99,71.58,87.49,15.18,55.19,19.17,34.36,115.42,24.17,10.33,41.11,11.60,41.24,18.42,68.51,235.55,13.58,36.45,44.43,37.21,17.34,16.07
1956,33.89,182.94,23.24,7.32,118.30,17.28,27.69,81.44,96.34,18.91,64.83,27.27,32.60,144.30,26.72,11.75,74.02,15.98,46.37,19.68,72.55,286.79,15.34,29.55,48.20,34.47,19.54,20.33
1957,43.04,264.81,30.89,7.15,170.92,29.42,61.27,137.96,167.84,31.43,105.41,40.57,64.22,206.22,46.44,15.44,78.14,23.17,75.03,21.38,117.56,433.46,21.61,44.61,86.36,74.89,45.55,26.60
1958,20.89,56.14,15.54,6.77,38.19,8.13,12.32,23.99,26.31,6.86,20.28,10.96,8.81,47.92,7.63,10.44,32.91,8.82,14.47,18.43,30.66,68.65,13.68,25.00,12.93,27.96,10.45,15.40
1959,31.20,173.55,22.85,7.88,111.48,17.94,32.34,81.30,98.96,18.52,64.49,25.71,35.99,129.29,26.15,12.57,56.84,15.71,46.60,19.00,69.93,270.79,17.58,30.71,49.62,47.11,24.94,20.37
1960,28.95,121.58,38.31,6.79,82.67,25.04,28.94,58.45,68.05,16.54,46.70,27.35,24.03,98.29,20.67,14.73,42.22,24.72,34.26,22.16,42.43,169.43,21.41,33.60,34.50,26.56,25.21,33.78
1961,43.70,285.39,31.01,8.32,178.34,33.85,58.00,143.78,183.42,32.72,104.86,46.67,68.17,208.15,48.59,12.72,85.86,28.36,77.95,20.13,112.36,490.81,20.12,39.44,91.10,72.47,45.15,24.84
1962,28.02,104.16,18.47,17.44,75.68,12.75,23.36,42.01,48.79,15.96,36.12,22.14,16.41,74.99,19.67,10.33,44.43,12.06,33.41,21.45,35.97,130.63,13.71,37.88,24.77,24.97,13.83,16.40
1963,33.76,93.52,46.18,8.00,59.67,24.97,17.53,55.09,65.31,13.89,39.95,28.66,23.54,88.90,11.63,20.61,43.33,27.78,23.35,26.61,85.42,183.65,30.62,37.79,30.99,62.18,21.59,45.09
1964,32.59,200.11,17.12,7.00,127.43,13.04,33.86,101.01,118.18,12.83,76.15,19.29,39.22,175.67,28.11,10.33,67.82,11.47,46.00,18.20,97.83,293.01,13.41,26.54,54.32,41.74,24.39,15.23
1965,36.68,217.45,29.49,17.50,137.44,22.36,49.16,123.89,156.56,20.99,88.49,28.87,52.76,171.95,41.66,13.56,52.50,18.91,64.82,21.64,108.49,380.64,19.98,41.20,76.18,57.94,38.01,23.54
1966,43.99,172.71,52.01,17.04,118.78,20.68,29.53,76.69,92.76,21.03,60.82,27.60,36.46,133.83,24.67,43.83,57.27,25.11,45.23,26.65,88.19,246.60,58.98,74.63,46.28,95.25,19.33,56.17
1967,39.47,142.66,42.14,10.33,92.22,30.72,34.34,71.99,85.89,12.65,56.04,23.65,40.23,111.57,23.09,32.43,65.71,28.59,35.27,22.95,94.75,203.07,43.43,47.14,45.86,99.70,32.79,41.18
1968,37.49,122.29,26.05,14.23,65.62,11.22,19.23,65.29,81.90,9.66,49.24,14.34,26.18,86.69,17.36,23.32,52.71,12.49,29.29,20.58,93.13,159.82,34.30,77.33,36.17,91.45,17.17,27.46
1969,41.32,158.93,34.65,9.14,98.87,25.49,37.67,79.00,101.32,22.95,59.02,34.15,34.81,99.43,33.48,21.73,93.20,22.08,46.52,22.09,75.04,182.96,36.63,41.40,48.73,69.12,28.99,36.27
1970,27.83,140.80,18.57,7.31,90.86,16.32,23.53,69.09,86.51,13.73,56.48,24.12,22.45,106.16,18.44,10.23,53.86,14.59,36.64,18.30,54.70,136.60,13.57,27.69,34.21,29.90,19.11,15.71
1971,37.85,221.47,35.44,6.63,153.44,34.09,38.55,106.66,125.29,34.27,97.28,45.99,37.39,162.12,40.40,13.69,58.20,28.16,73.10,23.02,110.91,251.86,18.87,31.83,52.59,77.69,29.74,28.23
1972,35.09,158.35,42.84,9.06,100.92,24.99,34.66,76.15,94.80,20.91,60.18,26.11,34.27,109.12,27.36,26.69,53.58,25.26,42.64,21.22,79.13,190.98,38.90,45.09,39.60,67.68,27.00,43.33
1973,27.07,106.94,29.29,9.27,65.07,9.33,9.09,40.33,47.71,7.83,29.64,12.98,11.18,86.63,6.88,22.41,42.01,12.98,14.98,19.48,42.03,115.91,35.61,38.42,18.20,45.76,7.18,33.55
1974,53.84,312.44,46.99,15.35,202.02,22.74,44.44,109.63,127.44,27.76,95.52,34.27,41.68,207.15,42.14,45.21,82.63,22.54,73.29,39.21,115.55,359.04,55.73,57.25,65.49,80.14,25.40,52.69
1975,35.71,125.64,26.38,8.91,80.55,18.15,33.39,68.58,79.87,13.40,52.06,23.90,34.36,112.74,20.39,19.10,54.06,16.61,33.07,30.38,80.55,234.74,22.86,31.83,42.19,56.22,29.43,24.70
1976,30.32,125.51,24.90,7.96,75.41,23.31,29.76,41.10,48.46,11.96,31.90,24.84,23.14,78.61,10.98,12.94,49.08,19.04,21.49,22.87,59.59,129.75,17.25,30.96,28.08,54.66,28.42,20.54
1977,37.15,200.49,46.23,7.72,126.43,36.95,36.79,100.28,125.04,17.15,69.32,33.41,44.67,164.68,19.93,17.30,58.47,30.67,40.91,21.67,102.70,305.04,24.34,36.57,55.66,70.13,38.83,37.44
1978,33.48,161.06,21.16,6.74,114.21,25.35,51.43,97.55,118.32,25.77,71.92,33.06,48.16,147.27,36.11,10.43,63.93,18.33,54.29,17.98,89.33,315.60,14.25,27.55,65.91,67.14,36.75,18.02
1979,38.69,108.92,45.90,16.84,82.86,23.46,41.33,74.19,86.91,21.45,57.12,26.40,39.22,113.65,29.66,33.13,37.43,21.94,42.74,22.41,95.10,254.02,54.37,80.49,49.34,81.59,32.11,47.96
1980,29.43,132.92,23.93,10.35,81.38,16.56,31.20,67.48,79.60,18.08,55.07,21.52,33.40,92.86,22.47,14.19,37.96,14.99,43.77,18.91,91.07,249.07,20.82,39.46,45.62,61.18,24.60,22.35
1981,22.66,96.25,16.18,6.39,58.25,9.13,17.67,40.78,49.61,5.61,26.93,10.37,20.16,81.91,9.36,10.23,27.57,9.16,14.79,17.80,54.98,129.47,14.35,29.44,23.96,57.58,16.91,15.79
1982,45.23,186.48,39.97,11.46,115.60,20.77,40.77,113.20,143.49,19.10,76.49,29.36,58.23,162.76,30.27,30.95,62.21,21.42,50.34,30.83,121.35,403.42,44.10,50.55,70.99,117.30,31.36,41.83
1983,32.98,148.50,22.63,8.39,91.22,16.97,27.11,77.29,92.54,14.85,54.16,19.83,28.72,131.03,21.60,12.04,70.91,15.38,33.80,18.89,67.66,223.56,16.25,37.33,42.37,35.83,20.63,20.31
1984,25.96,89.05,25.40,6.14,70.46,21.17,31.41,54.98,64.68,24.34,40.64,24.98,28.00,86.59,27.62,11.65,37.32,19.00,37.21,20.71,57.30,176.10,15.77,24.53,37.35,30.07,18.61,22.14
1985,44.10,153.94,50.55,13.76,105.85,24.60,38.01,87.16,102.52,23.69,66.15,34.92,48.06,135.52,28.23,33.61,62.75,28.06,45.70,27.23,110.16,323.05,48.14,60.08,57.79,91.13,32.65,49.70
1986,36.94,165.38,29.60,6.28,127.14,39.53,71.58,114.54,137.31,21.08,85.07,37.03,73.06,170.24,38.40,10.23,52.99,28.83,52.98,18.41,142.27,364.52,13.99,31.97,78.05,115.05,67.17,18.71
1987,35.07,130.71,31.07,7.77,92.45,27.04,45.24,70.91,86.62,27.93,54.22,35.40,45.95,100.94,36.17,14.34,50.90,22.26,48.90,19.55,94.29,240.02,24.36,44.79,57.12,99.24,35.36,28.52
1988,45.05,212.05,31.43,11.29,148.02,30.36,59.78,127.40,155.05,35.13,96.79,49.64,59.66,191.28,51.09,13.68,87.32,25.34,74.32,24.89,118.90,463.45,19.87,34.47,85.45,79.24,41.07,25.26
1989,39.06,181.04,37.34,13.22,104.79,19.46,27.02,86.06,114.12,18.77,55.68,25.73,28.94,141.76,20.37,36.00,71.26,17.81,35.29,22.74,68.23,310.28,48.78,53.79,47.70,47.06,19.71,43.34
1990,34.91,124.69,43.79,9.17,81.91,23.70,41.16,80.93,99.99,20.80,58.78,27.40,39.74,113.42,30.92,26.80,46.77,25.62,42.35,21.66,92.17,286.93,40.06,44.34,53.01,78.67,31.70,43.82
1991,45.26,266.33,34.00,8.86,175.68,24.69,49.52,131.91,154.58,27.91,98.40,35.25,56.92,236.39,39.38,21.40,95.54,21.62,62.78,20.56,123.48,404.07,28.09,40.28,76.11,86.69,39.67,30.39
1992,35.30,250.13,21.00,7.49,150.49,14.91,33.07,107.05,124.08,18.98,87.74,24.53,37.61,198.73,30.28,12.73,69.35,13.10,58.87,18.21,106.99,381.59,17.58,30.79,59.97,61.41,21.78,19.21
1993,43.36,120.13,69.73,20.23,73.16,25.52,34.00,72.84,92.88,15.43,47.25,24.16,31.68,106.19,21.42,48.50,42.41,30.37,30.15,32.55,75.43,252.75,78.78,72.13,45.66,78.21,29.69,79.59
1994,43.78,223.80,30.76,13.82,152.61,21.89,44.01,124.46,152.98,27.82,90.36,31.20,57.38,190.48,37.58,28.57,74.27,18.19,62.21,21.71,119.60,373.98,39.11,61.90,75.34,71.75,30.54,31.94
1995,24.69,105.72,18.84,7.62,61.86,10.92,17.99,49.58,59.28,8.56,36.67,13.44,17.51,86.23,10.68,12.04,37.44,11.27,20.77,19.38,49.98,149.62,16.46,28.42,25.80,39.67,15.06,18.54
1996,28.02,146.54,22.92,7.05,80.37,13.92,23.22,66.98,83.68,10.96,43.89,19.93,25.50,115.88,12.47,12.55,50.84,15.04,24.10,19.05,61.02,191.09,16.59,26.60,34.88,41.63,20.99,20.22
1997,34.87,150.96,28.58,10.80,90.25,18.47,41.99,110.00,144.87,17.37,70.62,22.52,52.68,133.15,30.58,18.24,51.37,15.65,45.49,19.79,113.59,396.70,30.97,40.62,72.23,83.72,32.60,29.53
1998,37.57,145.40,52.00,11.47,84.25,29.19,36.26,70.80,84.33,13.98,48.41,26.83,29.26,123.95,19.71,31.01,52.78,28.80,27.53,22.50,63.79,185.88,48.53,58.35,38.91,80.84,35.24,53.24
1999,24.59,54.79,28.79,11.55,38.77,11.15,13.39,30.46,35.56,7.13,26.35,11.17,12.29,45.86,8.29,28.49,22.99,12.72,16.96,20.72,39.02,99.23,38.80,44.07,18.09,42.06,10.78,36.56
2000,36.69,213.26,26.21,7.95,131.05,19.40,37.70,109.80,139.73,21.55,74.60,27.98,45.37,163.94,31.42,18.93,75.38,16.60,53.09,19.59,94.80,374.77,23.70,33.34,64.74,49.49,25.25,24.40
2001,24.80,127.94,17.44,7.23,77.44,9.92,16.18,43.40,51.39,7.49,32.51,13.04,15.55,97.04,8.84,10.44,41.98,10.19,17.90,17.99,55.15,125.78,13.90,26.30,21.61,43.75,14.01,16.58
2002,33.16,209.05,26.88,8.47,139.46,17.83,32.59,99.19,125.22,22.44,76.66,28.14,35.60,161.60,30.62,15.55,55.65,16.24,56.01,19.94,85.41,340.77,24.09,32.36,57.59,47.63,20.96,27.80
2003,26.59,167.51,18.26,6.58,100.02,12.07,24.10,72.14,87.96,11.84,53.39,16.92,27.70,134.93,19.25,10.64,43.72,11.38,33.36,17.83,71.99,223.45,13.87,26.11,38.85,39.54,19.36,16.76
2004,32.15,170.72,30.96,7.44,110.66,17.16,29.15,81.83,94.75,18.06,63.69,25.20,28.64,145.33,25.35,21.85,50.92,20.05,42.68,22.60,68.02,260.83,26.76,31.51,44.77,47.92,19.44,29.36
2005,37.22,137.40,51.01,9.48,83.26,30.05,37.80,55.61,66.44,18.45,44.02,31.96,28.26,95.25,21.90,34.40,50.47,34.13,33.32,30.45,59.44,172.26,46.52,40.17,35.71,47.48,31.40,50.56
2006,26.97,122.58,25.99,6.60,75.28,19.95,36.55,61.93,74.50,13.12,45.41,19.28,36.68,101.97,21.55,10.94,37.65,17.14,29.23,18.15,78.51,204.92,14.46,28.71,41.51,58.47,35.86,19.04
2007,28.02,104.01,32.41,6.41,66.84,23.95,35.71,63.32,77.06,13.72,43.81,23.28,30.89,94.98,21.04,10.44,40.98,21.99,29.65,18.11,64.45,188.99,14.41,30.97,40.94,72.81,32.02,23.01
2008,29.23,134.46,23.69,6.52,72.28,17.34,26.38,67.30,86.57,14.95,46.46,20.58,28.01,94.20,19.69,12.75,59.72,15.07,33.41,18.40,59.76,221.45,16.62,26.80,42.98,43.47,20.66,21.05
2009,22.50,21.20,24.57,8.26,30.82,12.57,20.57,22.50,27.58,11.57,23.41,16.16,17.90,13.03,15.12,19.16,18.51,13.37,24.07,22.73,46.92,111.47,22.15,29.95,21.50,36.44,15.53,23.36
2010,23.56,52.26,24.74,16.06,33.64,10.89,15.74,29.84,34.41,6.17,21.60,9.89,12.71,51.63,8.16,16.93,19.79,12.50,12.64,22.08,49.28,102.69,23.55,34.56,17.43,42.23,13.06,24.04
2011,28.18,99.78,20.64,7.94,60.48,11.57,20.19,54.18,69.06,9.33,35.96,15.24,26.77,82.38,12.97,16.81,40.38,12.07,22.12,20.87,70.80,176.47,23.89,36.19,32.00,56.08,18.62,21.73
2012,29.69,121.42,25.67,8.87,79.78,14.25,24.28,69.88,87.10,14.51,49.89,20.41,29.07,108.92,20.71,18.78,40.00,14.42,34.51,22.05,68.29,232.08,27.08,38.69,40.90,42.91,17.75,27.21
2013,34.82,166.02,23.87,15.49,111.96,15.14,27.81,75.67,89.20,16.10,60.25,22.56,30.59,133.11,24.45,18.02,54.23,14.57,42.93,23.29,84.29,261.65,25.14,40.71,43.69,61.19,20.64,23.83
2014,35.62,131.98,49.57,9.45,98.46,28.71,45.48,72.60,86.59,26.62,59.71,32.88,42.35,106.75,28.21,27.09,30.15,28.28,46.18,24.43,95.43,229.68,37.77,48.40,49.95,112.81,37.46,51.10
2015,34.90,146.54,32.87,10.39,95.96,21.15,31.07,80.77,100.36,17.99,57.63,26.68,35.58,122.82,23.52,22.17,51.08,20.78,39.16,24.36,77.34,239.95,30.57,42.25,48.24,56.91,24.38,32.49
2016,28.42,103.80,24.34,9.05,66.40,12.92,21.36,61.24,77.83,9.46,41.08,13.68,28.13,94.90,15.72,17.64,34.66,13.22,26.19,20.67,72.38,206.17,26.19,41.17,36.30,61.06,19.58,24.14
2017,23.20,38.00,21.71,9.00,23.05,9.96,12.70,27.67,35.95,4.69,16.96,8.89,14.39,37.28,6.30,17.62,21.26,11.06,10.02,20.63,43.37,106.91,25.49,39.68,16.69,53.50,13.59,22.99
2018,50.37,194.50,56.82,12.44,143.29,43.34,57.95,105.97,121.12,28.96,87.86,47.49,50.78,175.65,42.25,25.91,80.69,38.24,65.64,30.50,108.32,304.50,35.87,57.80,65.39,103.57,50.20,44.18
