Variable:,pr
,Chile,"Los Rios","Aisen del Gral. Carlos Ibañez del Campo",Antofagasta,Araucania,"Arica y Painacota",Atacama,Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Los Lagos","Magallanes y Antartica chilena",Maule,Metropolitana,Tarapaca,Valparaiso
1988,441.71,1149.99,1008.32,41.57,896.87,78.28,25.17,808.32,56.11,387.08,1148.85,569.00,628.69,226.72,19.07,168.69
1989,484.62,1292.90,1161.16,60.51,995.45,93.24,47.35,756.80,167.53,459.44,1224.66,546.00,497.95,392.51,34.86,319.20
1990,540.25,1534.47,1270.85,82.21,1043.62,85.19,28.81,781.39,66.57,389.61,1563.62,717.18,524.26,270.02,22.95,162.63
1991,578.20,1638.32,1174.03,52.97,1197.85,65.39,51.07,1047.02,232.22,732.33,1511.18,624.48,836.64,585.21,19.51,497.21
1992,621.57,1617.11,1174.61,79.54,1350.38,51.68,61.61,1278.21,316.38,895.21,1548.59,596.76,999.14,673.13,17.64,620.77
1993,565.16,1732.06,1035.06,46.59,1398.54,101.82,38.35,1110.10,160.97,632.00,1662.16,636.47,704.21,440.18,26.82,351.71
1994,565.23,1614.21,1250.20,58.03,1166.13,90.63,38.57,904.68,65.83,568.57,1643.41,685.66,699.26,369.04,32.25,232.30
1995,514.59,1497.94,1116.06,41.02,1093.86,51.51,24.07,859.79,54.69,559.38,1445.74,643.43,669.81,331.68,12.74,255.43
1996,451.53,1139.30,1141.45,43.09,793.18,65.23,25.95,626.19,97.05,340.49,1213.13,631.91,434.40,260.59,17.20,230.60
1997,688.69,1905.85,1239.13,50.10,1392.74,163.75,74.10,1223.46,395.41,1129.99,1758.94,687.02,1042.33,1011.70,55.82,899.99
1998,381.94,867.65,1018.65,49.19,583.11,65.04,51.43,482.13,53.20,164.52,931.77,658.46,250.42,157.82,20.31,117.27
1999,490.86,1415.03,968.23,51.68,1036.90,139.46,35.24,959.29,156.60,612.10,1294.04,522.87,669.19,501.10,45.77,365.17
2000,593.43,1797.82,1058.56,47.64,1209.92,127.20,60.19,1020.93,255.55,809.68,1633.10,709.28,805.72,659.16,43.63,528.82
2001,583.87,1672.39,1136.97,60.19,1150.74,175.91,42.30,1108.52,215.63,822.67,1592.49,590.64,899.50,562.48,70.59,439.41
2002,728.69,2043.18,1444.83,47.75,1377.18,132.05,100.12,1298.03,438.65,1003.46,1849.99,733.12,1107.12,844.17,42.71,769.13
2003,527.89,1619.74,1196.34,43.92,1061.50,64.50,23.42,819.49,154.20,502.96,1415.70,696.28,510.34,351.11,18.40,275.16
2004,538.34,1858.88,989.93,46.08,1191.33,101.65,52.71,928.66,167.95,546.60,1550.74,626.65,700.64,449.27,39.23,405.86
2005,624.60,1980.79,1138.49,45.39,1398.28,103.44,38.75,1183.99,200.51,934.54,1626.15,673.20,980.32,737.04,38.97,494.97
2006,641.85,2152.72,1227.78,45.98,1368.86,112.96,26.22,1172.46,122.61,735.59,1853.32,761.07,874.22,533.11,42.86,417.29
2007,407.79,1314.17,694.25,49.44,957.23,92.90,28.49,684.42,86.29,327.94,1137.95,649.25,455.46,253.41,32.99,208.15
2008,565.95,1659.69,1015.99,49.32,1138.76,93.67,46.47,952.53,230.07,716.94,1511.42,760.44,777.25,585.71,28.04,473.62
2009,558.62,1703.96,1194.43,44.88,1278.63,57.94,33.42,975.17,128.21,538.73,1611.68,617.42,657.96,410.80,18.61,317.70
2010,472.69,1308.74,1125.92,45.43,915.39,46.28,44.08,729.67,183.43,400.48,1291.53,554.50,467.72,346.82,17.39,280.20
2011,499.97,1357.08,1028.41,55.14,1026.95,233.43,86.69,843.83,187.71,415.47,1293.57,641.12,614.02,259.77,69.96,221.78
2012,511.84,1402.01,1225.04,63.51,923.84,121.05,20.52,726.25,72.22,506.13,1453.19,611.28,540.33,401.04,46.41,318.13
2013,467.71,1245.46,1064.21,44.20,829.36,95.92,57.61,647.58,135.96,365.89,1374.39,621.95,487.45,301.18,35.07,226.15
2014,510.02,1517.53,1048.04,35.56,1123.50,42.48,45.51,1012.49,98.88,504.59,1388.03,609.25,699.46,307.04,12.80,234.32
2015,525.06,1544.89,1001.23,73.34,1146.52,88.15,70.81,888.88,199.93,524.78,1385.97,659.46,666.79,395.02,34.33,331.61
2016,408.24,1073.71,754.53,58.44,722.90,110.17,53.11,678.99,168.84,585.77,1013.46,529.79,614.27,531.10,37.45,401.05
2017,553.89,1486.39,1314.74,49.66,993.18,81.20,53.38,840.38,154.09,575.17,1512.70,633.72,672.04,427.06,25.65,335.78
2018,459.47,1398.15,985.90,57.34,971.88,106.72,50.11,715.27,83.42,340.41,1310.10,611.96,453.31,230.99,29.16,177.98
2019,407.64,1092.56,922.03,45.26,741.94,85.22,42.91,570.54,74.13,250.20,1077.69,670.52,343.39,200.17,29.72,162.08
2020,458.96,1222.38,1042.12,53.45,801.18,113.94,47.70,672.19,115.92,468.96,1247.93,599.01,529.49,319.74,36.21,258.84
