Variable:,pr
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1935,1077.31,912.32,1398.35,878.27,623.39,745.25,1943.56,1360.18,1144.50,1158.97,927.54,820.00,979.16,1927.50,980.90,1573.97,1035.21,839.65,1910.41,1095.36
1936,1002.03,710.49,1105.37,665.69,578.42,605.18,1583.74,1550.29,1118.34,1350.58,751.04,745.95,756.76,1508.56,979.41,1557.72,808.53,828.87,1514.14,863.42
1937,872.87,744.58,1100.90,766.20,439.42,662.79,1338.56,1043.19,982.87,1120.05,721.87,734.16,807.08,1354.21,789.85,1194.28,857.54,713.00,1461.30,859.76
1938,1242.27,833.37,1581.59,913.47,586.94,734.68,2546.56,1741.32,1335.67,1516.22,858.78,884.17,893.92,2368.06,1129.42,2048.09,1140.14,828.57,2169.00,1056.74
1939,995.86,758.28,1204.69,772.97,505.50,646.92,1687.65,1380.62,1018.10,1367.94,754.29,764.10,813.17,1618.47,888.57,1477.07,915.14,828.76,1605.60,900.56
1940,939.03,645.58,937.50,641.72,546.54,619.82,1432.53,1505.70,1139.89,1212.88,659.82,745.45,689.19,1308.03,1004.58,1471.73,712.21,726.62,1277.45,724.01
1941,864.63,550.11,885.46,566.65,466.46,526.76,1276.47,1312.85,1091.37,1305.99,575.12,619.83,585.21,1187.70,897.63,1267.66,668.54,757.52,1152.28,675.09
1942,1040.96,668.01,1188.83,719.98,511.27,598.47,1796.04,1544.58,1162.63,1479.39,662.62,760.07,713.60,1691.69,960.36,1668.03,864.40,856.55,1635.91,817.05
1943,1105.23,695.82,1193.13,730.32,585.91,604.79,2008.91,1621.20,1262.04,1597.79,728.19,750.96,741.29,1748.12,994.11,1850.39,875.88,872.65,1622.18,841.45
1944,1059.94,880.98,1274.53,854.72,506.29,766.68,1833.81,1489.98,1199.21,1282.56,866.48,854.81,933.70,1784.33,1022.85,1625.08,962.43,692.06,1733.64,991.57
1945,977.97,639.81,959.91,650.84,507.23,570.77,1594.65,1534.36,1237.18,1397.13,698.51,717.50,680.84,1362.62,997.24,1537.02,755.10,825.96,1263.78,745.43
1946,1017.88,802.60,1289.58,774.08,538.16,657.61,1784.38,1199.11,1096.13,1413.92,825.45,709.23,859.95,1793.09,840.84,1455.82,931.62,858.90,1770.75,938.85
1947,856.37,437.87,796.21,482.07,570.74,447.10,1346.83,1382.45,1017.65,1257.14,445.27,606.66,473.35,1180.30,865.29,1373.37,564.37,773.30,1084.23,532.77
1948,1142.74,814.98,1338.12,845.83,648.27,666.61,1983.59,1494.24,1222.27,1620.13,799.37,819.01,876.31,1884.34,952.79,1737.81,990.06,967.50,1825.92,986.98
1949,1174.44,796.39,1353.35,790.42,568.07,652.55,2303.32,1639.02,1290.70,1674.29,859.71,786.85,854.53,2019.01,1016.28,1963.51,980.47,859.94,1866.56,1000.43
1950,1032.60,979.02,1460.24,967.05,413.85,799.84,2004.82,1220.75,1151.56,1090.44,992.08,833.70,1056.00,1927.45,925.41,1543.98,1138.45,596.16,1929.21,1140.89
1951,972.22,863.34,1320.78,822.80,611.80,643.49,1617.46,1070.78,945.28,1257.93,875.44,695.47,936.47,1656.22,747.24,1294.12,990.93,842.24,1746.75,1093.73
1952,935.00,678.59,1024.53,665.24,549.58,602.83,1625.87,1346.80,1088.31,1133.05,674.96,689.80,720.73,1461.81,896.29,1449.67,776.75,797.13,1407.13,740.52
1953,1175.65,800.99,1240.66,802.47,604.43,729.34,2121.89,1756.65,1324.79,1628.43,828.11,869.10,850.05,1802.18,1104.95,1949.59,936.48,888.91,1675.56,923.97
1954,1032.99,902.16,1467.71,879.63,581.60,682.15,1884.27,1264.99,987.44,1163.79,909.40,778.91,975.55,1938.23,821.89,1526.67,1072.30,783.62,2005.77,1113.55
1955,964.59,515.38,920.94,518.14,633.07,452.31,1624.63,1639.02,1199.11,1352.44,560.58,617.91,548.80,1373.16,955.73,1617.81,661.64,828.63,1268.45,648.75
1956,953.16,619.02,1025.29,638.16,463.77,578.08,1721.75,1580.50,1066.60,1208.76,635.78,733.09,660.85,1492.26,958.01,1646.03,767.80,740.98,1383.34,718.80
1957,1138.93,793.13,1226.49,780.30,631.77,725.45,2075.92,1791.25,1229.35,1413.13,814.21,862.54,833.09,1830.34,1094.38,1945.48,896.88,814.35,1680.74,898.30
1958,959.39,675.85,1107.07,696.30,584.95,568.94,1491.44,1260.42,1049.43,1411.60,702.09,676.31,720.77,1405.07,853.25,1358.56,840.62,877.18,1473.98,834.29
1959,972.71,727.55,1125.83,730.86,673.98,606.24,1451.80,1111.32,1089.39,1377.65,709.43,685.23,795.53,1514.50,846.37,1241.89,844.84,933.80,1531.16,904.03
1960,889.49,906.97,1188.52,856.79,484.76,758.68,1311.70,1049.52,973.24,914.59,920.89,791.61,977.36,1438.40,850.97,1156.24,938.74,651.82,1573.67,1062.65
1961,1160.69,825.40,1332.36,850.53,714.08,709.57,1881.49,1485.59,1310.81,1643.21,785.06,842.04,889.23,1858.06,1008.17,1616.02,984.96,1011.78,1825.44,948.91
1962,1070.49,879.04,1288.71,806.23,608.08,678.40,1808.32,1382.73,1167.21,1442.63,938.75,750.74,949.54,1810.50,980.24,1456.57,970.80,921.61,1726.43,1055.89
1963,993.62,800.99,1175.11,806.83,602.98,667.75,1497.61,1191.94,1086.24,1420.19,808.13,742.11,855.87,1490.28,855.91,1312.97,914.07,885.30,1517.72,965.02
1964,1204.03,773.08,1169.34,816.44,736.69,714.25,2015.05,1568.90,1331.05,1888.44,751.19,850.75,830.44,1710.50,1078.51,1786.69,930.18,1129.82,1547.87,871.59
1965,972.64,857.72,1085.12,792.69,677.43,688.02,1421.28,1244.55,1104.14,1195.43,836.20,746.18,924.26,1378.57,934.83,1271.50,873.74,839.55,1420.09,974.72
1966,1027.78,877.35,1270.12,860.15,592.17,739.24,1770.93,1221.09,1117.03,1258.72,836.39,797.38,960.43,1719.47,916.64,1473.33,962.00,732.66,1740.01,1031.37
1967,1270.10,942.44,1735.36,975.28,647.28,766.41,2704.08,1747.68,1251.99,1336.91,979.86,905.58,1015.42,2544.59,1083.56,2156.45,1241.19,865.26,2373.94,1207.35
1968,951.94,727.25,1153.77,722.50,622.89,563.92,1572.72,1204.19,941.96,1311.51,762.34,666.39,767.06,1573.66,774.44,1305.21,851.91,912.85,1532.98,877.98
1969,910.50,661.01,1039.06,673.96,432.73,548.53,1706.52,1368.73,980.96,1172.84,687.22,682.19,712.55,1498.77,843.83,1533.87,789.01,703.21,1401.67,795.03
1970,944.62,765.42,1181.59,772.35,507.54,635.34,1736.63,1157.53,1044.74,1147.95,756.86,697.07,821.17,1673.73,856.54,1380.84,893.33,705.60,1600.25,890.20
1971,1209.44,672.79,1099.87,696.52,624.81,612.34,2188.28,2018.74,1497.46,1798.15,719.28,822.91,715.27,1759.47,1204.49,2130.28,806.15,973.40,1514.39,778.61
1972,980.32,724.30,1150.96,696.26,569.11,593.50,1608.00,1095.41,1052.71,1568.86,755.16,642.31,772.01,1566.37,781.16,1309.10,855.46,955.39,1543.16,887.32
1973,1223.27,647.23,1110.62,660.84,640.46,633.52,2228.61,2047.57,1523.81,1831.18,661.89,804.59,693.51,1734.49,1265.71,2130.87,820.64,996.52,1508.47,775.17
1974,986.25,827.34,1268.52,796.76,611.33,644.36,1855.98,1208.24,967.95,1138.27,836.10,746.79,885.26,1821.67,784.05,1485.92,921.15,718.10,1759.57,958.96
1975,1255.22,657.52,1166.72,670.80,747.50,570.68,2131.79,1886.46,1496.88,2075.40,658.49,760.55,701.73,1817.80,1171.26,1986.10,824.65,1271.01,1636.29,794.19
1976,897.20,572.15,981.98,594.06,469.92,509.54,1428.12,1466.75,1089.69,1212.85,598.00,681.84,621.34,1323.34,937.98,1450.50,702.63,673.56,1369.51,702.60
1977,972.80,756.25,1255.79,738.09,616.03,605.96,1614.96,1036.20,1066.83,1368.04,830.79,643.90,801.75,1698.90,801.30,1225.84,903.96,854.73,1707.88,952.68
1978,1026.03,613.33,1129.78,682.02,597.10,559.76,1772.81,1659.89,1165.31,1293.85,614.61,757.88,668.10,1585.95,1013.29,1716.74,828.67,849.22,1524.40,768.61
1979,1058.03,786.35,1327.52,808.04,543.69,661.54,1979.38,1440.40,1178.43,1273.54,832.99,792.02,843.54,1876.83,945.43,1690.85,977.52,745.80,1787.43,963.20
1980,946.07,753.40,1086.93,751.82,485.80,665.08,1776.56,1359.24,1024.70,1051.70,757.24,760.81,803.73,1603.77,911.02,1535.91,834.16,696.79,1455.54,845.87
1981,1056.81,714.75,1267.12,718.56,668.34,623.38,1957.55,1386.26,1135.53,1318.77,790.01,707.72,757.00,1865.13,923.28,1640.52,903.77,875.47,1763.38,885.71
1982,1114.65,782.77,1398.03,778.27,695.77,584.21,2079.74,1232.83,1161.37,1672.26,845.07,660.30,842.15,2014.15,841.24,1557.15,1013.21,989.44,1905.59,1041.82
1983,1325.01,658.69,1391.60,736.41,705.12,615.98,2447.75,2194.76,1613.95,1879.81,705.09,858.84,702.90,2132.88,1301.24,2267.22,976.77,1100.49,1908.34,881.02
1984,987.01,856.37,1195.28,837.20,544.06,717.37,1619.79,1215.13,1128.88,1219.33,854.88,792.58,917.18,1600.38,905.07,1404.34,917.40,692.79,1616.75,976.25
1985,1127.80,896.84,1136.50,845.07,642.62,788.77,1720.05,1598.66,1362.81,1505.47,888.30,880.54,951.66,1562.30,1142.87,1646.73,909.82,973.65,1483.42,962.50
1986,1050.65,761.06,1351.77,775.97,542.78,661.27,2120.99,1413.67,1082.33,1208.25,793.42,764.83,819.90,2013.71,928.47,1727.81,969.37,729.14,1893.59,951.50
1987,1037.10,916.93,1140.62,831.50,558.95,798.15,1547.45,1409.81,1296.11,1279.95,929.95,839.35,965.73,1465.38,1101.15,1447.26,894.69,782.46,1501.34,1028.06
1988,1187.21,1001.27,1456.35,984.71,675.69,787.96,1989.29,1676.18,1244.87,1376.23,1002.14,952.23,1081.43,1948.33,1111.20,1787.96,1117.21,904.55,1941.53,1185.44
1989,1281.23,714.27,1270.25,748.11,777.74,637.82,2401.90,1811.85,1449.52,1964.94,715.34,820.96,775.41,2027.33,1101.51,2098.53,922.81,1105.39,1785.28,846.21
1990,1258.54,773.60,1574.73,818.19,563.23,675.50,2616.96,1863.88,1358.17,1616.29,831.59,850.31,826.86,2391.87,1099.82,2230.08,1085.05,897.08,2204.35,978.93
1991,1076.03,670.34,1134.01,645.75,652.00,571.27,1946.47,1486.61,1195.16,1573.31,725.99,693.25,714.65,1752.25,966.54,1683.10,795.88,987.83,1603.82,791.07
1992,1266.76,762.65,1370.72,806.87,756.28,659.32,2504.78,1771.27,1379.20,1713.12,782.81,832.25,828.91,2179.50,1108.07,2121.07,987.01,1051.48,1925.02,917.40
1993,1053.72,783.58,1142.26,728.42,633.43,682.22,1654.89,1353.57,1239.42,1525.31,796.76,754.76,841.37,1572.01,986.04,1447.61,853.33,934.63,1539.82,924.09
1994,1054.53,749.55,1316.59,783.27,578.38,608.62,2042.83,1518.80,1106.36,1210.16,804.39,769.92,817.78,1939.35,937.55,1760.13,956.60,762.80,1841.09,953.49
1995,1152.26,753.35,1214.80,783.18,739.97,652.73,2018.11,1567.55,1246.96,1627.64,777.29,789.45,809.69,1816.30,1016.63,1769.07,913.19,1012.01,1693.10,882.74
1996,949.89,675.45,1050.63,679.53,614.39,577.58,1606.50,1191.63,1040.14,1368.25,692.48,663.76,725.50,1466.54,823.47,1350.95,798.33,815.66,1399.34,798.39
1997,1072.61,714.04,1118.43,715.53,640.39,624.85,1799.26,1540.63,1268.33,1502.32,734.55,738.50,763.25,1618.30,1029.82,1629.90,849.09,935.17,1512.08,839.34
1998,1198.79,854.30,1364.58,846.39,709.56,717.69,2042.21,1536.68,1366.97,1700.42,898.80,822.12,922.20,1926.88,1067.72,1746.41,1021.05,990.29,1854.23,1054.79
1999,1268.26,966.75,1564.56,966.05,716.29,738.92,2400.13,1707.92,1282.05,1557.89,1010.92,901.49,1048.03,2258.18,1070.98,2015.81,1153.52,1037.63,2149.94,1179.90
2000,1304.95,1119.86,1574.51,1037.64,688.99,863.47,2326.43,1593.87,1426.46,1731.08,1156.44,945.24,1206.42,2180.22,1149.73,1864.66,1195.21,1047.52,2114.45,1297.95
2001,1160.36,817.88,1263.35,811.75,700.23,719.83,1885.25,1513.11,1398.11,1622.61,835.14,820.20,880.93,1763.64,1116.61,1646.82,951.40,998.51,1698.95,969.76
2002,1034.90,809.42,1285.68,787.87,619.56,628.94,1816.05,1326.31,1028.91,1380.37,853.45,740.36,864.95,1746.72,840.93,1538.72,953.71,859.94,1739.56,974.08
2003,1087.99,751.89,1215.42,783.68,649.44,622.37,1962.46,1486.61,1125.62,1506.41,756.85,765.85,816.21,1772.26,903.53,1714.40,919.19,966.68,1630.09,890.46
2004,1136.40,828.89,1313.92,823.59,655.36,646.97,2110.97,1568.49,1166.09,1489.51,864.97,793.92,897.14,1937.65,961.52,1823.47,969.36,973.68,1807.37,991.31
2005,1176.41,732.23,1237.22,787.20,753.62,622.37,2117.77,1606.07,1249.59,1694.84,734.01,784.47,802.84,1875.76,972.18,1860.84,919.53,1107.50,1703.27,879.48
2006,1201.18,951.34,1490.55,913.78,638.88,734.82,2227.39,1606.42,1250.65,1532.63,1006.05,864.69,1025.12,2110.07,1044.62,1876.95,1097.35,906.37,2019.74,1165.04
2007,1224.03,856.97,1426.05,896.30,733.17,682.41,2269.84,1657.50,1272.28,1603.78,884.14,855.63,938.71,2100.36,1024.21,1945.05,1060.78,1024.60,1956.03,1031.05
2008,1180.93,947.55,1436.28,918.10,650.91,743.27,2296.92,1558.79,1176.94,1422.61,989.34,872.70,1012.29,2077.71,1005.68,1898.09,1079.38,894.09,1935.52,1113.80
2009,1109.02,889.26,1308.84,862.56,576.48,753.55,2003.75,1476.34,1240.16,1386.68,913.36,844.44,940.06,1833.87,1043.44,1689.33,996.85,815.35,1741.36,1017.37
2010,988.91,768.25,1056.94,696.16,712.97,655.07,1468.26,1282.50,1134.53,1324.63,826.35,711.73,792.95,1387.96,924.78,1325.76,804.12,929.58,1375.53,856.76
2011,1246.32,916.61,1449.46,926.74,720.79,741.89,2248.26,1635.98,1319.75,1683.03,963.30,889.83,982.04,2051.70,1072.62,1907.76,1094.27,1034.57,1926.30,1080.10
2012,1197.84,965.16,1430.53,919.33,707.49,778.67,2214.06,1601.81,1252.69,1415.49,1001.85,883.35,1010.75,2017.60,1052.84,1879.55,1073.29,936.49,1909.49,1099.01
2013,1092.69,703.78,1219.21,746.96,640.13,596.35,1925.47,1460.86,1190.90,1611.12,745.06,746.16,762.77,1774.54,920.06,1668.95,890.86,980.81,1657.23,865.43
2014,1086.58,918.12,1489.67,892.29,607.07,675.07,2223.46,1354.77,888.51,1253.32,972.52,800.29,985.18,2113.21,795.28,1770.84,1087.11,820.08,2042.19,1130.60
2015,1289.73,913.99,1597.26,945.19,669.97,735.98,2481.55,1705.71,1281.16,1752.96,948.77,896.77,994.46,2352.56,1044.52,2073.68,1150.71,1025.16,2241.64,1144.48
2016,1084.51,736.51,1192.06,759.14,686.63,622.56,1820.02,1494.94,1215.93,1505.63,752.39,759.72,798.08,1690.75,962.77,1627.63,897.23,925.08,1609.86,889.39
2017,1300.07,903.97,1595.01,956.56,752.84,713.89,2458.63,1721.84,1319.97,1687.49,953.06,895.30,992.68,2340.04,1064.00,2056.27,1167.49,1080.35,2212.61,1156.19
2018,1040.17,638.76,1176.26,686.21,687.98,528.16,1872.60,1375.26,1103.44,1477.26,663.90,678.57,704.19,1747.81,845.33,1605.23,839.91,938.16,1643.72,822.06
2019,1214.14,921.58,1475.36,895.66,744.33,734.63,2102.80,1547.20,1239.09,1621.08,980.60,856.07,984.12,2037.54,1021.03,1784.95,1085.44,1041.93,2019.64,1131.37
2020,1329.66,945.30,1502.83,964.09,811.05,788.76,2475.92,1791.93,1331.44,1718.83,944.07,949.11,1022.96,2226.54,1139.81,2111.57,1123.62,1156.17,2044.00,1120.66
