Variable:,pr
,Djibouti,"Ali Sabieh",Dikhil,Djibouti,Obock,Tadjourah
1941,169.09,209.63,191.71,162.29,121.17,166.97
1942,79.84,89.11,97.98,71.69,52.75,77.42
1943,90.80,112.75,91.58,84.12,75.43,97.44
1944,152.15,169.88,179.68,140.08,105.74,150.32
1945,81.03,119.31,98.54,82.18,51.31,70.77
1946,292.13,331.52,337.29,267.16,206.07,294.99
1947,169.63,217.18,217.63,161.64,97.70,152.69
1948,104.61,141.02,125.09,101.46,68.52,97.23
1949,164.07,199.40,184.15,151.25,119.81,165.81
1950,249.55,231.61,316.62,203.36,163.57,249.06
1951,240.36,314.20,273.27,244.27,169.15,228.92
1952,131.02,146.76,174.24,113.98,70.61,123.00
1953,213.21,231.06,244.78,193.16,152.77,218.42
1954,366.38,388.83,410.79,327.18,276.02,380.21
1955,191.46,209.30,236.94,169.43,119.94,189.37
1956,270.06,297.99,319.38,243.05,185.84,269.26
1957,289.47,349.87,348.11,268.75,191.60,278.85
1958,191.40,222.48,244.00,168.39,109.48,185.30
1959,167.25,185.60,209.73,144.85,101.71,165.01
1960,215.12,239.61,248.50,200.71,153.98,215.69
1961,428.72,430.70,479.96,378.53,317.68,455.46
1962,218.35,233.26,264.67,188.92,148.15,218.01
1963,229.76,256.25,268.26,210.24,164.17,229.08
1964,344.18,377.63,411.57,298.42,235.68,344.84
1965,115.78,127.77,148.97,99.05,71.67,110.16
1966,137.56,154.40,164.56,127.25,94.21,134.84
1967,400.35,442.53,444.16,362.85,296.90,418.76
1968,296.28,380.93,351.93,284.22,196.75,280.86
1969,189.92,236.79,239.51,180.63,113.47,175.04
1970,260.57,280.97,309.16,233.78,177.61,261.80
1971,220.98,250.16,259.47,209.55,150.36,218.34
1972,228.99,290.29,270.13,218.94,157.18,216.52
1973,132.26,155.85,152.75,125.79,92.83,130.64
1974,214.35,259.40,261.08,201.32,137.26,203.70
1975,216.34,245.74,252.69,201.53,147.93,216.53
1976,228.95,303.09,292.40,224.06,127.56,204.87
1977,217.50,263.19,260.04,206.23,148.65,206.45
1978,203.83,247.31,223.69,197.72,156.51,203.29
1979,173.16,197.70,202.81,161.19,121.52,171.29
1980,124.62,129.44,154.15,107.79,81.67,123.74
1981,205.20,232.40,235.28,199.25,148.04,202.82
1982,333.36,398.75,396.26,298.28,219.10,332.02
1983,263.96,303.95,298.47,248.16,197.58,263.15
1984,106.51,135.50,131.48,101.99,68.00,98.03
1985,188.63,225.08,221.35,186.83,129.69,181.40
1986,261.40,295.92,295.65,245.14,184.27,269.02
1987,195.49,231.91,235.34,185.78,125.78,189.57
1988,224.39,255.50,270.17,204.23,152.69,218.58
1989,320.59,362.72,355.51,302.25,239.37,328.96
1990,174.63,194.90,209.65,156.58,118.09,172.23
1991,196.30,238.99,233.90,183.25,127.00,193.23
1992,281.51,338.07,322.98,267.18,191.69,282.54
1993,285.94,327.31,322.65,263.58,206.57,293.00
1994,222.29,247.01,265.30,199.39,151.16,221.05
1995,264.19,293.82,308.28,239.73,186.49,264.75
1996,251.70,292.36,305.67,234.12,157.95,246.82
1997,220.15,269.78,264.27,206.64,140.09,214.55
1998,272.02,307.29,314.25,245.17,192.41,275.67
1999,322.32,383.26,359.18,307.57,244.35,319.69
2000,293.16,335.41,336.55,276.32,209.63,292.80
2001,255.69,287.79,313.04,229.68,166.65,248.56
2002,195.54,213.29,217.91,178.85,147.72,202.18
2003,205.96,223.00,234.46,183.60,151.70,211.93
2004,245.66,293.99,285.12,232.20,168.12,243.57
2005,205.44,221.20,237.65,182.87,149.55,208.57
2006,274.26,328.36,326.09,257.65,178.64,269.31
2007,210.00,233.92,240.27,190.44,152.99,212.81
2008,203.14,226.05,227.11,189.95,151.98,207.56
2009,204.06,231.43,225.43,189.69,153.79,210.49
2010,250.79,297.47,295.63,236.53,169.22,245.67
2011,235.84,268.51,278.21,216.94,162.13,233.44
2012,220.34,248.53,255.59,203.18,156.54,220.16
2013,317.60,404.26,384.14,310.47,196.02,301.52
2014,246.82,293.65,290.62,231.93,167.18,241.80
2015,196.68,225.19,216.60,187.32,150.14,199.87
2016,263.06,311.32,317.08,247.01,172.57,253.60
2017,268.08,317.73,326.44,249.22,171.68,257.67
2018,283.88,338.24,346.88,263.18,179.55,272.94
2019,257.86,304.72,306.59,239.80,170.65,253.03
2020,251.51,290.39,302.51,230.61,167.02,245.40
