Variable:,pr
,"Czech Republic",Jihocesky,Jihomoravsky,Praha,Severocesky,Severomoravsky,Stredocesky,Vychodocesky,Zapadocesky
1954,731.09,793.75,673.65,635.03,697.78,765.56,671.14,749.29,778.70
1955,735.11,786.22,664.03,636.74,719.63,822.89,665.39,763.36,748.10
1956,702.17,726.47,611.87,613.79,725.62,767.55,647.72,762.67,719.67
1957,665.29,684.44,624.71,550.82,652.59,758.91,585.77,695.90,672.19
1958,783.78,798.38,694.69,667.59,782.48,893.86,709.09,848.08,800.13
1959,599.22,681.06,640.22,469.00,492.84,710.80,502.32,592.24,529.71
1960,740.96,735.04,676.12,608.99,713.23,907.02,656.51,803.12,719.44
1961,642.70,651.35,574.13,548.35,663.39,736.41,577.64,680.75,651.46
1962,655.13,667.24,619.92,514.03,589.61,843.94,563.11,714.15,588.69
1963,608.34,568.66,565.40,521.73,599.57,752.41,547.98,676.33,569.08
1964,663.05,702.39,630.24,537.88,610.76,806.18,583.55,744.03,569.22
1965,785.99,792.08,741.32,688.08,780.22,865.39,722.24,786.62,829.98
1966,838.30,849.13,762.33,698.88,807.16,1008.83,743.52,878.56,843.49
1967,674.04,659.03,579.04,597.54,723.11,776.83,627.93,743.12,665.71
1968,692.57,637.49,611.08,583.27,696.73,881.41,620.04,772.36,670.96
1969,589.48,601.45,584.12,489.73,568.16,669.10,517.34,604.89,580.83
1970,773.31,752.72,681.33,649.59,763.84,938.45,689.36,831.83,794.33
1971,599.61,550.27,536.71,520.26,593.72,757.09,555.39,687.12,548.75
1972,640.56,637.38,644.07,514.83,563.54,836.04,546.77,670.98,567.09
1973,559.55,571.52,513.51,468.42,545.69,656.73,498.55,591.41,556.32
1974,765.36,774.29,649.09,641.25,772.22,905.35,689.08,835.25,783.94
1975,656.61,666.77,639.08,529.86,584.20,810.15,571.40,707.06,610.32
1976,626.49,645.95,599.97,504.79,573.65,748.83,553.30,711.16,556.48
1977,756.33,703.85,647.18,646.40,773.09,940.08,692.56,875.92,721.19
1978,595.91,551.99,479.89,524.56,643.27,707.84,551.28,646.89,651.60
1979,728.03,770.27,696.20,583.41,677.09,813.90,635.07,779.72,726.00
1980,679.22,682.27,592.43,590.16,691.66,774.79,624.64,721.69,706.85
1981,767.61,721.13,607.61,682.29,837.77,867.04,721.69,855.05,851.33
1982,538.44,565.63,521.79,438.85,482.28,631.68,468.23,550.04,540.63
1983,590.66,589.97,508.02,522.75,622.20,646.73,551.04,642.93,617.78
1984,637.92,648.74,606.48,544.87,614.83,716.60,571.79,655.04,659.73
1985,701.29,738.16,695.46,531.73,595.45,885.63,582.75,764.13,626.38
1986,667.02,626.94,558.34,588.17,714.78,751.44,627.27,749.73,704.59
1987,744.47,763.37,692.55,620.94,727.21,829.42,662.44,802.77,754.41
1988,687.06,731.83,597.42,574.91,687.07,731.23,620.75,737.21,741.27
1989,584.28,643.48,553.06,483.01,543.36,654.56,512.86,580.16,601.54
1990,589.60,633.60,558.25,469.02,546.84,684.56,500.70,582.71,619.00
1991,588.30,615.87,570.71,474.21,520.27,712.50,509.46,606.53,571.74
1992,601.75,621.43,539.08,509.86,592.34,663.51,541.10,626.99,651.00
1993,636.46,656.72,553.91,535.11,679.16,665.81,574.89,684.47,689.76
1994,616.97,581.27,548.00,518.07,666.77,712.18,543.70,650.92,663.09
1995,736.33,767.95,684.66,645.38,728.76,765.47,686.47,771.55,771.68
1996,684.30,754.86,674.36,576.60,602.10,781.18,610.15,710.46,640.19
1997,681.92,698.60,640.23,568.63,659.32,793.14,614.74,768.15,617.68
1998,689.37,675.14,612.62,588.46,704.79,815.49,623.00,734.20,700.47
1999,648.47,665.22,619.51,515.61,606.73,791.85,549.64,658.65,650.48
2000,658.92,662.19,578.85,538.94,645.29,814.38,574.14,706.10,662.72
2001,756.20,737.52,638.59,641.25,759.32,924.86,689.98,837.67,758.39
2002,800.48,862.81,705.28,702.20,795.28,830.03,744.94,817.55,881.98
2003,513.02,524.09,484.87,412.69,470.31,637.97,444.94,550.71,480.73
2004,651.02,686.43,578.33,569.20,661.88,709.78,597.75,659.94,692.98
2005,716.90,746.08,649.16,614.58,691.25,821.48,656.80,756.78,718.03
2006,677.09,720.24,627.33,570.14,635.11,759.66,618.65,739.62,651.76
2007,750.59,782.91,671.47,660.38,767.86,808.34,689.85,765.48,804.65
2008,644.41,667.36,591.76,552.00,641.48,719.54,582.88,661.07,667.16
2009,753.11,759.14,700.70,631.78,734.55,883.46,678.36,818.38,720.48
2010,868.60,815.06,815.09,745.33,876.78,1043.72,798.09,949.88,813.45
2011,594.71,596.49,500.08,530.49,631.03,664.87,556.83,637.03,627.62
2012,668.43,684.58,581.90,582.14,701.74,727.43,622.27,726.77,681.77
2013,735.54,748.28,651.86,653.42,757.92,815.79,690.93,795.04,731.48
2014,726.71,733.91,691.35,619.75,674.99,891.39,648.73,779.30,670.92
2015,567.52,588.96,516.05,475.86,570.65,658.64,503.13,592.91,563.68
2016,737.97,777.10,719.96,595.57,650.50,909.44,635.80,775.14,683.68
2017,711.13,737.24,634.14,594.74,736.79,819.24,632.55,755.57,702.03
2018,578.77,623.68,563.97,456.95,489.03,712.06,490.79,597.52,555.33
2019,629.89,652.83,611.73,510.63,556.05,789.43,545.49,673.97,568.91
2020,729.40,767.13,703.85,598.37,628.03,909.64,641.59,784.69,656.00
