Variable:,pr
,Tunisia,Ariana,"Ben Arous",Bizerte,Beja,Gabes,Gafsa,Jendouba,Kairouan,Kasserine,Kebili,"Le Kef",Mahdia,Manouba,Monastir,Medenine,Nabeul,Sfax,"Sidi Bouz",Siliana,Sousse,Tataouine,Tozeur,Tunis,Zaghouan
1914,213.49,365.43,348.24,414.16,433.29,182.44,197.93,475.23,330.77,332.53,116.95,416.50,271.24,388.25,281.59,170.14,345.77,245.46,268.86,387.42,289.13,91.75,124.69,349.60,345.90
1915,322.55,655.94,624.76,729.94,771.30,209.08,276.80,810.11,543.35,534.11,150.45,737.18,394.01,693.47,445.99,182.74,617.31,318.92,368.55,713.92,495.60,109.66,185.19,626.90,629.05
1916,254.11,480.03,460.33,542.57,574.90,174.26,233.66,654.23,425.45,434.03,113.84,581.18,296.27,515.73,324.65,150.64,448.26,265.18,316.78,539.93,366.50,89.04,157.34,461.70,465.87
1917,269.51,444.68,427.17,500.69,536.00,215.51,254.78,608.96,427.75,457.61,144.78,568.08,310.05,477.87,321.95,194.81,410.02,290.27,340.80,526.13,345.89,115.98,169.08,428.40,435.82
1918,300.42,469.48,447.26,528.62,562.18,262.99,296.58,628.28,441.69,505.12,172.81,603.55,314.55,507.55,330.09,245.48,434.86,312.95,377.88,560.43,370.27,145.92,180.05,448.20,464.09
1919,241.07,468.40,445.94,547.16,581.17,145.65,186.40,693.94,425.95,426.59,88.52,607.84,267.89,512.24,294.17,157.09,428.80,219.19,275.15,540.96,353.24,87.88,112.35,447.30,456.21
1920,237.49,449.87,429.98,514.58,543.77,160.06,195.54,617.30,389.57,403.22,103.84,546.41,271.31,483.29,291.68,174.74,413.95,230.67,272.09,504.82,331.19,94.96,118.19,431.50,433.10
1921,328.01,523.04,502.51,585.07,639.47,244.09,297.93,741.44,560.91,550.68,149.14,698.67,403.94,570.70,420.89,267.55,494.38,356.54,422.72,645.93,451.96,152.07,163.97,503.10,533.97
1922,187.54,326.70,311.52,378.83,394.98,146.90,164.68,479.31,259.33,279.67,106.00,406.35,192.22,351.18,203.68,154.64,299.83,178.57,202.09,351.10,233.22,91.26,127.63,312.70,310.07
1923,250.66,516.29,486.82,603.66,632.29,151.65,200.52,724.91,399.75,384.71,118.21,600.03,257.41,558.46,322.15,161.33,468.86,215.97,253.85,551.52,363.79,95.33,145.42,488.80,487.27
1924,215.73,497.44,477.00,551.47,585.48,117.07,156.47,637.92,394.19,326.36,71.57,536.35,268.43,527.75,322.05,102.97,464.16,219.71,232.19,528.77,374.54,65.20,84.46,478.10,486.60
1925,244.51,434.29,417.27,487.76,517.14,167.28,202.04,582.81,408.70,405.79,102.61,531.88,281.36,464.85,317.65,225.99,408.40,235.40,280.35,490.93,354.76,112.72,119.83,418.30,425.72
1926,196.39,426.24,406.04,486.86,518.61,104.92,138.15,556.47,364.15,303.49,67.90,470.68,246.80,461.81,290.74,123.06,395.45,187.07,213.13,463.97,323.07,67.06,78.55,407.10,417.03
1927,194.92,452.46,429.26,501.22,513.92,106.34,136.59,545.53,324.46,296.10,82.75,469.87,227.51,471.00,279.20,105.56,424.46,174.92,187.61,456.17,321.42,64.31,124.93,430.80,422.77
1928,331.61,655.83,623.95,727.31,750.96,235.03,258.48,789.02,533.96,472.87,163.17,691.92,420.75,684.08,467.24,249.83,618.18,353.10,363.50,674.13,496.45,143.50,185.72,626.10,615.24
1929,267.61,524.24,499.52,598.22,630.91,182.32,232.98,677.03,456.25,465.10,119.87,623.15,295.82,563.47,336.56,169.22,487.44,261.21,321.01,593.53,394.46,89.48,139.95,501.20,504.49
1930,226.42,503.86,478.76,583.05,611.73,116.67,144.02,669.97,408.20,367.59,75.75,575.90,249.90,544.91,310.84,130.53,463.77,192.11,224.39,551.55,364.18,82.13,92.83,480.40,482.24
1931,313.63,599.39,568.42,662.88,683.73,246.70,279.03,730.85,513.72,473.26,162.61,644.43,422.71,627.19,443.12,218.92,562.25,366.30,385.27,625.83,466.77,110.77,200.08,570.50,560.42
1932,240.10,376.88,362.50,423.93,444.66,215.98,234.01,472.44,342.59,370.58,152.15,437.98,273.27,400.65,290.20,212.48,355.49,265.82,299.68,417.78,297.55,118.57,151.85,363.80,360.54
1933,253.10,471.50,450.14,507.12,528.48,187.54,232.14,539.10,412.33,395.92,134.92,511.83,309.98,493.92,333.64,187.37,453.07,261.63,300.37,502.91,374.61,103.05,174.40,451.40,455.24
1934,351.93,659.05,629.39,730.39,762.20,261.77,304.32,831.51,575.79,556.74,175.76,747.81,423.77,697.54,468.00,248.81,614.16,372.24,411.62,720.77,517.15,141.22,209.58,630.80,641.30
1935,207.62,499.50,476.71,560.07,581.55,98.02,138.54,663.26,387.90,332.52,66.30,567.51,248.65,530.01,305.88,84.96,470.42,180.91,208.71,522.75,369.57,51.98,106.65,478.30,474.47
1936,251.91,488.25,465.55,540.31,565.08,179.41,208.31,599.98,406.91,382.12,125.13,553.43,313.09,510.91,345.24,173.05,458.42,257.61,285.82,528.24,371.14,104.15,137.03,467.10,464.64
1937,158.92,376.90,356.21,434.96,449.32,89.67,118.71,464.64,275.31,244.27,62.96,383.22,188.32,403.44,224.46,78.46,350.16,139.07,161.40,379.14,263.63,45.09,82.34,358.00,346.80
1938,251.12,413.82,392.09,468.67,486.67,199.89,231.59,542.84,365.00,375.59,140.01,487.24,299.75,437.92,319.62,220.69,387.70,274.33,306.12,452.67,312.74,126.03,174.71,393.60,388.57
1939,265.80,571.95,541.54,674.77,714.89,155.42,206.82,781.59,464.28,474.73,100.41,681.01,288.72,628.59,348.35,135.58,529.20,222.12,289.95,638.63,406.77,78.42,117.69,543.90,541.58
1940,229.94,480.40,451.82,551.67,563.60,148.12,194.22,655.24,370.22,388.41,110.44,564.05,237.98,504.86,270.53,134.30,436.68,205.29,253.91,503.72,337.60,71.37,145.65,453.50,447.64
1941,222.97,472.98,450.68,521.21,539.38,133.50,192.64,573.88,394.94,368.55,92.71,508.69,279.55,494.50,324.83,129.78,448.83,220.93,261.37,493.80,371.20,69.10,126.63,451.90,451.33
1942,230.76,442.04,419.22,496.16,513.69,160.10,186.86,577.47,382.73,323.12,105.65,485.69,309.97,464.33,328.12,165.55,414.88,267.31,270.40,462.88,345.88,99.01,131.46,420.70,415.42
1943,253.99,409.91,390.70,452.66,465.45,220.32,270.93,495.68,358.74,380.99,169.54,456.08,280.18,431.74,303.49,202.54,392.78,267.48,314.53,439.84,326.70,119.62,215.84,391.80,392.51
1944,232.26,515.45,489.54,592.48,622.87,117.96,158.47,678.15,398.52,386.65,76.56,596.77,246.38,555.45,287.85,138.36,472.48,191.41,236.63,564.08,360.08,88.95,82.21,491.20,494.69
1945,176.83,301.71,284.71,346.85,356.94,129.61,103.52,420.86,231.46,222.97,85.99,358.76,176.54,322.20,194.41,218.94,280.76,147.20,154.29,315.16,217.42,130.33,66.31,285.70,283.67
1946,219.57,446.38,413.93,529.92,529.58,147.94,181.09,592.41,329.59,349.58,108.89,496.14,245.77,467.05,276.22,147.94,405.48,210.53,236.28,455.63,299.43,85.29,129.28,416.20,396.52
1947,144.30,326.87,310.41,375.58,387.97,81.53,99.30,434.69,261.39,229.70,52.56,369.16,182.40,350.24,218.29,80.98,303.97,140.47,153.74,347.15,242.38,37.46,63.27,311.50,311.24
1948,263.29,519.93,497.88,565.43,598.51,174.25,215.22,661.47,494.18,416.73,107.13,601.19,363.31,544.91,401.84,172.53,493.63,292.72,318.37,571.55,430.97,87.69,127.98,499.30,500.47
1949,260.31,452.43,434.82,513.32,550.26,190.89,235.48,620.42,432.51,422.31,130.55,567.77,307.03,492.26,325.60,191.88,426.89,278.34,323.41,526.37,363.42,103.21,159.22,436.00,444.52
1950,276.60,567.02,540.37,620.38,643.89,179.68,219.70,673.39,467.72,421.43,116.87,585.38,357.43,591.50,391.35,198.82,533.85,291.04,318.77,587.84,429.17,112.81,133.06,542.20,535.48
1951,244.32,445.13,427.66,513.32,531.25,194.67,223.46,578.52,381.88,373.89,134.89,499.47,286.08,471.16,314.44,170.49,414.58,263.33,296.54,472.10,346.54,96.67,159.92,428.90,426.75
1952,261.20,521.42,494.95,636.44,672.11,156.88,184.67,757.67,462.16,442.45,100.57,671.38,302.66,567.29,350.55,166.08,481.21,234.99,284.97,605.40,394.66,88.12,112.43,496.60,501.75
1953,383.90,734.95,703.44,824.98,855.56,273.10,343.53,895.91,633.76,599.84,200.93,807.69,471.05,773.90,534.83,259.63,687.28,388.17,444.00,791.50,570.32,148.01,233.40,706.30,698.51
1954,257.93,498.76,471.37,590.49,608.01,191.02,201.71,671.52,398.09,395.37,121.73,571.10,280.28,539.19,324.14,187.62,457.51,252.47,288.57,534.51,359.08,112.19,125.67,473.40,468.15
1955,250.29,528.50,503.42,605.62,635.64,154.63,186.78,690.10,434.61,412.30,102.83,604.51,264.84,566.10,322.71,158.72,493.74,220.48,270.67,571.30,392.96,87.09,117.92,505.20,503.92
1956,281.38,644.38,615.19,723.64,764.24,151.63,201.01,818.89,505.70,443.20,102.29,705.13,334.94,686.39,395.38,140.46,602.52,263.70,292.00,687.77,468.76,85.89,127.87,617.50,609.72
1957,365.44,642.90,611.90,699.37,729.12,294.60,369.81,777.07,571.46,618.89,201.17,730.65,441.08,662.56,470.38,242.49,606.65,407.59,472.38,696.53,515.05,145.68,247.36,613.60,609.82
1958,285.59,534.74,508.37,582.70,601.24,222.11,265.35,656.50,456.07,429.54,158.94,583.04,367.91,541.68,388.48,189.24,501.07,329.45,345.08,553.77,419.95,109.52,198.34,510.50,487.23
1959,309.97,626.99,597.17,727.47,781.12,199.81,251.66,860.89,568.93,546.67,121.54,762.50,370.51,687.06,410.50,166.22,578.30,309.33,372.83,720.11,484.62,87.06,142.09,599.10,614.52
1960,210.79,399.78,378.48,443.39,464.26,136.38,195.07,521.70,365.02,376.91,88.68,491.01,266.80,428.37,290.53,131.82,377.70,218.88,273.51,443.91,315.22,69.65,121.20,379.50,387.71
1961,200.04,403.99,386.72,420.17,430.48,148.80,164.12,412.48,324.16,288.75,95.38,374.44,256.16,412.92,285.12,151.81,383.30,216.20,228.93,402.89,305.73,97.58,90.26,388.10,381.02
1962,268.64,475.28,452.89,563.50,590.42,193.63,232.47,679.65,417.15,432.66,141.02,587.85,299.35,516.20,322.10,196.48,431.43,245.56,301.25,534.26,351.99,121.70,164.80,454.70,452.39
1963,304.95,582.61,556.96,648.57,706.73,191.44,276.47,758.47,534.47,555.17,131.96,716.79,367.36,634.07,392.98,171.49,544.33,301.79,377.95,681.29,450.91,100.26,171.96,558.40,574.28
1964,307.70,528.49,508.01,578.85,621.11,248.93,323.71,655.60,487.08,507.41,178.00,603.65,405.26,558.47,411.94,194.85,498.62,363.07,408.70,591.32,426.09,111.51,220.68,509.60,509.29
1965,267.60,488.70,466.45,566.62,588.43,199.10,257.24,655.88,444.29,439.56,138.14,583.56,351.66,524.05,372.20,163.76,459.29,298.02,334.06,537.83,396.70,86.53,182.33,468.30,462.95
1966,223.93,489.08,462.70,542.24,552.00,138.93,155.84,578.51,375.31,346.33,89.22,505.28,248.69,516.68,290.85,157.51,454.84,198.02,228.34,498.23,353.69,96.43,93.72,464.20,464.72
1967,237.67,358.62,341.68,419.94,445.38,210.69,240.71,506.20,356.84,385.27,146.95,462.20,276.91,385.16,285.30,193.15,335.64,256.96,308.10,417.25,289.29,108.92,157.48,342.90,342.64
1968,207.88,392.50,373.26,430.25,467.59,144.39,198.74,514.97,359.95,377.63,92.84,481.59,242.70,423.03,267.61,132.29,367.47,209.98,268.66,450.51,304.84,64.37,112.31,374.50,381.51
1969,359.78,602.76,580.65,665.66,696.47,316.23,370.92,753.44,556.15,593.09,213.76,701.29,451.64,637.33,453.75,252.00,563.05,422.43,475.49,660.53,493.94,137.91,246.86,582.10,584.48
1970,187.45,374.81,354.46,429.37,440.51,132.01,145.19,500.88,305.49,268.21,84.75,422.59,244.25,395.38,272.87,132.52,344.09,202.42,210.67,386.48,281.60,74.67,88.39,355.70,351.89
1971,261.65,598.35,572.19,681.03,705.75,152.56,185.57,731.15,460.10,402.63,104.63,637.13,313.50,640.39,358.66,146.91,551.85,244.06,270.59,628.94,423.06,79.26,126.62,574.60,564.54
1972,326.89,551.05,526.80,604.08,651.47,253.69,306.90,703.46,537.46,514.23,175.17,643.55,415.35,585.49,453.14,245.77,522.73,367.63,409.60,615.82,472.04,142.68,216.97,528.20,534.55
1973,328.98,681.79,660.56,735.26,784.52,231.09,285.63,809.94,586.85,529.45,147.38,716.78,446.81,727.11,477.58,182.28,642.22,373.09,419.44,738.14,532.86,90.82,178.04,662.60,662.67
1974,238.85,418.67,398.88,479.56,501.82,183.82,183.50,530.40,355.58,332.61,119.95,460.63,257.95,450.98,280.02,232.94,386.84,220.82,254.57,452.27,309.73,144.23,104.08,400.30,401.04
1975,334.26,564.48,540.32,609.66,668.22,292.21,312.07,663.12,524.06,478.68,186.98,606.83,452.80,608.58,454.09,279.48,526.54,409.81,435.71,625.68,437.92,151.74,194.51,542.70,537.61
1976,441.02,643.02,620.51,696.93,767.03,371.76,428.04,832.32,662.72,705.63,247.95,825.74,522.56,691.27,543.10,382.96,624.79,478.44,561.93,764.98,550.69,251.73,263.07,621.70,642.92
1977,204.40,373.63,356.26,422.20,449.11,144.99,184.76,486.13,325.69,326.07,107.80,454.31,247.53,398.77,261.66,142.93,351.50,207.78,236.23,421.96,291.05,76.04,148.82,357.20,365.09
1978,263.98,468.37,446.07,525.56,554.11,205.14,250.37,609.62,431.29,449.50,124.80,557.65,328.67,500.97,351.45,185.17,445.04,290.60,339.46,522.65,371.61,105.69,138.12,447.80,444.45
1979,293.12,559.63,533.66,657.88,676.62,203.56,223.53,759.69,463.69,473.58,131.95,687.82,320.02,603.23,362.94,214.13,528.76,264.97,320.50,619.02,414.54,130.16,129.03,535.80,532.22
1980,269.78,488.71,464.65,552.14,573.91,194.05,243.81,627.89,432.57,425.24,137.25,568.30,326.97,518.65,349.25,211.74,453.54,278.70,323.56,534.39,373.66,113.38,162.66,466.60,460.42
1981,154.05,339.03,322.23,398.41,425.05,79.48,114.05,499.02,282.18,276.50,46.98,430.55,175.82,367.28,207.64,79.53,314.60,134.96,170.45,374.39,247.97,37.57,62.32,323.30,327.68
1982,378.86,707.92,674.11,796.54,820.59,289.53,318.26,871.61,614.08,585.96,186.73,774.36,493.79,735.27,541.21,287.30,669.84,420.74,448.87,743.28,570.93,156.79,207.80,676.60,661.45
1983,205.20,408.82,388.25,471.77,470.73,141.35,170.09,503.68,336.53,338.59,87.62,446.40,243.43,426.05,276.84,151.29,386.06,203.49,234.27,421.89,318.91,83.50,91.85,389.80,378.59
1984,336.20,600.70,566.39,718.81,725.56,282.53,265.71,841.01,474.92,485.86,182.20,713.09,374.55,631.66,394.01,291.62,551.99,347.63,370.45,628.98,436.14,163.90,169.86,568.70,555.92
1985,212.96,399.41,379.13,461.82,473.93,148.51,184.35,504.32,327.23,332.47,103.65,461.75,247.25,425.34,265.61,153.43,378.71,217.27,241.26,434.61,296.46,93.99,126.89,380.50,378.70
1986,308.97,574.34,549.27,639.85,650.70,223.50,264.00,693.32,486.56,456.08,158.79,628.56,395.20,597.83,436.18,248.55,550.88,329.27,353.90,597.07,457.73,136.68,193.76,551.10,540.36
1987,205.19,379.11,360.00,463.85,474.67,145.07,164.14,559.52,308.82,320.69,98.33,489.41,213.53,413.72,232.86,153.68,351.06,190.98,225.07,420.33,270.92,89.13,112.20,361.50,359.35
1988,219.45,348.30,331.39,405.90,427.21,173.35,209.54,493.68,309.17,348.89,126.56,449.13,236.23,374.04,251.72,186.92,329.81,219.13,255.07,396.60,273.31,110.86,152.11,332.30,339.32
1989,210.11,436.66,417.63,488.93,519.88,127.51,172.38,560.17,393.73,351.66,71.32,494.22,283.18,464.28,340.38,123.91,413.46,225.31,255.36,475.77,363.40,63.73,81.39,418.50,427.14
1990,380.61,623.98,588.11,673.82,695.67,318.38,405.43,723.85,607.47,613.92,231.63,686.50,497.19,639.72,512.04,263.21,616.61,446.48,510.46,674.97,528.04,161.71,276.92,589.30,596.96
1991,255.39,615.86,581.59,681.09,697.40,138.03,186.04,692.00,450.23,402.13,94.99,607.63,325.96,635.54,382.12,125.01,580.10,242.28,269.81,610.72,435.62,75.97,122.48,584.60,560.54
1992,313.62,576.00,550.55,649.91,696.01,221.54,285.07,782.48,525.49,549.08,148.82,725.94,365.01,627.93,397.88,183.59,548.71,320.52,392.42,667.19,445.51,111.67,175.69,552.00,566.88
1993,197.61,386.62,364.30,430.33,445.83,149.80,168.51,469.34,300.24,295.46,100.00,412.54,238.81,404.77,272.66,147.39,377.87,204.08,222.28,393.54,294.89,83.57,101.56,365.60,362.09
1994,250.11,396.36,376.32,451.75,485.06,223.40,239.94,548.52,359.92,399.71,146.04,491.69,267.79,431.14,267.56,198.73,383.66,273.46,317.51,450.73,298.72,120.58,159.73,377.80,381.75
1995,307.52,493.73,480.76,519.17,550.05,283.84,300.08,571.16,469.63,449.22,183.05,518.46,438.48,512.68,437.52,273.01,467.85,392.75,398.32,520.49,432.36,145.38,192.71,482.10,480.14
1996,301.58,634.36,602.66,719.95,792.23,180.56,237.98,840.14,538.36,500.63,115.09,753.22,357.69,690.72,398.59,159.08,599.55,283.92,340.43,719.88,465.30,93.83,144.65,605.00,612.20
1997,305.75,594.97,569.69,651.73,672.01,233.86,294.96,720.45,495.29,487.89,153.27,642.24,381.37,619.81,413.13,198.03,555.59,332.78,374.57,613.06,453.56,109.59,185.59,571.80,559.26
1998,229.96,442.62,422.09,494.35,524.21,169.80,204.65,567.81,359.73,364.03,116.60,505.21,263.81,469.84,292.19,149.66,416.80,232.92,257.69,463.48,323.86,94.91,129.37,423.80,414.76
1999,283.95,520.75,495.29,569.34,585.82,204.67,285.13,634.71,441.27,470.66,159.86,604.12,340.08,538.87,369.31,189.26,500.37,285.85,339.31,548.64,407.19,108.32,214.74,496.70,490.11
2000,188.89,373.06,348.11,422.62,416.64,136.52,159.18,434.25,300.74,297.96,87.90,386.40,225.48,382.45,255.28,139.27,351.93,194.37,219.90,370.52,273.32,85.25,94.80,349.90,331.77
2001,217.49,424.17,401.05,486.23,504.25,145.20,218.98,541.91,362.05,385.40,110.27,487.39,249.83,453.79,274.82,109.30,398.44,205.72,274.14,460.13,311.34,66.64,154.57,402.60,399.57
2002,226.63,455.31,428.70,520.52,540.50,147.48,195.65,590.35,390.47,397.61,88.25,531.01,279.86,487.39,309.26,139.74,420.96,233.75,277.85,495.88,345.75,74.18,112.08,430.10,432.93
2003,390.55,756.35,721.49,835.35,869.12,289.17,356.51,939.97,636.80,611.89,201.20,829.24,485.63,791.67,541.50,254.77,715.03,411.45,473.44,793.40,586.13,140.07,242.88,723.90,714.48
2004,266.23,573.11,527.00,666.44,643.57,167.26,259.19,694.34,418.23,447.18,134.12,592.78,292.41,590.04,341.73,137.42,522.01,235.65,310.34,542.60,388.72,88.11,192.51,530.00,495.21
2005,257.29,540.22,510.34,621.93,628.82,177.58,204.05,675.50,415.34,397.09,116.47,566.99,296.19,568.67,337.76,175.72,501.13,256.57,292.95,540.11,378.24,98.36,120.08,513.10,484.17
2006,313.85,521.71,508.47,550.70,599.40,254.56,309.23,641.56,504.92,482.84,180.45,607.14,419.28,546.42,438.41,236.58,516.50,365.09,394.97,591.28,460.60,130.84,212.31,508.80,530.63
2007,290.56,524.00,503.54,580.04,614.93,204.85,259.27,656.97,491.47,475.70,136.82,608.91,367.55,562.69,395.43,203.51,505.53,310.66,365.68,597.79,435.67,118.83,157.55,504.20,526.17
2008,193.69,350.45,326.94,402.44,397.06,150.78,171.32,428.23,285.94,300.13,113.30,388.33,206.47,355.21,232.71,157.54,318.86,188.06,213.07,356.22,256.40,94.52,124.23,328.50,314.05
2009,305.12,638.89,610.55,712.64,746.80,189.49,284.15,799.41,520.20,525.16,138.18,708.71,375.32,684.21,423.77,150.75,609.21,300.69,370.90,665.50,475.92,86.40,186.96,613.00,598.60
2010,252.95,525.54,500.61,595.92,616.83,157.02,236.81,664.93,440.56,441.00,111.22,591.80,314.37,543.87,357.62,126.10,476.90,254.60,318.37,549.46,395.93,69.40,157.70,502.90,485.73
2011,305.12,583.42,558.12,664.50,707.58,212.08,266.44,774.33,521.02,516.46,131.04,695.48,388.39,625.49,417.40,191.84,539.75,328.94,377.99,648.37,454.06,106.37,154.31,560.30,558.18
2012,206.10,423.50,402.45,496.90,519.05,124.05,165.21,567.20,364.75,354.85,75.71,493.51,259.09,460.42,286.92,115.08,395.36,209.56,252.38,470.11,319.01,64.88,91.49,403.90,405.58
2013,270.67,556.14,527.66,634.26,648.38,180.98,240.29,704.62,452.09,447.09,119.93,616.15,324.41,585.75,362.35,164.38,519.68,273.77,321.82,576.31,406.88,89.45,151.20,530.00,513.99
2014,220.87,477.36,452.45,528.21,537.95,143.91,175.51,568.23,377.74,338.25,84.83,478.49,289.28,496.13,326.63,147.60,451.53,236.68,259.01,473.81,356.30,80.29,100.37,454.30,440.04
2015,279.70,528.67,502.34,610.01,628.93,203.86,234.46,683.02,462.38,461.94,122.53,624.85,336.73,564.20,363.78,202.51,496.99,291.94,328.11,586.72,393.81,113.52,126.39,504.50,498.13
2016,236.69,473.19,455.28,507.06,534.08,167.96,220.98,561.44,418.71,392.69,111.74,511.23,309.62,490.96,340.78,136.80,448.82,258.55,306.60,503.57,379.23,71.09,135.87,456.60,453.68
2017,258.88,386.87,370.76,430.91,458.83,238.90,231.54,499.44,346.04,358.15,164.45,434.24,290.84,415.98,297.06,259.44,354.03,282.31,295.96,418.75,308.55,163.79,155.56,372.00,371.45
2018,275.01,555.42,533.44,612.69,630.97,192.70,233.96,665.29,479.00,452.72,114.36,609.30,351.18,578.39,382.89,184.62,520.90,294.91,336.95,588.12,425.14,96.68,129.97,535.70,521.83
2019,301.51,567.04,546.10,640.02,679.59,214.66,268.61,739.20,501.71,496.18,132.62,658.95,363.21,608.18,396.18,209.60,530.85,312.24,370.19,627.88,445.77,117.62,158.17,547.80,550.56
2020,234.80,491.22,470.53,547.18,575.01,153.94,205.56,612.59,419.26,393.78,93.76,538.40,300.83,524.48,337.34,131.66,455.68,249.22,295.94,524.43,380.92,66.97,115.96,472.00,471.40
