Variable:,pr
,Niger,Agadez,Diffa,Dosso,Maradi,Niamey,Tahoua,Tillaberi,Zinder
1928,184.38,56.48,118.92,679.82,506.75,632.17,314.72,528.41,289.70
1929,187.90,57.12,113.87,811.12,494.86,662.03,318.41,546.48,280.64
1930,207.62,63.10,162.99,808.69,477.24,743.17,369.46,617.62,289.68
1931,190.78,68.32,148.11,681.04,516.35,567.12,287.60,447.83,328.25
1932,218.43,77.07,172.06,718.17,585.29,634.95,382.15,522.42,349.72
1933,196.08,53.14,139.81,711.69,570.73,588.24,370.75,516.82,320.06
1934,167.85,53.33,112.51,661.06,439.95,534.61,287.50,450.83,265.52
1935,207.51,62.43,131.62,797.82,551.88,720.26,372.68,587.66,321.54
1936,236.59,76.14,153.18,898.68,631.45,724.09,473.28,625.85,336.94
1937,201.66,65.29,210.09,626.04,500.66,597.10,336.96,502.97,313.75
1938,192.42,57.70,160.34,718.88,504.11,582.39,309.68,496.92,323.43
1939,216.63,61.31,154.70,776.16,646.02,679.34,372.70,596.20,351.50
1940,164.26,45.94,123.31,629.44,453.01,522.43,288.76,457.92,255.38
1941,161.07,45.50,92.78,642.52,453.00,561.19,308.77,484.15,228.39
1942,141.55,28.26,136.64,556.68,331.60,515.28,226.78,454.10,229.41
1943,223.08,73.45,139.81,839.34,537.03,734.14,386.12,638.63,346.15
1944,155.21,39.96,122.54,602.30,435.07,475.50,285.01,392.21,262.60
1945,219.26,76.56,134.00,797.96,594.78,680.68,400.86,577.49,328.79
1946,236.09,62.48,195.61,745.51,713.93,690.67,386.23,598.07,440.59
1947,190.23,74.91,138.31,582.32,524.15,489.33,339.30,443.97,290.85
1948,169.84,42.24,125.27,651.72,490.88,571.72,313.71,477.37,269.18
1949,133.48,39.02,88.71,518.41,341.79,461.53,244.17,395.25,196.21
1950,250.86,92.66,239.23,736.17,625.20,690.91,428.52,607.80,376.90
1951,172.54,42.84,115.47,698.14,497.64,565.41,321.65,488.25,273.57
1952,282.61,98.49,238.94,934.68,674.46,822.82,488.29,740.78,426.80
1953,246.66,74.87,187.22,942.87,629.09,734.86,432.83,689.64,370.48
1954,249.40,74.91,196.84,895.32,678.22,575.00,437.25,606.75,429.06
1955,187.89,40.87,138.01,713.21,548.45,596.20,303.34,546.77,343.69
1956,212.40,69.75,180.85,637.65,562.35,553.78,334.24,514.48,386.58
1957,200.20,52.07,138.09,793.08,563.25,701.90,319.74,591.39,334.19
1958,225.10,70.82,175.06,694.13,581.73,586.38,429.50,589.52,357.75
1959,233.48,80.98,193.06,736.04,517.55,615.53,420.30,608.66,366.75
1960,187.84,54.61,161.86,640.74,540.92,556.97,309.83,477.08,317.24
1961,231.68,79.28,235.67,706.82,579.64,632.59,359.01,571.95,373.64
1962,202.22,71.66,179.72,678.01,472.97,653.33,325.04,537.27,304.70
1963,177.56,52.43,130.66,669.04,459.76,596.14,299.65,518.49,271.97
1964,240.81,72.82,254.34,767.61,623.51,738.74,364.04,648.85,379.51
1965,196.62,57.24,132.12,744.04,566.12,707.51,371.20,604.99,253.71
1966,186.08,47.02,160.72,650.95,538.02,614.05,337.74,514.08,291.73
1967,202.17,55.22,172.34,727.70,512.90,719.08,362.56,589.70,300.19
1968,163.76,45.28,136.61,650.04,429.68,524.19,255.72,468.65,259.96
1969,165.75,52.27,108.10,613.63,490.07,550.72,283.29,468.85,246.34
1970,154.05,34.66,142.30,530.90,452.81,443.14,297.43,407.29,248.70
1971,143.58,35.98,115.60,549.44,354.72,441.95,245.68,399.10,250.25
1972,123.06,37.82,92.73,455.04,323.29,357.21,207.89,352.78,184.60
1973,107.40,27.71,88.35,414.49,255.57,387.43,162.90,340.16,172.66
1974,188.76,62.15,142.26,670.45,489.07,514.66,336.70,451.66,316.34
1975,164.94,42.00,130.77,714.71,394.46,634.39,298.73,482.46,244.39
1976,161.95,46.89,90.42,675.02,470.84,603.39,293.54,498.53,221.95
1977,177.34,42.91,187.26,669.89,470.75,563.15,310.60,478.18,268.06
1978,209.26,58.93,197.60,778.74,542.23,597.41,415.70,532.07,295.06
1979,168.96,44.99,125.17,605.44,497.24,534.33,293.55,459.22,284.76
1980,182.86,64.57,141.55,574.50,495.12,481.46,279.79,446.83,322.57
1981,147.82,52.19,106.80,579.98,383.56,428.35,245.82,387.89,216.64
1982,142.04,47.47,128.78,459.02,345.19,359.38,233.92,356.79,232.91
1983,124.45,34.07,72.58,499.67,325.21,513.50,240.24,378.55,182.02
1984,83.18,13.57,53.65,417.24,218.15,307.15,178.70,285.65,103.78
1985,135.49,35.84,117.24,492.12,355.58,400.11,231.95,359.14,230.81
1986,162.13,51.40,128.54,621.55,425.15,479.65,286.11,408.12,251.78
1987,107.44,29.77,75.93,471.57,261.47,433.26,218.21,312.79,139.14
1988,200.79,68.70,195.94,666.74,449.84,599.58,344.62,477.96,320.86
1989,168.58,57.44,118.79,579.86,431.59,545.01,333.61,429.05,247.85
1990,126.74,28.81,102.55,517.24,344.52,479.42,215.73,387.22,196.06
1991,178.87,54.47,131.47,682.00,448.93,547.76,328.99,485.75,272.16
1992,173.64,62.24,131.92,614.27,414.62,555.43,295.35,489.68,242.34
1993,146.16,57.60,123.43,483.35,308.87,479.02,214.28,374.40,235.92
1994,227.25,71.02,197.07,808.84,511.49,709.13,398.01,601.74,360.75
1995,148.73,40.36,146.23,489.48,371.79,478.33,246.81,412.22,242.00
1996,137.01,27.06,117.14,568.15,354.71,493.14,259.78,414.89,208.97
1997,145.71,57.85,127.32,468.49,377.33,378.51,223.32,331.45,232.46
1998,189.73,61.02,126.23,703.40,468.55,634.97,360.31,545.68,267.24
1999,222.17,79.45,186.46,702.95,593.89,640.14,384.97,550.59,336.67
2000,155.66,51.64,115.62,542.62,389.44,504.00,262.20,435.83,238.43
2001,162.24,38.22,123.72,565.86,465.70,511.16,295.44,447.47,283.92
2002,146.71,46.35,84.33,573.72,406.78,479.67,269.61,400.78,224.84
2003,203.44,59.02,137.08,721.64,545.33,712.08,339.41,593.01,337.06
2004,164.39,66.83,156.88,515.53,396.76,442.52,249.86,370.06,257.09
2005,199.36,54.12,159.86,718.51,536.40,659.59,346.86,565.81,316.72
2006,170.53,53.24,133.02,602.48,461.24,524.50,297.40,440.84,273.50
2007,182.33,56.87,170.60,609.07,433.83,578.22,297.71,490.25,290.65
2008,181.60,54.79,155.72,646.54,474.04,564.74,326.33,478.72,276.02
2009,158.42,50.66,130.77,574.91,403.36,504.88,274.31,433.42,231.59
2010,182.02,47.38,168.73,634.75,508.45,533.08,305.02,458.33,319.52
2011,156.66,49.88,140.04,493.61,415.39,453.71,249.63,388.26,272.10
2012,211.14,68.00,198.67,599.82,541.81,566.87,327.28,516.98,383.43
2013,182.84,68.64,138.75,587.85,453.89,539.45,280.11,464.10,304.93
2014,163.04,43.62,128.43,596.06,428.37,543.57,291.17,477.42,250.40
2015,180.27,68.53,134.85,598.53,433.22,562.10,304.03,484.17,261.79
2016,196.94,64.99,191.45,636.88,466.43,582.38,320.10,510.46,309.81
2017,174.54,44.51,140.80,671.28,453.33,609.76,278.08,513.19,291.00
2018,206.92,73.09,165.98,621.63,578.24,574.33,342.55,487.12,353.15
2019,193.00,77.08,160.89,589.85,490.10,515.12,307.88,433.57,317.75
2020,245.25,79.18,185.62,837.95,658.36,749.48,450.26,643.71,373.03
