Variable:,pr
,Jamaica,Clarendon,Hanover,Manchester,Portland,"Saint Andrew And Kingston","Saint Ann","Saint Catherine","Saint Elizabeth","Saint James","Saint Mary","Saint Thomas",Trelawny,Westmoreland
1978,2286.02,2028.77,1783.47,2029.49,2836.72,2944.59,2031.39,2378.73,2027.46,2073.33,3018.31,2416.82,2081.06,1848.39
1979,2989.19,2615.13,2411.75,2746.06,3577.52,3723.21,2534.94,3023.61,2832.66,2904.91,3793.28,3109.48,2888.74,2525.57
1980,2432.46,2139.87,1907.58,2148.86,3065.60,3221.93,2101.33,2545.37,2149.15,2177.32,3301.04,2587.19,2182.52,1968.83
1981,2321.51,2046.82,1833.24,2070.88,2889.22,3030.67,2000.70,2417.29,2081.72,2111.83,3088.81,2488.15,2114.51,1897.00
1982,1538.31,1330.62,1240.40,1377.73,1902.37,1960.35,1314.53,1567.86,1409.60,1455.92,2007.51,1610.11,1446.04,1288.68
1983,1739.55,1517.68,1390.46,1527.18,2198.73,2243.03,1530.74,1798.00,1533.58,1579.97,2300.45,1862.64,1578.77,1432.09
1984,2108.70,1858.19,1714.24,1923.83,2511.51,2640.46,1825.56,2154.57,1967.35,2021.40,2684.35,2193.74,2010.90,1783.76
1985,1681.16,1494.53,1362.67,1527.64,2028.01,2114.47,1466.13,1727.32,1547.67,1582.69,2153.54,1766.37,1578.10,1412.36
1986,2142.27,1876.60,1700.26,1923.10,2613.39,2712.54,1873.17,2194.01,1955.02,2008.53,2781.46,2237.70,2010.26,1770.94
1987,2658.57,2402.26,2103.06,2414.11,3222.90,3372.57,2345.50,2769.26,2414.34,2441.12,3416.38,2861.54,2447.68,2179.85
1988,2323.03,2048.52,1897.13,2115.39,2822.21,2940.68,1975.99,2379.98,2155.59,2198.66,2983.28,2478.50,2187.11,1966.17
1989,1898.49,1682.59,1463.42,1671.24,2401.12,2491.81,1675.87,1988.09,1659.83,1686.61,2561.19,2020.11,1695.98,1513.49
1990,2020.85,1781.71,1571.39,1777.10,2577.47,2641.75,1766.37,2110.81,1769.66,1803.31,2695.98,2211.31,1807.79,1623.02
1991,1943.03,1756.01,1486.82,1743.55,2368.17,2524.85,1729.06,2048.20,1729.04,1752.81,2569.23,2059.25,1761.24,1546.19
1992,1590.60,1391.14,1251.52,1416.26,1965.08,2074.87,1376.94,1648.27,1431.98,1462.79,2129.95,1650.86,1461.99,1299.21
1993,2748.11,2379.51,2172.28,2493.58,3279.36,3464.61,2371.43,2783.36,2575.06,2664.95,3575.75,2718.50,2652.76,2284.23
1994,1847.63,1624.04,1430.31,1630.83,2285.05,2395.28,1640.26,1919.96,1635.00,1685.94,2464.51,1923.93,1690.40,1487.27
1995,2438.91,2148.17,1923.22,2179.40,3033.33,3164.98,2098.61,2529.66,2194.83,2238.95,3227.77,2609.51,2236.05,1994.48
1996,2533.98,2220.62,1960.25,2246.49,3154.91,3341.67,2189.73,2643.94,2259.84,2301.22,3420.94,2669.63,2306.18,2037.82
1997,1737.48,1549.34,1366.63,1513.70,2234.32,2331.38,1531.36,1845.60,1483.45,1487.89,2386.58,1895.12,1501.02,1394.10
1998,2344.62,2098.77,1817.81,2090.67,2930.71,3071.59,2045.10,2465.36,2076.49,2089.44,3122.07,2558.10,2102.78,1880.39
1999,2349.49,2112.95,1915.71,2152.62,2750.70,2973.48,2060.88,2434.74,2174.46,2213.97,3022.06,2424.04,2209.83,1983.41
2000,1893.92,1660.04,1499.08,1641.70,2463.57,2594.77,1620.00,2009.67,1622.43,1626.36,2659.90,2054.89,1630.26,1527.28
2001,2231.85,1993.70,1681.22,1914.49,2933.13,3067.30,1978.82,2404.06,1851.34,1844.99,3139.65,2476.41,1872.13,1718.00
2002,1882.33,1673.85,1529.79,1706.72,2264.71,2377.69,1655.35,1938.77,1727.59,1764.68,2430.71,1932.49,1761.46,1582.71
2003,2615.15,2300.21,2008.15,2324.69,3258.15,3396.87,2280.73,2715.06,2338.01,2380.33,3480.44,2782.59,2391.19,2093.41
2004,1767.61,1557.90,1462.35,1627.88,2097.79,2210.58,1498.14,1800.36,1672.50,1707.70,2236.70,1862.59,1695.09,1518.73
2005,3182.83,2832.74,2505.19,2914.16,3832.96,3988.27,2744.04,3270.94,2962.51,3013.04,4020.83,3454.03,3011.22,2622.11
2006,1722.55,1494.22,1369.64,1513.37,2213.98,2273.18,1463.26,1787.13,1522.81,1550.72,2324.66,1878.28,1547.18,1410.28
2007,3391.87,2980.96,2638.84,2991.42,4287.09,4436.09,2947.20,3538.30,2991.60,3050.36,4520.28,3709.03,3058.78,2731.94
2008,2277.41,1970.54,1902.19,2088.55,2723.69,2852.77,1896.79,2294.96,2166.75,2241.91,2903.38,2346.72,2211.73,1979.01
2009,1511.37,1288.91,1214.92,1329.28,1903.12,1952.11,1299.73,1541.60,1359.00,1411.04,2014.55,1566.69,1401.61,1258.12
2010,3696.67,3277.58,2971.99,3428.46,4395.24,4591.42,3126.08,3759.60,3522.29,3584.38,4638.19,3929.32,3563.12,3112.98
2011,2645.35,2247.43,2242.23,2441.30,3166.39,3257.17,2144.62,2619.43,2573.08,2675.96,3298.92,2781.24,2627.60,2341.09
2012,2303.07,1979.70,1854.53,2138.42,2699.73,2777.66,1927.67,2278.86,2248.74,2351.31,2817.51,2391.44,2321.22,1967.50
2013,1981.07,1754.26,1645.74,1848.68,2259.21,2437.04,1697.65,2005.48,1911.22,1971.61,2476.14,1978.31,1953.30,1720.07
2014,1910.36,1655.18,1477.80,1673.28,2455.78,2504.52,1649.07,1976.44,1684.13,1724.78,2576.24,2048.31,1723.94,1532.67
2015,1363.23,1185.53,1076.96,1188.85,1751.04,1779.83,1190.92,1413.48,1190.25,1225.21,1827.97,1468.38,1223.37,1109.15
2016,1817.92,1574.15,1446.04,1619.80,2278.07,2333.83,1551.96,1860.38,1649.66,1696.82,2388.48,1938.08,1688.84,1502.40
2017,3307.96,2947.88,2585.26,2991.18,4004.94,4224.67,2897.56,3430.94,3014.64,3069.54,4300.58,3487.28,3075.14,2695.56
2018,1801.61,1585.14,1390.09,1579.71,2242.82,2340.67,1619.75,1875.40,1576.84,1621.07,2421.73,1862.18,1632.07,1441.89
2019,1865.54,1602.05,1465.05,1640.58,2368.69,2413.98,1601.87,1910.74,1667.07,1724.15,2482.14,1991.64,1718.20,1522.87
2020,2826.18,2532.58,2188.40,2521.22,3555.59,3696.65,2452.34,2975.52,2501.46,2511.67,3731.91,3168.76,2525.16,2262.50
