Variable:,pr
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
1942,2726.40,2726.40,2726.40,2726.40,2726.40,2801.72,2726.40,2726.40,2726.40,2726.40
1943,1915.60,1915.60,1915.60,1915.60,1915.60,1956.62,1915.60,1915.60,1915.60,1915.60
1944,1908.70,1908.70,1908.70,1908.70,1908.70,1936.93,1908.70,1908.70,1908.70,1908.70
1945,2420.20,2420.20,2420.20,2420.20,2420.20,2464.59,2420.20,2420.20,2420.20,2420.20
1946,2372.10,2372.10,2372.10,2372.10,2372.10,2437.52,2372.10,2372.10,2372.10,2372.10
1947,2535.40,2535.40,2535.40,2535.40,2535.40,2586.12,2535.40,2535.40,2535.40,2535.40
1948,2636.90,2636.90,2636.90,2636.90,2636.90,2696.46,2636.90,2636.90,2636.90,2636.90
1949,2273.00,2273.00,2273.00,2273.00,2273.00,2335.78,2273.00,2273.00,2273.00,2273.00
1950,2479.60,2479.60,2479.60,2479.60,2479.60,2541.57,2479.60,2479.60,2479.60,2479.60
1951,2346.90,2346.90,2346.90,2346.90,2346.90,2399.15,2346.90,2346.90,2346.90,2346.90
1952,2761.70,2761.70,2761.70,2761.70,2761.70,2818.67,2761.70,2761.70,2761.70,2761.70
1953,2041.00,2041.00,2041.00,2041.00,2041.00,2084.83,2041.00,2041.00,2041.00,2041.00
1954,2591.60,2591.60,2591.60,2591.60,2591.60,2643.26,2591.60,2591.60,2591.60,2591.60
1955,2212.90,2212.90,2212.90,2212.90,2212.90,2259.52,2212.90,2212.90,2212.90,2212.90
1956,2425.80,2425.80,2425.80,2425.80,2425.80,2482.77,2425.80,2425.80,2425.80,2425.80
1957,2069.30,2069.30,2069.30,2069.30,2069.30,2131.27,2069.30,2069.30,2069.30,2069.30
1958,2074.90,2074.90,2074.90,2074.90,2074.90,2124.83,2074.90,2074.90,2074.90,2074.90
1959,2504.40,2504.40,2504.40,2504.40,2504.40,2577.57,2504.40,2504.40,2504.40,2504.40
1960,1929.50,1929.50,1929.50,1929.50,1929.50,1985.52,1929.50,1929.50,1929.50,1929.50
1961,1894.50,1894.50,1894.50,1894.50,1894.50,1949.88,1894.50,1894.50,1894.50,1894.50
1962,2201.30,2201.30,2201.30,2201.30,2201.30,2250.95,2201.30,2201.30,2201.30,2201.30
1963,1721.10,1721.10,1721.10,1721.10,1721.10,1770.66,1721.10,1721.10,1721.10,1721.10
1964,2837.70,2837.70,2837.70,2837.70,2837.70,2905.29,2837.70,2837.70,2837.70,2837.70
1965,2006.90,2006.90,2006.90,2006.90,2006.90,2061.10,2006.90,2006.90,2006.90,2006.90
1966,2326.40,2326.40,2326.40,2326.40,2326.40,2384.53,2326.40,2326.40,2326.40,2326.40
1967,2710.20,2710.20,2710.20,2710.20,2710.20,2782.86,2710.20,2710.20,2710.20,2710.20
1968,2044.60,2044.60,2044.60,2044.60,2044.60,2098.45,2044.60,2044.60,2044.60,2044.60
1969,2174.30,2174.30,2174.30,2174.30,2174.30,2242.58,2174.30,2174.30,2174.30,2174.30
1970,2111.10,2111.10,2111.10,2111.10,2111.10,2162.03,2111.10,2111.10,2111.10,2111.10
1971,1618.90,1618.90,1618.90,1618.90,1618.90,1664.12,1618.90,1618.90,1618.90,1618.90
1972,1695.40,1695.40,1695.40,1695.40,1695.40,1736.44,1695.40,1695.40,1695.40,1695.40
1973,2652.10,2652.10,2652.10,2652.10,2652.10,2717.33,2652.10,2652.10,2652.10,2652.10
1974,1972.70,1972.70,1972.70,1972.70,1972.70,2023.59,1972.70,1972.70,1972.70,1972.70
1975,1933.20,1933.20,1933.20,1933.20,1933.20,1982.65,1933.20,1933.20,1933.20,1933.20
1976,1962.70,1962.70,1962.70,1962.70,1962.70,2017.03,1962.70,1962.70,1962.70,1962.70
1977,1738.10,1738.10,1738.10,1738.10,1738.10,1790.60,1738.10,1738.10,1738.10,1738.10
1978,2597.50,2597.50,2597.50,2597.50,2597.50,2664.75,2597.50,2597.50,2597.50,2597.50
1979,2115.00,2115.00,2115.00,2115.00,2115.00,2166.23,2115.00,2115.00,2115.00,2115.00
1980,2534.90,2534.90,2534.90,2534.90,2534.90,2605.82,2534.90,2534.90,2534.90,2534.90
1981,1665.00,1665.00,1665.00,1665.00,1665.00,1716.26,1665.00,1665.00,1665.00,1665.00
1982,1711.70,1711.70,1711.70,1711.70,1711.70,1755.14,1711.70,1711.70,1711.70,1711.70
1983,1823.60,1823.60,1823.60,1823.60,1823.60,1878.21,1823.60,1823.60,1823.60,1823.60
1984,2800.70,2800.70,2800.70,2800.70,2800.70,2851.40,2800.70,2800.70,2800.70,2800.70
1985,2183.70,2183.70,2183.70,2183.70,2183.70,2236.24,2183.70,2183.70,2183.70,2183.70
1986,2366.20,2366.20,2366.20,2366.20,2366.20,2420.78,2366.20,2366.20,2366.20,2366.20
1987,2315.50,2315.50,2315.50,2315.50,2315.50,2373.58,2315.50,2315.50,2315.50,2315.50
1988,2421.60,2421.60,2421.60,2421.60,2421.60,2475.88,2421.60,2421.60,2421.60,2421.60
1989,2322.00,2322.00,2322.00,2322.00,2322.00,2367.20,2322.00,2322.00,2322.00,2322.00
1990,1846.70,1846.70,1846.70,1846.70,1846.70,1903.13,1846.70,1846.70,1846.70,1846.70
1991,2157.40,2157.40,2157.40,2157.40,2157.40,2222.89,2157.40,2157.40,2157.40,2157.40
1992,2230.40,2230.40,2230.40,2230.40,2230.40,2292.41,2230.40,2230.40,2230.40,2230.40
1993,2398.70,2398.70,2398.70,2398.70,2398.70,2461.33,2398.70,2398.70,2398.70,2398.70
1994,2091.10,2091.10,2091.10,2091.10,2091.10,2162.58,2091.10,2091.10,2091.10,2091.10
1995,2707.10,2707.10,2707.10,2707.10,2707.10,2774.93,2707.10,2707.10,2707.10,2707.10
1996,2418.10,2418.10,2418.10,2418.10,2418.10,2479.98,2418.10,2418.10,2418.10,2418.10
1997,1523.00,1523.00,1523.00,1523.00,1523.00,1550.58,1523.00,1523.00,1523.00,1523.00
1998,2004.50,2004.50,2004.50,2004.50,2004.50,2063.85,2004.50,2004.50,2004.50,2004.50
1999,2233.40,2233.40,2233.40,2233.40,2233.40,2282.98,2233.40,2233.40,2233.40,2233.40
2000,2433.00,2433.00,2433.00,2433.00,2433.00,2489.04,2433.00,2433.00,2433.00,2433.00
2001,2414.40,2414.40,2414.40,2414.40,2414.40,2475.72,2414.40,2414.40,2414.40,2414.40
2002,1966.90,1966.90,1966.90,1966.90,1966.90,2011.67,1966.90,1966.90,1966.90,1966.90
2003,2587.60,2587.60,2587.60,2587.60,2587.60,2630.48,2587.60,2587.60,2587.60,2587.60
2004,2209.40,2209.40,2209.40,2209.40,2209.40,2263.10,2209.40,2209.40,2209.40,2209.40
2005,2090.10,2090.10,2090.10,2090.10,2090.10,2144.15,2090.10,2090.10,2090.10,2090.10
2006,2364.60,2364.60,2364.60,2364.60,2364.60,2432.17,2364.60,2364.60,2364.60,2364.60
2007,2560.40,2560.40,2560.40,2560.40,2560.40,2622.93,2560.40,2560.40,2560.40,2560.40
2008,2572.30,2572.30,2572.30,2572.30,2572.30,2628.34,2572.30,2572.30,2572.30,2572.30
2009,2267.10,2267.10,2267.10,2267.10,2267.10,2300.58,2267.10,2267.10,2267.10,2267.10
2010,2449.30,2449.30,2449.30,2449.30,2449.30,2503.48,2449.30,2449.30,2449.30,2449.30
2011,2502.00,2502.00,2502.00,2502.00,2502.00,2571.99,2502.00,2502.00,2502.00,2502.00
2012,2347.90,2347.90,2347.90,2347.90,2347.90,2419.20,2347.90,2347.90,2347.90,2347.90
2013,2506.40,2506.40,2506.40,2506.40,2506.40,2578.16,2506.40,2506.40,2506.40,2506.40
2014,1939.90,1939.90,1939.90,1939.90,1939.90,1991.01,1939.90,1939.90,1939.90,1939.90
2015,1800.40,1800.40,1800.40,1800.40,1800.40,1827.72,1800.40,1800.40,1800.40,1800.40
2016,2226.40,2226.40,2226.40,2226.40,2226.40,2289.59,2226.40,2226.40,2226.40,2226.40
2017,2342.90,2342.90,2342.90,2342.90,2342.90,2389.43,2342.90,2342.90,2342.90,2342.90
2018,2342.80,2342.80,2342.80,2342.80,2342.80,2371.67,2342.80,2342.80,2342.80,2342.80
2019,1682.00,1682.00,1682.00,1682.00,1682.00,1711.90,1682.00,1682.00,1682.00,1682.00
2020,2252.70,2252.70,2252.70,2252.70,2252.70,2322.54,2252.70,2252.70,2252.70,2252.70
