Variable:,pr
,Guinea,Boke,Conakry,Faranah,Kankan,Kindia,Mamou,Nzerekore,Labe
1987,1502.68,1609.47,2211.70,1462.24,1263.47,1909.99,1597.47,1724.26,1233.38
1988,1572.72,1788.24,2564.31,1416.54,1260.90,2156.22,1637.97,1830.52,1308.08
1989,1640.96,1745.09,2501.36,1621.46,1397.10,2128.31,1687.85,1873.32,1274.95
1990,1497.55,1456.05,2134.15,1450.18,1360.89,1858.04,1576.60,1707.16,1208.10
1991,1531.15,1636.98,2216.16,1426.09,1337.26,1903.99,1552.54,1758.11,1311.00
1992,1627.05,1843.15,2801.73,1473.65,1316.39,2372.58,1702.13,1817.12,1253.30
1993,1561.11,1594.73,2228.26,1506.17,1332.93,1946.19,1602.64,1905.80,1249.70
1994,1925.13,2015.82,2885.80,1875.75,1709.05,2450.93,2009.77,2079.27,1585.55
1995,1702.19,1636.76,2468.83,1650.70,1552.83,2126.14,1731.36,2023.20,1270.10
1996,1703.10,1659.36,2452.33,1658.08,1483.52,2138.75,1791.74,2060.12,1337.15
1997,1647.87,1691.46,2448.82,1588.03,1459.09,2090.00,1736.62,1829.88,1361.99
1998,1692.99,1698.67,2635.71,1592.15,1526.37,2139.85,1619.23,2042.71,1296.57
1999,1885.05,2080.99,2717.05,1794.82,1641.63,2324.78,1936.37,2084.97,1609.01
2000,1694.71,1861.05,2702.19,1584.99,1424.40,2269.81,1784.54,1890.08,1384.50
2001,1592.25,1670.60,2552.24,1519.72,1350.67,2101.53,1580.54,1918.22,1204.20
2002,1533.27,1477.83,2545.73,1504.46,1269.60,2076.17,1620.07,1884.05,1169.43
2003,1778.70,1888.74,2235.42,1712.65,1566.21,2089.21,1828.47,2008.35,1606.62
2004,1726.94,1751.21,2580.26,1672.13,1516.13,2221.56,1829.93,1939.31,1401.12
2005,1702.88,1918.66,2204.92,1620.38,1436.69,2090.39,1781.88,1871.31,1563.20
2006,1822.04,1995.46,3195.51,1677.25,1516.49,2633.11,2007.33,1951.74,1405.08
2007,1548.34,1621.30,2411.01,1451.58,1360.39,1941.47,1466.79,1910.75,1173.24
2008,1774.52,1928.40,2526.33,1637.58,1650.73,2143.34,1670.71,1946.26,1506.19
2009,1653.01,1763.81,2515.71,1578.93,1419.17,2102.74,1658.30,1907.99,1373.55
2010,1922.04,2002.63,2605.33,1838.52,1696.05,2366.94,2101.66,2108.75,1659.61
2011,1641.00,1674.10,2544.02,1577.89,1418.34,2128.84,1641.11,1952.02,1281.90
2012,1731.53,1889.11,2557.26,1655.52,1498.00,2189.39,1763.98,1917.91,1471.12
2013,1754.09,1821.55,2505.18,1710.80,1557.00,2156.15,1795.22,1955.20,1487.89
2014,1643.82,1757.62,2523.09,1516.61,1410.94,2074.42,1567.99,1998.77,1364.62
2015,1773.18,1906.71,2525.62,1737.94,1518.50,2259.62,1931.45,1857.58,1581.62
2016,1697.76,1723.88,2486.05,1630.72,1497.89,2110.84,1683.95,2044.40,1329.31
2017,1603.25,1857.60,2520.53,1539.82,1265.72,2191.48,1770.25,1647.64,1483.09
2018,1686.53,1650.68,2484.29,1610.94,1557.04,2073.77,1608.67,1992.33,1340.32
2019,1707.95,1746.50,2294.30,1681.61,1522.54,2057.87,1799.64,1895.03,1470.36
2020,1676.39,1728.75,2233.82,1641.57,1482.17,2007.61,1722.80,1924.98,1421.12
