Variable:,pr
,"Myanmar (Burma)",Rakhine,Chin,Ayeyawaddy,Kachin,Kayin,Kayar,Magway,Mandalay,Mon,Sagaing,Taninthayi,Yangon,"Bago (E)","Bago (W)","Shan (E)","Shan (N)","Shan (S)"
1914,2102.25,4162.77,3216.08,3011.36,1605.69,1803.52,1370.33,2806.16,1652.11,2479.85,1714.82,3389.20,2637.58,2054.77,2621.36,1273.56,1462.33,1324.56
1915,2334.06,4406.93,3583.21,3435.63,1865.04,1833.37,1436.47,3085.96,1905.58,2535.79,2103.81,3364.95,2817.68,2116.94,2819.10,1427.68,1680.50,1491.24
1916,2082.22,3323.60,2796.88,3334.78,1526.84,2044.20,1592.55,2485.69,1613.51,2740.81,1709.88,3459.08,2902.72,2274.79,2746.59,1492.08,1416.64,1486.67
1917,2181.08,3925.77,3272.95,3064.76,1516.27,1894.36,1478.91,2952.90,1872.07,2627.04,1902.94,3634.60,2734.16,2111.87,2628.22,1297.22,1473.43,1522.64
1918,2092.01,4175.34,3125.00,3005.31,1768.43,1704.21,1466.61,2753.90,1639.71,2208.75,1716.54,2719.64,2553.95,2092.68,2751.45,1398.64,1496.36,1413.17
1919,2119.95,4439.54,3482.64,2920.77,1533.75,1650.19,1364.20,3005.73,1728.94,2239.37,1770.01,3199.31,2478.02,2052.69,2780.78,1304.99,1363.03,1398.47
1920,1865.02,3179.34,2758.79,2762.96,1458.81,1581.72,1253.98,2413.94,1481.67,2203.57,1629.19,2917.25,2429.32,1861.68,2347.91,1183.13,1316.21,1247.83
1921,2185.67,3630.03,3004.25,3144.52,1904.27,1808.78,1468.76,2719.28,1805.24,2410.69,1970.28,3204.02,2622.90,2117.52,2692.24,1390.92,1629.79,1528.49
1922,2153.06,4563.09,3543.58,3100.86,1641.36,1772.09,1381.38,2904.94,1731.75,2412.07,1817.61,3006.89,2688.56,2041.75,2652.00,1228.42,1476.18,1370.92
1923,2053.18,3421.42,2978.77,2994.97,1502.12,1710.94,1369.71,2592.44,1741.17,2334.59,1889.71,3274.53,2510.38,1902.55,2419.29,1362.68,1485.48,1491.72
1924,2079.02,4445.78,3289.12,3273.77,1806.74,1780.29,1262.78,2598.79,1353.34,2480.10,1681.49,3288.24,2666.69,1988.22,2652.62,1187.85,1306.54,1132.16
1925,2077.73,4602.93,3390.74,2965.57,1624.35,1707.16,1289.86,2679.79,1469.77,2333.18,1697.46,3102.39,2515.29,1944.47,2577.07,1395.28,1447.77,1237.90
1926,2004.19,3615.39,2827.04,2984.90,1671.13,1745.11,1354.90,2403.57,1564.23,2384.44,1676.50,3346.86,2628.77,1983.55,2523.79,1217.96,1378.22,1336.69
1927,2177.72,3953.20,3175.30,3137.14,1908.61,1872.10,1566.10,2560.44,1621.78,2447.53,1890.03,3185.00,2715.70,2120.96,2577.39,1486.60,1594.53,1461.45
1928,2235.06,4993.62,3666.32,3203.19,1825.44,1557.27,1374.66,3188.59,1813.06,2041.06,1918.22,2689.98,2539.02,1994.20,2735.56,1342.04,1585.11,1423.52
1929,2085.06,3715.69,3207.22,2876.41,1628.94,1543.45,1388.47,2762.49,1827.34,1999.85,1951.57,2675.82,2340.68,1908.28,2524.81,1381.13,1640.51,1516.94
1930,2043.76,3377.87,2907.78,2927.13,1725.81,1715.01,1422.48,2433.40,1624.65,2327.06,1927.85,3034.51,2484.57,1952.55,2380.31,1324.60,1544.10,1401.64
1931,1780.05,3123.00,2290.86,3319.45,1667.84,1582.66,1114.63,1966.28,1161.75,2237.52,1495.42,2941.20,2654.97,1825.49,2410.40,1002.45,1105.76,1024.41
1932,2209.12,4564.89,3703.04,2920.55,1668.41,1568.52,1330.94,3163.22,1862.65,2121.15,2023.81,3096.61,2347.90,1872.69,2536.23,1293.59,1566.71,1476.13
1933,1962.76,3134.47,2505.36,3271.74,1510.86,1931.85,1512.96,2216.13,1458.80,2619.18,1592.31,3264.21,2920.65,2229.27,2670.77,1386.21,1328.17,1376.90
1934,2019.10,3306.97,2849.69,2769.02,1682.24,1762.97,1514.58,2513.45,1619.48,2303.66,1746.82,2876.79,2551.80,2127.79,2584.51,1500.77,1477.29,1464.40
1935,2116.80,4382.31,3250.98,3020.97,1526.61,1707.58,1398.74,2776.86,1663.12,2296.14,1724.63,3625.15,2425.57,1945.91,2525.91,1403.92,1407.46,1458.92
1936,1906.34,3238.81,2565.43,3407.03,1574.08,1817.31,1304.01,2141.40,1347.09,2561.04,1618.24,3037.33,2828.45,2056.08,2552.45,1145.81,1246.53,1181.37
1937,2159.98,3423.63,2865.46,3395.93,1520.52,2055.67,1751.57,2842.85,1930.34,2673.63,1764.09,2890.54,3231.80,2554.48,3016.72,1460.31,1553.90,1670.60
1938,2430.09,4703.31,3586.69,3316.20,1879.95,2203.17,1710.20,3084.44,1914.75,3004.96,1985.95,3917.01,3045.79,2428.62,2995.13,1563.64,1694.07,1634.57
1939,2412.93,3888.13,3515.52,3609.47,1648.16,2101.01,1784.74,3368.77,2220.16,2767.86,2159.68,2811.01,3352.52,2628.62,3176.56,1565.98,1942.34,1784.22
1940,2068.55,3790.34,3109.08,3054.81,1510.96,1651.99,1407.27,2755.21,1786.25,2247.40,1775.52,2958.11,2658.24,2067.95,2663.35,1262.42,1541.96,1478.57
1941,2028.26,3533.05,3003.41,3107.62,1592.40,1733.00,1470.68,2538.69,1591.58,2304.67,1763.32,2680.38,2793.23,2102.56,2591.24,1405.68,1483.06,1457.04
1942,2160.45,3560.84,2870.58,3105.63,1544.75,2160.48,1803.72,2660.06,1769.73,2830.63,1697.59,3396.29,2962.97,2455.71,2824.32,1660.43,1500.48,1712.76
1943,2049.90,3534.75,2905.81,3072.74,1532.83,1758.92,1460.60,2549.65,1618.36,2418.98,1760.41,3269.29,2709.15,2061.84,2590.07,1416.75,1461.69,1473.93
1944,2074.93,3547.35,2810.65,3155.30,1672.82,1916.81,1429.81,2552.81,1584.41,2681.20,1705.23,3644.42,2917.63,2206.67,2703.51,1237.21,1414.96,1335.56
1945,2005.20,3510.93,2871.36,2949.30,1636.60,1671.93,1384.10,2489.44,1558.73,2229.77,1771.24,3167.77,2529.03,1992.99,2449.72,1333.18,1417.14,1342.30
1946,1954.60,3526.05,2973.90,3048.89,1563.54,1533.58,1313.75,2508.35,1568.06,1981.77,1745.43,2597.43,2524.23,1898.26,2500.65,1243.69,1438.73,1339.32
1947,2105.18,3906.69,3540.91,3007.20,1717.72,1718.70,1329.63,2696.71,1602.87,2368.78,1916.00,3294.53,2622.60,2009.59,2539.04,1121.85,1383.32,1274.77
1948,2076.54,3846.57,2786.12,3117.41,1724.25,1810.93,1514.03,2591.73,1581.40,2403.98,1762.59,3181.38,2672.64,2142.54,2839.62,1384.17,1301.84,1453.14
1949,1889.11,3327.28,3065.81,2362.86,1644.00,1678.35,1421.96,2254.24,1243.43,2218.98,1631.71,3283.09,2242.46,1854.98,2211.50,1380.58,1124.53,1285.14
1950,2038.99,3990.83,2963.68,2575.01,1638.83,1762.82,1509.88,2617.33,1555.68,2310.60,1642.02,3589.98,2398.32,2002.40,2569.49,1389.24,1290.31,1448.90
1951,2108.64,3602.89,3202.19,2897.38,1583.37,1928.92,1583.98,2571.87,1601.14,2624.58,1784.55,3591.67,2785.07,2169.82,2570.50,1482.15,1423.17,1480.07
1952,2115.16,4319.13,3362.02,3302.74,1610.76,1717.17,1387.79,2828.71,1556.88,2334.89,1693.65,3195.89,2711.80,2086.12,2767.72,1378.69,1387.85,1325.55
1953,2143.18,3501.39,2987.45,3157.34,1647.28,1985.92,1726.72,2479.02,1583.54,2631.88,1759.11,3913.81,2823.48,2316.06,2729.89,1495.65,1421.28,1551.74
1954,1886.78,3229.19,2697.72,2762.92,1544.66,1608.00,1265.77,2171.22,1321.04,2204.07,1683.92,3473.80,2295.22,1748.69,2186.49,1262.74,1320.91,1255.37
1955,2232.12,4180.86,3289.93,3456.90,1747.86,1895.90,1489.69,2794.19,1669.89,2605.64,1830.79,3582.28,2813.68,2142.74,2782.06,1490.89,1576.43,1475.60
1956,2049.35,3369.88,2826.96,2982.20,1508.50,1858.67,1553.46,2483.81,1672.25,2511.57,1679.75,3781.55,2550.81,2061.54,2568.49,1386.41,1407.01,1519.95
1957,1889.22,2734.21,2268.31,2768.10,1532.15,1685.22,1385.92,2190.52,1543.93,2345.69,1596.89,3605.38,2530.38,1974.42,2398.75,1256.42,1352.01,1396.95
1958,1945.16,3599.92,2556.85,2999.55,1542.60,1660.66,1317.47,2505.95,1518.28,2279.70,1665.80,3042.19,2508.30,1942.79,2589.91,1266.86,1318.56,1306.46
1959,2311.71,4423.07,3386.32,3554.79,1779.96,1933.49,1563.00,3062.46,1861.33,2632.29,1938.34,3375.31,3055.89,2369.15,3045.08,1447.72,1583.22,1505.63
1960,1874.79,3141.42,2563.14,3016.87,1343.59,1829.01,1543.77,2241.96,1426.30,2409.52,1479.98,2987.54,2774.99,2195.89,2611.69,1343.92,1236.32,1374.76
1961,2333.88,4799.99,3876.43,3440.62,1659.12,2074.23,1648.61,3166.60,1841.72,2818.17,1872.02,3265.03,3170.25,2413.83,2941.59,1445.74,1522.17,1541.60
1962,1821.40,2927.70,2349.70,3039.56,1638.38,1692.58,1291.68,2006.83,1264.55,2314.68,1520.88,3064.90,2638.90,1941.61,2380.29,1142.88,1251.15,1165.86
1963,2137.31,3941.38,2803.37,3290.01,1584.56,1891.97,1515.13,2800.20,1814.58,2560.48,1742.54,3220.86,2895.93,2219.50,2854.24,1429.10,1503.80,1508.04
1964,2087.70,3614.27,3107.15,3129.30,1644.02,1774.86,1444.16,2622.45,1666.46,2371.67,1833.77,3212.33,2638.94,2073.28,2634.13,1365.07,1427.06,1424.15
1965,2187.65,4388.61,3221.42,3522.41,1568.92,1865.36,1449.01,2915.78,1778.53,2595.15,1686.24,3286.54,3007.90,2217.07,2852.05,1405.02,1510.61,1479.82
1966,2058.91,3656.26,2936.84,3128.39,1758.69,1712.82,1323.04,2459.50,1451.31,2359.91,1712.23,3604.21,2613.73,1985.66,2516.23,1393.20,1455.41,1306.37
1967,2032.75,3787.35,2842.29,3151.41,1543.12,1702.22,1548.44,2650.36,1663.33,2263.46,1676.21,2658.34,2752.15,2168.74,2738.73,1422.97,1444.40,1506.16
1968,2245.60,4223.39,3341.77,3205.89,1629.60,1628.51,1494.02,3137.37,2095.62,2158.53,1984.86,2991.35,2572.91,2056.96,2740.42,1476.95,1711.97,1693.13
1969,2009.79,3702.11,2945.52,3093.30,1430.72,1899.24,1534.09,2479.81,1529.18,2602.14,1587.76,3411.24,2868.10,2196.20,2642.64,1291.15,1294.92,1375.33
1970,2238.52,3640.29,2992.47,3370.87,1656.75,2138.25,1711.53,2641.30,1736.50,2893.20,1858.02,4030.23,3025.44,2381.19,2805.94,1545.53,1538.86,1600.93
1971,2133.04,3722.63,2674.53,3219.60,1623.41,2001.03,1710.13,2672.27,1695.89,2666.46,1654.88,3251.65,2978.68,2381.55,2877.97,1624.63,1527.06,1589.06
1972,1868.27,3168.23,2209.55,2863.76,1332.86,1745.29,1454.56,2351.99,1502.69,2358.65,1435.67,3373.14,2587.85,2045.67,2598.97,1368.13,1278.13,1404.85
1973,2327.99,3480.91,3000.38,3113.13,1896.34,1916.27,1657.53,3067.96,2225.66,2550.61,2104.14,3459.87,2859.80,2316.89,2792.15,1518.36,1860.24,1763.80
1974,2264.92,3978.46,3402.38,3543.31,1706.27,2109.40,1609.38,2799.15,1780.81,2877.02,1983.27,3415.27,3144.48,2357.79,2812.65,1289.12,1541.05,1525.43
1975,2105.62,3302.88,2811.39,3420.68,1512.80,1974.20,1691.98,2633.18,1718.12,2633.86,1772.49,3350.26,2976.60,2341.59,2700.87,1439.41,1427.47,1554.76
1976,2006.88,3505.50,3093.19,2703.80,1494.75,1812.67,1338.21,2444.25,1493.63,2546.83,1715.48,3566.26,2598.17,1972.92,2351.18,1354.46,1455.80,1334.28
1977,1978.76,3188.17,2715.88,2700.14,1657.57,1556.59,1483.34,2426.35,1680.12,1975.40,1838.00,2742.60,2298.53,1924.17,2404.49,1459.60,1493.34,1561.05
1978,2038.61,3045.05,2570.05,2887.25,1638.97,1878.76,1549.44,2547.10,1805.18,2551.61,1708.41,3326.65,2685.80,2181.58,2562.59,1379.64,1475.71,1547.30
1979,1822.52,3093.18,2521.51,2811.50,1522.82,1480.14,1209.29,2315.80,1456.16,2032.54,1635.30,2611.44,2375.15,1782.72,2286.95,1169.64,1364.39,1232.97
1980,2106.42,3857.44,2873.62,3296.98,1600.96,1868.42,1494.84,2813.91,1760.85,2508.60,1752.69,3209.00,2794.63,2138.69,2761.97,1299.35,1393.65,1446.53
1981,2028.47,3701.75,3150.07,2997.24,1417.68,1847.51,1460.74,2502.26,1516.82,2513.11,1642.52,3233.78,2744.55,2114.84,2515.59,1503.66,1437.93,1419.82
1982,1777.72,3012.85,2516.01,2891.99,1416.08,1540.71,1193.66,2021.77,1204.19,2134.67,1497.74,3178.33,2490.61,1784.25,2224.89,1215.13,1275.69,1140.71
1983,2057.62,3237.26,3008.22,2675.23,1634.25,1712.31,1352.37,2387.27,1566.29,2360.99,1837.91,3691.65,2393.86,1884.73,2295.09,1479.59,1706.39,1448.37
1984,1766.88,2964.42,2539.85,2890.03,1583.42,1624.81,1255.54,1825.28,1028.58,2250.43,1413.68,2945.07,2574.94,1899.90,2367.88,1291.12,1241.17,1119.15
1985,1917.50,3296.37,2640.05,2944.13,1597.37,1706.38,1417.35,2212.57,1295.03,2277.33,1524.34,3251.69,2600.26,1998.15,2526.06,1471.31,1331.08,1323.43
1986,1652.23,2717.94,2349.29,2391.04,1423.80,1444.44,1136.77,1774.80,1061.72,1973.22,1413.66,3058.55,2067.13,1596.28,2014.76,1229.93,1216.83,1088.99
1987,1799.40,3146.46,3020.59,2421.70,1386.10,1634.82,1276.30,2159.79,1288.15,2215.13,1615.82,2759.24,2359.54,1810.15,2104.15,1192.96,1266.35,1219.18
1988,2178.23,3492.12,3135.34,3018.28,1614.82,1981.28,1611.23,2728.69,1800.39,2676.06,1962.46,3801.76,2809.60,2231.66,2587.26,1359.49,1458.22,1550.41
1989,1894.62,3346.48,2458.95,2793.95,1644.89,1525.84,1241.67,2435.13,1530.84,2073.09,1660.65,2884.65,2299.65,1796.51,2333.65,1249.96,1379.02,1290.91
1990,1942.90,3358.49,2867.88,2811.52,1714.75,1538.57,1350.92,2410.42,1523.74,2004.59,1801.35,2376.53,2372.78,1856.47,2422.19,1377.94,1435.24,1368.06
1991,1996.64,3214.95,2820.67,2691.99,1790.32,1639.08,1354.31,2340.05,1531.67,2241.05,1828.25,3016.47,2588.75,1998.07,2433.26,1366.17,1524.76,1375.35
1992,2000.03,3027.08,2428.49,2813.07,1532.22,1718.79,1456.03,2688.20,1931.35,2352.92,1776.74,3140.06,2546.87,2079.47,2509.39,1212.06,1478.39,1548.91
1993,1810.40,3037.41,2726.28,2805.75,1623.59,1361.40,1169.65,2143.83,1313.20,1835.79,1730.12,2490.59,2221.33,1679.56,2231.99,1168.60,1342.78,1200.92
1994,2071.10,3034.97,2498.15,3232.65,1476.66,2036.61,1699.01,2569.72,1796.08,2731.75,1715.13,3334.37,3055.34,2384.42,2739.87,1464.88,1471.79,1608.80
1995,2004.86,3105.79,2456.50,3097.45,1783.73,1902.75,1457.07,2107.73,1348.48,2614.62,1640.04,3793.55,2807.02,2175.58,2597.08,1388.13,1426.23,1315.25
1996,2139.17,3393.06,2731.54,3333.84,1633.61,2116.17,1598.94,2613.93,1713.98,2908.13,1769.45,3782.89,3085.49,2346.97,2749.18,1298.15,1464.54,1449.35
1997,1992.13,3194.44,2820.53,3021.67,1683.26,1697.03,1413.76,2437.32,1624.86,2304.64,1807.14,2472.12,2719.30,2109.24,2505.99,1320.29,1546.56,1431.92
1998,1947.96,3200.68,2915.53,2689.31,1757.96,1480.89,1154.45,2263.68,1419.71,2102.94,1855.95,3523.07,2146.79,1659.19,2117.66,1223.30,1399.18,1225.78
1999,2137.16,3931.31,3150.59,3348.59,1690.43,1932.89,1474.14,2569.60,1613.71,2576.57,1726.14,3294.34,2865.83,2138.78,2569.78,1399.16,1575.99,1457.78
2000,2055.01,3484.77,2805.23,3275.16,1724.79,1885.15,1498.59,2426.03,1486.83,2535.90,1722.17,3302.23,2837.42,2125.72,2571.60,1374.49,1427.11,1358.39
2001,2060.17,3179.98,2493.33,3103.61,1842.29,1712.84,1462.95,2309.21,1617.40,2279.58,1793.55,3133.41,2658.65,2047.22,2532.01,1588.85,1691.70,1509.72
2002,2204.12,3361.04,3025.05,3439.74,1705.43,1947.99,1713.86,2965.85,1938.79,2567.27,1846.30,3024.35,3063.20,2392.55,2872.43,1537.76,1527.94,1662.14
2003,1894.28,3259.93,2671.12,2931.50,1429.38,1612.62,1224.42,2386.88,1524.66,2284.28,1604.37,3484.09,2443.12,1822.90,2327.32,1139.71,1256.35,1282.88
2004,2015.71,3336.59,2642.58,3127.85,1873.50,1712.43,1383.12,2282.56,1492.31,2346.43,1806.47,2873.88,2697.90,1996.54,2487.62,1341.40,1528.33,1354.44
2005,1896.00,3129.51,2314.85,3176.66,1366.30,1831.34,1565.79,2203.94,1453.52,2443.53,1422.97,3191.03,2817.96,2212.31,2716.16,1423.01,1302.72,1444.14
2006,2234.03,3364.16,3106.70,2957.90,1491.92,2057.78,1742.12,3118.19,2201.97,2662.19,1923.60,3466.49,2848.77,2345.34,2657.69,1473.14,1645.35,1823.80
2007,2218.78,3545.29,2917.70,3750.31,1753.99,1901.39,1556.04,2678.88,1846.85,2562.86,1915.39,3425.73,3099.02,2263.12,2794.39,1403.95,1625.56,1574.42
2008,2037.60,3089.77,2456.35,3391.49,1691.46,1856.39,1502.32,2299.18,1564.01,2514.80,1717.94,3302.51,2875.47,2159.46,2655.03,1473.45,1488.39,1455.19
2009,1878.34,2833.19,2133.98,3380.92,1482.34,2029.75,1471.27,1903.52,1263.90,2822.27,1519.30,3508.93,3091.91,2200.51,2568.84,1226.97,1254.50,1232.58
2010,2082.60,3035.31,2509.21,3207.32,1797.18,1945.91,1533.74,2383.89,1609.33,2705.90,1836.46,3559.66,2967.88,2295.50,2685.58,1282.87,1484.17,1416.61
2011,2344.57,3897.66,3326.18,3370.18,1458.97,2252.38,1834.85,3382.32,2211.90,3005.60,1904.47,3931.47,3094.39,2462.03,2869.53,1481.79,1537.70,1736.75
2012,1806.70,3031.56,2541.21,2709.55,1572.96,1539.78,1192.20,1963.63,1210.49,2129.04,1626.08,3152.83,2317.03,1724.87,2215.79,1272.63,1251.12,1200.18
2013,2094.32,3276.18,2496.67,3389.71,1550.69,2005.02,1644.39,2431.39,1663.52,2692.78,1674.95,3731.17,3046.84,2344.20,2740.95,1524.63,1471.82,1551.10
2014,1592.23,2480.98,1918.14,2815.10,1231.47,1642.78,1232.56,1680.41,974.18,2248.58,1231.64,2934.45,2495.55,1884.51,2250.60,1221.62,1081.60,1062.24
2015,1946.75,3510.88,2963.77,2982.77,1550.83,1387.33,1176.75,2413.41,1512.43,1924.65,1723.72,3277.15,2468.99,1764.13,2372.96,1281.40,1387.84,1280.20
2016,2227.96,3281.85,2728.03,3130.70,1847.13,1909.44,1615.34,2750.84,2056.29,2549.91,1939.64,3280.20,2805.69,2223.09,2656.92,1603.51,1835.69,1753.86
2017,2265.40,3424.64,3055.46,3606.06,1686.80,2306.11,1867.54,2565.26,1763.04,3078.71,1855.42,3770.05,3302.22,2575.69,2917.45,1556.61,1548.24,1684.57
2018,2018.12,3094.38,2418.76,3270.48,1601.77,1728.15,1444.42,2353.17,1615.77,2384.19,1655.88,3499.73,2827.26,2064.00,2584.25,1505.67,1542.22,1473.74
2019,1847.63,3212.99,2530.30,3206.28,1414.48,1551.69,1243.24,2377.62,1553.53,2180.78,1588.40,2859.96,2728.42,1966.50,2561.51,930.62,1211.40,1220.38
2020,1939.76,3284.50,2611.62,3167.26,1731.31,1673.78,1290.95,2185.06,1333.74,2308.86,1705.98,3287.41,2780.23,2059.98,2520.99,1078.69,1348.28,1165.68
