Variable:,pr
,"Turks and Caicos Islands","Grand Turk","Middle Caicos","North Caicos","Providenciales and West Caicos","Salt City","South and East Caicos"
1951,1579.90,1579.90,1579.90,1572.06,1549.60,1579.90,1579.90
1952,1543.00,1543.00,1543.00,1527.55,1483.30,1543.00,1543.00
1953,1366.10,1366.10,1366.10,1352.33,1312.90,1366.10,1366.10
1954,1761.80,1761.80,1761.80,1769.36,1791.00,1761.80,1761.80
1955,1810.50,1810.50,1810.50,1800.72,1772.70,1810.50,1810.50
1956,1438.90,1438.90,1438.90,1431.94,1412.00,1438.90,1438.90
1957,1414.60,1414.60,1414.60,1407.54,1387.30,1414.60,1414.60
1958,1379.30,1379.30,1379.30,1351.48,1271.80,1379.30,1379.30
1959,1452.40,1452.40,1452.40,1457.96,1473.90,1452.40,1452.40
1960,1707.20,1707.20,1707.20,1714.89,1736.90,1707.20,1707.20
1961,1505.20,1505.20,1505.20,1500.96,1488.80,1505.20,1505.20
1962,1345.80,1345.80,1345.80,1332.24,1293.40,1345.80,1345.80
1963,1357.10,1357.10,1357.10,1362.22,1376.90,1357.10,1357.10
1964,1290.20,1290.20,1290.20,1292.09,1297.50,1290.20,1290.20
1965,1244.20,1244.20,1244.20,1224.32,1167.40,1244.20,1244.20
1966,1390.00,1390.00,1390.00,1390.75,1392.90,1390.00,1390.00
1967,914.50,914.50,914.50,907.69,888.20,914.50,914.50
1968,1377.90,1377.90,1377.90,1371.92,1354.80,1377.90,1377.90
1969,2045.20,2045.20,2045.20,2063.76,2116.90,2045.20,2045.20
1970,1587.30,1587.30,1587.30,1576.17,1544.30,1587.30,1587.30
1971,1483.10,1483.10,1483.10,1481.06,1475.20,1483.10,1483.10
1972,1568.90,1568.90,1568.90,1581.68,1618.30,1568.90,1568.90
1973,1241.70,1241.70,1241.70,1241.96,1242.70,1241.70,1241.70
1974,1304.80,1304.80,1304.80,1287.98,1239.80,1304.80,1304.80
1975,922.70,922.70,922.70,899.38,832.60,922.70,922.70
1976,1095.10,1095.10,1095.10,1083.09,1048.70,1095.10,1095.10
1977,1144.50,1144.50,1144.50,1141.42,1132.60,1144.50,1144.50
1978,1186.10,1186.10,1186.10,1176.99,1150.90,1186.10,1186.10
1979,1705.40,1705.40,1705.40,1697.30,1674.10,1705.40,1705.40
1980,1731.40,1731.40,1731.40,1752.80,1814.10,1731.40,1731.40
1981,1489.40,1489.40,1489.40,1464.09,1391.60,1489.40,1489.40
1982,1240.00,1240.00,1240.00,1237.72,1231.20,1240.00,1240.00
1983,1466.50,1466.50,1466.50,1465.23,1461.60,1466.50,1466.50
1984,1580.60,1580.60,1580.60,1575.01,1559.00,1580.60,1580.60
1985,1503.50,1503.50,1503.50,1511.34,1533.80,1503.50,1503.50
1986,1256.50,1256.50,1256.50,1252.57,1241.30,1256.50,1256.50
1987,2053.00,2053.00,2053.00,2045.39,2023.60,2053.00,2053.00
1988,1662.10,1662.10,1662.10,1653.33,1628.20,1662.10,1662.10
1989,1116.10,1116.10,1116.10,1103.70,1068.20,1116.10,1116.10
1990,1216.90,1216.90,1216.90,1211.65,1196.60,1216.90,1216.90
1991,1018.90,1018.90,1018.90,990.95,910.90,1018.90,1018.90
1992,1155.30,1155.30,1155.30,1127.74,1048.80,1155.30,1155.30
1993,1411.50,1411.50,1411.50,1404.54,1384.60,1411.50,1411.50
1994,1185.50,1185.50,1185.50,1156.62,1073.90,1185.50,1185.50
1995,1409.90,1409.90,1409.90,1417.79,1440.40,1409.90,1409.90
1996,1373.30,1373.30,1373.30,1377.44,1389.30,1373.30,1373.30
1997,1259.70,1259.70,1259.70,1247.61,1213.00,1259.70,1259.70
1998,1362.00,1362.00,1362.00,1347.53,1306.10,1362.00,1362.00
1999,903.20,903.20,903.20,839.85,658.40,903.20,903.20
2000,1348.80,1348.80,1348.80,1337.44,1304.90,1348.80,1348.80
2001,1523.90,1523.90,1523.90,1531.82,1554.50,1523.90,1523.90
2002,1326.30,1326.30,1326.30,1316.47,1288.30,1326.30,1326.30
2003,1497.30,1497.30,1497.30,1497.97,1499.90,1497.30,1497.30
2004,1243.60,1243.60,1243.60,1221.29,1157.40,1243.60,1243.60
2005,1643.50,1643.50,1643.50,1668.14,1738.70,1643.50,1643.50
2006,1338.90,1338.90,1338.90,1326.37,1290.50,1338.90,1338.90
2007,1766.70,1766.70,1766.70,1799.88,1894.90,1766.70,1766.70
2008,1335.70,1335.70,1335.70,1324.99,1294.30,1335.70,1335.70
2009,1319.20,1319.20,1319.20,1303.67,1259.20,1319.20,1319.20
2010,1494.40,1494.40,1494.40,1502.32,1525.00,1494.40,1494.40
2011,1529.30,1529.30,1529.30,1540.97,1574.40,1529.30,1529.30
2012,1454.20,1454.20,1454.20,1456.71,1463.90,1454.20,1454.20
2013,1033.00,1033.00,1033.00,984.37,845.10,1033.00,1033.00
2014,1655.40,1655.40,1655.40,1694.97,1808.30,1655.40,1655.40
2015,1305.60,1305.60,1305.60,1291.88,1252.60,1305.60,1305.60
2016,1529.40,1529.40,1529.40,1530.33,1533.00,1529.40,1529.40
2017,1484.10,1484.10,1484.10,1492.64,1517.10,1484.10,1484.10
2018,1283.40,1283.40,1283.40,1267.48,1221.90,1283.40,1283.40
2019,1501.80,1501.80,1501.80,1513.50,1547.00,1501.80,1501.80
2020,1300.90,1300.90,1300.90,1312.73,1346.60,1300.90,1300.90
