Variable:,pr
,"Sierra Leone",Eastern,Northern,Southern,"Western Area"
1945,2760.83,2785.11,2615.28,2991.93,3003.96
1946,2808.16,2705.19,2662.36,3129.51,3289.68
1947,2493.32,2584.19,2212.96,2914.92,2788.26
1948,2548.98,2428.03,2437.23,2821.61,3070.21
1949,2588.14,2543.33,2411.50,2922.91,3001.13
1950,2331.02,2173.38,2267.85,2548.47,2785.94
1951,3006.30,2906.77,2888.73,3277.71,3443.06
1952,2723.29,2709.68,2491.65,3138.02,3008.15
1953,2914.05,2840.24,2764.44,3217.52,3406.38
1954,3022.22,2844.66,2961.53,3241.30,3716.25
1955,2945.42,2972.00,2767.88,3228.36,3335.00
1956,2479.62,2351.50,2380.27,2734.14,3075.88
1957,2686.60,2710.15,2530.14,2941.70,2838.40
1958,2507.79,2414.57,2474.08,2622.95,2944.67
1959,2546.80,2506.65,2413.44,2805.69,2871.96
1960,2648.67,2601.72,2500.68,2937.33,2979.22
1961,2756.43,2504.12,2610.70,3188.09,3376.34
1962,2807.97,2663.64,2736.19,3033.89,3180.60
1963,2737.81,2801.44,2485.61,3131.60,2979.72
1964,2467.82,2361.87,2326.25,2784.88,2915.19
1965,2518.84,2481.64,2358.81,2821.56,2832.98
1966,3107.78,3040.82,2762.78,3757.06,3653.01
1967,2604.07,2543.39,2424.73,2957.00,2969.96
1968,2789.62,2925.53,2485.41,3227.26,2829.30
1969,2834.23,2817.36,2640.01,3180.69,3188.88
1970,2317.37,2234.34,2203.72,2571.66,2655.62
1971,2358.70,2294.78,2256.76,2573.81,2785.45
1972,2317.18,2408.03,2137.66,2563.57,2451.27
1973,2344.22,2303.40,2210.23,2607.24,2555.74
1974,2445.90,2441.67,2260.30,2773.07,2659.99
1975,2370.23,2343.95,2266.99,2568.74,2569.08
1976,2561.65,2493.13,2471.80,2757.79,3004.23
1977,2421.52,2360.73,2201.95,2845.09,2868.15
1978,2606.22,2598.97,2413.06,2944.09,2970.87
1979,2531.89,2526.51,2325.13,2895.69,2834.37
1980,2437.85,2344.09,2248.43,2829.49,2967.31
1981,2662.02,2603.08,2532.32,2926.43,3046.59
1982,2398.64,2304.64,2276.11,2674.15,2854.14
1983,2476.84,2343.79,2306.52,2861.20,3078.25
1984,2186.59,2195.73,2030.06,2452.37,2369.76
1985,2244.37,2252.32,2117.34,2458.71,2445.46
1986,2140.34,2099.98,2034.17,2350.54,2438.43
1987,2226.57,2183.84,2113.82,2453.69,2444.18
1988,2263.37,2140.03,2158.47,2526.47,2773.20
1989,2466.09,2430.58,2325.37,2733.94,2761.97
1990,2109.99,2067.42,1982.23,2362.08,2345.28
1991,2168.59,2134.82,1981.82,2517.41,2471.81
1992,2782.94,2569.54,2537.69,3354.39,3623.29
1993,2361.21,2361.00,2204.26,2628.50,2672.21
1994,2562.98,2451.93,2495.28,2755.63,2957.61
1995,2512.33,2437.53,2398.80,2758.65,2883.76
1996,2491.76,2472.40,2362.68,2728.78,2758.69
1997,2313.60,2252.69,2197.33,2558.60,2589.45
1998,2725.92,2696.40,2486.82,3157.66,3207.57
1999,2520.82,2475.57,2377.10,2801.14,2834.25
2000,2495.38,2435.80,2341.68,2803.32,2839.63
2001,2482.28,2448.82,2309.85,2802.99,2839.54
2002,2482.67,2440.28,2314.95,2801.98,2839.54
2003,2364.27,2445.83,2176.23,2634.37,2508.07
2004,2504.47,2446.11,2355.77,2803.23,2839.54
2005,2313.07,2345.68,2139.57,2593.94,2481.44
2006,2786.33,2541.26,2719.28,3073.61,3299.06
2007,2347.41,2356.65,2149.67,2681.80,2659.00
2008,2472.01,2445.31,2290.49,2803.23,2839.54
2009,2474.70,2445.35,2295.90,2803.23,2839.54
2010,2540.57,2447.12,2428.38,2803.23,2839.46
2011,2484.76,2445.61,2316.13,2803.23,2839.54
2012,2479.70,2435.32,2318.39,2789.74,2821.78
2013,2485.75,2439.04,2329.32,2789.52,2816.78
2014,2461.14,2445.23,2268.52,2803.23,2839.54
2015,2513.36,2468.70,2363.36,2804.34,2839.54
2016,2498.21,2498.65,2318.68,2806.20,2839.54
2017,2480.64,2419.19,2319.23,2803.40,2839.54
2018,2478.18,2447.51,2301.96,2803.30,2839.54
2019,2308.11,2351.71,2137.36,2577.07,2447.29
2020,2425.65,2465.45,2241.01,2719.17,2640.32
