Variable:,pr
,"United Arab Emirates","Abu Dhabi",Dubai,"Ras Al Khaimah",Sharjah,"Umm AL Quwain",Ajman,Fujairah
1976,159.19,133.24,268.79,295.43,309.53,246.87,304.27,340.03
1977,83.30,71.29,116.85,170.45,140.24,117.65,146.20,193.29
1978,62.13,54.36,87.77,108.04,102.45,76.50,105.90,127.25
1979,84.34,72.16,123.29,170.52,143.64,151.60,143.07,173.94
1980,70.91,66.91,88.13,90.23,94.73,74.46,95.96,102.56
1981,65.32,58.63,80.64,112.27,95.45,61.87,112.44,136.23
1982,141.52,118.44,238.75,262.67,274.05,217.45,268.93,304.37
1983,86.57,77.31,116.85,141.57,135.45,95.78,139.29,169.90
1984,54.53,52.45,58.73,70.11,64.35,57.03,67.92,75.12
1985,39.73,40.85,29.44,37.79,31.73,22.66,37.46,42.88
1986,68.83,65.07,77.67,94.36,88.63,69.61,94.46,107.98
1987,93.53,78.26,148.96,173.88,180.88,124.87,183.31,213.15
1988,80.38,70.53,119.56,135.97,134.54,107.79,136.42,155.33
1989,78.93,67.38,116.53,154.81,138.85,120.33,141.63,173.06
1990,65.39,58.79,87.97,104.96,100.74,79.38,104.43,120.55
1991,70.98,60.76,106.77,134.39,126.40,113.05,126.68,146.74
1992,87.48,73.94,134.14,174.42,155.31,137.11,158.93,192.39
1993,97.93,89.47,139.09,139.78,145.94,123.36,146.35,154.17
1994,49.57,48.68,45.49,59.29,50.52,30.62,57.67,72.70
1995,80.22,69.73,110.54,150.61,134.91,119.97,137.55,167.32
1996,91.89,80.12,135.87,162.20,156.33,133.48,155.84,181.70
1997,104.75,88.25,163.62,202.03,194.85,152.54,196.04,235.87
1998,66.64,58.10,92.14,128.64,108.93,106.08,111.77,136.25
1999,64.96,60.89,76.63,90.85,86.31,67.51,90.51,104.30
2000,58.71,54.23,68.27,97.77,77.20,74.03,82.76,103.79
2001,37.06,37.51,27.77,40.09,31.04,24.79,37.68,44.42
2002,50.01,47.42,52.02,72.04,62.10,45.55,67.66,84.95
2003,53.84,53.89,48.30,57.48,51.71,39.56,57.68,65.20
2004,54.37,52.19,54.18,74.88,65.09,52.21,71.24,84.63
2005,60.11,54.17,76.83,100.51,90.66,76.82,94.39,112.50
2006,72.05,63.52,100.90,122.67,118.40,98.40,121.35,138.12
2007,56.28,53.66,60.98,71.96,70.21,48.36,76.29,86.37
2008,43.49,42.59,39.22,58.45,44.14,42.96,49.66,61.38
2009,88.82,75.62,137.75,164.55,164.38,130.37,164.06,190.40
2010,46.95,47.49,39.20,45.33,41.98,25.95,49.06,54.88
2011,50.18,47.94,54.49,68.38,60.91,49.86,65.73,76.24
2012,52.28,46.10,56.18,102.62,84.08,55.86,89.05,128.34
2013,64.58,56.78,90.77,111.58,103.36,73.27,110.62,132.38
2014,89.52,75.53,132.80,177.10,162.76,118.10,174.02,211.70
2015,63.86,58.20,84.29,97.87,93.40,78.38,91.33,110.05
2016,70.53,63.25,95.07,113.87,108.34,85.42,109.38,131.32
2017,74.26,68.32,92.33,113.43,106.33,88.70,105.73,128.56
2018,63.98,59.62,78.43,92.29,85.25,70.80,84.72,103.78
2019,78.11,70.59,99.04,130.47,115.97,88.89,122.70,151.97
2020,78.33,67.97,109.79,144.83,131.88,105.55,135.47,168.03
