Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
1971,798.56,726.34,701.55,744.59,755.95,660.42,1267.92,697.00,1035.27,1037.58,671.61,701.60,1229.25,662.30,584.39,576.59,674.50,1136.83,632.02,1689.99,623.88
1972,1007.44,922.01,871.99,910.75,857.72,953.93,1615.97,841.66,1360.38,1377.72,902.70,858.04,1558.32,830.48,770.28,597.84,806.63,1364.84,842.25,2061.49,881.27
1973,853.91,736.75,750.40,839.30,756.40,794.66,1391.30,677.87,971.70,1172.71,775.74,711.68,1203.72,700.38,528.49,619.97,696.67,1374.51,707.27,1862.76,700.69
1974,834.64,785.73,799.11,849.00,820.93,694.22,1486.99,741.68,930.39,1139.51,760.59,741.81,1152.72,723.04,605.87,366.77,640.98,1425.49,699.99,1728.52,712.16
1975,953.85,763.97,656.88,767.87,661.27,931.60,1697.49,778.77,1294.93,1456.54,833.48,659.19,1453.30,611.45,630.39,600.41,844.47,1541.53,822.73,1966.73,866.11
1976,1090.33,1039.87,994.86,1093.21,988.21,998.92,1583.99,980.96,1280.32,1390.26,1097.20,941.50,1420.13,883.15,813.47,882.77,958.66,1432.23,1040.28,1829.91,904.50
1977,916.70,668.68,419.38,504.66,472.95,920.18,1630.22,651.82,1357.43,1612.59,792.04,520.50,1726.80,428.99,571.66,346.22,778.36,1771.53,722.10,2512.04,886.29
1978,997.00,918.42,791.42,839.38,856.06,967.96,1770.28,876.91,1166.22,1403.36,951.39,799.99,1347.49,725.64,717.48,552.61,870.77,1579.51,880.45,1993.29,931.38
1979,1100.50,976.66,923.15,936.95,988.18,992.13,1830.08,979.87,1353.59,1609.86,943.93,893.08,1505.16,852.25,673.03,670.07,964.51,1988.09,928.23,2067.46,900.39
1980,938.86,972.67,924.41,876.42,1001.47,898.66,1554.42,923.99,997.38,1204.71,953.81,929.55,1157.77,848.61,599.67,486.26,880.12,1361.94,908.70,1756.51,789.22
1981,864.73,688.39,666.17,692.30,702.28,841.79,1607.36,682.15,972.34,1346.38,824.02,609.76,1270.16,611.42,422.40,317.51,757.04,1750.59,746.55,1998.42,868.61
1982,903.51,787.42,717.80,846.97,720.90,819.80,1578.98,798.95,948.85,1254.22,868.61,651.97,1142.26,640.60,576.57,719.16,807.05,1466.75,867.61,1799.15,862.64
1983,787.08,689.36,661.08,740.69,651.96,636.20,1267.07,683.73,876.62,1108.62,688.34,628.24,1115.51,626.60,487.85,542.74,668.89,1436.44,705.33,1706.57,627.51
1984,1037.52,1049.97,868.40,873.72,921.94,1017.67,1641.33,1035.97,1269.39,1384.33,1054.95,918.92,1381.94,771.55,729.79,568.01,1017.20,1457.69,1031.04,1823.27,939.10
1985,823.88,739.57,643.11,758.17,712.93,709.44,1469.51,723.05,902.24,1209.73,669.32,692.44,1074.44,599.20,610.67,564.49,672.47,1441.11,676.46,1630.65,693.21
1986,914.80,858.28,674.09,780.02,722.80,826.50,1419.81,832.57,976.27,1300.00,875.83,722.83,1224.40,606.62,691.30,682.87,811.38,1505.78,868.26,1895.53,769.13
1987,948.01,902.84,653.33,761.56,728.88,915.35,1743.70,897.66,1171.56,1399.05,958.92,786.99,1347.05,640.56,505.27,415.06,891.55,1694.35,920.94,1935.57,877.14
1988,823.81,643.51,591.63,757.64,614.28,721.07,1463.99,609.24,924.97,1242.80,720.65,583.38,1204.05,538.57,512.67,622.15,684.45,1519.76,677.57,1862.84,731.86
1989,788.57,771.04,619.07,591.31,647.58,749.68,1484.53,692.84,777.36,1132.02,776.81,685.33,979.66,573.82,455.46,442.77,716.75,1440.87,756.68,1456.55,809.94
1990,861.88,713.40,600.91,726.28,641.20,821.95,1568.32,715.36,1009.96,1210.71,720.72,642.29,1144.92,555.68,646.75,610.41,847.38,1510.17,734.07,1747.43,737.10
1991,848.80,846.51,554.95,688.41,638.01,843.97,1479.43,812.72,945.65,1075.24,962.00,666.89,1076.45,521.46,617.79,604.40,864.24,1319.30,921.67,1511.62,785.96
1992,896.51,783.39,565.91,597.73,617.34,889.14,1540.67,759.50,1097.71,1370.18,886.92,640.46,1299.94,513.56,621.58,505.89,852.65,1644.48,817.91,1850.35,811.76
1993,843.04,698.92,647.87,752.37,652.89,758.76,1383.22,680.55,962.51,1232.67,786.87,610.69,1212.11,604.39,648.07,538.37,742.77,1437.74,706.15,1807.70,708.63
1994,848.50,709.82,616.86,706.37,625.53,831.32,1457.16,645.15,1147.29,1358.40,725.26,608.38,1382.31,546.63,425.09,520.80,695.95,1438.01,666.03,1993.29,775.28
1995,913.80,847.48,836.42,859.04,817.61,823.16,1698.35,751.69,1028.21,1258.79,874.33,788.65,1246.83,777.50,429.86,572.51,740.29,1588.30,771.44,1918.67,946.92
1996,1111.90,1007.09,951.01,1104.87,992.95,1048.77,1852.72,973.65,1276.77,1480.00,1092.27,932.65,1366.48,873.53,768.30,767.34,981.05,1720.93,1033.70,1946.39,1045.80
1997,818.26,707.61,617.13,734.46,653.09,723.55,1437.17,691.11,950.58,1134.11,805.52,623.11,1071.59,569.91,624.97,596.89,717.37,1393.96,733.00,1630.76,717.84
1998,832.84,817.32,689.27,770.51,742.82,722.32,1576.25,772.77,833.85,1160.39,855.99,733.45,1042.78,645.28,475.34,495.55,727.25,1485.21,796.30,1521.78,731.16
1999,910.67,769.53,593.04,682.89,602.13,853.12,1569.75,735.06,1046.92,1448.68,898.03,617.43,1316.23,590.64,535.23,523.52,819.35,1826.85,829.45,2062.02,801.83
2000,875.25,686.32,571.82,643.60,601.76,747.77,1846.48,690.47,1195.74,1408.78,741.76,598.30,1348.23,544.73,571.86,459.56,759.55,1672.79,718.35,1863.74,769.52
2001,839.79,774.37,648.40,666.42,696.98,784.05,1444.45,733.10,800.51,1279.40,757.23,689.52,1034.21,588.18,540.66,476.12,746.06,1688.46,739.30,1730.03,752.69
2002,1026.59,847.70,708.55,759.36,749.31,1002.01,1770.23,811.89,1379.63,1580.53,970.34,746.00,1588.16,659.50,668.91,537.86,947.22,1739.24,888.30,2281.19,929.29
2003,769.75,690.60,714.83,828.38,723.80,642.31,1312.50,686.10,796.88,909.65,686.33,646.25,871.93,659.40,673.84,678.16,637.95,1210.50,645.49,1327.74,623.61
2004,909.24,816.37,776.25,811.44,796.66,884.35,1726.32,778.43,964.49,1175.13,859.48,749.57,1026.53,727.69,732.22,594.04,842.22,1412.37,789.12,1593.65,949.22
2005,887.98,952.91,887.54,942.91,951.27,783.46,1505.88,894.06,855.47,988.36,975.83,897.36,966.86,818.54,600.04,604.33,828.90,1291.36,862.86,1431.33,770.82
2006,769.64,710.74,725.34,773.56,726.49,651.06,1326.10,627.93,822.37,1100.14,694.70,654.19,1083.12,628.92,411.71,518.10,577.73,1306.48,626.08,1820.09,625.42
2007,803.17,666.75,761.70,887.02,767.14,634.83,1516.31,625.66,644.04,1125.04,686.76,652.34,967.01,662.76,483.93,614.92,589.71,1522.78,631.76,1774.26,711.80
2008,984.14,903.67,762.09,767.30,822.30,937.39,1716.01,914.39,1242.14,1410.40,859.58,814.56,1363.59,724.84,684.85,459.42,928.34,1713.35,867.50,1954.21,838.40
2009,948.45,875.61,962.72,1075.59,966.27,779.90,1715.88,803.26,1007.91,1214.38,794.55,864.78,1137.69,877.03,561.07,764.69,724.39,1557.25,751.93,1659.56,823.16
2010,1017.08,1016.30,953.87,980.49,978.81,940.53,1711.09,961.06,1167.88,1268.36,1021.73,945.58,1196.67,908.51,778.34,613.15,929.74,1477.62,982.07,1637.24,890.54
2011,779.67,663.84,665.19,752.29,695.43,631.36,1311.47,661.16,857.56,1081.88,666.80,611.95,1022.96,572.49,655.91,556.45,615.22,1377.17,646.24,1463.41,637.00
2012,823.98,616.63,572.70,668.91,571.16,731.44,1657.26,615.31,993.22,1278.31,688.09,529.86,1211.81,543.58,550.43,477.13,671.36,1629.23,653.26,1830.12,792.65
2013,934.72,779.78,683.27,687.70,686.92,879.13,1845.69,738.14,1145.25,1354.48,865.75,689.95,1389.79,672.32,664.05,476.10,823.82,1624.49,814.58,2027.61,898.71
2014,999.44,910.94,776.65,833.29,779.68,998.95,1911.61,810.85,1278.88,1400.26,1006.68,790.31,1398.75,750.07,573.52,528.59,947.22,1572.52,943.80,1999.60,1014.30
2015,776.87,621.64,662.56,742.74,674.10,605.95,1629.92,586.76,769.10,1109.46,687.66,574.75,1013.77,598.66,576.94,580.26,533.90,1417.08,634.39,1442.25,735.48
2016,847.76,606.31,618.07,671.97,566.19,762.84,1941.22,577.81,932.07,1396.88,725.59,519.57,1186.47,584.51,527.47,459.21,666.11,1689.55,679.58,1781.25,890.73
2017,749.38,498.40,524.94,585.27,503.96,625.10,1861.60,501.44,774.66,1305.25,556.16,452.63,1002.68,511.29,428.20,378.05,526.84,1775.56,526.23,1593.67,792.95
2018,804.91,658.92,532.57,629.39,552.45,724.86,1572.19,663.90,1016.58,1049.54,736.20,558.02,1156.78,516.56,734.21,550.22,716.55,1404.84,716.11,1676.14,673.29
2019,962.86,868.28,752.02,756.17,783.57,917.46,1918.49,815.79,1171.55,1376.05,929.06,786.96,1241.91,728.83,617.83,490.24,880.93,1712.53,895.51,1794.90,931.94
2020,838.10,698.56,617.32,611.43,614.92,798.84,1773.18,685.16,1021.12,1245.00,794.51,596.13,1166.01,577.30,499.96,431.97,744.08,1549.83,763.09,1658.67,864.27
