Variable:,pr
,Lithuania,Alytaus,Kauno,Klaipedos,Marijampoles,Panevezio,Siauliu,Taurages,Telsiu,Utenos,Vilniaus
1921,621.61,584.23,597.27,689.31,589.39,589.54,599.84,674.49,696.63,635.13,625.12
1922,664.74,630.90,635.96,700.48,621.24,635.32,634.50,697.98,711.43,707.88,697.64
1923,737.46,679.88,694.05,866.46,684.44,693.94,735.52,798.47,865.18,734.38,723.02
1924,664.31,641.62,656.24,736.59,663.26,624.09,649.01,718.39,729.32,655.09,649.26
1925,734.00,647.89,701.27,865.76,694.00,700.20,743.19,812.76,872.00,724.15,692.70
1926,723.61,647.23,681.88,891.08,679.16,661.76,746.48,811.26,889.53,690.91,679.28
1927,703.80,624.95,661.52,872.02,671.05,648.28,710.68,778.87,856.26,683.04,667.23
1928,716.04,613.86,672.58,838.70,654.37,709.76,748.55,761.30,851.89,712.01,673.62
1929,601.69,568.27,572.65,688.61,566.30,574.91,589.41,640.29,687.41,602.55,596.02
1930,742.75,691.80,700.62,851.44,704.57,711.83,731.31,796.42,838.03,749.65,735.46
1931,642.19,590.70,595.25,782.51,609.89,593.07,640.24,703.74,770.25,629.80,623.99
1932,678.79,642.55,671.59,731.11,673.83,648.28,638.12,731.49,717.07,700.95,686.65
1933,686.21,684.72,682.45,718.36,686.71,638.71,640.85,722.88,711.79,698.20,719.09
1934,595.98,545.07,559.32,689.65,548.31,576.01,601.74,642.28,693.96,598.44,576.49
1935,723.50,702.44,705.51,817.13,696.70,676.54,706.34,771.79,809.65,715.97,716.80
1936,670.78,638.81,638.34,800.50,649.28,611.91,656.97,736.12,785.68,653.39,655.87
1937,644.81,588.08,610.84,751.87,604.07,612.52,648.70,701.18,758.41,645.03,618.55
1938,600.87,565.96,570.60,726.98,587.85,544.58,610.33,678.18,720.15,567.79,563.78
1939,607.25,608.41,588.02,693.37,598.19,544.39,583.84,675.43,679.39,586.69,611.83
1940,702.16,663.00,675.89,820.72,682.73,654.86,696.64,775.03,814.86,686.19,669.01
1941,562.71,532.53,533.98,681.34,542.52,513.88,556.08,625.83,673.76,542.34,537.70
1942,547.84,513.00,519.73,654.66,525.82,512.07,547.41,602.66,639.66,531.46,524.51
1943,681.28,662.64,673.67,723.97,667.07,652.05,649.50,717.75,712.22,700.78,693.63
1944,605.59,585.79,574.25,693.35,572.81,566.75,582.92,637.53,690.90,616.58,608.82
1945,762.67,724.59,739.12,850.92,740.86,728.30,730.34,815.27,840.49,777.38,759.24
1946,616.14,593.69,602.08,692.96,610.52,577.07,605.07,664.67,689.59,603.47,602.61
1947,620.41,617.38,615.12,659.26,611.31,588.57,592.74,663.28,664.46,623.04,624.85
1948,694.55,688.56,673.15,779.05,685.33,651.69,677.55,744.10,774.10,670.68,689.97
1949,661.02,613.15,634.25,757.15,633.98,634.87,677.26,713.07,774.67,642.18,622.67
1950,843.17,805.54,821.18,949.24,818.35,795.77,830.31,917.80,940.22,827.92,827.88
1951,509.26,491.65,490.39,559.71,490.02,479.17,485.48,543.95,558.85,527.70,515.40
1952,754.02,750.64,716.71,841.27,706.82,713.65,725.49,782.08,837.43,759.42,773.81
1953,511.14,450.61,479.82,596.54,475.29,494.65,512.44,541.10,600.75,527.56,491.73
1954,738.18,678.15,728.22,836.19,714.82,692.48,723.70,811.21,831.84,732.63,723.32
1955,595.42,578.46,548.66,684.59,541.92,566.77,582.26,633.24,680.95,612.60,594.73
1956,698.00,663.77,665.99,812.00,671.45,645.61,685.95,769.64,803.74,690.90,681.47
1957,718.61,678.43,681.53,844.85,697.11,664.51,701.62,782.35,823.15,716.57,706.04
1958,679.91,693.86,674.80,723.08,686.81,623.16,614.41,738.19,694.95,693.80,717.38
1959,570.24,548.52,552.53,607.59,546.50,555.92,563.90,605.94,620.36,576.62,566.87
1960,752.90,774.41,755.00,817.37,771.08,679.71,698.36,828.53,799.18,735.63,769.75
1961,604.90,548.82,585.99,736.75,593.40,561.36,621.79,680.90,732.25,559.71,554.07
1962,695.25,666.44,660.65,733.56,643.21,684.43,657.13,701.23,735.98,757.58,723.41
1963,603.97,571.01,589.88,747.63,600.48,515.88,579.67,695.64,723.54,575.68,587.01
1964,522.89,502.51,496.83,603.60,492.48,485.67,512.18,560.06,600.65,517.07,525.48
1965,610.59,583.46,589.78,704.40,593.98,561.18,577.96,666.20,685.37,617.75,611.14
1966,693.16,647.84,666.71,774.62,664.26,661.75,675.35,746.59,773.64,701.17,690.92
1967,675.69,641.10,649.28,793.59,647.29,623.88,655.51,738.55,781.03,673.61,659.74
1968,579.19,532.40,539.76,638.49,539.92,567.89,553.86,605.10,620.03,630.70,591.54
1969,559.88,547.34,547.67,593.54,543.87,526.63,529.05,598.45,593.31,583.70,575.34
1970,702.62,744.52,667.95,863.34,700.16,614.48,655.55,795.37,800.97,658.86,692.81
1971,517.05,498.29,494.89,562.83,480.43,495.37,503.13,536.50,573.62,530.66,528.74
1972,702.68,690.69,691.07,805.07,700.10,645.06,694.84,771.77,788.96,663.01,684.77
1973,608.48,582.46,573.21,740.27,586.40,550.67,593.29,675.16,713.06,592.29,595.43
1974,764.62,747.39,756.62,894.07,762.93,689.03,758.39,880.56,895.11,697.35,727.90
1975,505.76,502.18,485.32,534.47,484.76,497.15,476.01,519.80,541.88,526.63,518.43
1976,496.98,482.44,464.93,568.88,470.00,473.16,469.36,530.84,562.33,511.65,499.09
1977,673.62,654.37,626.42,784.83,612.36,635.76,663.86,713.42,790.09,670.65,672.94
1978,725.87,667.85,682.07,845.09,676.76,693.40,716.84,778.50,835.22,731.45,717.33
1979,670.91,612.37,636.76,773.54,633.73,638.75,671.05,741.20,788.10,663.10,648.05
1980,804.80,742.34,761.85,955.28,749.70,767.43,822.26,884.31,958.79,769.66,764.74
1981,770.98,650.76,712.79,993.25,717.93,716.91,802.44,880.30,985.12,730.17,700.49
1982,540.56,517.62,515.98,560.75,504.32,525.01,506.43,556.54,581.94,584.50,569.50
1983,686.20,592.91,659.28,807.41,632.00,671.06,710.69,753.08,816.10,671.25,638.46
1984,614.96,562.47,586.47,724.52,576.19,588.87,621.51,660.94,723.45,598.94,590.02
1985,713.23,635.18,667.66,832.16,656.37,691.44,723.07,767.85,845.99,715.66,686.06
1986,698.31,601.66,651.40,813.14,642.49,694.27,715.44,763.18,820.84,700.51,663.45
1987,675.83,597.40,648.66,798.30,650.90,635.80,669.14,752.63,786.38,676.58,647.93
1988,626.29,589.72,582.38,739.79,573.48,595.18,622.77,660.89,751.59,624.98,611.15
1989,671.67,608.68,642.30,745.99,629.84,635.10,641.32,718.93,761.84,710.85,683.24
1990,778.60,670.71,725.47,913.15,699.12,769.52,795.23,830.28,945.29,787.67,742.28
1991,599.82,485.19,556.96,751.16,550.17,585.09,632.04,669.75,742.63,590.70,539.64
1992,628.35,584.98,588.58,746.24,584.97,593.84,627.24,687.78,749.99,615.85,606.04
1993,677.52,654.60,654.29,757.04,649.87,640.61,662.23,721.58,763.62,673.96,674.04
1994,658.91,622.69,630.72,759.91,624.27,617.96,637.49,713.02,759.49,658.22,654.66
1995,681.07,614.76,651.14,773.61,642.42,661.66,683.96,739.59,788.81,687.53,649.51
1996,534.93,513.85,497.62,579.33,480.04,535.40,516.69,542.34,590.86,565.15,549.45
1997,675.00,621.82,635.40,770.06,627.59,658.72,653.68,719.69,763.60,703.71,664.89
1998,764.81,701.73,731.37,875.09,727.38,717.06,745.26,834.19,873.94,772.53,764.48
1999,630.99,576.43,598.94,792.42,605.70,571.91,648.92,722.59,789.50,581.80,577.28
2000,609.20,551.63,569.25,673.83,558.94,600.27,594.35,639.89,683.94,652.58,608.68
2001,740.15,655.78,687.46,889.21,682.77,711.73,753.24,816.47,893.02,734.35,698.05
2002,600.05,559.29,577.43,695.16,579.34,562.54,612.87,676.35,716.70,572.31,559.47
2003,615.96,570.66,584.36,716.51,587.12,580.43,607.26,667.18,710.36,616.14,603.06
2004,679.83,645.29,646.19,761.11,638.23,648.31,651.18,722.95,757.40,699.50,692.09
2005,630.04,602.41,595.77,690.94,592.77,603.34,625.89,656.82,704.76,641.77,635.32
2006,597.98,560.02,569.11,668.68,564.28,580.16,574.62,637.40,671.35,616.94,596.25
2007,734.89,671.17,704.99,915.98,724.21,658.43,769.43,861.15,918.63,665.32,654.33
2008,667.89,639.14,628.85,794.61,639.15,603.42,666.68,739.67,801.03,648.82,645.76
2009,716.18,706.73,673.97,776.59,667.59,685.05,673.58,744.52,784.76,755.80,745.17
2010,833.05,776.09,796.29,950.91,802.72,793.75,837.84,903.77,961.46,824.97,796.90
2011,643.77,576.56,606.30,788.66,624.08,588.26,675.99,736.61,804.28,607.04,579.78
2012,768.70,682.38,711.12,907.89,700.04,739.23,775.29,836.59,921.96,779.67,739.95
2013,671.53,656.07,646.87,752.13,637.22,639.87,649.23,716.19,746.62,670.67,672.25
2014,632.87,571.69,595.00,716.77,584.85,623.94,632.80,673.13,728.66,647.28,615.99
2015,561.99,531.27,527.67,663.28,528.67,530.80,548.55,615.46,656.21,556.69,550.27
2016,746.51,717.91,710.45,854.43,725.45,697.61,726.74,824.49,850.39,737.62,733.35
2017,821.38,764.55,776.19,961.97,769.90,783.07,802.43,890.39,949.66,824.50,804.74
2018,567.31,545.45,535.52,649.96,533.74,537.12,546.49,607.02,638.45,576.47,568.79
2019,600.14,531.21,555.73,733.95,554.56,576.33,601.19,653.94,727.82,600.47,567.93
2020,622.35,570.06,590.03,713.06,599.88,594.73,623.36,678.27,715.70,625.06,596.91
