Variable:,pr
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
1930,278.48,187.99,514.04,940.30,597.75,348.10,117.99,773.47,321.18
1931,297.64,190.73,470.99,997.51,644.36,371.39,149.14,869.71,368.90
1932,292.11,223.79,510.67,913.93,534.33,350.35,198.65,727.90,225.49
1933,336.27,259.04,490.38,1040.35,589.72,397.57,259.14,845.30,273.54
1934,261.48,201.92,406.97,747.55,518.49,268.86,187.01,653.55,286.07
1935,309.46,216.98,557.00,996.00,631.42,379.95,163.74,836.72,317.70
1936,274.63,191.68,510.86,924.43,560.06,334.64,134.88,801.85,298.59
1937,294.22,225.60,427.88,861.49,507.41,352.27,194.68,750.24,303.10
1938,264.50,221.54,388.69,748.65,527.28,264.09,153.51,654.03,300.99
1939,263.03,238.95,454.71,742.48,509.23,262.49,110.12,644.64,279.48
1940,256.19,183.60,422.89,816.49,513.55,300.33,140.35,720.43,295.62
1941,228.79,134.65,351.24,767.92,466.03,280.40,160.73,672.38,303.76
1942,368.40,293.19,527.60,1132.13,640.88,465.86,178.12,964.23,371.46
1943,257.83,198.58,464.86,764.59,510.28,291.72,157.05,606.35,240.00
1944,420.82,379.46,618.03,1235.09,679.08,452.67,287.14,990.57,344.39
1945,310.55,212.54,427.76,971.70,573.63,372.30,224.27,859.09,368.81
1946,218.85,146.69,347.36,617.45,402.94,272.38,184.33,517.49,192.34
1947,231.44,170.12,371.79,818.73,465.67,252.05,142.86,696.65,265.21
1948,312.70,170.00,513.02,1252.79,698.57,435.32,135.29,1081.65,387.43
1949,243.53,125.57,354.99,725.07,516.97,295.21,219.18,634.75,327.57
1950,298.30,172.75,499.54,1104.01,634.42,403.52,139.97,974.63,373.18
1951,240.34,158.32,449.50,909.08,561.53,280.88,82.14,788.99,322.75
1952,213.85,124.34,371.71,758.93,521.26,236.66,130.29,634.40,296.97
1953,296.79,145.28,487.12,989.17,691.30,359.34,217.72,902.32,428.23
1954,281.15,166.30,552.38,1062.51,685.76,316.30,148.96,861.08,374.76
1955,291.85,157.38,525.47,990.33,616.71,394.85,186.22,815.59,339.93
1956,414.92,247.22,765.60,1511.34,875.90,487.64,337.32,1194.59,428.87
1957,342.83,202.28,719.72,1272.46,853.03,397.82,90.84,1170.97,546.45
1958,262.16,168.58,464.58,849.11,568.49,299.79,167.55,709.35,321.70
1959,385.22,227.43,704.76,1362.85,794.63,478.45,286.04,1126.41,406.55
1960,264.94,145.36,611.71,916.07,643.70,359.62,82.08,741.59,320.90
1961,348.73,228.82,592.91,1132.87,624.05,414.43,358.47,879.56,255.95
1962,263.90,125.71,483.19,1001.57,579.04,373.82,172.11,829.07,290.55
1963,218.64,110.58,549.60,849.15,602.99,268.34,77.32,665.17,275.71
1964,294.55,127.42,521.34,1121.23,661.26,420.43,192.76,970.49,364.45
1965,286.00,135.33,760.74,1085.06,808.03,336.55,129.85,833.44,363.46
1966,264.70,107.88,529.12,1071.24,688.04,367.95,79.60,967.73,433.11
1967,363.39,213.42,685.20,973.64,721.91,425.97,336.62,851.30,392.22
1968,211.57,94.02,480.55,870.91,583.07,288.15,50.19,705.08,303.61
1969,217.52,88.50,427.81,852.41,569.55,319.00,43.38,733.58,358.78
1970,304.74,207.08,450.36,952.55,564.99,361.23,260.76,766.24,299.11
1971,200.29,71.88,423.56,751.41,469.45,322.72,110.84,622.87,211.19
1972,268.22,149.49,603.97,1115.87,726.05,304.79,61.64,917.68,428.68
1973,307.35,112.94,539.14,1237.70,757.18,470.87,111.98,1127.00,469.67
1974,207.59,80.31,420.15,891.09,572.16,283.55,33.87,766.43,393.78
1975,353.57,189.51,552.74,1339.10,700.06,506.71,229.64,1145.31,381.43
1976,389.10,238.57,580.91,1387.27,722.28,526.57,293.93,1165.43,357.45
1977,286.98,156.74,489.81,988.22,592.39,381.30,236.32,790.22,267.05
1978,363.12,196.96,523.90,1300.64,681.61,495.25,333.07,1075.90,337.02
1979,320.71,190.55,631.90,1158.76,756.51,390.50,177.53,911.75,358.31
1980,289.58,118.69,618.25,1188.05,757.81,410.20,125.98,1027.12,355.51
1981,320.64,152.69,559.58,1203.82,766.58,424.54,170.50,1049.79,456.12
1982,354.70,299.58,613.81,992.63,610.05,448.21,124.34,874.15,341.47
1983,366.27,229.92,637.52,1273.87,694.46,518.46,231.51,1047.37,288.40
1984,274.65,100.83,473.89,1206.55,663.42,406.23,176.24,990.32,332.65
1985,243.58,136.78,354.60,851.84,503.57,335.55,148.64,750.47,283.95
1986,339.48,191.90,626.91,1341.54,829.04,420.91,150.54,1096.98,442.37
1987,233.38,129.69,452.01,948.12,638.43,280.18,35.13,831.45,382.25
1988,317.91,159.95,517.02,1217.86,683.95,420.67,229.11,1099.09,377.51
1989,309.97,187.72,682.22,1052.28,650.53,409.31,174.83,863.98,290.02
1990,351.33,232.53,611.23,1083.03,660.90,480.45,162.50,1005.52,391.15
1991,255.60,161.87,606.25,983.48,646.12,313.24,39.54,798.62,330.77
1992,348.05,225.78,692.13,1240.71,738.13,452.86,159.24,1005.82,355.76
1993,229.56,105.96,398.74,903.50,543.07,335.42,87.10,809.38,315.20
1994,376.59,227.30,622.46,1309.34,768.50,425.90,358.58,1046.61,384.94
1995,344.14,188.14,623.60,1346.09,737.69,525.87,134.68,1107.61,335.18
1996,328.04,164.15,548.17,1219.05,766.87,436.62,115.48,1167.99,547.61
1997,333.38,219.62,603.27,1150.00,636.34,449.54,203.00,1005.60,270.99
1998,276.60,136.55,536.67,1079.89,696.16,363.16,112.57,916.48,386.06
1999,227.04,118.49,393.21,842.59,593.02,267.55,85.37,789.41,377.91
2000,205.78,65.85,376.00,955.99,546.13,322.11,88.49,792.70,261.87
2001,238.99,101.42,427.55,923.73,520.61,380.46,127.33,756.36,265.33
2002,208.99,98.31,455.02,922.58,562.80,278.89,46.00,775.97,304.26
2003,363.43,171.20,584.43,1366.35,833.16,453.34,276.06,1156.92,509.21
2004,247.54,96.65,512.37,994.42,625.84,370.70,70.60,845.33,377.20
2005,320.20,172.69,659.33,1054.85,724.29,445.22,122.30,916.04,412.92
2006,356.73,160.99,658.08,1498.21,836.78,478.46,234.02,1290.45,428.68
2007,308.04,173.18,593.93,1052.33,617.07,430.87,226.24,854.88,245.72
2008,328.47,157.50,676.26,1251.44,753.59,486.28,149.80,1026.61,359.07
2009,278.03,157.52,597.67,929.76,680.40,317.27,176.36,794.31,325.12
2010,391.04,140.75,701.48,1573.06,910.74,553.74,331.06,1235.75,463.17
2011,317.70,201.11,590.04,1084.91,666.80,433.88,139.56,924.74,323.79
2012,258.89,107.39,631.28,928.16,647.91,378.00,104.08,767.01,322.42
2013,341.38,178.14,703.40,1433.83,791.54,470.22,179.76,1129.98,336.36
2014,245.45,92.22,575.60,1089.46,609.12,386.27,82.16,910.33,286.41
2015,396.76,152.00,890.93,1649.47,1000.26,604.37,169.49,1345.91,455.76
2016,287.45,115.62,664.32,1101.78,703.05,443.46,122.61,847.54,322.57
2017,273.09,108.07,490.96,1017.65,615.67,408.16,151.98,882.71,384.30
2018,190.75,57.15,429.47,881.22,494.36,308.84,57.95,732.16,260.97
2019,366.53,227.08,683.46,1233.24,716.83,494.11,227.93,1033.23,348.31
2020,396.83,251.00,724.70,1217.31,732.00,519.62,305.17,1025.86,351.86
