Variable:,pr
,Bhutan,Bumthang,Chhukha,Dagana,Gasa,Haa,Lhuentse,Monggar,Paro,Pemagatshel,Punakha,Samdrupjongkhar,Samtse,Sarpang,Thimphu,Trashigang,Trashiyangtse,Trongsa,Tsirang,Wangduephodrang,Zhemgang
1977,2288.15,2016.28,2571.45,2541.34,1639.74,2070.33,2203.78,2743.58,1744.25,2630.40,1906.37,2460.60,2492.34,2738.58,1820.48,2357.21,2190.55,2477.65,2765.09,2335.43,2607.65
1978,2169.91,1881.96,2619.85,2487.69,1581.72,2193.01,2015.04,2476.13,1854.94,2370.73,1781.27,2130.45,2693.96,2562.23,1802.60,2125.96,1985.51,2326.63,2616.13,2219.96,2401.91
1979,1888.42,1503.74,2259.62,2124.85,1239.82,1862.16,1610.02,2218.85,1546.44,2363.92,1434.90,2247.90,2346.64,2389.07,1466.12,2099.55,1650.94,1956.02,2286.09,1751.34,2322.90
1980,1978.23,1703.41,2391.57,2299.29,1408.26,1983.37,1825.54,2232.51,1641.13,2191.96,1655.52,2004.43,2418.53,2364.94,1635.95,1927.74,1805.57,2123.56,2401.42,2019.17,2223.00
1981,1838.95,1492.13,2178.21,2098.28,1196.94,1725.24,1627.76,2175.84,1425.87,2262.38,1403.50,2103.71,2184.96,2348.15,1408.21,1962.86,1653.32,1976.99,2305.75,1784.86,2253.47
1982,1552.55,1182.44,1886.74,1836.67,955.90,1478.34,1279.02,1812.44,1195.61,1989.34,1202.64,1883.40,1850.12,2073.42,1200.57,1688.03,1328.04,1646.80,1997.53,1442.75,1987.68
1983,1680.28,1246.91,2150.89,2043.91,961.67,1639.66,1416.72,1939.41,1336.56,2111.36,1206.36,2015.52,2155.82,2221.17,1284.65,1825.26,1479.05,1776.20,2177.93,1562.12,2099.84
1984,2188.13,1682.93,2902.16,2720.08,1391.80,2357.41,1771.37,2350.54,1929.34,2603.94,1725.61,2319.04,2994.44,2865.44,1822.63,2108.27,1790.71,2289.06,2785.62,2083.93,2681.72
1985,2028.75,1667.64,2413.47,2308.08,1370.87,2023.04,1772.29,2273.90,1648.72,2446.69,1642.61,2199.67,2491.98,2603.32,1615.44,2034.50,1777.84,2191.41,2547.02,1980.80,2499.44
1986,1964.79,1648.01,2204.13,2195.22,1262.77,1721.97,1724.43,2363.77,1434.91,2475.97,1510.17,2318.88,2154.08,2569.60,1497.66,2110.27,1743.60,2164.99,2494.43,1915.24,2505.96
1987,1974.64,1546.10,2400.27,2314.08,1243.79,1853.92,1672.30,2214.67,1552.19,2510.40,1465.58,2437.15,2405.57,2582.76,1535.84,2256.37,1742.01,2004.42,2431.13,1841.52,2454.02
1988,2185.34,1677.59,2559.34,2538.70,1320.63,1917.92,1842.26,2691.67,1597.90,2914.53,1597.70,2771.34,2433.23,2947.40,1625.72,2487.74,1927.28,2312.73,2800.31,2000.19,2854.20
1989,1913.50,1537.63,2380.73,2326.09,1262.90,1782.34,1649.15,2212.23,1460.20,2302.03,1523.74,2060.48,2354.54,2494.59,1528.79,1941.14,1660.27,2044.51,2456.01,1884.60,2326.80
1990,2096.71,1762.65,2364.93,2309.06,1436.68,1909.80,1882.38,2514.24,1586.70,2600.92,1663.12,2490.84,2349.89,2618.47,1613.52,2334.16,1909.76,2204.33,2515.94,2015.41,2550.07
1991,2175.85,1816.18,2587.51,2469.86,1484.04,2110.48,1939.96,2538.01,1747.89,2613.88,1703.29,2435.43,2570.99,2660.36,1713.36,2293.04,1958.94,2319.38,2612.96,2133.55,2597.61
1992,1828.65,1481.36,2197.08,2119.39,1174.13,1773.05,1600.45,2176.73,1468.39,2245.12,1414.80,2019.77,2150.28,2335.26,1444.19,1905.43,1616.91,1969.05,2295.37,1774.58,2244.27
1993,1977.13,1586.73,2384.92,2296.67,1277.74,1903.41,1740.33,2293.57,1569.26,2440.63,1577.71,2295.19,2327.52,2525.98,1568.28,2093.99,1772.57,2073.89,2456.71,1885.71,2405.79
1994,1630.68,1388.11,1869.18,1819.66,1116.01,1535.51,1495.78,1898.81,1287.92,1972.62,1286.97,1832.07,1819.21,2026.33,1279.56,1728.70,1504.57,1750.09,1993.07,1605.59,1953.32
1995,1959.25,1592.96,2365.86,2284.06,1244.17,1868.86,1759.37,2242.73,1526.92,2400.52,1510.77,2259.03,2294.78,2473.47,1533.01,2093.46,1802.58,2075.42,2422.16,1900.38,2372.84
1996,1830.05,1524.77,2167.15,2065.30,1317.90,1829.62,1635.38,2074.16,1533.62,2125.58,1520.01,2006.55,2204.69,2204.67,1501.59,1910.35,1641.23,1925.43,2180.73,1792.41,2123.27
1997,1862.22,1525.01,2198.09,2087.85,1299.74,1876.48,1636.53,2127.40,1550.92,2231.34,1536.02,2072.06,2310.57,2276.29,1512.43,1926.45,1643.61,1967.11,2246.70,1812.10,2199.73
1998,2144.62,1760.73,2569.90,2434.84,1477.92,2164.31,1907.49,2453.13,1797.77,2529.90,1728.84,2393.03,2663.80,2629.91,1734.69,2276.77,1929.75,2227.65,2570.23,2050.94,2523.16
1999,2158.52,1771.07,2651.12,2475.55,1592.12,2314.03,1879.89,2364.41,1913.76,2429.42,1876.57,2197.32,2838.58,2587.20,1838.99,2106.79,1845.08,2266.43,2581.44,2139.49,2460.98
2000,2130.26,1763.43,2514.72,2373.74,1542.55,2167.45,1904.86,2432.52,1811.33,2502.75,1801.94,2335.53,2632.37,2567.18,1751.23,2166.07,1897.36,2229.16,2530.61,2072.45,2473.45
2001,2172.73,1774.94,2584.20,2478.94,1478.23,2093.89,1916.98,2524.53,1744.95,2624.33,1734.67,2425.78,2633.07,2714.40,1727.59,2277.13,1937.23,2304.70,2660.04,2118.78,2607.84
2002,1903.30,1584.84,2216.08,2130.25,1314.49,1844.08,1699.86,2217.01,1543.74,2278.90,1530.02,2116.77,2285.40,2348.23,1521.44,1992.46,1708.47,2029.41,2307.24,1857.29,2277.25
2003,2019.35,1688.88,2336.94,2253.33,1419.35,1948.25,1823.08,2348.39,1634.22,2403.83,1630.84,2227.88,2395.32,2467.29,1619.20,2131.23,1839.25,2148.90,2426.74,1976.33,2399.10
2004,2031.64,1711.36,2315.63,2240.19,1433.85,1946.07,1850.60,2367.65,1639.20,2400.33,1655.70,2248.01,2373.44,2457.82,1631.44,2165.91,1868.58,2175.42,2434.97,2002.46,2394.90
2005,1716.14,1445.18,1941.33,1888.40,1199.47,1597.58,1564.80,2028.59,1351.10,2085.76,1378.83,1954.86,1953.86,2110.60,1355.97,1843.30,1577.59,1829.69,2067.81,1668.86,2060.59
2006,1798.04,1505.04,2044.53,1980.88,1237.23,1706.57,1633.33,2126.31,1433.94,2169.59,1444.25,2023.68,2086.54,2204.90,1424.55,1914.22,1643.06,1926.83,2167.93,1762.15,2154.20
2007,2031.55,1697.03,2322.97,2248.81,1403.21,1916.10,1838.29,2395.11,1611.23,2472.36,1628.37,2319.59,2342.89,2484.78,1609.15,2184.99,1861.31,2159.74,2432.93,1977.54,2433.46
2008,2163.13,1805.23,2495.92,2398.97,1545.72,2117.29,1937.32,2491.35,1781.83,2551.78,1786.65,2412.80,2583.51,2595.18,1763.48,2281.52,1955.26,2292.29,2567.71,2129.73,2527.19
2009,1477.64,1206.36,1867.68,1766.51,1021.74,1507.58,1262.44,1631.72,1247.14,1679.33,1198.14,1567.29,1920.59,1839.42,1216.22,1491.75,1268.49,1560.29,1829.53,1451.90,1720.46
2010,2060.44,1653.18,2509.84,2385.00,1372.41,2054.40,1775.29,2357.94,1692.08,2484.75,1626.45,2348.72,2602.88,2564.01,1648.03,2178.18,1811.96,2156.59,2513.63,1985.14,2453.01
2011,1813.07,1496.31,2263.24,2118.75,1378.15,1957.66,1548.05,1944.89,1641.69,1961.03,1577.68,1757.85,2472.43,2177.14,1576.87,1708.83,1522.07,1916.65,2186.85,1825.32,2046.01
2012,1738.11,1441.06,2053.21,1979.73,1136.83,1644.09,1544.58,2037.41,1354.33,2110.10,1333.38,1986.39,2070.67,2179.75,1342.91,1902.84,1582.17,1849.62,2123.29,1673.57,2113.97
2013,2012.65,1725.90,2197.87,2150.65,1477.86,1861.51,1886.91,2392.93,1609.11,2370.23,1686.34,2230.91,2235.03,2378.88,1633.38,2146.99,1899.38,2170.68,2365.75,1998.33,2358.30
2014,1801.68,1571.04,2057.06,1996.38,1328.68,1724.26,1690.19,2068.22,1464.23,2035.79,1524.40,1879.41,2032.73,2134.87,1484.47,1863.93,1686.17,1943.03,2136.23,1815.30,2075.97
2015,1784.46,1414.80,2229.15,2119.99,1161.30,1784.83,1502.38,2018.09,1464.14,2162.08,1405.46,2008.53,2271.67,2285.56,1429.02,1833.17,1523.65,1875.78,2234.43,1728.62,2153.42
2016,1882.05,1601.59,2160.02,2086.03,1380.22,1837.51,1712.18,2162.74,1562.06,2176.43,1577.62,1980.99,2234.06,2272.37,1549.69,1918.33,1702.60,2018.86,2253.66,1875.80,2203.90
2017,2013.22,1666.90,2381.18,2295.51,1372.69,1922.47,1789.53,2338.97,1601.70,2440.70,1592.36,2269.74,2378.47,2513.39,1593.53,2126.73,1809.64,2134.83,2456.98,1952.59,2425.37
2018,1562.07,1322.92,1786.42,1730.62,1162.92,1518.08,1413.23,1766.13,1306.35,1799.83,1337.62,1659.40,1823.82,1891.99,1302.35,1590.32,1413.99,1668.63,1878.29,1567.20,1814.77
2019,1800.24,1499.37,2133.61,2045.50,1289.15,1795.58,1598.77,2034.94,1510.40,2073.15,1503.01,1912.43,2200.27,2191.17,1490.52,1834.41,1602.08,1916.14,2176.08,1790.06,2098.04
2020,2052.72,1664.08,2486.52,2378.44,1363.97,2006.23,1782.70,2374.38,1653.80,2486.33,1609.04,2296.82,2535.01,2593.77,1624.35,2148.31,1803.82,2174.53,2537.66,1987.26,2481.15
