Variable:,pr
,Mozambique,"Cabo Delgado",Gaza,Inhambane,Manica,Nampula,Niassa,Sofala,Tete,Zambezia,Maputo,"Lago niassa"
2001,1153.96,940.44,834.47,1193.43,1289.52,1038.98,1079.57,1643.07,1080.14,1427.49,818.89,1324.70
2002,870.43,1122.52,420.47,660.92,642.25,957.57,1107.22,939.07,663.54,1159.04,456.70,1347.64
2003,963.57,719.34,650.22,892.94,1009.27,997.89,981.86,1261.30,884.05,1276.42,658.10,1245.77
2004,1108.71,1244.36,658.87,880.06,1076.14,1170.15,1158.52,1363.54,921.51,1474.73,755.06,1414.76
2005,831.54,800.43,518.23,750.95,747.42,871.45,975.92,1006.63,686.85,1023.54,638.19,1311.89
2006,937.05,1146.73,643.44,763.25,925.78,1000.23,1092.91,1153.75,721.67,957.66,733.01,1524.93
2007,990.59,809.65,604.02,828.59,931.89,1022.95,1114.54,1192.74,845.85,1440.16,645.60,1361.20
2008,964.60,1056.78,545.79,746.86,761.54,1219.16,1129.67,972.16,783.79,1294.38,672.65,1298.96
2009,907.36,787.97,646.96,798.10,838.03,861.30,1086.63,1023.91,851.15,1119.80,693.59,1360.20
2010,939.55,1050.43,656.30,875.84,880.80,985.23,991.75,1182.18,751.01,1119.25,611.44,1285.49
2011,992.45,1119.16,611.67,741.60,867.81,1087.09,1127.57,971.48,947.60,1275.78,717.53,1440.39
2012,935.89,836.73,579.81,668.45,811.78,1020.29,999.70,1031.23,873.95,1400.69,772.61,1177.13
2013,997.51,1030.78,666.15,899.77,903.43,999.58,1084.17,1193.29,808.01,1326.98,720.89,1348.78
2014,967.39,1055.75,642.25,887.52,904.71,1095.69,1054.64,1181.32,762.71,1128.59,687.59,1290.72
2015,889.30,1170.08,507.39,618.58,596.84,1175.19,1047.07,811.07,725.49,1175.40,596.64,1072.49
2016,861.01,1128.77,582.71,682.47,702.71,886.39,1016.18,903.75,720.15,998.21,672.55,1295.73
2017,1141.02,1240.15,700.60,955.41,1154.39,1215.13,1274.75,1426.61,872.57,1409.89,819.30,1507.19
2018,1041.34,1220.38,601.47,749.34,773.86,1279.30,1260.84,1008.98,907.75,1351.83,660.72,1472.20
2019,1148.57,1193.68,569.58,779.88,1159.83,1169.04,1324.73,1362.86,1246.08,1394.35,616.87,1748.85
2020,859.93,883.86,575.23,682.36,799.81,794.09,1048.19,1028.95,643.47,1142.11,644.81,1420.44
