Variable:,pr
,"West Bank and Gaza","Al Khalil (Hebron)","Al Quds (Jerusalem)","Ariha (Jericho)",Bethlehem,Jenin,Nablus,Qalqiliya,Ramallah,Salfit,Tubas,Tulkarm,"Administrative unit not available","Deir al Balah",Gaza,Jabalya,"Khan Yunis",Rafah
1913,536.34,339.32,498.74,523.39,492.21,664.35,660.80,656.17,548.11,660.19,605.64,660.80,660.80,187.80,252.56,439.35,187.80,187.80
1914,515.03,336.30,480.23,495.43,474.49,633.60,631.40,633.66,527.32,631.70,570.84,631.40,631.40,219.40,281.37,468.05,219.40,219.40
1915,306.70,205.36,295.48,301.34,291.86,365.15,364.20,358.39,316.65,363.44,339.32,364.20,364.20,121.50,158.81,252.55,121.50,121.50
1916,650.18,497.73,667.11,619.74,661.52,724.28,728.00,731.94,690.43,728.52,653.30,728.00,728.00,353.00,445.54,677.77,353.00,353.00
1917,619.51,478.04,639.90,587.91,634.61,685.19,690.60,697.75,660.49,691.54,614.14,690.60,690.60,348.30,436.19,668.79,348.30,348.30
1918,698.46,476.39,672.76,670.31,665.38,832.76,834.20,834.39,724.46,834.22,752.27,834.20,834.20,318.90,406.53,656.74,318.90,318.90
1919,534.90,352.34,493.57,520.60,487.77,656.28,654.90,650.23,542.91,654.29,603.05,654.90,654.90,229.70,291.65,470.80,229.70,229.70
1920,663.25,505.19,671.09,631.79,665.63,745.51,750.40,752.72,699.72,750.70,674.18,750.40,750.40,363.90,458.39,691.86,363.90,363.90
1921,558.49,400.87,532.30,532.39,527.46,660.18,661.00,662.70,573.78,661.22,596.86,661.00,661.00,320.90,391.76,574.22,320.90,320.90
1922,506.75,340.70,481.88,490.94,476.40,611.16,610.80,608.65,522.08,610.52,555.75,610.80,610.80,205.10,271.91,451.88,205.10,205.10
1923,427.21,283.62,407.15,412.63,402.40,516.46,514.70,513.46,440.96,514.54,468.83,514.70,514.70,180.10,233.46,382.79,180.10,180.10
1924,558.97,382.77,537.27,539.31,531.41,666.64,664.90,664.81,577.85,664.89,605.92,664.90,664.90,259.60,329.83,520.65,259.60,259.60
1925,325.52,223.82,309.39,311.22,306.08,390.70,389.30,390.34,334.89,389.44,352.28,389.30,389.30,169.90,210.87,318.35,169.90,169.90
1926,499.98,332.33,470.45,485.73,465.18,608.33,606.60,601.29,512.63,605.91,558.29,606.60,606.60,191.10,264.16,444.13,191.10,191.10
1927,489.56,344.74,480.59,474.41,475.44,568.91,569.00,563.88,509.09,568.33,523.68,569.00,569.00,242.30,319.07,466.72,242.30,242.30
1928,479.26,321.47,458.67,463.26,453.65,578.11,577.90,577.93,496.24,577.90,524.02,577.90,577.90,176.50,244.92,431.95,176.50,176.50
1929,513.84,353.14,485.62,494.16,480.40,619.33,615.50,615.87,526.77,615.55,562.10,615.50,615.50,257.60,323.55,502.10,257.60,257.60
1930,405.31,299.29,396.16,386.90,392.48,470.26,469.50,472.23,420.88,469.86,424.36,469.50,469.50,233.90,287.56,440.41,233.90,233.90
1931,558.99,375.16,531.17,540.66,525.21,672.15,676.50,674.11,576.55,676.19,611.95,676.50,676.50,224.70,287.62,491.84,224.70,224.70
1932,289.33,213.56,282.31,278.00,279.72,332.28,334.50,332.67,299.74,334.26,306.56,334.50,334.50,164.00,225.08,334.05,164.00,164.00
1933,296.23,214.88,292.64,286.76,289.55,338.72,341.20,341.83,308.70,341.28,312.85,341.20,341.20,160.00,191.31,287.48,160.00,160.00
1934,562.39,376.51,534.66,541.40,528.96,675.50,683.50,677.43,580.98,682.71,614.30,683.50,683.50,218.30,282.59,472.86,218.30,218.30
1935,489.64,321.99,464.31,472.45,459.10,597.86,594.40,594.26,504.89,594.38,541.41,594.40,594.40,184.80,240.28,407.07,184.80,184.80
1936,506.70,346.98,488.93,488.03,483.60,609.00,604.30,608.48,526.10,604.85,549.28,604.30,604.30,206.50,262.49,466.45,206.50,206.50
1937,478.46,337.60,472.80,458.29,467.74,557.72,559.90,558.60,501.57,559.73,500.72,559.90,559.90,228.40,279.99,449.56,228.40,228.40
1938,710.00,496.75,690.39,684.09,683.09,840.56,839.10,836.06,738.61,838.70,762.81,839.10,839.10,307.60,391.02,667.34,307.60,307.60
1939,591.83,417.63,575.43,575.92,569.35,687.25,692.00,693.01,612.79,692.13,639.22,692.00,692.00,293.90,363.50,560.77,293.90,293.90
1940,526.41,339.23,496.57,507.09,490.18,645.68,639.10,640.22,541.36,639.25,580.36,639.10,639.10,241.30,305.35,490.01,241.30,241.30
1941,518.95,356.14,480.05,494.28,475.70,632.90,636.00,638.28,528.33,636.30,567.08,636.00,636.00,248.70,302.74,461.60,248.70,248.70
1942,485.93,342.30,472.65,470.90,467.72,569.38,568.90,568.12,503.58,568.80,523.62,568.90,568.90,237.30,290.45,450.12,237.30,237.30
1943,537.52,370.68,518.08,525.16,512.29,635.54,633.10,623.54,554.09,631.85,590.36,633.10,633.10,247.40,311.59,475.09,247.40,247.40
1944,807.12,592.40,789.37,770.31,782.41,940.01,941.60,948.25,839.83,942.47,844.50,941.60,941.60,419.50,510.93,806.25,419.50,419.50
1945,558.66,395.82,542.05,538.27,536.49,656.94,658.60,655.53,579.45,658.20,594.32,658.60,658.60,266.10,334.68,533.42,266.10,266.10
1946,321.58,224.14,313.28,313.30,309.88,380.18,376.40,371.15,333.34,375.71,349.25,376.40,376.40,140.90,183.08,289.13,140.90,140.90
1947,361.35,244.21,338.99,345.61,335.34,438.44,439.30,441.35,370.50,439.57,392.81,439.30,439.30,173.90,216.19,343.44,173.90,173.90
1948,557.76,365.70,534.12,543.00,527.14,670.75,668.90,664.17,576.20,668.28,612.37,668.90,668.90,238.50,311.70,501.20,238.50,238.50
1949,704.14,475.43,685.14,687.87,676.46,831.01,830.10,821.66,730.83,829.00,766.37,830.10,830.10,309.20,400.70,629.09,309.20,309.20
1950,400.67,276.66,383.08,386.54,379.07,478.85,477.70,473.65,412.95,477.17,436.17,477.70,477.70,184.70,232.17,365.47,184.70,184.70
1951,565.94,382.72,538.41,542.08,532.51,683.77,683.70,686.18,584.42,684.02,611.34,683.70,683.70,248.40,325.90,537.70,248.40,248.40
1952,323.16,227.53,311.62,314.69,308.48,381.74,380.10,379.25,333.30,379.99,353.95,380.10,380.10,143.10,185.73,293.45,143.10,143.10
1953,696.04,468.06,672.23,677.15,664.02,826.56,828.20,822.27,721.34,827.42,757.80,828.20,828.20,298.30,391.32,632.54,298.30,298.30
1954,478.39,357.25,461.24,461.17,457.18,559.22,555.20,563.67,492.16,556.31,507.51,555.20,555.20,270.40,336.21,528.65,270.40,270.40
1955,415.34,263.63,385.62,393.81,381.05,516.16,514.40,519.12,425.94,515.02,458.07,514.40,514.40,191.10,232.66,365.26,191.10,191.10
1956,416.09,302.59,414.99,402.39,410.68,478.11,478.30,480.41,436.31,478.58,433.95,478.30,478.30,201.20,259.77,419.15,201.20,201.20
1957,603.08,414.52,593.42,589.80,586.23,704.38,704.50,697.58,628.89,703.59,649.07,704.50,704.50,262.10,339.01,546.59,262.10,262.10
1958,244.80,157.58,228.06,237.18,225.28,300.97,298.70,298.50,249.98,298.67,277.23,298.70,298.70,105.40,132.67,211.67,105.40,105.40
1959,374.01,277.22,374.88,362.24,371.54,425.81,425.40,422.73,391.90,425.05,394.12,425.40,425.40,180.90,226.26,341.47,180.90,180.90
1960,283.72,173.18,239.83,270.70,237.27,372.99,369.40,370.45,279.10,369.54,338.98,369.40,369.40,120.60,156.29,252.53,120.60,120.60
1961,576.41,389.82,547.83,559.67,541.38,689.69,691.00,690.09,592.55,690.88,630.85,691.00,691.00,266.10,336.24,533.72,266.10,266.10
1962,284.33,162.48,229.95,265.39,227.23,388.00,388.50,386.84,277.69,388.28,336.58,388.50,388.50,106.90,151.96,261.04,106.90,106.90
1963,466.45,332.86,455.29,447.89,450.90,544.48,544.80,546.57,484.93,545.03,498.31,544.80,544.80,243.10,289.70,457.29,243.10,243.10
1964,585.50,405.08,541.52,547.92,536.81,719.75,720.20,724.28,598.34,720.73,629.33,720.20,720.20,298.90,384.19,606.27,298.90,298.90
1965,507.38,395.46,508.09,494.12,503.55,569.79,569.00,567.50,529.12,568.80,522.31,569.00,569.00,288.30,333.97,525.71,288.30,288.30
1966,509.94,337.86,485.57,499.19,479.59,611.67,609.90,609.45,524.71,609.84,571.95,609.90,609.90,214.30,281.88,472.63,214.30,214.30
1967,601.10,400.25,579.42,584.05,572.41,713.70,715.20,710.57,622.66,714.59,662.45,715.20,715.20,270.40,341.27,549.08,270.40,270.40
1968,476.81,338.24,443.59,454.77,439.64,579.98,575.00,579.59,484.89,575.60,515.95,575.00,575.00,253.90,309.11,472.76,253.90,253.90
1969,453.96,295.16,436.97,441.20,431.34,547.03,543.10,545.36,470.26,543.40,500.16,543.10,543.10,186.80,244.95,388.10,186.80,186.80
1970,432.36,286.24,392.80,412.57,388.75,537.06,539.00,534.57,438.10,538.42,483.67,539.00,539.00,189.60,251.03,416.93,189.60,189.60
1971,606.02,429.31,575.56,582.76,570.11,722.08,719.40,714.76,621.55,718.79,661.83,719.40,719.40,310.90,390.34,603.75,310.90,310.90
1972,433.22,309.44,422.30,413.33,418.44,508.00,509.60,503.47,450.78,508.80,458.19,509.60,509.60,214.70,269.64,415.51,214.70,214.70
1973,400.87,256.38,388.08,392.31,382.50,478.04,480.10,476.83,416.89,479.67,441.97,480.10,480.10,157.40,206.15,344.18,157.40,157.40
1974,761.98,556.99,748.92,729.67,741.96,882.43,886.70,882.76,794.74,886.18,798.37,886.70,886.70,385.20,488.86,776.11,385.20,385.20
1975,420.08,302.83,414.14,404.46,410.20,490.00,486.80,485.68,438.36,486.65,446.51,486.80,486.80,199.90,259.77,414.86,199.90,199.90
1976,386.06,231.67,325.18,361.60,321.55,514.74,512.10,513.79,381.64,512.32,445.62,512.10,512.10,154.20,212.51,343.21,154.20,154.20
1977,572.92,391.16,554.16,545.59,548.24,682.29,684.70,683.95,595.73,684.60,606.28,684.70,684.70,275.00,335.33,505.97,275.00,275.00
1978,349.72,215.98,326.34,334.76,321.94,435.44,435.30,439.06,359.80,435.79,384.44,435.30,435.30,132.10,180.70,291.10,132.10,132.10
1979,567.52,403.92,554.40,556.75,548.13,658.05,658.50,661.04,587.29,658.83,607.61,658.50,658.50,283.90,331.56,511.93,283.90,283.90
1980,574.11,414.27,592.92,577.51,585.43,635.46,629.90,626.19,606.41,629.42,617.38,629.90,629.90,262.10,331.92,525.93,262.10,262.10
1981,382.72,243.88,347.93,359.04,344.18,485.78,483.90,486.25,390.04,484.21,420.38,483.90,483.90,157.50,213.68,346.00,157.50,157.50
1982,521.66,383.79,518.75,495.68,514.41,601.78,602.00,601.90,547.16,601.99,538.51,602.00,602.00,276.90,339.06,516.74,276.90,276.90
1983,594.64,396.60,578.61,585.55,571.00,697.65,704.80,697.63,617.50,703.86,650.09,704.80,704.80,230.90,305.88,493.15,230.90,230.90
1984,431.23,276.41,414.98,419.24,409.49,522.00,519.00,515.11,447.24,518.49,475.06,519.00,519.00,163.80,214.64,344.50,163.80,163.80
1985,434.21,325.37,433.56,423.36,429.56,492.09,492.60,488.30,453.28,492.04,456.61,492.60,492.60,219.20,274.81,421.91,219.20,219.20
1986,632.54,395.96,577.13,592.20,570.42,796.11,799.20,802.99,647.07,799.70,700.20,799.20,799.20,286.80,358.24,598.05,286.80,286.80
1987,417.97,278.25,396.26,399.29,391.85,509.79,507.70,513.77,431.60,508.49,454.06,507.70,507.70,175.70,237.13,396.39,175.70,175.70
1988,620.05,437.11,605.34,618.86,598.27,715.29,714.00,710.24,639.54,713.51,689.50,714.00,714.00,281.00,353.85,564.53,281.00,281.00
1989,385.21,270.63,368.55,363.07,365.11,461.47,465.10,465.97,399.56,465.21,403.44,465.10,465.10,180.50,230.21,376.37,180.50,180.50
1990,370.07,264.97,370.59,362.70,366.37,422.03,423.70,417.02,387.98,422.83,392.11,423.70,423.70,167.40,217.06,343.18,167.40,167.40
1991,737.62,500.19,700.43,708.49,692.83,888.72,889.50,892.27,760.09,889.86,800.52,889.50,889.50,333.50,428.49,694.33,333.50,333.50
1992,706.48,462.70,633.88,670.85,627.39,887.34,886.70,894.39,711.71,887.71,790.90,886.70,886.70,336.00,419.67,654.09,336.00,336.00
1993,387.27,278.51,402.51,381.76,397.76,428.28,430.20,427.03,413.26,429.79,406.66,430.20,430.20,170.50,224.51,374.11,170.50,170.50
1994,707.80,513.96,706.62,676.20,699.52,813.67,814.50,822.13,743.83,815.50,729.78,814.50,814.50,383.80,463.98,722.95,383.80,383.80
1995,278.55,197.00,269.59,269.40,266.81,328.81,325.90,327.66,287.85,326.13,300.95,325.90,325.90,140.80,178.51,276.99,140.80,140.80
1996,420.28,289.93,406.06,408.47,401.56,497.84,497.20,491.86,434.83,496.50,457.29,497.20,497.20,183.30,238.46,380.48,183.30,183.30
1997,562.73,377.07,533.54,541.29,527.61,678.70,679.90,678.52,579.58,679.72,616.45,679.90,679.90,249.80,322.07,516.15,249.80,249.80
1998,359.15,240.62,341.25,351.20,337.32,429.63,430.20,423.80,368.72,429.36,401.30,430.20,430.20,150.40,195.71,307.54,150.40,150.40
1999,235.31,165.17,232.01,232.15,229.39,273.29,271.70,268.90,244.71,271.33,258.42,271.70,271.70,97.10,126.62,205.14,97.10,97.10
2000,454.10,308.09,418.21,430.28,413.78,559.52,555.10,565.32,461.56,556.44,493.47,555.10,555.10,249.90,333.39,508.46,249.90,249.90
2001,425.74,259.44,378.33,408.45,373.71,546.19,545.50,543.24,428.95,545.20,489.28,545.50,545.50,145.40,200.72,350.25,145.40,145.40
2002,537.51,366.99,504.93,517.77,499.52,652.41,650.30,649.45,550.72,650.19,591.70,650.30,650.30,233.90,320.65,534.57,233.90,233.90
2003,614.02,375.92,559.86,599.30,552.32,773.17,769.90,760.06,622.90,768.61,704.32,769.90,769.90,197.40,280.03,478.27,197.40,197.40
2004,412.33,287.44,399.16,396.92,394.98,490.15,487.70,485.45,427.66,487.41,441.87,487.70,487.70,193.20,236.67,387.21,193.20,193.20
2005,371.92,231.07,336.71,358.11,332.40,471.83,467.10,469.44,376.55,467.41,422.68,467.10,467.10,143.00,197.69,328.83,143.00,143.00
2006,377.59,245.19,346.23,364.22,342.06,468.08,465.80,464.33,382.97,465.61,422.99,465.80,465.80,172.10,220.23,346.75,172.10,172.10
2007,356.75,243.30,340.30,345.67,336.55,428.75,427.60,429.99,367.76,427.91,391.13,427.60,427.60,142.10,203.88,338.15,142.10,142.10
2008,321.94,218.20,305.13,309.46,301.73,388.38,388.20,392.79,331.45,388.80,350.21,388.20,388.20,143.90,200.10,324.90,143.90,143.90
2009,346.02,213.64,311.24,332.24,307.23,440.65,435.00,432.33,348.78,434.65,391.82,435.00,435.00,155.90,193.66,293.73,155.90,155.90
2010,423.24,311.69,426.23,413.08,422.06,482.06,484.50,477.52,445.96,483.59,445.48,484.50,484.50,168.50,208.85,386.86,168.50,168.50
2011,412.48,261.57,376.07,400.88,371.27,517.58,512.20,508.84,417.33,511.76,469.12,512.20,512.20,162.60,212.26,346.65,162.60,162.60
2012,484.13,320.14,451.51,465.32,446.29,596.98,592.00,596.60,495.32,592.60,533.85,592.00,592.00,206.60,270.60,450.11,206.60,206.60
2013,518.38,362.51,506.46,496.34,501.40,611.08,612.00,608.21,540.98,611.50,553.30,612.00,612.00,231.00,299.62,490.58,231.00,231.00
2014,424.80,301.16,414.93,409.29,410.64,494.14,497.40,496.29,441.82,497.25,451.77,497.40,497.40,216.10,262.04,410.52,216.10,216.10
2015,461.44,311.59,442.07,440.71,437.18,556.49,554.20,557.14,478.09,554.58,497.73,554.20,554.20,211.30,271.20,441.76,211.30,211.30
2016,424.23,275.92,397.06,410.13,392.23,518.43,518.30,516.79,434.64,518.10,471.61,518.30,518.30,180.80,230.40,376.41,180.80,180.80
2017,202.33,143.74,196.98,195.38,195.02,237.83,237.50,237.51,209.96,237.50,216.10,237.50,237.50,92.50,119.92,188.19,92.50,92.50
2018,525.27,357.85,498.57,500.18,493.30,634.53,633.20,637.48,541.60,633.76,566.76,633.20,633.20,256.70,322.25,510.89,256.70,256.70
2019,477.36,314.30,443.93,460.89,438.93,587.89,584.40,584.66,487.05,584.43,531.07,584.40,584.40,195.00,260.59,413.03,195.00,195.00
2020,639.56,444.44,617.15,613.54,610.73,760.07,761.10,762.51,663.56,761.28,686.67,761.10,761.10,290.00,370.01,611.57,290.00,290.00
