Variable:,pr
,Germany,Baden-Wuerttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thueringen
1918,686.86,779.92,731.82,560.80,554.84,756.17,731.94,695.63,592.56,711.79,805.33,752.39,724.37,565.64,531.14,735.57,549.16
1919,697.20,798.16,801.22,567.62,564.67,692.03,671.95,715.07,574.99,661.94,787.98,776.65,750.38,610.41,526.45,673.99,585.72
1920,652.04,698.42,737.70,566.09,565.82,688.54,713.02,638.06,594.43,645.56,682.01,656.28,633.05,590.68,526.03,723.41,556.18
1921,523.54,562.95,594.23,518.06,509.27,559.82,632.14,453.58,560.62,537.05,466.98,410.51,418.17,476.38,452.49,674.31,422.84
1922,809.92,1094.65,972.21,592.35,592.62,712.10,755.72,871.28,621.67,714.92,846.69,928.34,911.80,644.42,573.21,763.01,664.14
1923,716.66,819.86,778.65,556.61,551.27,784.32,770.66,754.59,578.89,722.02,818.78,828.19,813.98,576.45,533.98,815.26,600.07
1924,692.83,826.05,780.57,529.50,524.90,719.82,691.42,746.70,536.55,669.95,783.95,805.27,770.12,552.89,516.98,695.62,594.36
1925,711.17,789.91,733.56,574.83,571.40,801.31,773.50,716.95,612.58,739.16,883.91,836.06,803.85,580.98,526.88,798.97,544.53
1926,764.08,808.57,813.01,702.46,688.39,806.49,859.25,738.78,714.56,793.79,827.64,762.69,738.44,680.49,649.35,858.07,638.36
1927,783.10,936.82,821.78,666.99,669.50,829.18,879.38,782.15,738.50,783.63,812.63,812.18,805.50,670.54,618.67,923.97,655.13
1928,670.97,748.22,703.75,537.73,533.52,765.56,760.11,676.28,605.14,698.27,778.02,749.11,716.08,529.30,506.64,818.53,532.98
1929,584.77,695.25,674.19,450.25,451.86,602.34,625.44,586.84,477.32,564.97,627.47,627.61,615.99,498.79,431.61,664.70,481.26
1930,792.50,981.49,852.02,595.31,600.03,802.29,804.67,843.33,669.37,776.24,915.58,946.28,925.84,613.99,575.00,822.38,635.54
1931,784.83,974.51,839.07,634.13,633.03,808.92,837.55,827.58,685.33,790.25,838.18,852.27,838.78,632.39,601.46,829.38,651.29
1932,647.35,787.04,702.22,460.14,465.34,693.34,696.35,681.64,529.05,643.27,773.83,774.32,739.22,477.17,446.97,744.20,507.82
1933,597.84,737.38,759.45,467.86,468.63,576.92,602.53,562.44,528.53,563.48,602.37,565.40,564.60,458.79,443.77,605.52,466.21
1934,603.38,716.96,670.32,498.92,499.95,652.05,661.30,581.78,542.71,591.58,642.80,623.68,590.08,512.47,451.21,713.22,493.75
1935,727.01,875.74,776.13,577.99,576.12,783.47,774.61,736.46,646.11,734.32,831.55,807.31,788.50,567.14,545.51,799.96,580.57
1936,729.37,914.36,848.58,530.04,530.18,751.64,758.41,762.38,578.49,704.17,792.57,808.14,790.39,557.51,524.31,781.98,594.29
1937,712.74,811.53,800.33,590.60,586.37,750.08,760.52,684.42,636.50,712.41,783.79,769.11,765.43,593.62,544.33,780.05,569.01
1938,659.30,780.43,729.47,535.72,541.37,707.98,701.17,645.04,538.36,653.67,727.14,689.07,654.35,598.29,502.69,720.82,558.13
1939,835.38,1098.91,971.76,691.65,687.81,769.34,782.40,834.54,689.52,765.28,859.60,890.83,889.21,721.95,630.97,779.09,686.89
1940,762.12,989.88,869.94,568.75,564.65,753.31,731.32,807.69,570.76,722.01,853.61,860.65,818.68,617.57,552.76,734.64,640.02
1941,749.20,877.78,897.86,643.23,639.28,690.82,702.51,761.03,602.03,690.49,754.48,759.21,727.55,711.03,599.76,695.21,666.67
1942,618.31,746.78,680.97,476.89,477.75,676.30,642.15,621.03,547.47,620.26,721.02,678.30,648.99,467.88,445.13,677.72,473.69
1943,571.18,630.49,615.42,443.11,434.97,622.76,620.71,596.48,507.85,571.98,703.16,674.00,617.73,412.64,415.67,667.58,441.91
1944,770.62,903.01,949.22,590.28,584.71,747.15,739.20,777.55,586.33,721.49,872.58,823.29,754.34,639.04,552.10,763.65,621.93
1945,711.09,795.99,783.77,594.41,595.59,751.15,777.13,718.13,629.33,711.91,784.87,719.66,656.32,617.51,548.57,813.29,592.47
1946,690.30,764.45,740.00,591.67,590.76,743.73,737.53,701.07,620.51,688.63,768.13,717.59,669.71,612.55,552.25,766.84,593.25
1947,617.01,698.33,679.52,513.81,511.08,608.56,605.61,652.36,532.24,601.70,703.77,684.87,640.64,526.53,478.37,603.29,517.38
1948,672.62,767.05,767.39,544.25,541.95,670.32,664.40,674.94,568.57,639.04,785.36,768.96,729.25,554.76,507.62,672.07,540.02
1949,604.39,567.12,688.10,531.23,524.86,679.69,699.22,572.17,578.43,633.51,651.93,586.10,533.93,523.18,496.76,733.57,503.60
1950,774.45,855.89,792.57,616.74,613.02,856.16,859.80,847.97,664.25,799.43,895.54,884.29,834.11,637.83,600.76,907.31,662.46
1951,700.53,823.24,740.54,526.32,523.76,789.31,794.14,718.68,602.63,716.85,813.09,800.10,786.85,528.45,515.35,869.17,557.97
1952,741.15,889.97,840.88,533.32,536.45,739.48,732.89,803.49,580.49,685.46,886.52,908.47,875.58,579.47,510.22,786.12,598.86
1953,558.37,624.54,621.51,491.27,479.03,605.50,622.09,537.47,485.66,574.77,589.24,529.16,485.37,471.56,465.24,653.13,471.86
1954,782.18,894.65,918.37,616.90,620.36,825.57,812.43,756.13,681.61,767.46,834.39,787.52,739.39,648.37,617.06,864.04,644.97
1955,699.18,828.45,840.73,588.29,584.72,688.20,675.97,682.29,578.79,656.34,714.25,673.22,655.53,636.34,562.36,681.60,612.78
1956,739.55,844.94,850.48,619.27,617.41,741.60,695.91,750.33,626.00,705.24,834.05,771.95,706.44,633.06,593.56,701.30,628.57
1957,701.18,758.35,771.19,551.18,549.23,777.46,743.35,723.36,570.10,728.23,837.32,744.28,683.23,580.62,539.99,752.94,598.48
1958,793.33,934.00,884.97,605.82,612.80,798.50,778.39,841.93,642.93,765.01,891.41,883.84,853.04,677.61,613.21,825.31,678.44
1959,524.50,673.86,647.03,461.29,450.59,457.27,471.30,486.38,454.94,450.95,527.06,539.44,538.99,443.74,407.38,507.50,418.44
1960,786.55,875.97,817.85,623.73,618.64,865.18,852.64,831.97,707.47,815.98,932.26,842.78,810.47,633.75,602.12,900.93,671.89
1961,759.91,778.60,762.57,643.84,636.09,859.60,806.24,830.51,656.62,806.21,952.18,851.68,773.83,600.51,613.06,832.10,646.78
1962,641.91,684.64,697.87,525.43,521.23,726.85,732.94,629.28,589.41,674.48,762.20,676.09,612.16,508.27,478.75,748.26,501.07
1963,620.18,779.37,699.31,455.47,456.59,650.03,658.72,621.01,512.54,615.11,675.15,644.00,624.52,504.02,450.88,712.05,526.57
1964,599.84,683.42,726.30,517.82,509.19,598.02,600.03,558.84,503.82,572.41,649.99,597.40,553.14,510.06,463.89,642.24,458.32
1965,877.79,1095.32,968.34,623.76,627.06,912.57,885.07,955.70,671.76,852.14,1031.53,1027.33,944.22,700.53,623.38,904.31,734.93
1966,878.05,983.85,990.29,673.03,677.75,919.37,885.65,915.86,713.43,868.37,1039.30,957.75,884.98,715.20,661.07,930.16,729.77
1967,745.71,811.98,755.31,672.86,653.32,835.88,823.41,782.56,669.89,784.16,814.75,794.89,787.53,648.89,608.20,861.94,643.35
1968,755.87,995.77,813.70,587.06,584.34,807.29,790.86,800.39,645.66,740.84,800.33,837.23,838.38,600.01,539.40,847.05,608.11
1969,650.86,800.75,674.60,525.19,520.10,721.25,700.43,671.58,539.32,674.79,725.40,683.38,675.14,537.54,525.29,717.88,552.40
1970,794.44,911.63,900.36,613.39,615.53,859.94,847.14,795.38,674.94,805.29,855.78,813.21,816.55,675.41,617.80,873.45,686.70
1971,551.74,657.07,629.84,461.03,451.59,563.55,555.68,539.69,454.87,539.27,582.89,548.77,523.47,495.78,434.85,595.60,480.46
1972,611.46,718.16,664.08,472.31,473.77,672.09,663.69,619.27,520.82,635.71,676.12,639.72,643.62,492.80,487.94,667.55,523.73
1973,635.83,810.39,726.44,498.22,497.17,717.01,705.86,593.70,550.95,650.13,674.01,623.73,598.80,490.40,471.77,723.39,486.38
1974,779.34,880.84,902.93,641.72,644.43,806.42,773.47,762.01,653.33,752.37,884.19,823.61,775.84,669.15,598.02,808.31,617.69
1975,621.24,841.20,757.02,441.74,443.71,623.23,606.82,630.60,475.91,583.74,653.61,659.05,652.18,488.21,431.36,590.97,499.03
1976,538.51,683.36,667.04,408.20,408.10,568.10,558.32,514.18,449.20,525.72,548.61,513.86,515.10,446.99,379.78,551.98,416.20
1977,745.58,869.30,832.43,628.84,624.47,744.48,739.46,763.03,622.05,722.07,796.25,793.03,795.97,669.30,612.45,737.04,646.91
1978,710.33,947.25,810.95,598.62,590.25,727.36,748.28,695.23,626.42,671.23,699.18,741.30,734.20,580.61,531.70,740.88,553.77
1979,748.23,888.84,890.07,583.56,569.71,766.37,756.75,752.94,602.89,723.72,828.32,823.19,829.67,598.12,535.15,767.48,591.95
1980,751.82,807.73,808.60,609.57,608.04,872.08,862.36,741.92,678.08,793.53,848.42,819.60,801.37,615.14,574.14,897.68,596.62
1981,878.12,993.49,965.78,671.39,672.64,913.52,882.54,956.96,725.74,872.76,1007.39,976.98,937.29,731.50,666.26,914.81,769.29
1982,642.68,921.70,738.34,407.51,402.05,678.83,665.04,660.91,471.00,620.18,736.44,785.11,801.55,424.60,409.10,685.37,472.39
1983,710.90,826.18,760.09,589.50,578.21,775.44,784.11,709.07,625.48,733.21,800.98,768.01,752.57,569.19,553.38,791.49,574.50
1984,727.69,826.42,750.60,544.30,541.78,805.58,767.13,794.10,597.71,753.12,892.10,843.01,806.31,568.80,554.08,801.92,623.94
1985,666.42,751.21,769.06,529.20,515.72,763.74,766.37,638.42,577.73,706.46,726.44,662.31,644.86,514.59,489.02,798.00,520.50
1986,756.51,951.99,802.41,635.99,624.75,787.83,777.53,771.67,642.62,748.56,828.54,818.85,834.08,640.79,593.86,778.76,625.64
1987,804.83,928.60,887.47,665.34,655.50,831.40,828.37,835.57,686.77,799.29,887.72,877.00,854.05,669.31,633.57,833.52,679.29
1988,783.87,973.07,890.68,571.41,572.44,858.97,863.73,781.26,638.41,786.56,875.84,875.49,860.76,606.30,544.33,886.40,601.32
1989,622.20,729.55,732.17,442.12,443.29,676.74,656.68,630.92,497.66,620.17,693.81,703.18,697.21,479.21,442.01,677.98,495.69
1990,717.89,849.42,804.58,590.18,572.81,804.89,835.01,695.16,631.30,747.47,746.18,743.75,730.62,537.21,553.44,863.17,562.81
1991,593.13,675.95,697.33,474.76,467.02,672.91,685.38,538.09,555.62,613.86,629.77,570.09,553.26,462.35,432.99,709.50,462.25
1992,717.39,860.62,784.66,542.54,531.49,766.89,739.04,768.56,564.33,736.28,819.23,761.79,704.51,562.09,566.24,762.22,618.41
1993,771.74,837.50,829.64,651.22,642.33,884.80,884.55,771.44,696.78,826.75,867.71,783.10,743.37,618.54,603.99,888.76,622.95
1994,774.74,876.86,793.51,653.76,648.93,909.31,898.31,758.90,706.04,851.01,853.49,746.90,719.14,631.50,647.17,931.35,649.97
1995,765.53,966.61,881.12,607.00,597.71,759.16,742.58,775.78,618.79,733.41,820.87,817.64,822.67,649.05,575.88,742.59,650.39
1996,604.41,778.90,749.92,487.36,482.48,547.97,533.51,615.63,475.78,541.98,599.97,612.07,618.28,518.12,464.95,537.00,525.54
1997,646.18,746.80,701.57,554.06,544.73,658.97,661.17,658.58,556.84,641.60,714.20,728.59,722.14,555.64,500.58,662.68,527.53
1998,790.11,823.28,806.96,655.36,647.15,938.01,893.79,801.22,718.74,873.20,959.58,807.02,744.54,640.53,613.73,917.72,669.26
1999,753.80,988.59,863.53,545.71,525.81,796.26,761.38,776.24,575.15,740.99,861.54,834.33,825.59,546.02,515.55,816.31,614.35
2000,740.25,852.83,844.44,595.25,581.63,733.02,715.68,765.42,592.15,714.51,875.63,863.37,853.34,577.33,542.44,731.22,599.80
2001,796.24,972.53,878.47,596.11,597.03,834.41,813.47,826.86,654.39,787.17,923.39,915.65,886.20,638.42,577.29,826.51,631.95
2002,883.76,1096.99,990.72,676.11,675.90,928.01,922.73,923.53,726.89,878.38,941.88,924.96,883.09,723.30,680.19,939.11,747.50
2003,555.86,610.57,588.29,450.41,438.33,624.83,618.28,574.00,477.63,588.18,645.33,598.91,576.01,435.17,442.96,634.02,475.03
2004,710.81,781.16,750.69,575.16,566.92,821.74,795.24,706.31,618.26,765.01,817.54,718.61,682.46,602.78,565.36,818.71,617.13
2005,697.22,786.59,806.50,581.76,577.68,735.99,719.00,681.20,590.74,699.83,755.69,666.73,623.07,613.95,553.28,718.41,605.23
2006,683.78,879.26,761.23,521.28,512.40,691.60,702.78,697.82,553.30,669.08,746.31,759.07,781.65,540.15,511.22,726.65,572.14
2007,863.56,893.79,882.25,782.91,764.28,977.53,985.23,860.86,826.86,934.92,955.60,845.63,810.98,728.65,744.48,984.38,773.98
2008,704.18,815.52,745.58,561.61,560.07,775.95,753.58,715.45,605.95,724.44,819.78,783.45,760.63,578.44,530.11,777.26,575.03
2009,733.42,846.54,812.25,604.53,596.61,748.97,734.89,777.74,597.65,718.25,802.94,788.01,765.38,643.55,579.82,748.83,651.40
2010,768.17,877.81,843.63,690.84,679.50,769.18,780.19,761.25,680.12,730.64,797.52,799.23,780.63,751.46,616.54,810.46,687.84
2011,656.39,733.27,730.64,544.86,543.03,759.62,755.99,618.07,609.60,681.94,708.85,641.14,618.75,554.38,494.85,790.35,526.97
2012,708.65,874.25,796.18,565.76,566.42,724.82,712.95,695.89,571.76,686.62,796.31,770.32,764.43,612.58,525.98,733.54,575.35
2013,727.05,885.30,826.17,623.29,611.65,702.04,719.30,722.36,610.30,679.26,746.29,780.35,810.29,661.21,576.18,727.73,632.77
2014,692.05,803.59,768.32,546.49,540.29,717.31,723.35,725.45,596.49,679.55,777.97,757.03,733.25,565.31,499.82,774.10,584.58
2015,640.68,668.31,677.40,520.46,513.12,816.09,790.48,600.66,590.58,724.18,739.01,623.32,579.48,510.76,494.24,841.77,504.84
2016,697.63,889.24,839.59,496.97,500.22,691.78,668.53,701.92,520.72,656.93,785.19,778.81,760.21,551.42,486.05,694.09,558.59
2017,794.34,859.68,851.64,703.02,697.99,931.52,961.75,728.66,779.99,860.98,833.77,732.47,699.20,663.32,653.04,994.74,637.26
2018,561.71,676.46,702.95,391.50,389.97,570.62,548.09,569.63,428.25,524.01,638.05,636.77,627.47,422.23,370.28,582.12,437.66
2019,666.07,815.77,760.16,499.58,491.92,765.82,728.76,638.63,565.07,684.99,753.77,713.47,691.94,482.11,461.93,789.81,492.77
2020,643.53,714.96,788.70,493.04,493.61,713.67,679.68,599.40,540.83,641.67,703.08,643.12,620.84,531.15,461.08,727.47,512.82
