Variable:,pr
,"Republic of Serbia",Borski,Branicevski,"Grad Beograd",Jablanicki,Juzno-backi,Juzno-banatski,Kolubarski,Macvanski,Moravicki,Nisavski,Pcinjski,Pirotski,Podunavski,Pomoravski,Rasinski,Raski,Severno-backi,Severno-banatski,Srednje-banatski,Sremski,Sumadijski,Toplicki,Zajecarski,Zapadno-backi,Zlatiborski
1927,785.17,733.39,771.22,764.25,724.81,634.44,686.70,911.93,840.77,993.23,746.79,695.51,729.16,778.80,799.17,865.54,1008.63,571.65,556.37,603.88,706.12,862.00,828.94,748.77,605.06,1059.13
1928,596.69,581.19,581.42,548.52,580.40,456.38,501.46,671.58,624.96,749.63,577.26,579.86,585.17,566.13,599.00,658.47,782.89,428.66,397.26,424.19,506.96,629.44,644.66,577.00,472.34,844.75
1929,779.26,734.34,769.61,727.57,781.53,596.15,662.79,877.58,786.84,988.75,783.28,759.44,769.62,768.09,807.83,885.97,1020.98,551.10,536.71,580.02,653.98,857.54,870.05,772.08,577.67,1018.36
1930,682.76,640.24,652.77,641.66,631.66,559.43,581.73,795.31,725.71,847.51,636.04,617.12,636.50,649.19,670.73,733.55,862.60,553.33,525.94,543.54,601.55,724.38,713.92,637.23,584.09,950.21
1931,759.36,739.14,757.21,724.34,710.12,598.78,661.40,862.68,791.01,942.78,736.27,686.28,738.72,748.73,779.37,833.80,959.29,556.65,534.70,582.71,660.53,824.05,803.81,750.04,590.80,1030.66
1932,727.72,689.49,734.33,740.14,575.76,638.19,668.28,875.15,826.65,907.69,633.14,530.87,585.43,731.48,733.89,770.84,904.29,569.65,563.36,611.33,704.69,792.64,707.63,665.76,603.16,1007.03
1933,764.35,766.13,773.02,738.91,659.08,624.84,680.28,866.05,820.34,940.20,708.27,633.38,695.28,753.53,783.47,827.52,964.42,588.41,563.08,602.57,688.94,817.98,775.88,749.83,635.68,1044.04
1934,736.53,695.76,731.23,718.42,649.07,626.91,647.31,876.39,802.86,915.86,670.30,622.91,647.36,721.97,737.56,790.16,921.64,574.31,558.50,594.46,680.92,797.03,752.22,678.07,606.42,1007.99
1935,638.07,639.69,643.98,610.92,584.16,521.00,569.57,711.99,662.57,777.07,602.73,570.14,608.02,628.21,650.21,691.49,799.52,500.44,482.87,511.51,568.36,681.65,661.58,623.30,528.53,835.50
1936,749.66,677.30,714.59,728.84,707.86,638.86,648.89,865.49,824.79,907.81,704.25,708.48,716.15,713.31,723.42,779.42,916.12,602.79,577.25,607.36,698.18,782.14,760.20,688.98,639.15,1023.29
1937,983.91,910.03,959.06,951.19,888.12,812.55,856.16,1140.70,1065.07,1242.21,916.07,857.61,896.01,962.86,984.21,1063.04,1257.32,757.08,722.19,768.76,890.50,1067.35,1011.67,912.83,816.24,1359.59
1938,679.85,664.77,682.95,649.98,635.22,547.75,597.47,772.59,717.98,841.21,656.41,616.87,646.25,665.50,695.03,745.99,860.31,509.63,493.78,529.47,602.12,728.13,720.41,665.76,544.28,893.20
1939,814.08,846.24,845.27,755.24,753.73,615.28,713.51,911.59,814.71,1024.16,791.62,728.11,785.83,808.83,862.70,913.63,1057.52,584.16,570.21,614.49,673.68,889.11,863.74,821.49,610.80,1093.67
1940,894.51,811.94,858.53,873.48,815.11,758.43,779.62,1040.65,994.39,1102.96,834.61,799.06,828.65,860.85,873.19,945.18,1111.82,707.00,671.69,712.89,833.69,949.12,915.81,826.98,755.89,1228.79
1941,860.38,835.63,856.40,843.62,750.78,711.91,755.94,1016.97,952.73,1074.16,801.58,703.49,786.15,842.61,869.47,925.07,1080.26,625.49,610.91,670.46,795.16,924.32,879.05,831.70,668.66,1196.32
1942,697.02,696.02,704.05,664.31,640.02,549.46,608.86,787.11,734.63,868.41,669.87,620.64,666.95,683.12,716.83,765.36,895.09,500.34,483.14,525.07,611.73,745.80,730.08,692.60,539.45,948.22
1943,663.65,584.48,620.90,653.63,586.00,554.05,563.92,795.33,756.99,849.02,597.61,566.49,574.43,638.15,645.34,713.16,862.71,491.72,466.24,503.13,621.96,712.09,683.20,595.27,548.87,967.49
1944,847.96,812.36,845.01,817.04,787.29,673.17,742.99,967.52,902.63,1067.82,815.05,761.61,810.56,841.65,869.96,933.47,1084.86,611.29,590.80,643.40,752.68,927.67,892.64,824.12,649.49,1142.78
1945,582.58,514.55,550.57,579.02,533.51,518.73,507.05,688.47,666.69,701.32,530.63,523.50,515.94,547.30,555.50,598.97,706.83,479.88,467.03,486.68,571.76,594.97,581.52,516.44,502.00,801.69
1946,602.17,562.26,572.50,574.47,574.04,495.05,513.54,693.05,652.50,736.15,575.25,560.23,581.78,567.76,592.45,645.79,752.10,465.37,452.20,478.45,547.09,625.65,634.86,573.57,488.86,823.51
1947,593.09,581.56,583.33,573.67,541.51,477.11,512.36,688.32,647.96,739.25,561.44,532.98,564.91,572.69,597.24,647.00,760.02,413.77,400.71,443.01,539.59,626.27,623.33,583.82,460.16,814.08
1948,650.09,597.09,624.32,641.60,569.14,568.75,559.45,774.28,744.22,792.65,589.76,544.71,573.34,613.76,628.66,676.43,802.52,522.06,492.60,519.73,626.39,670.60,648.35,596.27,570.63,917.25
1949,705.59,692.17,703.26,671.84,668.69,566.88,608.67,812.54,739.61,866.01,692.64,649.26,689.22,683.74,719.87,773.91,886.34,505.83,501.01,543.88,625.26,752.94,754.56,704.46,530.94,942.05
1950,621.48,569.37,605.62,607.39,545.60,526.50,551.68,715.81,679.53,772.89,557.92,541.83,538.33,610.08,620.15,670.46,788.15,508.56,485.12,509.73,576.06,670.57,633.53,560.15,533.94,842.74
1951,731.04,708.18,724.64,708.42,678.54,614.51,645.67,811.25,780.61,876.78,695.44,667.84,711.16,714.67,734.23,779.60,898.03,580.87,550.55,585.78,669.56,765.86,752.00,711.83,629.77,954.99
1952,748.04,708.23,734.95,744.70,639.79,624.33,653.68,867.13,844.88,927.77,678.87,602.19,652.69,738.08,761.26,804.82,941.35,578.44,571.04,601.31,703.08,801.09,756.63,706.39,598.38,1034.46
1953,625.85,643.20,642.95,602.45,577.37,512.28,563.42,702.86,677.71,745.96,608.35,552.38,616.21,612.37,635.69,666.54,761.43,480.66,469.23,499.10,563.36,656.46,649.55,630.42,500.88,806.77
1954,836.74,894.26,893.19,812.01,747.24,681.65,775.91,917.88,864.26,1009.91,816.96,701.98,820.82,855.09,887.28,912.06,1026.62,619.97,599.78,659.90,744.24,911.87,860.05,863.01,668.18,1048.46
1955,931.94,880.03,921.04,940.51,821.44,800.73,837.15,1101.29,1049.82,1140.69,850.72,807.13,868.82,926.39,925.82,967.70,1119.81,730.77,703.26,758.27,889.86,1003.54,907.87,882.44,781.80,1234.62
1956,738.57,762.48,770.89,700.23,733.24,593.81,653.11,789.83,760.88,845.75,756.16,712.33,762.41,729.18,777.54,816.63,900.31,541.01,523.65,572.39,657.19,769.77,801.37,776.10,589.07,901.11
1957,745.57,790.09,783.25,670.40,771.41,543.99,654.71,797.65,719.13,913.73,779.79,750.10,815.57,740.69,785.87,833.06,950.08,507.05,496.43,539.69,592.98,809.97,814.35,794.28,523.16,956.76
1958,652.96,551.54,578.89,646.17,570.06,539.16,538.48,822.76,726.23,871.71,580.96,533.00,541.49,613.38,625.83,710.34,869.61,492.07,475.96,505.94,602.63,706.03,679.67,565.28,521.22,987.72
1959,769.88,674.03,716.34,744.67,710.46,632.33,640.98,924.65,858.12,972.25,719.67,693.89,724.80,731.00,757.66,841.40,990.76,558.48,533.11,583.27,707.53,815.92,811.56,704.14,625.66,1101.55
1960,779.75,772.81,776.91,741.18,757.71,626.05,687.01,852.67,823.34,942.33,768.79,742.73,795.90,759.32,785.96,837.72,967.42,583.49,558.59,600.39,693.05,821.90,814.91,779.25,626.40,1020.83
1961,616.21,581.79,586.89,569.35,619.01,476.72,511.89,698.86,650.61,769.60,604.91,608.49,653.63,573.22,617.07,683.31,796.16,423.13,407.21,451.68,531.05,639.09,665.32,604.90,478.79,854.26
1962,687.74,621.86,641.33,648.87,665.50,528.43,575.10,782.57,725.08,886.26,660.86,659.44,672.35,655.69,684.47,768.13,932.31,473.60,448.97,493.82,597.95,741.47,736.54,658.36,532.85,974.68
1963,755.32,646.61,689.72,734.74,706.27,629.73,638.00,883.56,834.65,954.43,683.81,699.50,681.06,718.68,733.54,822.34,989.82,581.65,558.02,591.26,700.28,799.37,792.98,672.47,601.45,1072.06
1964,790.88,736.53,762.70,792.13,688.18,685.93,702.24,932.72,912.66,973.19,728.44,658.61,701.63,770.64,765.18,809.54,973.06,628.32,603.12,646.00,760.38,845.12,777.57,741.17,673.11,1075.89
1965,710.16,633.19,682.35,739.97,555.14,660.87,656.01,851.20,833.10,872.60,608.80,521.33,555.09,712.98,675.99,709.85,852.11,644.68,612.70,625.47,720.25,773.13,670.15,615.80,676.17,957.62
1966,828.08,858.50,868.50,802.08,764.11,660.42,737.54,932.14,855.90,1009.39,793.36,727.41,782.74,839.08,871.23,902.47,1011.29,610.82,592.67,638.52,727.38,908.41,870.85,818.85,646.91,1101.06
1967,715.31,642.11,674.68,698.61,635.77,587.39,619.10,836.57,782.33,915.12,672.49,630.38,639.15,683.94,712.94,793.43,926.95,522.76,505.79,558.51,656.38,764.53,756.35,668.17,575.52,999.13
1968,758.09,700.54,731.09,731.87,683.87,602.09,649.25,906.04,829.63,989.18,708.59,662.10,679.43,734.39,759.07,835.87,1000.26,518.53,510.40,570.65,676.21,824.03,797.52,708.49,552.83,1091.96
1969,846.10,822.13,850.09,849.18,720.25,735.87,767.98,1017.49,942.70,1043.17,767.06,681.18,727.93,837.10,838.90,877.31,1028.40,658.21,642.03,700.59,807.27,905.37,839.92,784.98,700.89,1151.93
1970,843.75,864.00,889.46,855.80,714.11,706.14,782.16,1013.08,915.66,1038.23,768.62,668.81,725.18,871.31,855.52,861.06,1026.93,627.63,617.08,684.33,781.54,933.05,821.89,805.05,679.54,1144.04
1971,664.53,712.60,685.58,594.67,684.34,474.93,542.71,722.01,641.13,814.65,709.51,679.24,734.91,622.98,714.97,768.20,844.76,426.36,419.15,459.56,528.61,690.92,752.98,729.49,447.17,883.09
1972,761.73,739.50,743.30,718.92,714.05,646.70,647.66,865.93,829.44,915.32,724.02,705.05,723.32,719.41,760.83,820.35,940.30,599.36,561.40,591.75,700.49,790.16,797.85,741.93,657.81,1018.57
1973,670.01,649.09,629.93,591.79,702.00,506.38,533.12,728.70,675.31,834.20,696.90,691.06,726.78,591.21,682.29,771.82,884.95,457.63,440.72,479.14,559.60,671.25,757.11,698.55,506.44,910.33
1974,832.93,765.08,819.21,850.14,681.59,736.82,768.06,988.67,943.20,1039.55,747.89,648.45,680.22,833.63,821.56,860.45,1023.03,671.64,654.86,711.95,808.53,903.63,820.50,755.95,714.04,1129.99
1975,734.60,812.58,813.76,719.25,679.89,627.16,683.75,781.82,759.24,817.74,739.59,658.56,772.58,760.03,773.68,756.72,828.36,584.25,571.56,604.25,672.41,795.85,733.63,786.83,607.74,850.76
1976,793.69,745.45,750.09,717.45,804.41,593.73,639.62,894.12,816.58,1015.09,805.15,776.43,815.58,729.27,810.19,915.58,1055.65,547.63,530.94,563.62,658.72,826.38,893.82,799.28,564.80,1110.51
1977,739.95,726.83,755.27,761.11,609.91,633.03,673.73,909.64,850.69,916.36,663.52,570.91,642.82,755.83,742.26,757.83,888.48,549.50,536.02,602.86,711.62,812.95,715.06,692.08,607.75,1009.44
1978,791.15,755.96,782.70,766.48,711.87,625.81,682.05,954.27,852.12,1025.08,731.20,677.68,721.29,773.82,797.92,860.59,1026.35,546.20,536.84,599.03,700.36,854.53,820.70,740.98,578.12,1143.07
1979,789.65,765.45,759.36,706.89,789.40,588.76,632.27,909.20,798.13,1021.05,764.38,766.14,797.05,718.57,797.23,892.44,1060.16,541.15,520.83,556.95,650.78,815.61,867.12,769.10,579.67,1155.27
1980,832.50,842.02,843.43,794.35,768.78,662.77,718.44,946.25,893.21,1016.58,820.10,729.79,779.10,806.48,864.15,920.84,1040.84,601.15,585.75,636.34,740.22,885.99,892.12,833.36,639.53,1121.94
1981,833.81,788.35,816.38,817.22,749.18,681.54,735.08,976.15,900.93,1066.37,795.18,696.09,750.75,818.18,842.90,907.53,1066.91,602.54,586.75,651.08,758.26,906.61,864.74,803.31,663.69,1139.24
1982,670.46,685.04,698.07,641.48,608.54,548.67,600.31,766.30,714.02,788.33,643.75,609.40,640.44,669.68,695.73,723.28,821.94,507.67,492.38,524.29,596.87,725.58,683.83,661.84,545.75,876.03
1983,608.26,583.71,591.12,548.25,636.79,457.66,495.05,644.69,614.96,739.23,622.07,652.78,676.42,575.87,637.13,702.43,802.66,402.96,388.12,428.24,511.99,638.47,675.01,631.54,447.60,800.78
1984,677.76,620.43,643.37,659.49,591.48,569.18,585.58,816.47,780.63,866.03,600.95,549.48,613.86,648.70,644.27,693.84,860.52,525.17,497.60,530.36,632.16,717.72,658.08,613.10,585.72,996.07
1985,644.64,574.62,617.53,642.38,539.41,565.61,575.09,772.76,744.87,807.34,565.17,502.19,523.68,630.43,622.21,672.97,815.05,518.78,500.00,533.65,622.60,690.58,641.10,567.79,560.10,916.66
1986,655.54,586.52,618.10,614.02,605.56,516.18,541.22,790.77,721.13,841.27,610.84,583.46,586.07,623.38,653.31,729.72,881.45,459.24,435.31,476.16,577.24,697.56,698.62,604.77,524.68,965.47
1987,742.71,691.32,716.75,700.94,689.40,605.75,628.98,853.18,800.74,903.71,699.33,664.30,675.15,712.12,746.57,824.71,952.57,580.71,548.62,564.95,664.15,784.94,789.81,701.03,630.13,1032.49
1988,624.84,616.04,622.77,600.51,584.57,496.96,533.40,736.37,669.84,770.18,592.72,562.26,588.71,609.39,632.18,676.23,784.18,468.85,447.59,470.11,553.77,668.21,656.03,598.49,489.29,864.80
1989,690.35,635.90,675.55,696.52,593.85,611.86,620.69,810.93,777.30,844.42,626.21,572.47,609.27,689.31,674.78,713.55,858.56,547.16,527.86,572.51,671.78,748.53,678.23,637.10,590.70,920.64
1990,561.92,543.26,573.64,551.71,509.06,467.98,515.56,632.92,598.46,669.82,528.57,492.22,517.75,577.70,572.65,605.02,701.88,438.01,420.82,444.35,511.12,620.96,580.48,534.17,468.99,731.24
1991,803.53,797.04,821.96,802.17,694.27,675.10,732.14,954.67,907.21,981.63,734.40,669.71,737.10,805.91,803.41,833.11,974.88,612.46,591.39,645.47,752.39,860.15,798.50,764.34,661.94,1074.50
1992,628.45,579.68,597.28,624.89,563.53,550.76,549.23,745.57,711.20,775.60,569.40,552.21,564.46,596.88,603.16,652.59,763.19,485.70,462.37,508.29,607.19,652.51,631.89,576.61,546.09,874.80
1993,593.52,521.66,550.89,609.24,470.87,539.40,537.15,724.32,697.51,754.70,500.97,442.56,473.38,575.99,556.08,610.44,734.40,485.79,460.34,496.16,592.72,635.67,578.24,508.04,544.30,859.28
1994,613.52,598.48,609.51,592.90,572.92,510.34,538.67,697.60,669.74,734.71,582.68,566.02,587.86,599.45,616.00,660.79,760.17,466.13,445.21,479.38,562.55,647.26,644.68,591.23,508.70,808.43
1995,837.01,822.13,832.46,803.93,768.42,679.15,723.02,973.68,908.45,1026.35,809.60,733.78,812.29,817.36,847.24,896.88,1043.39,634.64,613.06,645.47,749.31,886.57,870.62,825.50,658.18,1128.99
1996,820.05,744.75,780.28,820.99,692.17,685.44,721.84,1010.40,920.06,1066.63,757.15,641.93,718.22,804.41,804.65,858.87,1029.23,619.07,601.75,654.41,761.65,890.30,813.42,757.01,666.10,1176.76
1997,692.52,715.20,716.90,690.85,595.42,585.99,640.96,820.98,772.85,841.07,647.59,553.31,644.18,691.68,702.27,730.43,840.99,500.94,489.25,555.88,654.15,742.63,701.32,677.26,555.25,908.00
1998,762.84,751.71,757.09,724.65,686.40,622.58,665.56,856.79,801.32,942.74,718.76,661.34,713.36,739.90,773.06,834.85,973.21,606.15,577.74,595.63,675.26,813.77,799.91,737.49,643.49,1029.65
1999,877.18,814.69,854.73,904.55,718.97,780.74,801.78,1053.75,1023.77,1086.82,762.92,675.43,740.09,871.88,845.90,892.18,1062.98,731.99,708.02,747.78,864.22,941.44,840.88,782.30,773.36,1191.14
2000,482.48,439.99,434.19,425.84,452.20,349.99,375.43,558.70,503.01,641.32,468.75,426.60,442.12,432.11,477.94,570.96,685.48,327.72,313.72,333.81,391.83,514.94,558.21,463.61,353.54,749.41
2001,788.34,782.02,813.39,822.18,626.55,702.78,742.70,941.67,911.09,974.97,693.43,562.07,647.49,800.84,791.71,812.78,955.29,607.55,597.32,653.08,785.01,847.91,747.13,732.79,654.34,1065.36
2002,742.60,677.90,699.51,696.77,707.11,590.38,613.12,871.05,812.48,941.31,709.13,702.61,705.45,698.45,738.12,817.81,969.30,532.69,513.50,553.55,654.94,780.85,791.35,700.79,577.12,1055.78
2003,648.37,659.17,653.98,600.77,640.86,494.39,545.12,713.64,649.56,785.83,661.41,632.98,654.52,625.70,689.40,745.08,849.40,442.80,430.10,478.41,551.50,693.58,725.72,666.63,478.99,840.79
2004,849.70,784.42,830.80,850.19,686.20,722.57,768.27,1028.68,957.23,1090.05,749.87,649.43,709.53,846.20,839.47,902.46,1075.34,659.20,644.00,692.05,797.27,934.25,837.43,771.03,704.46,1203.49
2005,897.49,908.81,921.17,860.98,801.86,739.30,786.61,1017.21,963.53,1081.33,860.32,749.67,841.06,875.43,932.12,979.78,1128.06,689.25,669.51,710.09,811.60,954.64,925.76,893.84,731.71,1180.28
2006,743.00,753.72,753.43,696.57,699.09,609.46,642.76,828.14,771.75,887.99,725.65,691.16,731.22,713.15,759.12,802.94,925.13,580.37,562.03,583.67,656.73,779.32,774.68,746.13,593.38,971.52
2007,790.08,827.94,809.76,730.24,779.18,622.01,680.11,855.01,809.38,937.12,804.30,751.44,811.50,748.66,826.29,878.60,1003.08,571.99,554.00,596.36,687.88,819.32,850.88,814.70,601.26,1019.75
2008,709.94,674.25,710.23,700.01,602.97,591.88,638.33,834.66,778.37,888.33,641.81,568.69,604.06,702.53,714.62,760.03,899.12,552.26,539.60,577.57,648.35,763.89,714.94,658.41,581.17,992.87
2009,807.45,769.92,785.52,766.00,758.41,636.58,678.21,932.96,853.09,1020.17,772.64,741.25,770.50,780.26,820.20,888.85,1051.72,579.41,556.97,603.29,708.23,873.67,854.26,782.44,619.26,1123.50
2010,998.67,929.23,992.67,1026.65,809.37,877.49,902.75,1200.69,1138.50,1251.38,869.60,765.27,819.78,1001.43,1000.94,1037.49,1232.72,802.74,786.02,830.61,969.60,1087.09,955.41,901.98,848.72,1375.08
2011,518.74,516.98,512.25,497.15,467.08,413.15,453.43,605.44,565.40,646.57,486.67,451.71,486.96,495.34,513.35,559.20,658.60,373.11,369.55,403.76,463.17,543.98,545.74,505.30,397.55,727.01
2012,665.86,646.88,653.38,637.87,612.68,522.03,566.78,776.05,719.43,841.10,634.93,593.39,627.05,648.19,676.59,730.79,858.87,466.29,452.35,497.09,589.34,720.60,699.98,650.69,507.19,929.67
2013,770.67,713.84,750.60,778.65,634.56,626.36,663.09,949.04,879.43,1009.30,686.62,589.68,643.97,767.63,779.83,831.61,1001.14,552.20,525.81,577.02,716.26,854.95,769.32,710.42,601.47,1133.29
2014,960.60,898.03,930.53,928.84,873.31,802.13,816.27,1157.62,1090.65,1203.78,897.02,851.90,902.45,924.89,943.98,1021.62,1210.09,699.04,669.77,729.80,898.01,1029.11,987.64,905.10,763.34,1332.11
2015,711.50,708.03,699.69,659.67,705.28,574.55,609.44,789.09,731.50,862.27,695.02,705.09,714.22,673.80,713.89,775.00,895.39,527.26,509.48,548.96,624.37,742.93,761.51,702.59,567.71,945.58
2016,891.37,860.33,899.71,874.95,814.57,725.39,786.70,1026.85,935.84,1101.14,845.62,783.77,825.46,887.71,914.62,968.42,1116.98,672.14,656.22,700.77,795.58,968.80,921.15,859.94,715.42,1193.03
2017,687.99,665.99,670.94,655.47,655.54,570.40,586.65,767.20,709.54,837.68,662.69,651.36,679.25,662.81,697.79,752.27,863.13,529.31,505.76,537.09,615.86,734.63,727.93,672.93,564.45,909.88
2018,726.76,717.26,730.16,707.37,648.64,605.66,642.37,844.16,790.57,891.19,681.20,631.06,681.52,714.58,735.19,775.85,897.91,541.17,523.38,572.52,669.26,779.27,741.14,705.87,589.80,979.59
2019,764.33,665.38,701.01,753.88,686.81,630.57,630.19,940.42,889.55,988.06,693.70,667.07,672.22,726.94,742.54,820.35,994.94,559.53,528.44,566.92,718.73,819.89,782.95,686.69,612.16,1117.34
2020,716.06,729.29,725.57,675.74,673.58,580.46,628.06,801.12,740.44,865.04,695.83,656.39,702.72,694.42,730.11,778.19,892.27,536.53,521.91,562.46,630.75,759.03,755.60,720.91,568.79,942.28
