Variable:,pr
,Greece,"Anatoliki Makedonia Kai Thraki",Attiki,"Dytiki Ellada","Dytiki Makedonia","Ionioi Nisoi",Ipeiros,"Kentriki Makedonia",Kriti,Peloponnisos,"Sterea Ellada",Thessalia,"Voreio Aigaio","Notio Aigaio"
1926,581.34,530.81,506.01,655.86,611.76,595.35,822.67,463.66,690.84,624.10,518.65,524.35,623.38,613.77
1927,663.98,642.92,524.57,798.96,692.41,766.12,1041.72,522.79,618.02,666.65,589.61,615.21,600.41,543.82
1928,776.98,662.02,676.33,975.91,765.48,899.41,1196.05,550.20,824.85,853.63,725.59,719.96,780.70,740.06
1929,704.99,726.90,595.99,759.81,705.27,684.34,955.10,584.52,926.23,731.83,606.24,625.11,700.21,704.16
1930,814.21,719.84,678.08,942.91,886.72,842.57,1215.80,648.01,742.46,836.95,763.04,805.29,742.01,687.62
1931,799.75,748.26,677.23,988.28,804.16,890.93,1207.37,623.21,650.67,857.92,746.04,744.55,785.52,642.73
1932,509.61,418.61,443.36,603.47,526.73,570.66,776.44,373.30,619.64,560.96,457.22,473.39,475.16,488.94
1933,703.54,676.97,544.17,867.85,756.29,829.28,1111.20,559.85,474.90,709.67,647.25,674.68,688.52,504.48
1934,662.63,498.00,573.22,826.80,694.31,743.62,1011.46,492.13,703.15,729.51,619.24,630.05,588.11,595.38
1935,691.70,647.33,571.15,859.12,704.17,824.93,1106.78,503.48,628.81,718.28,643.87,641.55,694.01,595.41
1936,854.22,779.56,694.54,984.77,949.94,873.04,1235.71,722.33,685.97,873.43,790.76,841.19,786.65,664.81
1937,852.86,796.35,644.23,1002.24,945.22,946.16,1319.73,708.51,766.62,837.18,751.06,813.89,717.29,666.09
1938,745.32,630.76,650.41,925.18,739.74,817.28,1105.95,557.53,747.81,827.49,703.21,700.03,701.89,695.48
1939,858.82,704.48,708.66,1091.41,936.52,1042.18,1389.59,644.58,557.81,913.91,827.63,846.82,814.33,631.82
1940,850.91,922.33,660.82,945.55,938.15,883.47,1245.41,714.28,743.57,844.92,735.18,789.80,842.69,721.04
1941,609.13,620.01,485.31,738.64,618.71,689.56,921.53,496.02,522.64,635.45,533.78,552.78,510.93,466.11
1942,702.61,588.59,596.25,875.26,726.41,796.31,1078.31,531.65,652.56,767.51,655.71,659.76,640.61,587.48
1943,622.46,587.17,488.30,726.81,658.16,705.13,958.35,484.10,682.42,642.54,536.07,574.73,554.62,547.26
1944,765.10,772.45,663.30,870.13,794.84,818.44,1148.13,620.02,731.10,770.93,695.42,702.57,845.34,763.22
1945,650.72,526.66,589.50,787.76,665.58,711.20,972.34,471.94,722.52,729.12,611.04,607.46,673.15,660.13
1946,673.37,665.70,602.85,773.80,661.53,688.83,946.39,531.56,727.32,719.45,619.88,613.94,731.21,694.04
1947,628.33,587.99,540.52,787.33,640.23,740.88,966.29,469.47,470.94,709.89,581.93,575.07,619.40,476.71
1948,560.21,497.98,494.21,652.81,563.08,571.04,779.72,433.64,649.54,644.23,499.10,513.44,539.78,521.69
1949,697.04,580.81,551.17,831.70,776.25,798.59,1086.28,543.66,673.05,735.67,622.21,671.88,539.13,541.77
1950,676.16,544.17,562.21,841.97,735.16,815.34,1104.19,504.70,556.65,720.24,629.40,656.98,575.29,518.50
1951,800.99,725.54,661.61,967.96,813.26,886.34,1205.32,644.78,655.17,845.67,752.35,782.12,763.85,637.01
1952,700.79,682.30,616.38,851.55,696.02,773.71,1034.94,552.34,541.13,775.70,651.85,646.32,818.91,621.83
1953,674.45,584.81,605.93,785.91,697.49,710.33,982.80,524.42,669.73,718.99,651.76,650.74,625.77,635.30
1954,825.29,728.67,702.16,987.86,830.36,950.60,1309.97,622.28,955.07,842.17,733.94,776.26,809.24,816.11
1955,790.17,816.29,651.67,870.09,849.25,764.94,1097.12,702.71,599.95,777.04,735.76,784.78,758.95,619.66
1956,749.18,718.39,512.89,942.73,821.04,913.23,1272.24,593.29,530.67,733.11,638.75,721.03,581.81,494.23
1957,649.29,607.21,553.89,700.22,707.59,668.31,960.98,541.65,805.13,615.54,568.01,623.59,509.21,574.41
1958,633.97,568.27,502.92,775.96,705.02,777.87,1041.60,468.36,516.19,686.02,559.70,592.48,576.43,500.91
1959,702.32,632.23,450.00,825.16,879.80,832.05,1206.92,591.68,504.30,612.01,586.84,726.79,552.18,441.52
1960,760.12,742.03,548.43,889.27,839.37,875.78,1230.53,620.55,637.85,706.96,674.72,739.40,705.13,624.51
1961,592.74,618.98,516.50,652.82,598.71,607.05,845.32,473.06,791.09,605.69,508.35,513.37,607.95,627.72
1962,882.10,727.02,764.28,1085.14,884.43,970.75,1333.16,652.03,922.09,952.54,838.04,838.03,858.20,752.84
1963,772.81,710.33,570.97,891.00,862.33,843.89,1221.10,629.90,726.44,749.93,676.39,750.25,657.05,571.41
1964,605.11,632.19,415.25,618.33,744.90,633.36,967.11,534.19,603.70,503.04,489.19,592.45,660.67,456.17
1965,629.52,594.54,563.35,751.15,615.72,671.73,903.96,457.55,720.97,704.85,565.84,563.35,798.53,680.52
1966,758.85,806.76,578.87,921.47,796.86,885.74,1164.87,568.12,593.39,785.55,672.70,705.75,793.18,657.04
1967,612.49,584.29,553.09,640.33,659.73,572.53,805.23,527.27,703.54,663.77,549.26,556.05,501.03,583.62
1968,768.99,648.72,760.97,935.66,730.72,815.53,1039.42,552.14,787.03,954.29,759.83,692.04,678.26,704.99
1969,673.20,634.83,500.23,783.36,759.32,789.57,1089.47,539.80,590.01,689.76,557.06,641.85,657.12,656.76
1970,592.91,606.19,453.96,667.74,688.73,655.28,904.21,500.55,482.26,590.38,495.51,560.24,621.71,520.50
1971,711.72,773.80,569.17,812.95,739.50,755.62,1068.36,583.69,610.18,706.49,624.65,661.49,706.28,604.24
1972,722.79,603.00,610.82,799.91,852.46,745.16,1095.40,613.06,646.11,721.49,674.97,717.00,522.51,564.05
1973,698.61,628.87,534.51,825.51,779.07,773.78,1086.98,582.67,594.56,702.90,617.22,676.32,577.27,533.13
1974,675.70,644.06,509.83,769.26,764.38,740.83,1060.00,572.19,560.21,661.24,594.95,652.96,650.20,554.34
1975,625.99,788.21,587.10,675.78,559.96,582.63,753.83,519.20,642.52,683.23,594.92,518.40,724.14,637.97
1976,732.33,685.65,648.04,818.07,785.07,761.66,1031.19,600.19,821.63,756.54,679.14,663.63,728.93,726.32
1977,463.69,536.55,414.25,487.54,440.69,461.75,623.39,372.51,577.62,481.99,417.53,390.85,499.06,459.29
1978,731.56,687.60,671.16,864.20,708.93,771.39,1031.69,572.44,728.00,807.10,700.19,674.50,769.88,721.29
1979,795.72,777.84,567.86,939.48,903.63,920.34,1278.18,643.04,684.07,753.87,678.54,774.53,664.07,650.65
1980,752.99,730.02,629.95,892.29,795.61,805.89,1091.86,600.44,649.39,780.49,690.88,724.76,676.48,613.49
1981,694.62,647.36,590.63,854.74,681.91,765.28,1019.21,523.22,737.41,740.45,627.94,636.25,825.15,727.11
1982,717.84,568.58,538.66,844.94,806.94,763.95,1133.18,600.95,654.17,713.05,651.20,738.51,607.07,601.63
1983,640.48,611.36,501.30,721.61,699.96,642.44,902.47,537.74,694.56,671.47,555.43,583.98,549.51,560.65
1984,589.67,575.00,524.23,667.67,578.85,601.54,835.89,447.25,686.00,638.49,554.58,529.33,634.51,637.85
1985,576.90,422.21,502.83,721.59,609.03,678.63,924.92,409.73,611.96,652.15,533.08,543.14,475.47,519.74
1986,625.47,509.99,451.78,772.35,666.87,687.14,934.64,475.49,654.46,722.60,532.54,584.31,575.00,485.58
1987,706.56,632.69,565.90,809.64,783.37,749.11,1070.96,575.75,618.50,740.77,636.72,692.23,587.40,521.56
1988,621.35,567.92,637.92,743.50,540.80,606.32,798.33,446.22,744.80,790.35,606.22,529.42,629.58,663.25
1989,435.06,486.53,305.93,438.80,544.84,440.06,649.98,402.57,449.55,355.15,342.07,417.54,396.64,387.07
1990,536.64,526.88,401.61,643.69,580.02,616.84,803.44,449.22,435.82,559.78,464.38,501.01,440.66,358.96
1991,629.22,579.32,554.82,703.95,656.89,594.48,854.00,523.14,619.27,674.29,602.05,599.99,471.41,525.14
1992,482.34,493.46,344.79,491.66,600.08,472.15,703.36,450.27,425.95,444.90,402.97,470.40,355.93,356.21
1993,519.83,447.32,448.23,646.24,552.77,624.62,830.91,371.37,516.26,555.87,476.86,478.40,490.02,494.06
1994,697.04,608.79,607.12,781.42,739.13,677.75,1021.62,544.65,806.16,724.39,653.14,666.56,649.23,687.70
1995,649.25,721.05,476.96,723.76,737.69,713.61,1000.85,566.35,458.12,611.63,560.33,600.16,616.56,472.07
1996,715.89,629.32,597.64,891.37,723.01,849.08,1099.88,508.87,803.03,788.16,649.77,639.97,637.99,661.36
1997,580.10,668.17,493.98,657.18,559.16,595.18,786.67,459.25,636.70,611.48,516.65,494.83,663.09,604.24
1998,622.05,751.32,482.27,650.49,645.19,614.14,884.52,537.44,682.26,581.35,522.05,549.16,777.95,677.02
1999,638.10,618.91,485.69,744.41,732.67,724.39,1002.35,530.13,528.61,602.11,560.68,615.48,581.78,493.75
2000,405.62,425.35,309.70,456.70,443.50,470.44,634.53,307.83,495.50,425.64,316.28,348.46,438.66,416.71
2001,558.21,562.97,519.04,631.17,532.65,557.44,717.88,424.98,669.15,674.54,505.45,465.91,700.80,632.03
2002,781.00,761.58,716.41,806.10,836.04,711.15,1039.35,691.18,765.01,817.40,729.29,748.42,811.42,728.79
2003,689.00,622.90,643.79,775.36,684.98,700.97,938.90,533.62,884.72,800.32,618.08,604.80,670.39,753.74
2004,607.50,541.84,490.52,679.67,695.23,638.40,901.08,486.71,672.76,607.63,542.42,572.97,546.67,561.80
2005,687.69,746.47,564.73,763.69,685.36,714.19,955.56,588.76,658.72,711.22,608.67,626.92,718.64,605.82
2006,679.34,655.20,556.43,753.77,739.84,697.53,1000.83,569.88,665.02,680.37,609.04,646.42,587.89,575.10
2007,638.31,645.27,485.94,699.27,716.64,678.13,945.14,570.96,582.63,603.63,548.53,606.61,578.56,542.53
2008,550.11,470.87,419.80,648.86,630.11,646.18,882.61,433.61,501.88,559.40,486.01,533.02,434.24,397.72
2009,847.04,763.83,717.02,1019.91,888.10,950.88,1290.13,644.44,774.55,912.03,780.10,799.36,865.18,780.42
2010,678.33,773.69,484.63,711.57,804.04,727.81,1069.96,603.87,586.27,578.97,561.18,632.38,701.53,584.48
2011,601.31,563.06,563.08,720.18,538.63,638.76,816.35,428.38,719.86,716.43,564.48,542.26,637.45,600.04
2012,686.84,685.22,577.83,782.57,690.40,717.22,1002.78,541.68,789.85,708.09,610.02,619.82,766.77,693.65
2013,615.28,590.75,550.46,744.93,598.78,696.87,912.17,458.10,604.92,688.20,568.83,550.13,708.85,609.25
2014,871.58,928.83,676.78,972.15,940.78,889.00,1283.48,748.36,689.16,849.84,777.73,841.38,795.00,672.21
2015,702.43,751.54,558.59,751.08,752.62,690.25,998.67,621.79,641.11,671.39,625.60,676.63,684.27,620.57
2016,648.73,637.72,488.20,699.82,772.27,666.77,971.81,576.33,580.76,603.83,557.71,626.99,575.95,500.35
2017,663.65,739.12,513.22,717.90,715.35,667.50,940.67,598.98,575.03,631.88,575.69,618.18,667.91,564.06
2018,703.10,726.40,552.68,773.87,719.76,666.42,959.98,599.76,680.00,712.25,635.07,687.34,698.51,593.45
2019,791.59,554.66,726.26,995.69,796.28,883.14,1183.13,543.93,911.05,955.33,753.54,741.90,726.91,735.79
2020,627.19,601.28,497.53,648.09,718.90,609.45,902.12,541.13,731.76,603.32,542.16,602.31,550.68,553.45
