Variable:,pr
,"Burkina Faso","Boucle Du Mouhoun",Cascades,Centre,Centre-est,Centre-nord,Centre-ouest,Centre-sud,Est,Hauts-bassins,Nord,"Plateau Central",Sahel,Sud-ouest
1938,857.74,817.86,1210.79,873.24,978.34,702.70,924.87,995.75,843.25,1082.60,663.60,864.56,505.37,1090.62
1939,913.78,958.74,1168.04,883.18,1039.32,782.79,930.41,1014.52,854.57,1086.16,795.68,912.89,651.69,1084.78
1940,836.65,922.56,1070.59,880.13,872.86,723.23,912.14,898.69,778.77,991.36,743.94,848.81,518.60,1054.57
1941,794.56,757.61,1146.46,813.98,893.39,644.11,882.23,927.92,781.43,970.00,590.47,782.50,484.49,1017.00
1942,821.92,909.12,1067.23,864.47,847.47,713.33,931.45,897.14,725.62,976.05,714.06,827.20,546.80,1004.67
1943,952.18,863.79,1201.19,1082.53,1109.84,880.06,1005.98,1154.13,974.01,1056.20,793.59,1056.54,654.92,1101.31
1944,738.23,825.56,1068.59,635.79,729.99,538.19,781.01,758.37,683.00,969.27,579.25,619.51,455.99,1023.22
1945,904.36,953.18,1248.33,877.89,949.20,744.12,957.99,988.89,818.57,1165.29,768.81,865.71,581.88,1141.42
1946,856.22,902.24,997.96,872.98,921.28,719.09,949.07,967.36,838.27,1049.44,725.53,842.39,584.44,986.51
1947,716.55,770.83,1041.35,635.98,750.26,485.50,781.93,730.43,699.88,965.07,516.41,585.27,428.90,970.24
1948,797.21,815.97,1111.46,785.03,913.59,594.20,870.88,917.33,781.72,1037.62,616.90,764.13,464.58,966.81
1949,800.79,842.56,1260.25,806.45,826.46,587.57,951.52,879.70,680.55,1092.27,640.73,724.09,420.11,1097.51
1950,900.63,975.95,1165.92,907.50,982.92,760.81,1006.84,1005.77,830.11,1061.47,818.26,884.68,633.93,951.93
1951,984.94,1024.19,1431.08,974.93,1057.36,687.93,1150.87,1125.26,916.20,1346.86,752.29,884.08,523.48,1313.42
1952,991.89,976.78,1372.97,857.81,1081.55,818.48,1001.92,1028.47,988.80,1261.21,856.37,868.45,689.41,1163.82
1953,922.25,848.12,1334.71,784.22,946.51,777.96,915.98,904.33,950.78,1099.89,787.00,788.59,737.67,1073.66
1954,917.78,891.09,1435.65,853.77,969.01,708.17,917.54,943.34,879.26,1243.88,681.50,820.93,623.70,1130.75
1955,936.96,950.78,1310.10,945.98,1130.50,706.09,979.37,1032.85,907.59,1200.20,688.36,889.65,590.08,1183.20
1956,885.41,887.47,1069.44,943.75,1033.93,779.64,976.86,1050.22,865.81,1000.97,803.94,916.28,617.56,951.27
1957,966.44,913.90,1337.93,922.41,1177.28,747.34,1012.52,1141.61,964.15,1208.47,758.61,899.56,627.62,1182.01
1958,890.12,942.02,1024.42,764.21,928.84,803.15,912.11,877.57,918.95,1047.39,789.75,799.51,720.91,892.53
1959,825.79,755.68,1126.64,862.88,888.36,724.35,811.15,835.70,878.92,910.22,703.06,804.21,630.20,996.01
1960,868.06,868.10,1193.57,824.69,900.37,719.08,903.38,919.70,885.40,1107.77,706.64,783.20,580.36,998.35
1961,841.96,819.44,968.99,784.56,977.92,790.60,819.73,891.76,887.81,992.93,706.69,828.19,679.50,829.50
1962,930.55,951.41,1176.74,1084.82,1040.74,768.41,1050.57,1068.30,944.33,1043.48,757.08,976.39,554.60,1189.79
1963,935.44,917.78,1349.63,733.84,988.87,747.92,1019.96,1010.96,887.46,1139.06,705.85,763.31,635.43,1355.38
1964,959.85,935.38,1255.44,967.57,1012.64,860.79,1021.31,1007.65,987.47,1191.13,735.73,944.73,670.73,1069.86
1965,873.45,894.55,1176.95,756.57,874.01,807.78,863.27,831.17,863.38,1049.94,754.03,836.69,637.07,1042.82
1966,853.43,829.62,1201.46,722.36,995.75,695.71,919.25,876.78,858.97,1015.00,695.43,791.16,579.31,1022.83
1967,820.43,825.39,1080.87,774.95,980.90,694.84,804.15,900.19,819.31,1023.41,653.77,839.72,561.91,915.72
1968,915.47,905.42,1306.46,847.79,1085.37,666.15,1016.91,1031.49,862.59,1186.03,729.38,842.70,497.88,1311.72
1969,892.91,846.37,1263.62,898.47,961.40,698.95,1020.77,1029.34,878.90,1085.12,665.38,830.79,566.00,1202.26
1970,781.01,806.25,1158.51,781.29,869.38,529.73,799.12,853.53,786.69,1123.92,562.39,682.83,438.39,932.80
1971,747.84,777.47,1067.37,706.56,909.32,539.26,843.51,929.59,701.77,954.08,578.40,700.18,372.12,1017.84
1972,742.28,700.13,1049.00,834.90,858.74,586.44,815.55,814.39,768.62,924.19,551.89,712.16,416.95,974.38
1973,694.91,616.06,938.71,724.42,821.67,602.80,780.02,838.07,714.25,769.55,564.20,700.90,442.59,877.95
1974,819.55,816.39,1077.09,841.69,1000.97,700.01,874.37,940.27,792.90,1008.65,669.26,828.74,498.69,993.44
1975,780.73,737.66,1105.41,759.90,880.17,651.19,812.06,825.28,781.83,1012.29,622.80,742.22,480.75,986.22
1976,812.85,766.89,1014.11,894.47,864.69,727.06,833.19,835.66,840.37,1025.72,651.02,878.68,540.52,999.14
1977,724.27,714.88,981.52,756.02,777.31,560.66,785.77,767.91,759.54,885.53,546.97,700.23,444.81,944.30
1978,797.77,806.21,1071.65,811.47,830.51,633.44,880.29,873.49,768.56,1016.94,667.22,726.40,528.36,981.47
1979,798.30,816.78,1081.75,791.65,910.16,578.85,894.99,933.00,759.55,1035.74,600.37,755.55,474.02,1060.92
1980,746.15,729.03,1132.24,740.82,858.57,550.52,775.47,943.79,686.06,959.49,560.26,714.72,438.45,1026.55
1981,738.77,732.52,1087.75,751.18,805.73,594.78,806.36,780.08,688.95,949.37,642.69,724.55,459.83,884.81
1982,716.81,660.77,1070.75,705.14,852.21,539.36,806.94,888.83,670.41,916.74,483.97,667.19,431.77,999.09
1983,608.41,587.76,786.17,637.19,747.74,509.47,696.89,742.77,602.17,737.53,514.49,648.27,335.06,723.01
1984,595.24,594.58,886.13,613.63,614.94,459.51,693.33,671.87,559.55,774.33,419.07,563.78,313.05,867.61
1985,689.70,683.00,1159.63,676.40,745.52,453.87,721.97,769.28,631.10,992.72,463.79,602.10,367.24,991.73
1986,754.12,772.46,1162.07,783.80,794.54,518.12,889.65,907.92,713.91,963.75,563.71,733.84,374.82,1039.88
1987,658.09,633.19,958.08,662.94,740.85,468.84,792.52,817.09,647.82,838.29,465.16,654.47,293.38,985.57
1988,809.43,825.50,1094.34,822.74,879.61,699.64,865.40,882.24,818.95,988.74,667.09,796.55,488.24,955.14
1989,760.23,746.85,1031.32,740.88,986.65,550.64,841.53,1017.88,728.01,865.78,582.38,736.75,449.48,1052.39
1990,658.20,619.85,1021.81,609.46,690.81,504.71,655.68,672.42,667.39,888.29,449.23,595.26,398.20,920.52
1991,852.17,805.81,1052.36,870.20,1044.66,736.67,928.48,995.96,872.84,986.29,683.66,858.39,584.56,976.81
1992,761.71,721.70,972.48,765.20,865.73,648.30,805.11,860.50,783.69,971.75,611.87,756.16,503.92,855.34
1993,711.04,694.96,977.11,718.11,831.60,548.22,824.09,850.17,693.88,876.50,558.61,710.09,392.73,928.26
1994,956.59,1036.97,1126.39,946.50,1083.71,813.86,1008.49,1063.23,968.28,1165.39,839.57,964.67,635.33,976.12
1995,757.57,686.95,1138.82,755.28,860.06,604.44,800.91,826.05,755.55,940.93,592.34,738.27,467.41,1002.48
1996,770.13,788.79,1000.75,820.10,892.99,591.09,892.20,911.98,742.15,919.65,631.81,757.88,443.87,1021.05
1997,712.63,732.03,1077.08,692.73,748.49,524.07,787.31,781.26,642.00,964.52,538.59,630.49,400.54,1026.82
1998,829.23,838.90,1182.93,766.96,865.05,624.65,862.41,849.63,842.10,1060.78,667.52,728.44,553.43,1011.09
1999,849.56,834.08,1207.17,791.74,902.14,657.66,886.90,915.46,814.74,1074.80,709.50,770.85,582.63,1099.14
2000,701.18,664.91,1064.56,656.41,756.19,533.12,772.87,775.01,662.37,895.92,536.54,631.43,444.63,959.48
2001,734.51,753.51,1022.77,736.85,767.33,586.89,807.22,810.56,691.08,931.27,599.59,698.21,464.17,935.47
2002,678.29,625.52,938.23,687.44,772.66,561.79,735.71,759.95,702.74,797.88,532.86,667.13,425.42,875.17
2003,916.08,901.21,1202.76,902.38,1029.90,759.59,976.40,1017.21,927.61,1105.84,713.45,893.72,607.54,1132.05
2004,737.02,739.50,1048.09,740.46,856.58,557.59,832.36,879.59,707.19,944.07,562.24,708.64,402.16,955.98
2005,805.47,743.78,988.72,812.58,921.65,703.67,842.31,892.28,875.47,915.37,642.02,808.36,571.50,947.42
2006,777.06,779.47,1146.67,776.63,817.11,604.30,866.45,874.44,710.80,1017.87,594.14,737.00,461.08,1055.91
2007,856.95,861.84,1128.13,893.31,948.68,737.57,938.73,967.46,821.59,1018.79,720.57,870.71,567.40,1026.61
2008,815.23,803.51,1035.06,851.44,963.65,675.56,904.06,965.45,819.50,958.47,664.14,831.59,500.29,1003.39
2009,854.53,865.74,1171.58,873.96,991.04,672.66,964.41,1003.76,812.03,1055.70,676.63,838.40,494.97,1104.10
2010,881.37,985.62,1254.38,862.83,913.03,679.73,968.36,944.12,770.83,1179.18,753.84,822.82,516.44,1111.52
2011,721.55,686.40,1008.91,739.58,837.16,590.73,784.79,840.26,684.99,881.64,589.75,722.69,449.77,940.70
2012,905.24,970.51,1204.94,895.26,934.92,770.46,964.63,955.55,816.76,1136.82,784.28,876.19,621.33,1102.66
2013,785.57,796.08,1044.67,801.08,825.65,666.61,861.89,866.66,749.63,958.36,653.85,770.30,521.71,972.36
2014,842.94,855.25,1246.99,813.12,891.42,666.11,923.59,918.30,762.72,1099.90,658.61,785.82,522.72,1122.96
2015,799.77,841.72,916.45,834.86,891.10,699.13,885.65,907.08,792.85,918.52,695.68,815.54,554.53,895.56
2016,897.42,916.62,1128.09,926.33,966.60,782.71,1018.52,1006.77,837.38,1065.82,765.06,895.30,613.74,1094.22
2017,792.27,766.87,941.43,827.14,887.29,699.21,852.01,885.22,852.87,887.67,663.43,811.44,552.25,886.42
2018,908.57,921.05,1314.42,907.32,941.75,744.03,998.93,985.59,809.46,1165.04,743.42,871.27,579.75,1208.51
2019,902.85,937.17,1377.77,886.69,931.19,671.85,1025.86,1016.86,774.82,1224.48,713.31,836.21,497.22,1287.34
2020,930.22,879.46,1172.07,919.67,1066.07,803.60,954.85,1010.33,990.78,1081.22,752.38,918.57,656.10,1094.45
