Variable:,pr
,Afghanistan,Badakhshan,Badghis,Baghlan,Balkh,Bamyan,Farah,Faryab,Ghazni,Ghor,Hilmand,Hirat,Jawzjan,Kabul,Kandahar,Kapisa,Khost,Kunar,Kunduz,Laghman,Logar,Nangarhar,Nimroz,Nuristan,Paktika,Paktya,Samangan,Sar-e-Pul,Takhar,Wardak,Zabul,Daykundi,Panjsher,Parwan,Uruzgan
1911,295.93,406.45,252.16,417.08,217.47,385.05,182.72,233.48,415.08,313.38,167.05,229.05,193.20,536.40,245.74,542.24,552.90,573.65,274.45,540.96,559.22,566.69,110.70,549.94,417.73,580.05,306.10,287.28,401.62,478.02,312.63,326.11,548.63,498.72,276.38
1912,297.76,456.44,230.14,476.06,288.75,452.36,159.24,251.28,385.78,290.15,157.33,175.26,219.47,479.61,235.06,534.95,442.43,651.47,350.87,550.60,452.62,535.85,109.44,606.26,372.93,451.36,426.68,372.35,482.80,449.73,316.27,326.54,575.34,493.31,274.04
1913,281.64,429.67,307.99,382.65,232.40,374.55,195.76,264.25,358.39,342.81,153.12,255.54,202.52,356.88,202.62,397.23,332.79,469.99,299.17,382.58,345.01,378.17,110.67,459.28,332.54,341.67,328.93,314.58,417.40,381.47,299.49,327.44,457.66,395.00,274.88
1914,346.69,504.31,307.49,499.18,284.87,451.86,197.13,290.74,431.60,360.35,163.15,252.11,226.99,671.00,248.60,683.84,844.46,835.72,326.53,757.18,699.35,866.99,111.26,735.07,487.87,778.51,427.89,393.32,491.41,522.67,332.94,335.35,673.16,573.54,277.11
1915,270.74,326.52,233.03,379.71,191.51,358.86,173.83,212.06,399.21,293.87,147.38,210.97,159.93,503.42,198.49,509.84,547.56,559.75,236.10,532.15,522.62,566.10,109.48,508.78,405.42,552.68,283.84,274.37,348.34,442.89,307.48,320.49,505.04,460.08,273.87
1916,287.36,267.15,302.62,336.14,199.85,347.02,217.14,244.87,388.00,361.18,162.29,290.74,170.69,464.90,248.09,457.30,623.91,541.02,228.92,503.58,493.42,603.45,112.00,455.54,423.02,553.96,273.99,292.56,307.31,414.68,344.98,330.83,441.53,418.04,279.53
1917,200.44,178.75,102.66,244.13,75.10,265.75,139.13,109.56,362.68,204.96,145.83,102.42,66.37,361.23,206.20,351.42,474.32,459.75,110.17,384.49,388.43,476.91,108.36,369.65,368.29,429.94,135.11,152.12,193.19,357.10,307.10,302.22,348.74,339.72,271.11
1918,291.71,458.77,251.73,463.72,266.41,445.63,168.11,261.42,378.89,290.56,152.36,215.28,218.20,441.81,208.81,480.37,415.45,508.30,338.97,464.29,425.63,455.64,109.57,502.13,358.63,425.14,417.15,361.31,475.13,436.98,301.81,325.48,524.79,468.51,273.57
1919,308.02,484.08,233.28,473.02,255.26,417.42,187.97,214.54,405.25,323.59,151.99,228.09,193.05,534.74,209.29,575.98,566.50,694.03,341.84,603.27,533.99,630.79,110.42,649.13,414.82,557.00,374.75,330.09,497.04,472.33,307.60,329.46,612.07,513.47,274.65
1920,294.41,533.28,255.26,434.24,260.20,410.89,189.04,226.55,382.91,324.02,142.46,252.91,200.97,425.99,166.51,457.00,388.17,561.91,351.61,446.83,423.85,443.97,109.98,542.58,359.23,420.75,376.41,332.96,484.41,428.63,280.93,329.18,505.97,445.40,272.71
1921,285.20,564.94,256.40,412.12,249.16,406.33,190.17,234.38,368.83,331.93,127.08,233.30,196.22,369.91,128.06,401.07,340.08,587.35,336.33,405.34,371.48,419.49,109.50,548.67,342.22,368.41,371.07,335.62,473.56,400.36,266.70,330.27,469.45,404.17,269.77
1922,298.87,511.55,291.72,413.74,251.29,404.92,189.48,258.68,375.55,331.48,142.98,275.47,205.64,431.54,165.30,457.94,483.83,632.75,330.66,502.32,436.49,542.34,109.93,565.77,370.64,462.99,369.90,339.28,460.47,410.71,276.70,329.99,488.41,423.77,272.46
1923,322.23,536.28,338.12,446.14,320.30,426.80,190.82,316.92,384.72,350.43,151.02,285.10,267.42,464.79,192.91,497.51,512.03,704.51,366.19,545.44,465.96,594.60,110.23,626.98,383.96,490.76,428.61,401.51,488.99,430.57,291.97,333.69,532.30,453.74,274.34
1924,360.27,543.35,346.15,481.20,320.33,438.97,210.15,328.52,411.62,371.28,194.96,302.26,277.54,588.72,339.23,618.54,649.14,757.67,349.38,669.68,587.58,717.57,113.04,687.26,435.09,621.61,428.82,420.66,489.67,487.34,373.99,337.36,627.77,536.34,283.51
1925,251.65,400.13,128.94,422.08,191.70,397.48,140.35,158.00,387.14,224.06,124.18,113.01,135.93,493.83,132.85,515.20,570.34,599.00,281.98,546.29,501.95,600.65,107.48,544.38,392.30,538.07,333.75,262.97,415.31,440.91,273.60,309.83,526.42,464.59,267.98
1926,304.18,427.09,269.05,444.21,241.50,397.25,185.89,245.96,388.20,316.46,172.09,238.04,203.78,492.38,267.88,533.63,522.86,616.36,317.75,558.88,480.61,581.68,111.09,568.50,391.85,501.62,358.96,314.98,463.12,437.01,329.67,326.66,558.19,477.64,277.53
1927,250.75,472.16,182.65,355.68,183.00,358.98,160.33,188.39,355.50,257.80,149.44,160.98,152.64,332.73,204.60,361.84,284.63,403.32,240.38,329.96,320.89,317.50,109.44,414.75,319.91,307.16,284.29,260.08,380.96,376.47,294.87,315.97,418.84,381.00,271.36
1928,269.56,503.66,198.53,373.53,175.79,331.54,173.94,187.86,392.79,276.26,141.80,190.16,145.27,462.97,168.59,483.02,463.21,585.96,242.78,502.22,481.41,524.72,109.59,548.94,381.81,494.25,257.79,245.91,401.11,422.56,279.01,316.88,508.86,432.86,271.22
1929,279.73,437.89,222.37,379.79,217.10,376.65,180.40,228.03,382.39,294.05,140.92,198.32,187.41,465.38,176.76,483.96,593.50,657.10,272.19,545.61,477.28,647.77,110.00,542.33,403.48,527.28,315.15,304.73,389.30,418.05,289.48,322.88,490.03,432.00,271.69
1930,293.16,508.12,221.02,435.14,210.20,396.00,162.68,215.63,392.28,273.82,153.05,198.54,169.08,507.96,223.37,545.85,547.70,658.79,289.55,579.86,502.58,609.13,109.49,611.52,400.26,526.55,335.89,297.03,457.29,445.23,314.64,320.10,567.40,481.33,273.07
1931,357.93,630.35,364.35,530.14,299.60,490.82,220.47,335.47,396.33,400.21,169.60,320.35,263.41,541.90,242.14,611.39,491.44,740.21,402.70,624.38,510.62,609.87,112.50,719.53,376.53,501.66,441.70,421.98,582.97,487.70,318.66,349.61,675.29,542.98,278.42
1932,292.94,455.96,248.18,421.75,228.24,385.97,182.37,233.22,399.54,302.93,146.31,225.91,185.29,492.56,201.42,525.60,546.49,614.91,295.62,548.64,498.26,563.45,110.13,572.78,422.64,530.85,345.43,307.73,437.25,442.11,304.32,323.56,547.80,470.44,272.58
1933,323.20,503.13,272.11,508.30,304.97,461.70,178.69,289.61,386.30,322.46,170.19,215.33,245.56,496.20,282.05,554.59,493.22,653.99,395.21,571.94,464.36,576.31,110.84,608.92,387.84,468.73,447.53,389.92,539.76,454.91,348.78,333.41,598.15,506.30,277.49
1934,318.60,537.02,268.08,532.11,305.14,471.91,188.07,275.13,381.71,352.67,145.24,231.85,240.83,501.45,193.28,559.94,422.23,633.08,415.40,553.02,463.09,533.67,109.87,626.11,355.93,441.26,467.93,398.78,575.61,462.18,308.55,340.70,619.17,520.02,274.57
1935,310.65,537.89,187.74,474.32,240.55,404.09,153.44,215.79,415.26,262.28,180.36,151.80,183.55,544.58,304.59,588.21,598.76,715.29,337.07,611.33,552.95,643.02,110.40,669.23,438.20,587.26,371.37,314.43,516.41,474.91,349.04,317.13,632.91,517.72,276.81
1936,288.10,382.47,222.43,409.24,207.41,398.15,171.31,220.19,417.53,303.13,157.68,196.95,170.24,524.10,229.99,530.64,576.75,639.85,268.59,552.25,557.44,598.73,109.77,578.98,425.99,591.29,314.24,299.39,386.40,480.40,322.74,327.58,545.11,487.30,275.58
1937,299.94,439.55,233.70,448.91,265.31,437.29,169.39,241.72,393.31,305.70,172.52,206.41,205.44,469.23,278.67,500.33,462.04,544.60,325.16,484.46,465.29,481.15,110.45,529.31,387.45,472.52,398.79,350.32,435.29,456.44,336.29,327.58,533.52,483.23,276.49
1938,305.15,478.00,259.92,458.20,276.32,437.59,180.96,267.55,374.85,316.29,172.26,218.50,225.36,436.66,273.37,488.13,382.69,590.72,352.29,482.14,409.35,466.65,111.19,566.95,352.38,396.48,402.31,357.78,477.89,432.61,327.01,332.10,542.36,465.23,276.15
1939,338.02,424.50,341.23,449.30,284.55,438.93,216.69,307.51,403.40,380.47,200.83,317.99,248.83,497.53,347.54,521.93,497.64,594.58,328.06,526.85,501.62,541.23,113.51,560.35,403.71,512.12,402.61,384.71,436.06,466.25,370.75,340.96,549.01,490.44,284.01
1940,285.08,430.68,215.10,426.29,255.11,413.47,162.75,242.40,386.66,283.94,159.76,169.04,207.92,466.03,236.19,494.09,460.22,569.81,305.18,496.66,465.59,504.06,109.83,540.80,373.23,473.77,370.89,338.10,422.63,441.19,318.10,322.88,523.25,463.35,274.55
1941,301.08,475.05,304.38,472.35,335.65,480.64,183.74,317.76,364.24,336.10,143.24,241.36,284.19,416.84,168.63,453.82,361.39,476.88,378.80,423.15,390.20,409.13,115.69,477.77,323.60,373.16,471.35,430.37,466.93,433.55,282.80,334.98,497.15,463.60,272.44
1942,342.37,547.56,264.69,493.50,294.20,449.62,205.81,264.81,399.70,343.24,196.60,233.14,228.96,500.59,347.48,540.40,553.38,643.81,390.92,545.91,500.26,577.17,159.29,602.23,421.51,530.14,444.46,374.98,532.74,464.42,377.35,333.55,587.15,504.34,281.94
1943,329.70,535.14,315.71,492.44,290.03,445.67,187.64,287.68,388.42,331.84,173.15,276.70,237.87,512.14,272.06,556.43,507.24,617.06,365.30,562.15,498.03,580.06,111.21,595.56,375.73,503.81,428.11,377.64,534.17,460.55,330.97,330.09,597.94,506.61,277.50
1944,302.69,458.46,195.37,366.98,159.90,330.73,167.90,180.25,407.73,267.90,197.06,191.10,129.77,490.24,426.42,507.45,663.47,675.33,231.04,559.21,527.29,657.11,103.55,585.04,461.30,605.08,258.61,231.44,393.68,427.57,407.89,315.06,527.21,442.92,281.54
1945,321.79,508.50,325.87,519.72,325.77,493.08,193.17,306.98,380.04,365.55,146.64,266.85,248.63,481.10,205.13,526.20,441.33,571.12,403.49,499.57,455.95,498.85,101.36,556.77,355.26,443.58,488.87,415.34,505.99,467.35,300.10,340.86,575.40,513.31,274.20
1946,242.55,383.53,197.78,338.60,173.44,335.60,167.64,188.78,365.60,256.30,125.70,203.31,144.91,393.69,130.47,414.24,360.49,468.06,216.02,417.06,390.05,416.02,108.44,452.73,337.92,387.81,255.63,247.37,334.53,388.68,264.24,313.35,439.62,398.95,267.75
1947,257.66,347.57,186.15,344.44,200.47,359.75,177.90,197.05,367.52,269.93,160.87,198.27,167.09,397.16,226.94,408.08,399.92,470.31,239.69,407.06,404.60,452.10,113.49,419.15,319.54,411.12,291.25,276.39,330.04,399.63,301.08,319.81,419.14,397.08,274.33
1948,284.58,575.88,199.50,442.18,237.18,395.15,158.80,219.70,355.79,266.59,132.64,174.45,186.01,453.50,188.47,499.27,510.67,675.06,319.72,530.18,453.52,587.08,94.59,612.95,359.04,486.10,364.20,309.63,492.84,406.07,275.78,307.24,545.34,443.16,241.37
1949,276.78,549.59,298.29,415.83,259.21,396.07,183.30,282.55,298.95,338.00,107.43,247.71,230.12,411.56,117.16,471.28,358.41,586.14,309.03,479.79,372.54,449.15,66.35,577.25,255.45,357.26,364.76,346.22,454.29,382.29,199.79,310.44,523.55,431.40,228.35
1950,278.16,446.78,216.50,375.47,203.64,359.58,154.14,213.21,373.14,275.68,167.25,186.39,174.68,460.46,241.04,496.66,514.43,649.27,231.45,532.55,471.34,585.76,96.68,580.06,385.28,502.89,295.23,287.87,383.39,396.87,308.62,312.87,523.00,427.90,270.30
1951,308.95,519.14,242.76,491.20,257.49,426.25,189.27,237.61,373.62,316.33,167.87,216.11,196.64,510.73,219.91,565.46,463.81,635.15,353.49,568.02,473.13,565.50,131.45,607.40,354.85,464.72,400.96,340.83,519.05,447.24,311.61,328.77,609.13,512.98,285.10
1952,301.06,554.25,302.40,454.30,282.31,410.81,191.51,285.83,314.27,337.49,154.93,255.49,241.13,452.43,163.04,509.62,387.80,620.14,326.76,513.56,410.39,494.78,137.53,606.61,263.63,394.93,398.14,373.05,499.26,407.82,224.52,313.80,570.62,467.26,234.37
1953,349.04,770.74,354.47,612.47,353.88,472.84,190.45,313.53,340.12,343.49,117.66,300.78,270.21,570.69,138.76,668.73,492.10,786.37,476.85,670.34,505.31,637.03,90.05,780.29,331.78,488.34,533.04,427.18,733.76,463.81,244.13,312.42,759.37,579.57,232.98
1954,324.28,556.50,286.17,449.17,242.83,400.81,189.78,257.31,416.83,314.57,169.07,253.28,208.42,559.87,225.35,597.62,605.87,786.61,305.50,656.78,579.50,713.85,140.75,714.15,405.57,609.91,348.49,322.45,477.91,473.36,302.43,329.07,627.90,503.70,273.81
1955,277.28,493.66,226.82,397.86,201.90,362.71,177.01,212.03,356.09,298.12,138.17,211.27,165.86,423.75,173.56,462.15,544.68,632.69,280.94,511.48,443.52,569.97,107.13,553.78,373.41,497.77,310.39,286.07,449.44,384.89,260.32,310.75,499.80,398.74,243.27
1956,349.48,527.55,337.39,497.97,272.22,441.56,191.02,292.84,472.51,355.28,160.05,281.88,229.61,635.36,217.04,660.29,810.77,907.83,325.63,743.02,668.19,861.32,118.12,765.71,538.89,750.12,396.77,359.08,490.55,530.63,334.06,341.98,663.59,564.17,273.23
1957,420.22,651.68,343.59,603.45,305.06,525.53,276.34,301.77,568.39,415.04,219.79,333.87,242.16,722.56,304.17,762.68,793.11,956.51,392.11,803.18,750.40,874.42,192.76,873.78,584.17,798.82,478.18,399.53,589.46,623.42,461.94,386.38,806.78,672.38,367.14
1958,301.72,596.24,255.32,460.30,263.03,426.34,157.92,268.38,383.22,312.47,140.65,198.00,233.16,495.37,167.42,537.71,510.56,684.37,324.48,565.46,495.11,577.41,102.96,660.66,350.98,512.89,377.89,359.13,479.65,463.45,261.08,325.29,582.62,491.10,250.06
1959,345.59,523.92,318.77,452.61,255.14,424.91,203.24,268.38,503.06,341.17,164.17,270.07,208.66,627.20,229.65,641.77,770.42,855.57,298.71,695.29,683.70,810.95,127.26,753.50,545.64,754.87,375.73,326.54,450.07,542.14,380.79,346.69,651.88,553.88,301.45
1960,339.21,529.63,255.01,555.49,338.26,530.04,183.92,271.33,486.20,325.32,142.96,229.10,251.45,636.72,180.18,673.14,665.88,818.54,381.20,711.93,633.58,746.88,104.32,748.98,459.63,656.01,498.31,410.28,501.77,587.46,309.61,356.22,696.53,615.73,274.32
1961,330.28,405.18,295.07,498.87,273.02,479.57,208.19,268.28,454.97,378.85,165.22,264.96,202.91,592.98,225.95,615.04,631.21,727.19,359.87,638.65,596.64,711.82,123.97,629.56,440.01,617.09,406.00,349.04,446.98,548.76,326.67,364.49,615.37,582.07,288.50
1962,255.05,460.17,216.43,402.00,253.86,377.93,112.00,229.35,341.03,257.17,102.68,161.37,195.77,442.56,121.44,477.72,500.46,614.02,310.31,509.80,445.91,561.12,65.84,544.46,344.09,473.32,360.59,314.72,439.01,400.84,237.01,296.86,508.92,428.55,239.08
1963,322.84,484.67,278.54,525.67,300.29,489.89,175.08,279.53,454.68,334.60,140.64,221.32,235.19,608.75,145.36,658.33,603.40,806.73,358.48,689.57,606.26,716.41,116.95,733.15,407.83,616.30,453.43,380.66,518.18,546.08,278.76,357.34,691.07,577.86,280.14
1964,318.03,546.02,281.00,501.10,284.24,441.61,199.58,269.49,374.60,318.81,153.22,247.06,225.64,570.35,153.47,617.49,536.23,738.49,379.37,652.89,531.63,638.37,146.49,685.37,351.29,526.64,419.54,356.98,533.82,476.47,245.22,331.60,640.55,543.62,260.07
1965,355.83,633.30,240.74,584.68,240.97,519.17,161.59,221.84,559.99,306.03,134.32,202.78,173.35,805.44,173.44,868.93,841.15,1130.07,332.06,927.36,807.24,963.74,86.97,1018.08,548.76,836.41,383.43,307.31,522.83,688.52,350.28,386.74,873.78,730.37,329.15
1966,280.32,625.88,218.35,413.23,210.08,364.30,141.08,205.20,364.08,294.51,112.39,189.09,161.26,496.83,131.37,522.25,563.21,737.83,299.76,586.49,507.27,626.31,74.84,675.00,376.97,539.56,319.28,271.99,465.59,420.98,240.85,305.54,545.44,452.11,238.67
1967,357.99,620.61,296.22,547.93,259.66,473.32,198.27,270.58,512.38,352.41,146.96,265.54,216.91,673.43,185.11,717.49,753.44,908.28,365.57,772.38,706.33,832.11,110.87,838.09,520.92,751.05,408.01,353.40,594.87,581.93,338.52,371.46,753.12,603.58,312.35
1968,330.22,574.73,329.18,531.88,289.06,470.35,214.76,286.78,397.70,369.40,136.75,303.40,228.45,543.14,136.39,599.50,509.70,723.75,381.17,610.47,515.92,613.97,122.03,679.29,359.41,519.24,438.38,370.93,552.11,493.58,255.20,348.13,646.68,548.68,267.18
1969,342.23,730.87,350.91,650.44,413.04,562.80,172.17,373.61,342.68,366.76,101.55,259.73,342.20,559.98,89.23,624.61,440.07,642.47,560.25,594.93,475.86,508.62,84.67,672.78,295.30,441.51,594.56,525.70,701.72,544.95,194.28,323.84,682.17,642.21,214.51
1970,237.54,413.79,197.34,299.36,181.78,274.49,157.02,199.82,282.69,230.88,143.08,168.54,171.87,353.38,171.53,370.67,464.01,570.07,234.21,435.58,376.98,493.82,136.96,495.24,318.71,425.66,242.95,246.14,354.49,291.90,223.06,241.99,389.67,306.54,189.37
1971,192.39,313.06,202.71,281.14,138.21,254.00,116.25,175.45,248.84,226.63,69.21,178.58,123.76,355.80,62.63,375.19,450.28,520.95,188.62,430.70,371.88,480.09,53.50,439.01,268.64,412.13,213.38,201.72,307.85,289.35,139.98,224.93,370.33,299.31,141.12
1972,388.67,595.80,371.41,583.27,300.52,528.67,264.67,326.05,507.14,425.74,192.42,332.16,262.14,678.44,218.14,713.01,684.55,877.38,383.08,749.43,688.97,795.43,142.63,805.63,459.76,706.71,460.98,415.67,567.04,596.35,335.71,411.92,744.70,632.51,343.30
1973,266.26,536.16,244.22,475.72,271.79,407.67,94.31,263.06,329.08,253.30,79.01,165.11,230.56,518.29,99.56,553.61,543.05,698.56,359.31,578.06,491.24,620.35,55.20,630.26,348.79,509.48,383.09,355.80,483.17,443.89,195.01,264.46,567.06,509.05,170.37
1974,294.95,499.39,365.92,372.30,181.90,323.30,259.09,258.48,322.44,345.36,158.14,352.32,170.57,417.10,139.12,457.06,447.40,604.06,261.90,490.57,414.24,524.82,149.87,558.83,304.06,437.71,267.98,268.83,422.99,354.34,225.76,302.35,487.87,387.76,248.24
1975,316.71,508.75,278.27,476.70,247.11,415.89,223.08,239.07,390.51,355.22,162.64,255.96,181.89,512.74,193.75,558.64,553.64,665.71,350.81,573.39,486.25,608.41,122.42,609.92,405.45,516.89,377.14,316.56,526.17,453.59,293.09,357.84,591.47,510.47,295.70
1976,361.35,507.59,384.00,473.34,276.24,417.27,268.55,297.02,415.81,411.68,223.83,358.23,222.39,502.91,268.49,542.13,592.29,680.78,371.72,572.50,505.32,632.73,178.42,602.51,425.55,550.54,401.35,356.59,543.52,456.74,342.45,385.49,569.19,483.90,359.44
1977,292.04,591.39,242.90,455.47,243.73,397.83,169.14,223.91,352.53,301.37,124.90,219.36,178.25,480.97,144.48,549.05,499.56,687.58,324.98,575.96,455.42,575.89,93.72,666.29,363.34,479.38,357.93,311.94,520.23,429.31,252.72,306.45,621.10,485.22,247.27
1978,284.48,474.60,285.84,440.73,272.46,410.65,160.94,280.66,334.16,305.73,107.31,243.61,231.07,492.65,139.78,528.81,520.83,682.70,324.80,562.30,475.41,621.07,75.55,595.18,333.12,490.24,390.45,368.02,454.33,430.46,223.25,292.98,548.30,483.99,219.55
1979,327.02,519.97,306.81,466.28,255.27,395.05,177.10,257.69,422.71,320.50,158.79,283.53,207.07,574.07,214.80,617.01,661.45,817.66,325.86,663.67,593.69,744.08,110.65,718.16,469.35,644.38,364.81,329.32,505.52,465.67,325.09,317.26,662.41,523.42,286.81
1980,339.96,552.39,335.43,452.21,243.06,422.43,218.88,290.31,455.29,368.34,162.87,289.53,225.56,580.47,182.62,627.85,655.73,905.18,277.12,710.58,601.46,781.38,112.28,797.66,458.09,647.47,352.33,349.51,458.58,485.48,326.84,368.46,650.08,505.34,321.40
1981,346.66,630.68,305.41,523.95,252.78,437.34,201.35,285.71,448.24,362.13,167.61,261.10,233.16,564.92,209.26,625.54,578.92,775.92,412.94,644.67,538.21,674.32,106.85,725.66,428.92,564.39,386.44,355.68,607.53,480.24,349.71,403.87,662.56,535.07,374.56
1982,409.54,457.43,419.35,473.51,265.65,460.88,303.57,318.64,568.80,468.80,291.30,391.53,229.22,518.52,417.75,518.82,666.44,605.26,348.12,519.13,586.29,619.57,190.46,544.01,601.79,652.57,391.77,379.26,474.47,517.18,548.82,469.03,561.25,500.07,511.40
1983,308.42,422.67,225.23,409.49,220.72,374.82,179.76,228.00,459.15,311.50,164.88,211.69,186.20,505.14,266.56,527.08,652.88,703.03,309.67,571.55,533.52,669.71,112.10,595.90,502.81,600.29,332.95,304.12,444.04,442.48,399.97,359.92,540.68,460.39,352.45
1984,257.90,570.29,216.08,398.86,235.90,342.98,167.04,242.71,256.58,269.18,104.36,190.03,201.13,430.16,95.08,477.23,468.41,678.27,313.61,531.74,405.33,572.24,95.50,609.66,267.04,427.94,340.20,314.11,476.36,341.96,152.76,231.00,512.43,407.14,142.66
1985,231.47,471.10,208.40,330.99,210.19,305.86,118.62,223.12,262.70,241.27,104.91,171.96,190.47,341.20,148.70,377.00,347.47,513.78,274.12,402.36,328.58,419.08,74.07,485.01,254.86,337.61,288.94,287.50,401.90,299.01,211.66,245.21,422.75,337.45,194.13
1986,310.00,558.44,220.27,442.12,212.53,375.07,203.50,211.09,403.84,289.79,142.05,240.71,164.14,587.23,183.29,619.54,646.47,890.61,303.13,691.07,596.15,779.10,112.44,776.55,429.20,626.53,328.83,275.43,461.22,459.66,293.97,310.41,638.40,513.93,255.94
1987,296.23,698.08,224.75,519.13,276.48,418.99,105.55,247.73,335.37,282.33,105.70,180.26,214.49,508.94,161.78,592.56,479.59,745.20,403.12,619.19,462.78,589.29,58.66,717.73,324.40,477.66,422.44,364.58,614.14,429.40,245.60,283.88,677.55,519.69,212.44
1988,322.33,526.46,292.19,467.79,282.86,431.44,228.65,286.29,378.50,353.72,151.27,276.95,235.47,515.05,178.87,560.86,531.71,730.77,336.91,608.94,498.41,633.14,130.19,656.46,378.00,517.47,409.60,376.21,480.25,448.12,285.95,333.98,591.56,495.75,274.40
1989,312.10,477.30,238.10,509.13,251.88,418.72,148.21,240.74,440.32,303.07,124.58,210.97,199.06,618.11,197.98,625.42,738.33,820.81,376.14,714.48,631.11,801.73,67.72,696.38,513.00,702.50,386.94,330.00,521.75,493.58,322.99,324.85,618.91,544.80,268.82
1990,347.77,475.79,285.77,460.90,278.07,443.96,235.07,285.71,434.69,353.05,218.46,255.37,237.21,561.44,319.59,582.93,643.19,742.36,320.56,627.51,575.09,701.48,161.94,653.15,458.54,615.03,400.93,379.89,430.62,495.59,356.85,348.16,590.92,523.46,309.42
1991,404.09,628.04,340.44,636.25,346.87,564.27,254.02,324.09,520.32,392.33,209.09,312.50,270.50,672.33,282.12,713.04,689.08,805.08,470.02,722.75,665.06,748.71,176.75,770.22,494.13,694.17,536.78,458.89,637.79,611.24,386.32,398.04,765.28,667.84,335.70
1992,380.61,526.22,343.09,525.08,287.27,452.91,242.09,298.56,532.50,385.97,194.39,321.11,244.56,664.63,299.16,687.24,758.33,832.93,369.62,739.72,696.54,822.17,122.99,737.93,566.44,748.37,420.16,378.28,530.12,567.02,439.34,373.52,701.75,601.60,359.84
1993,302.45,556.81,318.16,474.83,312.16,436.35,183.85,309.80,298.59,359.95,130.35,276.04,269.44,412.23,154.73,477.19,399.11,564.36,406.40,474.27,371.70,468.50,86.65,555.16,284.43,377.04,450.31,409.69,560.43,386.42,221.64,316.93,546.37,448.00,237.26
1994,326.06,525.99,237.48,487.61,239.03,430.22,238.94,240.51,389.29,309.92,174.64,247.59,201.38,608.42,182.32,653.99,639.10,865.20,335.31,717.05,585.09,761.85,154.02,757.46,416.67,605.97,378.24,313.11,521.17,498.17,269.50,321.48,669.66,561.51,250.82
