Variable:,pr
,Brazil,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,"Distrito Federal","Espirito Santo",Goias,Maranhao,"Mato Grosso","Mato Grosso Do Sul","Minas Gerais",Para,Paraiba,Parana,Pernambuco,Piaui,"Rio De Janeiro","Rio Grande Do Norte","Rio Grande Do Sul",Rondonia,Roraima,"Santa Catarina","Sao Paulo",Sergipe,Tocantins,"Name Unknown","Name Unknown","Name Unknown","Name Unknown"
1918,1759.94,2295.68,1363.11,2721.82,2316.84,997.65,863.72,1657.46,1158.82,1735.34,1560.18,1842.30,1409.94,1277.53,2088.31,791.25,1602.49,760.38,1040.53,1100.40,709.50,1616.80,1785.62,2111.57,1712.99,1332.60,1172.56,1903.67,1903.67,883.89,883.89,883.89
1919,1699.45,2473.18,1011.26,2704.02,2360.05,900.18,242.18,1557.23,1195.42,1664.00,1145.57,1939.48,1449.03,1297.72,1968.81,456.48,1474.29,550.49,699.02,1171.28,269.24,1656.47,1805.97,2118.22,1506.45,1273.96,890.31,1680.83,1680.83,883.89,883.89,883.89
1920,1761.86,2067.28,1137.77,2731.80,2396.49,972.92,923.39,1581.37,1147.78,1652.78,1562.31,1854.85,1415.59,1271.59,2160.60,783.05,1421.97,769.50,1070.81,1030.99,678.10,1620.82,1762.65,2138.96,1497.70,1246.60,1129.39,1678.18,1678.18,883.89,883.89,883.89
1921,1804.11,1888.35,1614.65,2730.59,2401.87,1044.45,1200.69,1796.65,1098.93,1885.85,1783.57,1839.84,1397.57,1215.84,2185.09,1001.26,1460.05,941.69,1284.68,863.47,989.46,1561.98,1737.75,2145.31,1557.41,1219.70,1430.53,1926.96,1926.96,883.89,883.89,883.89
1922,1779.00,1965.20,1488.31,2743.64,2316.28,913.25,1002.44,1671.22,1151.25,1751.71,1630.44,1859.35,1405.73,1274.33,2217.06,996.82,1556.54,923.20,1084.58,1208.49,872.84,1586.89,1749.88,2123.24,1665.71,1355.82,1169.56,1917.60,1917.60,883.89,883.89,883.89
1923,1730.55,1781.78,898.90,2749.74,2381.18,735.16,813.98,1386.87,1158.83,1418.57,1639.58,1829.64,1403.70,1196.45,2256.81,696.14,1466.50,646.29,1009.40,1197.37,633.24,1599.58,1729.14,2120.18,1524.89,1354.57,758.97,1604.13,1604.13,883.89,883.89,883.89
1924,1923.20,2156.84,1431.58,2746.60,2441.85,1269.62,1524.97,1870.22,1258.39,2026.97,2289.48,1840.00,1377.35,1514.25,2381.80,1404.60,1233.56,1181.99,1592.21,1495.49,1357.23,1170.64,1773.24,2138.24,1231.86,1163.51,1370.45,2356.72,2356.72,883.89,883.89,883.89
1925,1708.19,2085.87,1042.02,2726.25,2250.78,757.67,940.84,1523.20,1127.32,1572.73,1559.73,1878.38,1416.22,1217.55,2098.91,925.99,1529.93,675.44,1026.68,1006.43,799.75,1488.20,1767.45,2116.60,1637.09,1339.08,768.22,1701.52,1701.52,883.89,883.89,883.89
1926,1782.86,1922.61,824.55,2716.37,2171.03,1079.60,1015.35,1744.45,1193.11,1875.71,1748.78,1864.08,1401.05,1338.54,2184.42,935.80,1558.42,816.27,1305.89,1153.15,820.28,1491.20,1747.15,2124.64,1758.76,1339.70,922.74,2279.38,2279.38,883.89,883.89,883.89
1927,1734.09,1766.30,966.74,2718.25,2410.52,823.75,788.02,1358.77,1109.69,1421.13,1579.59,1896.21,1412.49,1201.99,2190.61,698.91,1570.35,583.36,949.53,1033.29,629.21,1420.62,1727.34,2155.83,1658.47,1411.81,800.40,1607.04,1607.04,883.89,883.89,883.89
1928,1740.06,2166.53,777.54,2614.46,2582.89,732.78,644.68,1387.95,1113.36,1427.33,1484.52,1870.88,1426.05,1175.82,1993.09,637.37,1619.90,569.10,937.74,1023.37,529.89,1783.68,1725.47,2073.75,1813.14,1411.52,642.47,1719.61,1719.61,883.89,883.89,883.89
1929,1808.73,2120.55,1033.70,2703.06,2437.59,827.66,1006.20,1583.73,1180.88,1659.73,2006.28,1863.45,1403.57,1257.79,2198.11,925.16,1585.68,863.16,1256.44,1266.90,787.80,1427.42,1751.18,2147.72,1603.14,1592.13,965.51,1894.07,1894.07,883.89,883.89,883.89
1930,1669.01,2342.22,1037.10,2586.06,2341.81,766.24,638.76,1613.28,1141.83,1678.49,1449.67,1822.43,1397.33,1201.90,1880.28,525.57,1480.83,512.28,870.34,1119.24,433.64,1564.22,1687.56,2063.16,1554.36,1458.52,982.42,1587.46,1587.46,883.89,883.89,883.89
1931,1698.97,2119.07,948.78,2613.94,2338.43,691.91,640.73,1484.15,1146.90,1542.83,1546.85,1830.52,1394.34,1237.60,2041.29,742.33,1606.39,628.71,889.64,1189.57,582.90,1425.85,1797.18,2063.57,1650.61,1507.55,739.41,1776.25,1776.25,883.89,883.89,883.89
1932,1612.61,2042.10,754.54,2509.80,2327.38,626.95,399.05,1354.12,1145.10,1404.37,1190.14,1809.79,1415.64,1199.17,1824.62,480.66,1636.96,491.62,624.28,1055.65,353.84,1582.78,1746.38,2049.90,1716.98,1512.46,564.68,1527.32,1527.32,883.89,883.89,883.89
1933,1717.50,2015.43,1140.53,2655.36,2342.31,966.62,800.60,1591.81,1104.98,1667.99,1741.00,1823.38,1380.86,1233.44,2110.78,645.80,1272.31,674.71,1118.41,836.07,621.91,1247.99,1649.19,2169.72,1314.37,1181.49,964.80,1733.03,1733.03,883.89,883.89,883.89
1934,1810.24,2125.71,1110.01,2889.05,2578.24,667.07,1177.49,1350.99,1117.05,1365.91,1888.40,1829.63,1379.66,1128.98,2333.09,980.14,1498.88,749.83,1207.93,930.04,871.92,1561.81,1923.30,2133.76,1630.64,1409.69,918.05,1663.80,1663.80,883.89,883.89,883.89
1935,1781.80,1842.16,1219.76,2660.36,2327.19,1039.59,1065.66,1698.02,1147.63,1788.25,1828.89,1921.67,1411.74,1295.85,2017.73,1095.33,1635.48,907.64,1225.75,1080.17,1033.14,1600.38,1734.09,2044.00,1775.16,1441.40,1273.31,1876.15,1876.15,883.89,883.89,883.89
1936,1656.58,2288.20,1080.56,2599.93,2240.83,1055.92,534.90,1449.57,1113.64,1514.66,1398.34,1682.90,1367.27,1250.19,1875.69,698.09,1509.53,652.46,955.34,1031.73,531.73,1670.97,1838.42,1980.28,1643.83,1347.30,971.25,1658.20,1658.20,883.89,883.89,883.89
1937,1768.87,2274.98,950.87,2712.17,2398.98,974.92,742.06,1636.34,1193.96,1714.50,1694.48,1837.43,1377.32,1344.45,2058.29,782.10,1490.33,722.09,1111.93,1171.62,657.64,1500.35,1931.37,2099.97,1585.89,1424.78,834.85,1805.31,1805.31,883.89,883.89,883.89
1938,1681.95,1922.83,951.38,2612.96,2414.77,675.75,705.65,1475.04,1188.85,1525.90,1334.11,1792.10,1376.38,1198.65,2058.91,628.74,1641.89,578.46,786.73,1238.82,535.51,1566.25,1554.11,2184.35,1738.59,1460.34,789.73,1439.06,1439.06,883.89,883.89,883.89
1939,1726.84,1821.54,1076.13,2730.47,2540.29,680.18,792.75,1269.60,1115.97,1363.28,1623.42,1865.36,1433.00,1086.55,2129.33,797.70,1589.12,617.80,926.93,819.70,625.56,1663.83,1781.31,1751.14,1671.49,1328.20,905.79,1617.16,1617.16,883.89,883.89,883.89
1940,1773.17,2117.93,1609.67,2574.59,2368.87,1081.01,1059.38,1714.18,1167.89,1789.77,1638.83,1919.24,1408.77,1279.56,2048.68,1184.77,1411.15,1029.16,1182.37,1149.38,1074.40,1800.33,1660.52,1606.30,1473.68,1247.27,1136.53,1897.15,1897.15,883.89,883.89,883.89
1941,1684.77,2201.28,1116.36,2622.89,2256.64,903.23,530.65,1735.95,1164.15,1784.90,1316.93,1836.69,1383.90,1312.36,1953.78,712.16,1645.29,719.50,817.12,1235.69,464.32,1781.83,1611.46,1792.07,1758.34,1459.39,836.10,1619.32,1619.32,883.89,883.89,883.89
1942,1695.97,2027.68,1009.77,2704.53,2159.62,977.83,409.59,1658.55,1158.42,1694.27,1374.49,1883.78,1445.39,1442.98,2057.52,567.47,1413.37,621.62,907.12,1207.35,379.03,1591.81,1799.67,2412.54,1445.30,1412.83,809.40,1400.87,1400.87,883.89,883.89,883.89
1943,1739.71,1998.29,1002.01,2638.00,2354.02,869.15,624.45,1796.39,1208.23,1870.24,1353.75,1932.15,1457.04,1379.69,2011.81,610.36,1432.16,611.70,927.22,1313.55,499.89,1445.99,1711.89,2520.77,1495.43,1381.45,873.88,1814.64,1814.64,883.89,883.89,883.89
1944,1731.15,2046.82,1525.06,2719.45,2478.62,969.29,733.63,1366.90,1157.02,1475.71,1438.47,1736.81,1264.91,1249.07,2112.40,695.69,1384.04,817.73,991.49,1223.56,551.61,1399.99,1721.12,2391.56,1445.96,1377.19,1198.87,1606.37,1606.37,883.89,883.89,883.89
1945,1841.38,2034.55,1300.81,2695.64,2322.52,1065.46,1027.44,1899.37,1145.16,1918.87,1689.56,2021.11,1467.18,1535.85,2159.41,906.75,1472.97,776.60,1138.50,1069.27,854.86,1505.04,1873.66,2618.52,1535.68,1418.40,1054.89,1963.47,1963.47,883.89,883.89,883.89
1946,1674.35,2152.94,924.70,2715.49,2371.14,663.51,844.48,1259.24,1116.53,1382.96,1332.89,1810.51,1534.56,1125.30,2040.16,650.63,1620.61,589.17,885.09,1132.13,643.06,1697.16,1711.51,2029.35,1725.96,1379.87,739.11,1255.55,1255.55,883.89,883.89,883.89
1947,1869.80,2296.78,1213.55,2792.78,2408.91,1110.35,944.06,1625.55,1227.35,1733.42,1767.01,1926.81,1471.08,1493.47,2239.09,932.10,1650.26,888.67,1274.52,1561.44,785.95,1580.72,1963.19,1863.61,1741.46,1709.89,1037.55,2056.19,2056.19,883.89,883.89,883.89
1948,1768.04,2312.52,1449.14,2709.44,2434.93,973.16,687.01,1478.22,1245.68,1576.09,1498.63,1887.02,1341.66,1340.27,2068.58,832.07,1494.96,815.84,921.55,1186.04,702.56,1560.33,1894.93,2226.15,1577.86,1395.02,1157.88,1769.81,1769.81,883.89,883.89,883.89
1949,1762.25,1939.66,1212.41,2785.56,2574.78,743.27,760.15,1229.75,1208.26,1314.57,1554.56,1830.25,1325.22,1181.49,2171.40,716.07,1430.59,691.90,931.65,1137.77,637.36,1480.99,1887.02,2865.18,1488.93,1356.89,986.48,1535.74,1535.74,883.89,883.89,883.89
1950,1765.13,2005.83,1082.47,2779.61,2457.51,750.66,846.07,1514.64,1178.34,1584.81,1618.21,1893.27,1422.03,1198.47,2142.86,724.98,1611.31,684.55,1024.31,1372.45,703.85,1594.94,1743.09,2196.79,1640.37,1588.03,874.59,1612.26,1612.26,883.89,883.89,883.89
1951,1631.35,1868.96,1273.01,2584.78,2429.44,674.12,474.67,1261.10,797.05,1388.92,1231.10,1846.96,1433.12,1060.16,1887.17,584.20,1423.97,638.74,685.72,1017.62,447.55,1370.81,1777.45,2498.33,1397.63,1371.83,905.70,1325.52,1325.52,883.89,883.89,883.89
1952,1696.47,2055.84,881.27,2733.28,2293.99,822.29,599.26,1391.50,1226.36,1464.43,1537.72,1788.49,1492.12,1311.79,2147.05,579.54,1351.05,578.53,990.03,1317.42,527.28,1387.95,1572.02,2152.06,1393.16,1392.67,757.28,1645.28,1645.28,883.89,883.89,883.89
1953,1720.08,2408.58,1075.01,2672.51,2599.04,652.37,443.48,1329.10,1127.51,1406.17,1238.06,1798.44,1359.04,1161.04,2089.44,521.34,1430.53,556.00,692.60,1156.07,360.50,1585.13,2031.81,2554.71,1606.23,1312.17,849.73,1408.50,1408.50,883.89,883.89,883.89
1954,1685.10,1978.11,1042.18,2369.90,2434.02,808.38,569.17,1086.87,867.57,1245.46,1304.67,1858.82,1344.53,1007.24,2006.80,597.18,1709.52,675.16,804.03,960.81,479.67,1871.06,1731.25,2780.96,1933.54,1315.13,772.84,1302.26,1302.26,883.89,883.89,883.89
1955,1757.73,1908.80,958.86,2649.29,2528.31,779.51,749.50,1501.79,1065.30,1549.16,1597.91,1810.42,1319.88,1268.03,2209.52,744.83,1486.83,617.17,904.63,1133.88,671.71,1494.38,1785.59,2343.10,1581.55,1324.14,643.98,1625.10,1625.10,883.89,883.89,883.89
1956,1840.94,1811.71,1038.56,3229.04,2597.32,846.50,694.59,1570.75,1049.03,1658.13,1560.67,1976.19,1577.16,1214.40,2280.61,760.58,1520.46,686.36,962.25,1094.08,613.52,1375.78,1813.68,2711.99,1411.23,1402.13,840.55,1942.21,1942.21,883.89,883.89,883.89
1957,1759.86,1946.96,1056.76,2581.91,2333.74,958.17,800.71,1487.28,1180.62,1563.93,1554.37,1896.70,1602.01,1382.51,1982.84,642.33,1865.90,699.00,1078.06,1293.30,654.10,1637.07,1904.00,1935.67,1942.30,1733.86,1004.01,1665.96,1665.96,883.89,883.89,883.89
1958,1689.65,2355.52,893.59,2484.05,2376.03,906.67,289.75,1676.77,1074.26,1760.68,1160.55,1929.79,1550.03,1302.93,1873.72,432.14,1541.08,481.78,707.60,1294.33,278.15,1567.17,1908.99,1611.21,1565.03,1596.73,823.01,1696.86,1696.86,883.89,883.89,883.89
1959,1690.50,2236.23,851.76,2590.96,2377.85,580.67,742.78,1273.71,1136.66,1402.89,1466.94,1952.24,1361.11,1080.88,2122.22,649.98,1345.63,576.53,761.20,1129.17,665.13,1768.10,1815.31,2223.76,1527.46,1332.23,612.55,1375.66,1375.66,883.89,883.89,883.89
1960,1734.18,2089.02,1013.18,2699.80,2342.08,1083.16,667.83,1596.79,1043.84,1675.77,1445.51,1856.05,1389.61,1436.19,1931.69,742.50,1603.70,815.90,1021.66,1174.97,725.11,1415.83,1763.63,2110.54,1557.18,1579.60,982.13,1694.26,1694.26,883.89,883.89,883.89
1961,1669.50,1938.05,1174.21,2670.96,2343.55,520.95,1021.80,1274.90,915.45,1493.95,1451.00,1819.02,1411.98,1129.38,2028.39,873.05,1615.76,708.82,899.20,1167.15,934.98,1808.21,1689.17,1839.52,1799.97,1506.60,738.40,1282.83,1282.83,883.89,883.89,883.89
1962,1715.49,1833.74,1069.28,2510.57,2450.14,832.72,795.86,1592.36,1272.48,1659.75,1565.18,1811.79,1261.95,1339.86,2069.97,622.47,1357.67,666.93,1053.36,1505.84,570.75,1119.97,1689.92,2188.42,1258.33,1456.49,844.02,1622.72,1622.72,883.89,883.89,883.89
1963,1638.60,1852.79,1159.08,2856.16,2407.73,757.61,1093.32,1013.03,678.73,1109.44,1572.31,1671.49,1187.87,772.13,2045.73,914.66,1412.54,779.59,1101.04,716.89,822.32,1775.78,1499.69,2353.51,1608.52,1116.03,848.92,1427.25,1427.25,883.89,883.89,883.89
1964,1872.63,2225.75,1709.09,2469.37,2573.48,1238.62,1306.84,1835.87,1183.77,1904.81,1796.91,1790.72,1430.72,1370.97,2200.17,1277.28,1462.40,1165.01,1275.83,1281.02,1221.36,1318.92,1752.10,2367.87,1367.67,1501.13,1473.40,1823.14,1823.14,883.89,883.89,883.89
1965,1771.15,1904.13,990.06,2445.65,2488.41,796.17,938.28,1899.31,1059.08,1790.92,1521.70,1851.76,1536.66,1443.58,1920.42,929.17,2013.85,770.24,1039.73,1348.48,904.52,1681.26,1683.25,2016.21,1873.60,1700.66,701.45,1590.21,1590.21,883.89,883.89,883.89
1966,1735.81,2000.35,1506.87,2662.17,2304.98,1061.62,622.39,1579.29,916.50,1656.74,1441.87,1715.96,1258.34,1332.48,2077.49,850.90,1597.32,914.17,1066.58,1549.59,623.31,1812.30,1773.24,2215.82,1803.79,1512.45,1378.46,1616.98,1616.98,883.89,883.89,883.89
1967,1717.87,1950.17,1252.43,2959.56,2274.57,995.60,1120.72,1342.38,1258.15,1431.84,1743.92,1694.74,1184.43,1309.07,2039.96,1064.32,1387.53,910.13,1237.03,1500.93,1041.39,1515.08,1651.36,2293.81,1565.55,1422.09,1215.25,1651.92,1651.92,935.38,935.38,935.38
1968,1742.03,2103.29,1248.82,2802.22,2385.58,1002.42,898.90,1492.81,1152.50,1630.61,1565.77,1786.07,1331.37,1247.10,2174.03,797.56,1267.54,748.71,1111.88,987.68,800.22,1333.42,1523.07,2390.53,1291.97,1228.31,1191.56,1791.26,1791.26,927.11,927.11,927.11
1969,1693.66,2135.33,1434.15,2615.40,2295.26,1023.06,841.72,1540.58,1300.09,1585.32,1499.47,1717.75,1327.14,1295.17,2012.50,886.28,1627.16,862.16,966.18,1227.22,687.31,1380.51,1630.47,1972.69,1666.74,1340.81,1304.65,1595.12,1595.12,852.35,852.35,852.35
1970,1743.63,2420.20,882.95,2829.38,2498.45,915.86,544.55,1465.56,1275.98,1584.68,1418.04,1712.75,1376.86,1219.47,2129.58,705.05,1590.38,690.40,875.61,983.43,482.67,1566.03,1628.60,2253.73,1682.29,1568.00,764.09,1542.44,1542.44,844.08,844.08,844.08
1971,1782.05,2267.39,952.51,2851.51,2572.64,796.93,942.50,1579.40,1429.14,1558.85,1721.78,1741.22,1382.67,1253.42,2224.23,994.05,1572.78,789.92,1097.62,1338.96,898.95,1462.15,1617.92,2044.53,1596.33,1395.67,849.50,1483.54,1483.54,851.34,851.34,851.34
1972,1795.31,2494.32,1230.17,2655.94,2464.34,879.06,666.86,1453.14,1039.10,1541.92,1547.86,1896.94,1572.49,1223.46,2090.71,867.99,1992.56,786.55,940.26,1123.44,678.62,2147.73,1942.86,1703.38,2162.47,1620.94,900.80,1510.55,1510.55,820.11,820.11,820.11
1973,1904.88,2571.38,1045.02,3039.96,2603.74,853.65,1151.33,1424.08,1093.12,1550.65,1937.83,1910.39,1439.66,1233.35,2402.84,959.02,1811.29,802.34,1230.92,1229.66,958.39,1846.31,2060.04,1937.20,1991.37,1547.87,1043.52,1764.14,1764.14,911.50,911.50,911.50
1974,1941.83,2166.58,1267.82,3032.12,2586.27,1127.58,1627.36,1340.83,1224.35,1529.84,2268.43,1894.52,1515.92,1244.09,2422.18,1432.49,1560.41,1159.58,1610.83,1122.74,1551.93,1408.87,1924.51,2350.45,1464.95,1518.00,1304.93,1753.58,1753.58,864.84,864.84,864.84
1975,1855.34,2281.74,1461.76,2841.83,2667.30,940.65,1056.34,1268.99,1233.87,1377.00,1747.01,1890.93,1384.31,1172.69,2333.68,1013.86,1599.40,934.90,1116.01,1175.71,914.06,1615.05,1890.63,2059.86,1755.23,1342.83,1290.25,1698.13,1698.13,967.62,967.62,967.62
1976,1767.91,2142.55,968.83,2819.37,2513.76,737.11,706.55,1511.96,968.75,1615.38,1333.72,1857.69,1552.20,1203.19,2033.95,816.78,1706.07,700.24,939.80,1389.32,723.73,1592.21,1775.70,2473.15,1726.13,1846.07,825.13,1633.54,1633.54,815.98,815.98,815.98
1977,1807.04,2171.97,1608.71,2838.02,2516.84,982.80,997.16,1332.89,1248.49,1528.69,1713.28,1821.63,1458.94,1157.37,2141.52,1140.41,1499.36,1008.52,1171.35,1064.79,998.53,1741.66,1883.07,2044.47,1705.62,1461.74,1315.24,1714.26,1714.26,993.61,993.61,993.61
1978,1802.83,2261.53,1403.42,2816.67,2510.92,1171.08,802.21,1811.28,1187.16,1725.82,1654.64,1885.96,1299.13,1460.56,2082.85,1008.24,1224.59,961.55,1085.11,1122.01,734.60,1399.41,1877.31,1916.06,1304.99,1360.83,1146.14,1805.96,1805.96,877.24,877.24,877.24
1979,1804.26,2061.55,1107.03,2685.08,2323.78,1010.11,617.84,1963.54,1346.03,1841.65,1354.52,1978.27,1517.09,1677.39,2183.48,701.51,1575.71,757.65,1019.53,1309.32,497.17,1546.15,1858.57,2049.77,1698.32,1354.41,933.12,1843.42,1843.42,867.97,867.97,867.97
1980,1758.72,2040.38,1088.06,2607.48,2225.62,1099.40,698.63,1744.52,1285.88,1748.54,1541.85,1889.47,1440.59,1399.57,1999.69,689.57,1709.51,766.80,1064.50,1155.31,583.57,1617.17,1988.04,2331.96,1742.49,1496.51,863.88,1868.08,1868.08,819.10,819.10,819.10
1981,1676.75,2130.12,942.62,2422.69,2326.32,901.69,627.48,1756.29,1293.78,1727.95,1137.91,1937.91,1262.47,1431.68,1863.42,743.78,1302.67,673.56,837.72,1145.98,660.54,1350.59,1960.68,2189.54,1376.53,1323.23,819.04,1583.17,1583.17,845.10,845.10,845.10
1982,1748.55,2367.79,1140.72,2657.47,2390.11,659.56,632.49,1584.63,1080.40,1804.96,1367.91,1881.72,1588.47,1255.51,2076.24,633.12,1779.03,611.22,754.60,1264.46,597.12,1819.55,1966.94,1912.35,1775.25,1750.94,900.47,1518.03,1518.03,876.23,876.23,876.23
1983,1693.30,2153.17,739.11,2002.41,2185.48,889.50,354.72,2000.05,1515.74,1887.01,1075.44,1910.02,1674.12,1754.90,1673.39,526.48,2129.43,578.79,674.43,1663.48,328.33,1921.24,1807.26,1660.48,2273.89,1935.10,631.30,1635.41,1635.41,879.35,879.35,879.35
1984,1763.82,2238.22,1187.65,2814.34,2399.44,704.55,988.89,1238.82,1201.89,1412.88,1748.35,1796.15,1368.72,972.22,2353.14,955.56,1497.51,892.05,1018.28,939.19,926.14,1937.07,1733.48,2457.27,1792.73,1238.52,910.62,1460.85,1460.85,799.35,799.35,799.35
1985,1937.33,1835.43,1398.83,2961.80,2266.38,1348.57,1737.47,1820.68,1593.75,1798.27,2575.06,1748.11,1164.21,1567.95,2561.95,1581.96,1159.79,1350.50,1830.60,1558.72,1557.46,1589.42,1854.45,2089.94,1307.88,1147.77,1320.74,2384.10,2384.10,918.84,918.84,918.84
1986,1737.91,2172.58,1378.41,2726.73,2369.22,671.27,1215.12,1167.05,923.98,1376.54,1779.17,1825.95,1444.59,1066.87,2141.16,1225.49,1559.90,998.93,980.94,1180.55,1196.09,1837.92,1638.38,2088.89,1634.16,1497.96,1275.67,1538.23,1538.23,836.73,836.73,836.73
1987,1638.59,1945.31,875.10,2315.38,2257.32,707.24,641.53,1533.32,1036.19,1667.71,1154.06,1822.96,1445.33,1180.76,1922.35,695.52,1448.60,656.77,842.91,1221.49,616.20,1784.83,1622.04,2131.58,1512.05,1465.05,831.37,1516.86,1516.86,965.51,965.51,965.51
