Variable:,pr
,"Congo (Democratic Republic of the)",Bandundu,Bas-Congo,Equateur,"Kasai Occidental","Kasai Oriental",Katanga,Kinshasa,Maniema,Nord-Kivu,Orientale,Sud-Kivu
1997,1552.06,1633.30,1456.42,1743.46,1697.74,1689.76,1219.41,1664.58,1499.54,1329.67,1637.15,1494.85
1998,1469.91,1453.82,1503.29,1765.44,1248.21,1496.06,1136.79,1653.33,1531.32,1324.35,1616.80,1498.15
1999,1527.72,1728.46,1592.68,1833.83,1465.45,1567.97,1096.40,1768.91,1555.79,1187.45,1620.85,1443.01
2000,1473.24,1681.61,1319.22,1718.29,1432.80,1560.03,1126.91,1554.95,1477.22,1147.62,1549.46,1284.46
2001,1448.61,1403.53,1201.05,1765.00,974.21,1204.59,1165.26,1393.75,1646.94,1655.95,1644.16,1727.79
2002,1598.49,1970.20,1432.88,1707.78,1921.68,1700.57,1185.09,1808.48,1460.56,1198.72,1680.40,1389.80
2003,1452.25,1392.53,1406.87,1674.02,1035.10,1378.27,1226.44,1507.60,1547.14,1407.88,1657.76,1526.22
2004,1415.71,1382.62,1400.60,1680.82,1171.02,1447.68,1194.38,1503.30,1353.60,1005.68,1608.94,1081.33
2005,1449.63,1546.10,1220.56,1741.71,1302.63,1498.10,1113.28,1447.13,1448.47,1125.01,1599.39,1276.98
2006,1581.13,1671.69,1595.57,1754.69,1634.19,1761.89,1247.67,1649.01,1546.95,1355.84,1674.03,1523.73
2007,1509.93,1596.93,1516.38,1720.90,1359.53,1576.58,1156.75,1617.22,1533.04,1581.00,1641.57,1488.45
2008,1504.85,1450.24,1574.14,1794.97,1306.09,1600.43,1207.86,1637.29,1515.06,1219.75,1654.25,1416.90
2009,1534.37,1517.15,1541.90,1808.87,1445.08,1677.92,1235.32,1638.55,1504.61,1357.57,1639.95,1373.26
2010,1492.68,1355.04,1383.95,1729.43,1390.98,1702.09,1155.51,1501.73,1515.31,1503.10,1676.93,1486.91
2011,1526.97,1465.57,1395.04,1763.01,1469.41,1620.23,1210.76,1571.08,1604.43,1357.03,1650.06,1772.00
2012,1507.41,1521.76,1359.24,1797.83,1526.45,1578.33,1175.01,1487.66,1469.89,1331.08,1640.84,1241.41
2013,1538.84,1634.29,1349.61,1726.78,1603.86,1633.69,1225.19,1551.76,1527.12,1335.05,1643.04,1447.75
2014,1509.06,1512.19,1181.10,1679.65,1603.86,1633.60,1219.79,1323.09,1523.14,1336.76,1643.03,1451.82
2015,1522.95,1584.32,1304.06,1694.50,1603.86,1633.60,1212.07,1512.46,1523.14,1337.32,1643.03,1452.30
2016,1548.33,1640.11,1441.76,1771.14,1603.86,1633.60,1218.77,1634.22,1523.14,1337.61,1643.03,1453.45
2017,1555.47,1652.31,1466.58,1782.09,1603.86,1633.60,1245.94,1746.53,1518.39,1290.01,1642.07,1402.06
2018,1553.22,1658.58,1328.62,1808.76,1603.86,1633.60,1224.47,1604.68,1519.83,1289.32,1641.79,1428.20
2019,1559.44,1589.45,1498.47,1801.56,1603.86,1633.60,1220.24,1613.94,1543.14,1506.55,1646.31,1626.10
2020,1560.08,1767.27,1598.66,1677.55,1603.86,1633.60,1220.86,1902.38,1534.43,1403.08,1643.65,1589.29
