Variable:,pr
,Estonia,"Administrative unit not available","Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond"
1916,684.41,661.11,686.95,678.01,657.51,693.42,690.13,691.21,687.73,701.42,664.10,699.92,693.83,669.01,668.64,693.99,672.52
1917,588.10,558.89,595.49,538.07,574.04,607.06,574.93,594.48,565.74,601.80,587.87,605.76,552.85,567.43,583.55,604.02,610.75
1918,589.70,563.61,619.20,570.74,611.10,619.38,590.73,634.20,578.56,592.51,551.65,612.03,560.16,552.56,543.51,589.13,552.96
1919,548.67,509.70,570.82,553.48,527.28,567.55,538.68,560.68,551.67,567.57,519.60,573.99,553.87,516.94,521.82,556.80,532.91
1920,491.07,465.62,494.17,457.05,491.06,506.90,489.82,511.48,477.82,500.89,475.06,503.05,463.93,476.44,484.28,503.26,487.23
1921,592.61,589.63,597.65,481.10,622.04,620.30,605.04,636.56,538.91,580.90,601.20,594.38,502.31,590.50,584.43,600.90,601.94
1922,592.97,588.69,586.48,520.53,629.26,609.19,596.50,631.59,554.29,588.57,593.58,587.92,542.22,577.23,583.93,595.56,615.35
1923,726.91,675.58,740.21,683.50,717.06,756.83,719.48,760.84,711.02,748.81,693.77,742.11,699.51,694.19,709.28,746.27,710.14
1924,656.24,632.68,686.13,588.21,677.81,689.88,670.21,706.09,635.02,648.73,629.14,678.35,583.80,633.68,624.06,658.23,631.15
1925,756.05,719.98,786.24,640.58,752.29,797.57,761.50,793.75,721.12,764.29,732.03,784.98,661.45,727.37,743.61,779.22,741.23
1926,586.52,577.68,582.39,556.85,594.61,606.75,597.52,610.73,530.70,576.15,596.23,571.63,573.63,581.17,584.41,593.85,618.73
1927,730.33,703.90,760.84,686.81,757.76,777.01,736.78,788.22,708.41,727.42,703.13,752.80,688.03,700.07,667.36,715.11,703.92
1928,784.13,758.64,794.05,715.44,776.64,809.59,798.00,804.53,739.63,785.34,773.34,789.37,735.96,775.10,781.95,806.76,798.05
1929,627.22,592.26,660.06,588.60,643.43,670.46,629.39,676.79,597.26,617.08,598.54,646.02,588.91,598.50,590.60,630.51,609.45
1930,666.94,637.09,668.33,636.05,662.90,685.95,667.07,684.17,614.67,679.49,647.70,665.57,662.88,642.27,666.57,696.78,671.35
1931,645.96,600.17,677.38,612.06,633.34,676.94,630.47,671.95,622.32,664.31,603.70,676.90,630.84,603.72,624.90,661.82,627.65
1932,653.28,631.36,674.79,611.41,644.41,676.35,661.57,679.70,640.78,649.25,634.05,672.60,600.71,638.49,642.24,670.22,643.13
1933,492.07,494.36,480.40,431.67,518.01,495.44,496.91,510.53,441.76,485.36,502.54,477.49,457.75,485.05,502.09,510.76,517.00
1934,615.53,579.54,634.76,591.51,617.69,637.46,611.78,639.70,616.90,632.52,583.05,639.85,595.47,583.13,584.01,617.88,592.86
1935,764.85,747.39,792.31,696.66,796.63,798.09,768.97,807.72,732.06,756.18,750.96,787.68,698.97,743.26,723.25,760.87,759.04
1936,654.46,614.57,676.04,662.24,647.36,678.68,645.04,678.98,655.71,677.02,611.36,679.26,665.67,611.66,615.64,657.91,626.20
1937,653.86,646.63,652.24,613.39,665.42,669.61,663.19,678.28,609.91,649.08,652.41,656.24,630.53,643.29,641.96,665.15,666.80
1938,579.36,561.20,580.19,533.52,590.60,591.07,577.83,598.26,559.75,599.80,559.07,589.78,536.76,554.37,568.63,595.18,572.49
1939,467.51,461.82,458.60,433.99,475.41,474.12,474.81,475.37,427.72,468.90,465.81,458.33,455.57,458.13,470.57,489.73,481.89
1940,594.33,552.47,612.21,535.82,588.02,619.67,592.72,614.54,567.91,603.74,564.93,612.70,569.56,564.15,589.80,620.12,580.29
1941,460.01,435.00,453.51,442.34,453.32,466.79,453.52,468.75,435.31,472.04,451.70,466.70,471.86,443.68,458.64,475.26,469.25
1942,591.06,571.42,603.21,511.14,579.97,617.71,596.81,611.17,555.67,597.27,584.02,606.97,528.99,586.76,584.53,611.89,586.44
1943,691.28,669.29,727.74,655.29,687.64,728.98,705.68,728.82,686.46,683.24,663.12,722.47,630.62,672.82,660.93,690.88,661.58
1944,648.21,592.87,716.17,660.08,618.24,693.96,651.67,690.47,682.74,655.80,579.75,705.87,627.74,591.46,588.17,642.56,589.24
1945,630.80,597.18,641.10,596.21,620.01,639.99,616.81,639.16,615.39,649.28,622.98,646.86,605.45,603.06,622.81,646.14,649.34
1946,552.49,535.27,555.40,528.84,552.70,563.71,548.75,565.45,530.75,557.20,551.90,565.12,526.87,542.46,542.20,561.92,565.24
1947,504.42,466.73,514.69,439.54,508.14,527.57,495.27,529.25,485.80,526.23,476.14,530.92,463.16,469.92,492.72,519.55,492.22
1948,666.80,657.52,660.40,595.42,671.80,681.45,683.25,682.25,629.97,676.65,661.58,669.77,610.87,660.39,658.91,688.28,678.18
1949,645.96,594.92,655.89,610.46,599.77,661.36,633.45,649.78,636.83,684.87,612.58,673.97,638.13,612.72,644.66,674.31,641.86
1950,661.28,602.98,683.00,644.22,619.83,673.12,628.88,651.09,659.11,694.73,623.43,690.46,673.45,612.87,674.63,693.13,662.94
1951,531.63,520.51,538.90,463.73,527.44,547.95,530.41,549.48,508.29,540.64,526.56,542.48,483.16,516.11,523.46,546.05,539.09
1952,763.66,707.81,798.04,694.34,753.99,800.01,752.06,791.55,745.35,790.67,717.78,804.64,720.75,716.12,733.68,781.38,738.19
1953,584.55,582.06,602.32,534.95,602.55,596.71,584.28,614.21,574.86,580.87,586.16,599.15,547.53,570.60,546.57,572.46,585.35
1954,699.44,634.57,736.90,665.26,671.18,735.11,695.41,719.02,702.08,724.68,645.92,740.61,657.78,661.57,676.94,725.16,661.93
1955,569.48,528.32,580.69,536.99,545.45,579.69,547.74,568.71,561.21,596.32,544.32,591.91,566.34,535.40,566.58,593.85,577.11
1956,649.69,613.35,668.14,577.88,624.02,673.82,640.85,667.54,625.15,663.22,630.96,671.73,618.78,628.37,645.96,670.60,652.23
1957,717.49,682.94,741.95,660.11,716.47,744.20,712.99,749.67,698.79,728.27,689.47,735.47,680.15,678.94,688.47,735.03,710.32
1958,551.11,528.76,553.96,525.29,544.11,556.29,550.21,564.51,525.99,556.92,545.03,554.67,541.21,538.46,544.09,570.49,562.09
1959,532.61,529.14,521.47,472.51,535.93,534.76,533.10,544.71,494.13,542.43,534.37,530.55,496.84,524.30,540.30,552.86,553.53
1960,649.05,610.55,679.96,628.07,617.10,672.07,632.71,660.39,631.43,656.73,633.10,674.03,615.50,628.27,645.74,671.86,656.97
1961,636.32,624.42,645.89,612.92,641.92,649.91,647.42,666.78,622.69,643.35,620.70,644.74,613.74,617.31,606.10,634.68,626.09
1962,737.17,712.84,771.14,671.41,722.19,770.50,735.86,756.44,713.71,738.04,727.04,761.87,673.36,721.65,715.57,750.08,740.32
1963,505.15,463.16,525.91,513.75,491.41,520.49,496.52,518.04,514.78,522.60,471.66,529.64,521.92,474.20,479.89,508.04,478.49
1964,477.98,421.91,496.12,473.10,449.84,491.04,462.14,476.45,489.21,511.32,434.50,505.79,484.69,439.43,467.71,500.57,459.01
1965,544.85,500.25,573.63,558.51,523.95,560.53,532.21,561.59,553.06,560.32,508.07,568.98,569.04,507.70,514.43,550.22,524.19
1966,685.88,706.47,658.05,571.34,733.96,709.53,720.58,725.71,617.04,671.01,707.87,668.69,589.77,693.33,678.51,704.40,702.66
1967,656.86,622.59,681.87,651.95,652.11,676.14,656.06,691.84,665.64,668.63,619.68,682.03,651.33,620.51,614.78,654.78,629.70
1968,544.11,527.31,563.72,484.72,547.69,564.03,542.40,567.71,519.93,535.15,552.81,554.96,477.42,532.74,532.27,553.30,570.10
1969,521.92,507.00,531.92,478.36,522.45,536.52,524.39,541.56,506.29,520.77,521.00,530.89,476.87,510.53,512.49,528.90,535.05
1970,602.25,569.48,634.26,554.09,589.91,614.20,581.73,609.09,595.64,619.39,588.05,629.83,569.55,572.34,591.35,608.60,601.56
1971,548.99,509.90,547.03,526.15,539.82,562.62,542.75,562.28,542.87,582.77,514.89,571.13,550.87,513.63,529.19,564.99,529.68
1972,594.28,530.31,621.82,569.66,542.19,615.23,574.25,596.67,596.06,630.72,548.36,630.19,584.07,562.82,600.72,620.99,572.79
1973,615.77,598.11,604.47,570.39,630.80,633.05,628.15,640.30,591.18,629.67,596.03,623.60,587.60,599.49,601.02,631.67,596.33
1974,612.87,540.27,678.59,664.98,575.80,629.02,571.59,620.11,649.57,638.56,561.42,662.06,658.84,551.46,572.36,604.29,579.72
1975,535.36,524.37,533.59,485.36,557.56,558.88,551.42,568.54,516.69,545.79,510.42,545.29,493.06,513.42,505.55,545.38,508.15
1976,475.79,446.31,481.51,442.99,463.60,484.12,462.51,476.03,465.84,491.51,473.70,494.88,459.38,455.12,466.13,486.54,497.10
1977,663.08,601.41,705.79,660.53,632.45,690.49,644.57,678.06,677.14,684.93,611.62,707.06,657.04,620.42,638.98,676.93,629.19
1978,757.53,721.87,733.32,663.59,744.05,781.07,768.23,763.10,720.26,790.64,743.59,776.21,698.86,744.73,759.46,797.53,764.80
1979,601.47,573.31,608.89,587.65,596.19,623.77,606.30,628.80,591.09,611.06,574.89,613.81,601.16,577.67,580.03,610.57,574.95
1980,648.04,577.64,667.91,694.21,612.20,654.57,620.96,640.83,668.75,695.08,587.02,679.62,722.86,594.19,631.91,660.67,606.49
1981,817.50,730.39,863.39,814.00,779.44,859.55,808.85,840.47,830.48,868.12,726.24,872.67,831.32,758.52,764.38,839.10,735.48
1982,578.05,567.41,600.81,542.23,582.12,602.15,590.76,608.73,567.62,574.81,560.05,591.97,534.89,562.49,553.57,575.19,561.76
1983,681.27,642.78,687.36,624.99,677.57,712.92,688.78,706.02,656.95,704.71,642.72,697.50,648.24,646.44,663.78,706.10,658.42
1984,624.71,560.06,681.85,663.38,590.34,650.38,602.39,638.70,659.91,649.49,554.08,674.76,651.18,567.43,584.45,629.08,572.05
1985,708.94,672.54,707.64,624.03,687.26,726.96,717.51,714.40,668.19,721.25,707.66,719.23,648.91,705.11,722.95,741.70,737.19
1986,690.17,655.45,726.94,623.87,688.21,715.96,677.09,712.31,681.03,708.25,658.30,722.01,636.14,652.61,670.33,698.48,668.92
1987,692.21,708.86,679.61,607.05,714.49,704.31,727.13,715.45,636.67,675.96,715.58,681.64,617.99,711.32,686.72,704.51,712.87
1988,685.24,647.79,700.52,679.23,661.96,700.28,676.49,688.97,681.36,701.66,665.98,711.35,688.13,656.58,666.89,697.96,685.08
1989,639.33,630.49,642.90,610.81,650.58,652.81,653.19,671.53,615.71,633.83,631.96,640.42,620.22,625.51,615.36,644.71,635.45
1990,806.33,762.52,817.62,745.60,785.25,838.45,812.21,824.90,775.39,832.69,781.22,829.07,781.18,778.98,773.98,822.70,802.18
1991,671.63,652.11,664.79,642.32,666.92,691.23,683.22,684.67,645.68,685.14,662.72,674.75,645.58,658.97,664.08,687.66,673.64
1992,592.23,519.64,636.68,599.79,543.84,604.56,565.18,596.70,620.06,629.15,540.61,633.57,617.06,539.62,568.82,599.91,569.94
1993,657.74,628.36,660.19,590.95,638.57,680.85,664.68,665.24,626.07,677.23,636.68,675.42,618.79,648.41,656.91,687.07,650.39
1994,624.01,568.28,652.63,612.12,591.62,635.33,608.08,617.06,629.73,648.00,600.98,653.33,625.04,590.77,613.68,636.19,626.62
1995,650.33,631.98,644.01,583.08,636.85,672.82,668.49,668.57,611.29,658.07,639.66,646.77,615.95,646.98,652.26,677.83,651.06
1996,572.34,531.43,600.03,533.64,552.99,594.82,562.34,589.81,566.73,588.62,541.23,599.31,549.26,541.85,556.26,586.87,556.91
1997,693.55,663.64,662.07,608.88,667.98,709.98,708.67,672.76,647.48,718.57,708.15,694.60,646.67,691.08,717.86,738.28,739.54
1998,742.06,742.51,754.34,644.76,750.95,769.70,764.10,778.21,694.73,741.39,732.92,752.65,658.26,735.18,729.37,752.55,738.52
1999,607.99,545.81,635.34,587.43,548.83,637.71,594.73,602.86,625.91,656.24,554.24,652.05,619.89,565.39,578.33,635.45,561.47
2000,657.76,629.84,679.02,631.02,667.86,681.71,656.59,690.54,650.38,666.21,629.97,682.80,628.82,624.79,616.62,661.98,637.11
2001,766.38,721.88,779.27,701.17,703.61,794.96,765.18,757.42,747.63,806.00,743.80,795.86,731.44,743.79,763.74,801.67,771.03
2002,523.96,472.05,519.67,480.72,479.02,540.08,505.17,513.94,510.68,565.00,503.33,543.63,534.50,498.73,530.15,555.11,529.17
2003,626.38,632.95,617.60,521.50,648.67,639.31,637.83,653.86,563.35,615.88,659.93,618.63,539.83,638.99,631.40,639.69,656.72
2004,723.35,700.95,763.13,633.66,732.09,761.53,736.63,768.40,703.43,733.10,690.87,751.88,616.14,699.86,686.56,731.50,690.31
2005,637.44,604.68,656.64,590.69,632.12,666.31,646.26,670.34,621.14,644.37,609.54,654.97,594.50,618.06,616.06,646.76,624.69
2006,547.83,523.89,564.91,516.70,517.06,558.23,541.38,544.08,536.49,556.75,552.55,561.98,523.67,534.93,548.25,559.28,569.36
2007,690.23,609.91,727.00,687.68,639.19,726.55,665.88,689.12,719.65,740.89,612.84,747.10,715.37,629.43,648.00,720.36,635.20
2008,777.04,746.41,826.78,710.17,774.66,824.72,791.57,824.54,763.72,786.26,726.74,817.92,702.23,741.01,720.43,787.95,718.10
2009,713.41,708.71,708.45,637.80,702.32,728.55,722.72,714.55,673.37,727.95,725.98,728.75,658.45,701.15,701.64,735.37,739.44
2010,745.83,696.95,731.51,659.08,703.97,766.01,735.49,735.38,707.16,796.03,725.46,768.58,734.63,712.65,753.49,788.51,761.29
2011,674.04,636.60,714.99,630.20,672.88,704.49,670.62,711.67,678.84,692.28,622.70,708.82,630.41,639.56,625.05,686.76,612.02
2012,841.23,789.74,886.25,816.39,834.47,880.21,838.04,881.39,848.11,865.64,769.14,884.85,816.58,786.79,784.20,853.56,781.06
2013,593.24,564.68,592.90,550.09,578.56,603.02,587.24,600.39,568.65,608.95,591.53,601.14,573.83,576.57,595.74,610.68,609.73
2014,636.84,615.99,635.70,581.22,617.74,651.53,642.36,649.57,603.64,641.17,640.77,641.38,595.27,635.79,645.13,657.29,661.46
2015,575.32,542.54,613.08,571.24,572.18,602.08,573.72,607.79,579.68,579.35,540.07,607.83,556.67,535.99,537.57,566.27,553.52
2016,693.07,703.99,685.82,584.65,727.40,711.51,706.09,734.48,626.48,685.52,714.77,683.92,613.54,697.65,674.77,701.23,713.25
2017,785.36,765.64,777.99,704.89,791.75,800.85,784.00,803.15,736.94,789.11,801.43,786.38,733.33,783.47,782.80,803.32,814.97
2018,547.25,537.47,552.80,480.74,566.48,561.40,549.35,569.93,512.71,550.15,543.99,553.28,501.99,535.56,530.54,557.25,548.00
2019,713.16,686.07,738.35,679.32,718.92,742.35,724.24,746.58,695.31,715.14,687.16,735.26,678.38,685.16,676.77,716.08,690.67
2020,690.26,649.21,729.71,643.53,679.54,723.11,690.19,718.18,684.67,704.79,649.53,724.75,642.58,653.56,657.05,701.97,660.93
