Variable:,pr
,"St. Lucia","Area Under National Administra","Region Number 1","Region Number 2","Region Number 3","Region Number 4","Region Number 5","Region Number 6","Region Number 7","Region Number 8"
1995,2503.26,2503.10,2503.10,2503.10,2503.10,2503.10,2505.24,2505.24,2505.24,2505.24
1996,2659.35,2658.70,2658.70,2658.70,2658.70,2658.70,2667.31,2667.31,2667.31,2667.31
1997,1946.32,1945.90,1945.90,1945.90,1945.90,1945.90,1951.49,1951.49,1951.49,1951.49
1998,2843.08,2842.60,2842.60,2842.60,2842.60,2842.60,2848.99,2848.99,2848.99,2848.99
1999,2177.24,2176.80,2176.80,2176.80,2176.80,2176.80,2182.67,2182.67,2182.67,2182.67
2000,2322.61,2322.20,2322.20,2322.20,2322.20,2322.20,2327.58,2327.58,2327.58,2327.58
2001,2111.50,2111.50,2111.50,2111.50,2111.50,2111.50,2111.56,2111.56,2111.56,2111.56
2002,1945.38,1944.90,1944.90,1944.90,1944.90,1944.90,1951.20,1951.20,1951.20,1951.20
2003,2463.46,2463.60,2463.60,2463.60,2463.60,2463.60,2461.76,2461.76,2461.76,2461.76
2004,3306.27,3305.90,3305.90,3305.90,3305.90,3305.90,3310.78,3310.78,3310.78,3310.78
2005,2975.32,2974.90,2974.90,2974.90,2974.90,2974.90,2980.39,2980.39,2980.39,2980.39
2006,2175.23,2174.70,2174.70,2174.70,2174.70,2174.70,2181.63,2181.63,2181.63,2181.63
2007,2248.10,2247.90,2247.90,2247.90,2247.90,2247.90,2250.48,2250.48,2250.48,2250.48
2008,2559.31,2559.10,2559.10,2559.10,2559.10,2559.10,2561.88,2561.88,2561.88,2561.88
2009,2063.90,2063.50,2063.50,2063.50,2063.50,2063.50,2068.73,2068.73,2068.73,2068.73
2010,3105.93,3105.70,3105.70,3105.70,3105.70,3105.70,3108.69,3108.69,3108.69,3108.69
2011,3191.14,3190.80,3190.80,3190.80,3190.80,3190.80,3195.22,3195.22,3195.22,3195.22
2012,2636.73,2636.60,2636.60,2636.60,2636.60,2636.60,2638.25,2638.25,2638.25,2638.25
2013,2220.05,2219.60,2219.60,2219.60,2219.60,2219.60,2225.50,2225.50,2225.50,2225.50
2014,2167.11,2166.90,2166.90,2166.90,2166.90,2166.90,2169.64,2169.64,2169.64,2169.64
2015,1715.97,1715.50,1715.50,1715.50,1715.50,1715.50,1721.74,1721.74,1721.74,1721.74
2016,2638.98,2638.30,2638.30,2638.30,2638.30,2638.30,2647.26,2647.26,2647.26,2647.26
2017,2624.34,2623.90,2623.90,2623.90,2623.90,2623.90,2629.68,2629.68,2629.68,2629.68
2018,2308.33,2307.80,2307.80,2307.80,2307.80,2307.80,2314.77,2314.77,2314.77,2314.77
2019,1747.00,1746.40,1746.40,1746.40,1746.40,1746.40,1754.36,1754.36,1754.36,1754.36
2020,2219.85,2219.40,2219.40,2219.40,2219.40,2219.40,2225.38,2225.38,2225.38,2225.38
