Variable:,pr
,Libya,"Ajdabiya (agedabia)","Al Aziziyah","Al Fatah","Al Jabal Al Akhdar","Al Jufrah","Al Khoms","Al Kufrah","Ash Shati","Awbari (ubari)","Az Zawia (azzawiya)",Banghazi,Darnah,Ghadamis,Gharyan,Misurata,Murzuq,"Nuqat Al Khams",Sabha,"Sawfajjin (sofuljeen)","Surt (sirte)",Tarhunah,"Tripoli (tarabulus)","Tubruq (tobruk)","Yafran (yefren)","Zeleitin (zliten)"
1911,52.03,49.32,291.89,306.04,358.72,41.99,316.70,10.70,25.84,4.99,270.26,229.74,329.84,79.40,108.14,298.15,4.69,248.98,10.93,159.20,133.68,290.47,324.26,99.82,200.02,290.05
1912,48.69,48.16,241.50,304.94,349.31,42.03,307.10,10.70,25.87,4.99,219.66,229.74,274.14,70.87,108.51,327.75,4.69,202.06,10.93,173.53,134.13,271.08,275.89,59.99,169.10,309.78
1913,54.06,57.33,244.53,467.51,534.99,42.00,274.21,10.70,25.64,4.99,218.70,345.26,405.80,67.70,94.04,276.36,4.69,191.57,10.93,146.73,138.45,249.78,276.15,83.58,168.66,257.05
1914,38.67,42.77,164.33,262.91,327.44,40.22,159.41,10.70,21.87,4.99,159.42,182.42,280.17,48.71,56.03,135.23,4.69,154.88,10.93,83.32,105.90,147.09,177.70,68.84,113.48,132.73
1915,36.46,38.24,179.85,186.92,218.96,41.40,155.48,10.70,25.50,4.99,171.43,138.87,173.91,67.23,77.74,129.73,4.69,158.81,10.93,84.83,112.06,156.89,183.09,42.32,141.61,132.65
1916,42.27,41.71,174.44,239.28,309.19,41.69,191.47,10.70,25.66,4.99,157.29,162.34,285.02,62.94,81.58,183.27,4.69,143.99,10.93,111.51,109.15,178.10,193.28,82.73,129.97,175.18
1917,43.38,46.85,193.80,294.41,349.79,41.51,173.05,10.70,25.55,4.99,188.93,215.79,289.99,69.63,76.04,147.89,4.69,183.92,10.93,90.65,122.32,170.50,203.63,71.30,146.87,146.48
1918,50.10,50.98,246.93,336.12,396.16,41.74,261.20,10.70,25.69,4.99,240.38,249.07,323.71,82.60,101.20,256.93,4.69,228.48,10.93,140.35,128.66,240.26,263.15,77.93,188.13,248.37
1919,46.42,45.16,227.16,277.25,320.79,42.00,278.15,10.70,25.94,4.99,200.16,207.55,243.92,72.76,111.62,284.05,4.69,178.43,10.93,157.77,128.96,255.24,256.77,54.25,173.67,277.49
1920,48.12,47.34,234.89,331.41,398.76,41.79,271.51,10.70,25.52,4.99,217.70,235.99,329.54,66.54,94.18,284.36,4.69,191.50,10.93,147.65,116.89,243.01,263.33,75.83,160.23,261.27
1921,56.53,49.34,357.19,349.17,404.41,42.33,395.52,10.69,26.13,4.99,326.28,257.70,314.33,103.57,143.11,400.69,4.69,292.78,10.93,210.47,132.20,370.23,388.74,65.75,269.87,385.69
1922,44.59,49.84,190.73,313.46,351.47,41.63,209.63,10.69,25.65,4.99,183.65,248.12,265.09,65.81,87.41,220.02,4.69,168.20,10.93,124.87,128.36,191.50,207.53,51.62,141.16,207.46
1923,43.81,42.19,216.52,268.96,318.41,41.87,246.10,10.68,25.83,4.99,197.64,198.16,242.94,69.23,99.41,256.54,4.69,177.38,10.93,145.02,122.14,227.04,237.91,45.12,160.16,243.20
1924,52.64,67.26,143.52,507.14,576.44,41.60,177.40,10.69,24.05,4.99,129.22,392.15,430.53,51.17,74.11,180.81,4.69,115.15,10.93,114.50,155.45,156.96,164.62,84.93,108.92,169.30
1925,61.69,61.00,374.98,456.84,505.68,46.13,409.14,10.69,24.90,4.67,352.17,357.72,366.39,89.07,137.61,379.46,4.70,299.22,10.95,207.78,184.01,372.02,412.74,69.50,258.89,372.48
1926,41.79,47.61,187.18,339.56,375.15,39.61,191.38,10.70,23.29,3.94,165.98,254.54,256.68,55.22,77.01,180.84,4.61,152.65,10.89,102.53,116.88,182.65,203.03,46.25,134.97,174.81
1927,38.94,44.81,138.21,315.89,368.38,38.29,144.50,10.69,23.84,4.71,124.87,227.59,269.90,50.74,64.53,142.45,4.68,111.38,10.87,83.67,111.98,137.19,148.21,46.58,106.02,134.94
1928,54.45,58.85,294.27,442.59,480.08,43.32,291.58,10.72,24.91,5.62,279.04,343.67,328.14,91.76,103.88,274.28,4.99,266.08,10.95,154.65,158.18,275.61,317.49,53.82,210.51,261.17
1929,54.93,64.12,240.52,445.48,522.24,41.48,256.16,10.70,22.31,3.22,214.78,331.58,432.21,56.34,89.93,244.72,4.41,185.64,10.90,134.21,141.60,238.51,264.33,114.88,168.90,232.06
1930,39.15,42.26,166.52,272.51,311.91,43.58,173.79,10.69,28.26,4.33,155.42,203.90,242.10,68.35,74.78,152.47,5.18,147.85,13.44,86.48,78.37,163.31,184.47,49.30,124.71,152.09
1931,41.15,36.54,235.48,244.28,279.62,54.04,255.62,10.69,33.69,3.96,206.95,173.78,197.56,59.34,96.91,217.28,7.13,193.64,24.13,119.41,88.70,244.24,264.62,34.57,162.77,221.38
1932,57.80,57.35,301.77,480.45,561.35,35.55,336.64,10.68,14.48,2.45,278.48,353.18,419.31,74.53,110.00,347.01,3.95,239.48,1.96,199.50,189.29,303.45,334.85,76.50,202.44,322.36
1933,42.53,39.26,251.55,224.84,262.36,49.31,244.56,10.37,38.86,4.67,233.67,167.85,203.37,67.77,101.00,221.03,4.83,201.41,18.12,129.46,101.67,238.87,268.64,42.86,183.98,219.94
1934,56.75,55.82,318.23,376.37,444.94,37.35,363.70,10.42,15.90,3.72,292.45,287.65,363.46,88.58,118.51,358.14,4.06,260.72,1.74,199.07,185.87,325.16,358.29,83.92,216.31,340.62
1935,35.04,42.44,153.68,281.82,313.70,25.86,178.54,10.34,11.36,3.72,132.35,212.15,227.11,45.04,65.00,173.00,3.90,99.23,0.74,96.95,99.89,161.80,175.42,39.34,98.56,165.16
1936,44.87,48.02,223.72,329.74,364.78,32.01,247.35,10.63,16.00,1.77,209.19,257.04,279.76,74.93,94.68,234.66,3.69,194.69,3.08,135.62,127.09,228.37,250.05,54.60,168.61,227.54
1937,38.07,47.69,149.56,330.28,380.21,28.64,181.84,10.40,9.73,2.96,129.04,247.65,280.22,31.59,58.30,184.45,3.81,95.96,0.78,104.82,123.64,156.69,172.85,52.84,87.71,172.10
1938,52.35,54.16,341.85,379.91,422.69,27.79,340.82,10.46,13.42,5.13,311.00,289.08,315.18,92.10,120.32,300.77,4.06,269.22,0.73,158.78,137.49,326.21,369.47,73.19,246.75,300.53
1939,41.05,48.90,179.45,337.27,381.34,30.77,191.22,10.60,16.19,6.83,160.35,252.31,289.83,51.91,72.72,177.80,4.67,146.89,4.19,96.03,98.51,181.66,196.34,62.35,131.33,172.86
1940,40.77,50.04,170.47,363.37,426.39,27.07,205.84,10.38,9.04,2.11,156.58,263.21,328.27,40.76,70.19,196.34,3.68,146.41,0.79,105.12,107.00,182.95,193.27,58.62,118.92,189.65
1941,36.30,46.41,140.03,360.60,419.27,21.72,142.65,10.28,7.70,3.54,132.04,257.52,324.59,39.29,60.17,121.68,3.88,124.88,0.65,66.50,70.11,133.78,151.35,56.66,106.61,123.18
1942,43.52,50.41,164.86,406.35,479.93,27.82,176.51,10.35,11.97,1.82,158.36,280.96,353.18,68.67,73.38,170.76,3.68,152.67,0.75,99.85,118.67,162.83,179.66,59.80,120.44,161.77
1943,52.47,53.60,260.72,406.73,481.99,39.51,281.44,10.39,22.82,5.81,235.08,280.96,367.60,79.31,106.90,268.16,4.19,210.82,10.22,149.40,133.31,268.60,286.73,77.22,194.02,262.07
1944,49.67,48.95,254.23,345.07,388.16,50.17,288.31,10.38,33.29,3.38,222.70,259.23,290.64,77.98,106.78,274.82,4.51,184.02,16.88,151.38,136.14,262.68,284.41,51.60,178.11,261.28
1945,56.39,51.06,351.45,350.36,380.59,46.83,351.62,10.54,41.24,10.84,322.01,272.41,272.48,118.06,144.62,318.99,5.66,285.72,16.02,169.99,137.87,345.73,377.54,50.60,269.43,320.74
1946,42.22,49.97,188.26,343.79,371.14,43.95,197.55,10.39,27.56,3.77,172.17,266.06,250.27,52.57,77.35,168.71,6.20,155.86,17.59,94.57,124.27,183.67,207.90,35.24,128.12,169.88
1947,32.50,44.86,112.44,326.95,361.72,23.69,123.44,10.49,10.00,1.94,100.66,253.43,265.62,21.73,48.11,105.76,3.99,89.08,2.39,58.69,74.30,111.73,129.47,46.84,70.22,108.32
1948,44.26,41.74,223.29,333.25,398.88,30.29,265.64,10.44,13.33,2.98,208.30,230.59,323.32,58.48,87.62,265.56,4.22,185.67,3.17,141.23,109.66,233.12,254.00,76.32,150.50,248.62
1949,42.41,44.71,222.04,303.36,354.49,28.80,234.71,10.32,12.36,5.40,204.72,223.94,289.06,64.80,82.65,223.88,4.36,190.23,1.80,121.65,115.16,215.73,241.28,64.25,157.53,213.19
1950,46.38,38.71,292.97,285.07,333.97,35.77,316.43,10.71,17.76,3.40,260.05,202.66,262.85,83.72,110.55,291.33,4.10,222.51,4.05,155.83,139.36,300.71,322.50,56.72,207.44,286.83
1951,40.16,30.86,227.42,217.62,247.35,47.93,235.88,10.39,33.82,6.31,210.05,161.20,184.98,61.69,101.10,217.21,4.80,181.37,16.33,134.03,101.48,222.94,245.89,40.89,159.81,215.60
1952,39.58,34.52,184.79,271.17,297.95,49.58,181.51,12.63,32.02,5.33,165.47,208.85,214.99,55.04,73.05,169.57,5.61,159.71,17.43,97.89,112.21,169.67,193.70,40.84,134.44,161.43
1953,44.70,37.38,283.74,229.88,258.03,51.86,282.92,10.52,31.51,4.94,270.06,178.51,201.09,77.75,109.86,260.31,4.76,262.93,18.39,149.25,113.89,274.78,307.87,43.56,209.20,253.76
1954,46.95,62.72,200.29,369.49,401.45,40.04,204.54,10.65,24.74,5.74,192.64,292.99,287.99,64.66,80.54,187.65,5.73,185.76,13.86,103.27,120.43,193.24,221.62,62.36,152.68,182.10
1955,33.72,27.27,218.38,168.63,181.39,39.28,220.50,10.35,22.69,3.06,205.32,132.99,129.99,57.87,81.26,204.56,4.91,188.10,12.52,104.14,91.20,205.50,236.16,31.25,165.71,196.04
1956,46.34,42.20,183.68,282.23,341.95,55.35,204.93,10.54,35.61,5.23,170.67,198.22,288.94,68.79,86.89,204.60,6.44,149.19,19.59,124.63,129.53,184.26,201.16,75.12,134.13,192.71
1957,71.30,68.15,314.62,401.04,444.57,93.95,364.07,11.57,63.22,8.91,284.82,311.09,327.50,100.22,154.82,375.19,5.37,250.77,37.75,252.71,250.73,326.29,347.08,73.20,226.50,354.80
1958,31.37,20.27,215.37,133.50,158.50,31.75,213.56,10.36,23.30,2.43,206.21,95.90,129.08,62.03,84.70,194.28,4.10,184.61,9.59,113.55,66.35,206.78,232.43,33.22,151.55,191.24
1959,38.04,37.08,183.33,276.47,322.91,33.33,209.30,10.58,18.92,5.44,157.22,202.14,251.81,44.24,69.28,196.88,4.44,129.77,7.67,107.72,104.53,188.94,211.14,59.81,109.68,189.62
1960,43.02,41.53,186.07,237.15,268.64,60.39,210.72,10.30,27.41,10.66,171.38,181.41,206.23,49.45,84.39,211.72,5.78,157.94,17.09,143.27,151.88,187.36,208.47,44.04,133.86,194.25
1961,52.25,61.95,203.49,390.56,456.78,45.80,226.95,10.56,31.04,5.31,179.84,292.72,366.86,78.70,94.78,222.81,5.07,161.81,13.73,120.03,124.32,209.57,218.34,88.56,158.47,216.51
1962,58.80,62.19,269.75,383.80,427.95,71.85,302.98,10.53,42.03,4.71,248.58,299.59,313.88,85.59,113.49,304.84,5.17,221.49,21.31,185.82,200.35,268.49,301.08,56.20,187.92,282.29
1963,47.01,50.60,202.79,233.77,249.25,63.13,219.36,10.33,32.67,4.41,186.88,184.10,177.36,65.23,107.09,216.25,4.23,172.78,17.89,164.74,169.23,204.45,215.95,49.91,152.64,208.11
1964,38.82,29.17,249.88,255.87,313.40,17.00,284.39,10.47,10.93,3.53,218.80,178.11,269.43,66.85,86.37,282.96,3.85,182.31,0.76,134.55,93.79,257.07,282.49,66.53,158.66,266.95
1965,38.81,34.69,178.92,287.90,327.29,41.86,190.86,10.37,19.30,2.41,158.29,212.91,238.76,46.30,75.91,173.88,3.85,136.38,8.39,116.44,132.73,177.84,196.54,45.80,117.71,170.39
1966,43.44,42.96,251.41,303.15,333.97,30.49,255.33,10.33,20.58,7.08,227.13,237.53,247.16,81.98,104.23,217.09,4.51,195.96,6.32,117.06,103.97,249.49,273.30,50.35,190.32,221.79
1967,41.46,35.04,245.94,260.02,305.95,27.60,268.76,10.56,15.77,5.53,216.66,186.45,242.67,66.72,100.55,250.00,4.22,192.99,3.81,130.35,100.44,261.67,269.88,69.72,182.76,250.65
1968,35.76,37.78,179.06,306.60,342.41,25.48,196.53,10.36,13.94,3.76,161.79,227.60,246.41,37.99,65.41,180.79,3.92,141.58,2.83,91.38,93.54,182.30,202.10,50.32,117.16,178.87
1969,49.62,60.98,191.16,369.28,432.57,38.76,191.17,10.59,24.19,3.46,184.13,272.40,335.55,72.31,92.49,170.15,4.11,210.87,11.87,109.53,118.86,186.53,199.01,96.59,170.15,169.69
1970,25.81,22.90,85.01,190.82,228.58,19.84,80.98,10.28,11.69,2.30,84.78,130.05,176.99,43.92,49.78,74.95,3.72,106.58,2.67,53.20,67.33,81.86,84.73,39.30,86.82,73.04
1971,38.94,42.04,247.90,291.24,327.67,21.88,269.38,10.31,11.40,3.37,217.31,219.58,233.14,54.02,81.59,245.39,3.93,173.15,2.57,120.07,107.55,251.77,278.62,46.30,156.57,238.90
1972,52.78,43.93,293.20,251.66,295.89,58.62,300.41,10.25,39.04,7.19,267.57,177.88,233.47,97.54,143.36,269.98,4.52,249.49,21.98,176.88,150.44,296.07,312.84,61.50,248.57,274.77
1973,32.38,35.43,205.72,229.70,254.29,16.57,233.43,10.29,7.37,1.65,182.19,178.23,183.18,40.69,64.42,222.34,3.69,153.90,1.13,104.12,90.87,209.27,234.90,43.17,124.13,211.89
1974,47.58,37.92,320.54,311.26,354.11,17.73,319.11,12.74,15.79,6.20,310.51,238.37,272.99,117.81,119.69,290.86,4.15,285.77,1.01,140.42,106.48,304.89,342.07,62.28,247.07,284.83
1975,49.62,52.56,253.30,246.46,276.10,59.70,266.30,14.22,28.52,4.91,232.43,197.32,213.29,74.86,95.21,253.21,4.81,234.48,15.23,162.18,166.01,245.63,280.52,59.44,173.12,240.54
1976,65.62,62.71,450.16,324.85,360.80,52.12,403.33,12.33,42.16,6.71,419.19,254.91,270.08,190.03,176.23,344.39,5.05,389.91,12.47,188.73,155.78,408.07,459.21,61.63,371.26,353.92
1977,41.33,51.69,186.18,314.24,352.84,26.62,218.23,10.44,12.21,1.98,169.66,240.42,264.36,53.59,77.05,223.17,3.70,154.66,2.81,122.54,131.80,187.42,205.16,51.20,135.53,205.15
1978,61.37,75.78,267.21,440.86,496.27,60.76,320.70,10.27,41.80,9.62,237.77,338.38,364.49,75.29,111.13,330.69,4.68,186.50,22.60,175.04,186.79,280.96,299.25,80.03,171.52,309.30
1979,45.24,37.14,298.40,262.38,292.67,31.12,288.91,10.62,19.52,3.89,269.62,201.92,218.80,102.02,124.99,256.78,3.80,241.20,5.09,150.85,123.47,289.69,311.49,43.15,246.26,254.84
1980,47.47,48.24,328.86,213.50,234.54,39.73,356.17,10.51,20.01,4.16,302.78,173.11,180.19,82.49,125.36,336.87,3.97,265.58,6.16,192.46,146.28,329.64,364.24,43.68,225.01,326.96
1981,41.17,68.67,157.01,364.60,389.05,22.87,202.77,10.61,8.52,2.54,129.80,311.45,267.83,27.23,56.01,216.49,3.82,93.37,1.21,115.38,144.37,171.68,187.00,45.56,89.06,197.09
1982,58.60,48.67,351.10,285.51,332.60,67.05,354.85,11.04,44.15,10.34,330.41,215.07,267.99,105.32,145.79,318.93,7.92,302.22,26.08,196.58,155.28,341.89,380.08,65.10,258.94,317.88
1983,52.92,66.85,198.35,351.16,392.25,61.38,221.04,10.34,28.08,4.84,187.38,285.14,305.67,58.72,87.38,224.44,5.47,171.85,16.49,153.88,183.82,197.25,220.90,73.73,141.19,208.75
1984,44.36,36.10,278.42,273.47,317.31,36.66,279.54,10.39,25.30,5.08,268.36,201.05,251.20,89.85,102.24,240.92,4.71,272.00,9.63,133.44,115.96,253.05,300.24,49.48,201.45,240.63
1985,42.19,39.56,200.82,295.97,360.61,32.81,201.16,10.35,28.94,5.98,190.42,208.61,295.32,66.86,85.45,193.06,5.08,167.02,9.69,109.84,89.60,193.05,215.00,68.62,144.06,185.59
1986,54.95,43.30,333.40,343.30,393.89,45.54,371.79,10.32,28.18,3.66,322.14,251.72,288.27,94.00,132.87,356.19,4.06,301.51,11.46,211.53,185.39,332.01,368.36,52.71,236.92,346.80
1987,36.82,35.89,173.08,316.58,379.09,23.23,176.60,10.29,12.89,1.81,164.39,215.07,294.09,50.52,67.58,164.38,3.72,151.72,4.02,88.93,90.22,169.33,186.41,58.53,125.43,159.00
1988,64.94,62.61,254.88,448.31,542.46,75.77,284.75,10.36,58.94,13.13,236.76,317.43,443.55,79.82,118.28,271.67,9.40,205.83,30.17,176.51,168.07,261.11,282.67,98.82,172.15,262.31
1989,39.68,35.09,151.09,325.79,393.84,33.32,168.23,10.35,18.73,2.63,138.76,212.80,305.09,49.80,76.38,166.54,3.90,123.94,6.09,105.74,110.90,158.54,163.57,64.96,112.89,159.77
1990,44.68,34.25,263.64,262.11,328.09,42.66,248.13,10.33,23.12,3.86,254.76,170.98,265.37,90.62,103.38,212.24,4.50,247.04,10.26,132.37,126.25,244.10,279.79,56.29,199.72,220.82
1991,49.52,49.60,198.32,381.71,432.38,45.30,246.89,10.42,28.00,4.59,163.63,285.37,347.56,54.49,93.03,247.17,6.17,128.30,12.50,134.55,123.78,223.73,230.69,93.38,133.31,231.94
1992,42.23,34.28,198.09,265.91,315.64,40.95,203.21,10.39,24.35,7.05,188.13,190.06,252.88,72.27,92.22,200.35,4.72,177.02,8.33,127.28,123.12,193.31,211.52,57.46,154.58,191.95
1993,39.04,41.68,186.33,269.06,309.98,35.30,197.98,10.30,16.39,1.83,169.93,202.68,229.69,52.93,75.89,188.86,3.83,153.18,6.56,118.92,129.74,183.74,206.38,47.19,125.14,179.07
1994,54.53,61.25,218.14,431.87,486.82,44.84,233.00,11.80,20.59,4.07,199.61,329.55,358.36,78.04,98.56,239.23,3.88,191.29,7.40,157.01,185.34,220.85,236.59,71.09,168.75,220.96
1995,55.84,48.09,319.70,348.69,406.76,60.95,336.70,10.38,44.45,8.51,296.85,251.41,306.06,88.37,120.07,316.24,7.97,281.50,29.46,169.91,154.24,314.38,350.26,55.25,230.13,305.05
1996,45.42,33.89,242.11,319.13,373.79,49.41,246.77,10.36,37.28,8.91,208.16,223.27,275.59,65.30,95.67,220.80,7.05,163.78,15.87,122.44,134.29,237.10,263.89,47.89,168.10,215.13
1997,48.83,35.25,229.36,294.90,342.44,59.63,261.81,10.40,45.84,6.99,205.78,212.94,258.19,69.50,113.43,259.95,6.36,191.85,27.39,160.75,144.46,242.69,256.03,51.11,165.85,244.71
1998,43.48,45.50,205.67,343.51,386.09,28.73,227.23,10.36,14.83,2.86,178.42,264.74,283.61,71.20,89.97,219.59,3.86,152.48,3.49,122.67,133.29,219.65,224.94,52.14,154.96,214.46
1999,37.26,43.40,225.50,229.52,260.20,25.78,230.94,10.38,11.92,2.33,208.48,183.55,206.98,65.25,77.93,214.65,3.93,186.73,3.22,108.04,101.06,216.66,243.97,43.76,156.77,207.25
2000,39.20,49.03,200.91,250.01,289.05,29.41,193.17,10.71,12.99,2.52,179.92,195.74,229.62,63.04,73.80,174.86,4.06,155.21,4.29,98.72,117.03,188.35,214.56,58.24,145.77,168.30
2001,39.67,45.45,171.71,376.56,419.24,20.58,207.65,10.36,9.87,2.65,143.28,291.58,312.12,43.28,62.16,215.48,3.77,112.74,1.58,103.46,125.63,184.94,200.10,53.97,104.84,193.23
2002,37.43,37.35,189.03,289.41,325.51,26.94,216.13,10.36,11.79,2.15,166.66,219.57,232.38,51.07,75.94,210.86,3.72,145.87,2.89,111.75,125.46,201.60,212.14,40.63,130.59,199.24
2003,44.17,39.92,281.60,330.02,372.13,28.72,295.90,10.36,13.13,2.28,254.19,241.68,266.97,77.05,95.85,270.30,3.90,239.44,2.62,138.90,138.56,279.18,310.87,45.23,192.41,261.30
2004,36.77,28.59,170.83,245.89,281.20,40.71,176.07,10.38,28.69,4.68,157.47,181.46,215.09,59.72,81.67,155.41,6.74,139.43,14.81,93.57,87.50,168.52,183.33,41.99,130.05,157.43
2005,42.14,41.58,218.87,311.34,362.17,30.73,234.41,10.39,13.70,3.98,206.70,228.87,282.13,66.52,84.06,223.89,4.86,188.61,5.23,119.85,117.65,217.00,239.23,56.29,158.56,216.80
2006,54.68,70.83,275.21,306.32,346.58,61.67,285.31,10.43,30.36,4.22,252.82,250.46,276.16,76.74,107.55,272.09,5.49,236.46,15.11,169.62,174.96,270.35,301.33,57.76,193.21,261.55
2007,38.21,30.04,262.36,252.77,291.65,30.39,252.11,10.37,20.62,3.00,243.56,180.09,220.79,75.32,88.96,203.10,5.76,218.42,11.47,95.89,78.38,241.48,283.45,49.54,186.63,211.15
2008,45.91,34.67,250.35,249.46,302.29,53.85,271.99,10.38,35.19,4.75,220.74,177.37,252.15,68.41,102.09,261.38,7.78,186.44,20.70,139.42,120.04,254.83,277.20,67.96,169.18,248.02
2009,31.76,27.36,152.71,239.10,279.06,21.32,174.98,10.36,13.14,3.38,134.60,168.28,207.65,50.08,69.20,164.39,3.96,130.75,2.92,87.69,86.04,161.60,173.40,37.56,116.37,157.21
2010,31.83,23.61,113.22,212.31,255.90,39.86,127.13,10.36,25.69,4.94,103.72,147.87,210.18,38.36,66.25,120.69,4.89,105.69,14.72,83.89,88.72,115.41,128.19,36.62,82.62,115.03
2011,43.02,40.00,225.17,282.33,325.19,41.45,223.95,10.53,24.62,3.99,204.48,209.04,244.92,69.36,92.43,204.67,4.47,186.04,10.54,126.14,131.90,218.27,243.41,48.46,166.33,199.47
2012,44.53,37.97,163.73,343.12,414.47,61.46,170.45,10.67,38.31,4.35,146.61,227.45,324.85,45.92,79.24,159.68,5.45,122.14,18.43,114.42,128.34,156.75,181.06,53.29,108.75,149.68
2013,40.07,28.54,191.30,225.98,275.35,47.20,214.15,10.66,28.06,5.87,178.17,156.74,226.37,60.79,86.51,216.15,4.94,164.57,13.47,124.66,127.13,196.23,210.54,51.53,137.09,203.25
2014,42.79,43.10,200.02,304.30,346.33,41.96,240.17,10.68,25.29,2.93,182.49,229.74,248.02,62.02,90.10,238.72,4.41,163.43,10.93,136.73,132.87,212.59,229.38,31.44,141.58,224.34
2015,41.89,30.81,252.37,277.82,322.41,31.93,278.15,10.69,20.76,5.00,237.41,199.90,238.44,82.68,99.24,258.18,4.65,223.73,7.84,130.58,112.95,254.27,276.50,44.36,191.49,252.54
2016,28.65,20.93,123.27,275.27,333.60,12.65,135.95,10.67,13.04,3.15,112.56,183.12,247.51,38.85,56.07,129.18,4.35,110.90,3.70,64.77,54.48,126.74,136.84,41.18,86.06,125.03
2017,42.76,22.22,334.08,284.28,341.76,24.18,326.81,10.67,20.39,3.14,321.34,189.95,250.71,114.97,122.31,262.86,4.31,297.09,6.73,128.56,80.41,313.23,350.78,37.08,266.07,283.17
2018,46.96,35.24,207.14,435.58,553.84,30.85,206.89,10.68,20.85,4.29,192.95,265.38,439.29,63.73,82.73,178.95,4.36,181.98,8.55,101.70,103.65,199.05,222.55,98.97,151.29,181.88
2019,47.06,32.43,276.20,371.32,422.17,44.22,275.47,10.36,28.76,6.13,248.76,261.70,307.00,79.71,102.02,238.85,4.74,220.21,13.87,132.84,132.41,267.01,297.53,48.24,200.33,242.65
2020,38.15,21.30,148.54,207.43,268.07,53.21,164.39,10.54,33.09,3.93,136.82,128.40,223.64,49.92,83.63,173.67,4.62,124.94,14.74,129.22,131.24,153.73,163.57,50.89,102.89,160.64
