Variable:,pr
,"Korea, Republic of",Cheju-do,Chollabuk-do,Chollanam-do,Chungchongbuk-do,Chungchongnam-do,Inchon,Kang-won-do,Kwangju,Kyonggi-do,Kyongsangbuk-do,Kyongsangnam-do,Pusan,Seoul,Taegu,Taejon
1956,1638.21,2221.59,1671.41,1863.57,1549.38,1497.34,1434.20,1631.06,1663.10,1539.80,1490.00,1852.96,1848.51,1538.68,1526.63,1549.34
1957,1376.01,1937.36,1501.89,1633.78,1282.48,1282.99,1192.49,1318.27,1525.69,1262.82,1229.96,1559.40,1506.86,1267.65,1274.57,1331.44
1958,1528.61,1855.93,1644.40,1679.03,1455.41,1452.74,1394.82,1509.29,1582.23,1445.09,1385.88,1722.71,1677.69,1461.30,1416.56,1487.99
1959,1367.27,1691.26,1371.65,1448.57,1307.80,1263.24,1250.55,1447.60,1349.38,1321.55,1247.97,1485.25,1525.57,1322.04,1240.56,1292.15
1960,1180.35,1621.45,1216.59,1351.87,1115.28,1134.95,1070.58,1218.14,1240.20,1137.49,1025.15,1262.92,1262.78,1137.29,1006.46,1168.59
1961,1599.96,2012.17,1721.63,1771.71,1549.37,1534.43,1392.48,1546.46,1659.31,1460.70,1471.21,1829.25,1792.98,1444.75,1513.54,1576.11
1962,1223.57,1749.25,1289.39,1431.55,1111.00,1160.63,1187.75,1226.52,1305.56,1225.65,1044.50,1352.05,1325.57,1256.93,1105.70,1181.80
1963,1545.85,2176.71,1657.26,1816.84,1456.74,1433.93,1408.33,1432.50,1600.98,1475.03,1378.69,1816.70,1779.96,1503.62,1457.07,1505.66
1964,1431.88,1373.66,1339.42,1285.43,1485.14,1445.45,1654.56,1639.64,1203.46,1690.70,1232.29,1361.73,1335.78,1746.57,1101.34,1449.61
1965,1228.12,1499.65,1272.45,1286.41,1210.58,1161.15,1182.96,1211.81,1205.39,1251.62,1120.60,1370.31,1337.08,1268.23,1142.12,1184.35
1966,1380.94,1684.19,1269.38,1374.44,1408.23,1370.51,1530.67,1568.38,1251.00,1619.29,1148.36,1312.03,1292.34,1661.09,1070.02,1365.81
1967,1087.09,1220.50,1045.42,1045.83,1084.26,1051.62,1101.60,1182.46,987.46,1158.63,981.07,1140.10,1187.42,1184.93,947.54,1068.07
1968,1066.28,1351.66,985.40,1049.61,1060.32,1030.12,1087.18,1199.09,931.58,1164.00,924.61,1082.71,1094.28,1189.55,902.99,1024.84
1969,1594.80,2060.62,1724.15,1819.87,1524.83,1534.76,1477.29,1469.38,1726.67,1513.99,1459.06,1850.78,1804.05,1524.02,1511.70,1559.23
1970,1588.67,1787.65,1529.78,1616.40,1503.04,1441.65,1476.24,1605.20,1471.01,1565.19,1514.42,1866.13,1900.96,1591.27,1608.25,1455.53
1971,1233.06,1405.73,1292.99,1304.36,1257.31,1247.08,1193.65,1284.22,1274.80,1291.12,1052.82,1242.12,1125.84,1294.37,995.79,1264.89
1972,1609.27,2305.66,1690.24,1847.96,1489.61,1497.77,1474.67,1532.44,1684.78,1517.30,1467.48,1881.75,1963.42,1524.63,1515.22,1520.87
1973,1031.84,1397.49,1066.97,1155.30,986.12,965.22,948.27,1048.51,1041.69,983.17,921.06,1144.35,1146.75,985.43,913.87,1009.41
1974,1413.25,1915.62,1599.72,1702.65,1358.60,1363.34,1247.67,1236.02,1553.29,1274.66,1286.78,1665.17,1612.14,1286.90,1333.15,1435.13
1975,1364.77,1714.79,1453.92,1512.64,1306.45,1231.81,1101.44,1348.41,1427.10,1222.46,1275.23,1560.38,1547.87,1212.37,1262.86,1310.64
1976,1112.48,1559.36,1091.78,1200.91,1041.01,1033.42,1041.98,1210.57,1066.43,1101.99,992.54,1161.80,1160.41,1113.84,945.51,1040.98
1977,1035.24,1408.89,999.96,1091.06,992.40,967.15,992.41,1070.49,970.39,1053.53,940.13,1137.24,1194.94,1076.91,919.62,973.67
1978,1307.11,1416.71,1367.02,1338.15,1300.51,1240.77,1222.88,1394.92,1288.48,1292.00,1180.99,1352.24,1245.35,1303.71,1109.16,1315.06
1979,1447.76,1957.94,1513.74,1667.81,1378.77,1373.12,1332.41,1408.80,1489.06,1373.14,1305.13,1621.29,1544.38,1374.31,1323.73,1413.87
1980,1541.27,2059.04,1760.80,1826.40,1457.21,1442.70,1221.79,1345.40,1743.68,1311.55,1448.15,1867.88,1829.12,1309.25,1504.19,1541.70
1981,1304.77,1696.33,1363.40,1474.11,1260.37,1233.21,1266.59,1374.89,1346.63,1354.54,1096.05,1331.84,1244.17,1380.41,1069.11,1262.09
1982,1003.17,1399.46,1019.57,1122.36,942.75,922.53,913.02,1018.02,997.65,963.61,903.42,1123.52,1112.90,977.45,932.18,940.51
1983,1284.46,1640.48,1295.66,1377.70,1204.27,1155.64,1119.96,1275.24,1247.10,1197.04,1227.03,1491.47,1533.92,1203.69,1253.42,1199.89
1984,1340.07,1362.03,1386.47,1355.38,1328.71,1267.50,1196.51,1385.32,1311.94,1311.85,1236.81,1457.41,1374.93,1333.02,1249.52,1327.01
1985,1695.47,2753.02,1904.06,2186.80,1549.89,1538.82,1339.41,1501.97,1893.27,1392.96,1522.88,2068.48,1992.03,1377.08,1655.31,1605.72
1986,1277.09,1838.57,1404.28,1529.86,1226.23,1212.98,1131.65,1249.71,1374.25,1197.08,1092.86,1399.24,1347.53,1201.62,1088.69,1258.90
1987,1604.88,1986.55,1764.79,1808.23,1608.52,1639.46,1554.29,1564.11,1721.79,1635.61,1375.42,1660.45,1500.09,1642.09,1338.61,1653.85
1988,924.76,1249.70,854.26,939.86,874.76,800.21,808.31,1011.43,821.42,919.79,878.97,989.47,1052.22,926.83,832.82,824.24
1989,1499.03,1940.58,1639.35,1733.42,1399.63,1346.19,1180.85,1453.06,1624.10,1289.17,1388.70,1753.50,1693.86,1292.12,1402.19,1425.37
1990,1667.51,1939.13,1547.80,1587.71,1727.82,1694.56,1897.28,1966.09,1452.24,1976.03,1352.61,1526.70,1478.83,2015.40,1212.47,1657.07
1991,1415.16,1964.77,1473.68,1658.16,1318.77,1229.09,1116.55,1288.74,1436.57,1219.22,1374.82,1731.41,1672.14,1222.89,1443.29,1316.61
1992,1185.92,1507.58,1157.43,1233.79,1135.85,1113.48,1118.62,1276.98,1129.30,1192.10,1057.11,1281.40,1280.56,1204.60,1048.34,1109.02
1993,1498.44,1955.03,1585.93,1674.81,1419.88,1354.13,1190.19,1419.02,1543.56,1295.96,1459.71,1752.39,1710.46,1295.28,1498.60,1420.63
1994,940.32,1307.52,967.69,1087.21,852.82,905.31,959.01,977.14,994.69,976.48,789.37,1001.80,1010.65,1016.68,796.77,918.98
1995,1084.58,1328.79,987.98,1077.32,1109.15,1082.31,1250.31,1229.59,982.18,1293.15,886.46,1036.00,1038.44,1336.99,876.54,1085.77
1996,1205.54,1481.92,1236.36,1275.65,1173.54,1142.22,1121.77,1233.19,1163.14,1195.02,1095.14,1315.78,1279.67,1202.82,1055.27,1164.76
1997,1365.88,1773.78,1489.06,1507.15,1319.41,1333.41,1244.13,1309.01,1398.43,1296.82,1222.04,1563.86,1545.62,1302.32,1270.23,1374.79
1998,1801.95,2128.33,1847.91,1927.72,1747.91,1677.15,1674.70,1821.32,1748.61,1786.95,1643.18,1989.32,1906.50,1807.34,1620.00,1728.51
1999,1771.51,2409.70,1795.93,2025.30,1609.39,1532.16,1506.37,1806.41,1840.68,1622.27,1641.53,2022.38,2038.88,1637.54,1706.01,1579.91
2000,1319.18,1581.05,1465.19,1500.50,1269.01,1315.20,1272.90,1251.61,1422.20,1296.14,1156.49,1460.41,1353.07,1309.18,1179.69,1353.72
2001,1169.03,1538.42,1244.23,1317.81,1122.51,1102.20,1074.42,1157.68,1220.80,1136.92,1032.07,1304.08,1312.34,1149.00,1013.94,1138.23
2002,1464.66,1939.12,1537.21,1680.86,1404.05,1358.98,1267.77,1456.62,1531.27,1350.58,1317.82,1636.27,1475.38,1344.73,1306.85,1397.99
2003,2062.74,2378.89,2134.57,2229.21,2008.24,1938.82,1890.18,2069.17,2059.65,2005.73,1882.24,2279.43,2168.58,2024.31,1906.85,1982.18
2004,1571.34,1784.70,1562.99,1624.98,1526.49,1477.54,1461.65,1670.98,1509.44,1574.39,1427.76,1664.58,1622.38,1596.20,1387.90,1507.95
2005,1342.30,1400.08,1314.04,1298.25,1317.29,1260.95,1346.50,1470.28,1223.62,1419.90,1230.85,1373.81,1320.32,1441.00,1217.74,1278.49
2006,1592.14,2043.89,1643.76,1733.76,1558.82,1473.10,1424.10,1577.46,1576.60,1534.78,1452.98,1788.17,1700.13,1545.08,1469.34,1519.84
2007,1412.00,1786.68,1435.94,1553.98,1340.14,1346.62,1365.59,1450.84,1423.47,1415.41,1254.31,1528.58,1469.43,1430.38,1264.02,1337.38
2008,1231.83,1540.93,1222.68,1282.61,1207.73,1137.36,1162.67,1304.12,1162.90,1243.36,1112.69,1310.46,1329.32,1257.57,1055.70,1179.21
2009,1344.76,1606.57,1387.15,1415.70,1337.85,1296.49,1269.90,1380.32,1331.73,1343.51,1216.33,1421.57,1383.30,1359.24,1182.69,1311.36
2010,1523.74,1940.49,1657.95,1708.10,1459.22,1506.89,1468.93,1537.06,1617.30,1524.39,1311.31,1613.64,1513.82,1548.22,1309.81,1501.18
2011,1551.35,1777.67,1545.35,1549.99,1579.31,1503.64,1472.68,1625.17,1464.28,1579.44,1427.23,1610.78,1611.37,1589.99,1355.81,1548.95
2012,1624.59,2231.14,1737.72,1898.74,1543.51,1551.01,1505.23,1577.86,1754.04,1551.32,1429.84,1814.84,1744.38,1563.84,1427.10,1576.90
2013,1217.66,1484.76,1287.47,1273.66,1189.74,1195.41,1222.73,1238.44,1191.00,1276.43,1076.41,1282.54,1254.57,1300.55,1081.14,1210.65
2014,1265.79,1857.06,1335.78,1518.09,1176.39,1171.31,1020.75,1164.03,1352.49,1065.62,1164.85,1571.78,1588.93,1051.99,1199.41,1205.90
2015,1096.95,1889.93,1167.38,1399.57,967.44,971.81,890.87,991.70,1220.62,920.39,983.24,1397.49,1430.58,917.39,1025.81,1005.18
2016,1330.23,1974.53,1390.44,1540.37,1245.67,1232.37,1121.44,1273.75,1376.08,1172.85,1223.40,1577.48,1651.54,1169.64,1263.34,1279.20
2017,1007.79,1178.65,1027.15,998.26,1006.80,984.29,1017.86,1063.56,950.26,1075.55,901.40,1033.29,1016.01,1095.80,874.29,1023.29
2018,1474.44,2015.45,1550.07,1685.16,1383.36,1362.24,1253.16,1438.84,1526.93,1320.07,1364.11,1695.55,1710.46,1321.86,1385.50,1418.46
2019,1295.31,2006.74,1387.24,1637.53,1169.56,1143.89,990.62,1190.96,1446.00,1052.63,1188.69,1605.07,1594.51,1039.76,1244.50,1192.72
2020,1667.78,2143.04,1688.69,1795.38,1586.64,1532.01,1545.58,1689.61,1625.22,1626.37,1521.10,1889.20,1890.66,1647.99,1568.86,1561.51
