Variable:,pr
,Suriname,Brokopondo,Commewijne,Coronie,Marowijne,Nickerie,Para,Paramaribo,Saramacca,Sipaliwini,Wanica
1959,2104.99,2127.29,2010.85,1684.47,2048.08,1814.11,1988.29,1918.90,1909.70,2147.78,1918.90
1960,2324.16,2417.75,2300.56,1878.37,2352.25,2021.77,2249.93,2177.50,2143.31,2356.38,2177.50
1961,1738.75,1871.33,1741.48,1408.47,1768.16,1512.94,1731.11,1676.70,1648.09,1754.12,1676.70
1962,1908.11,1937.95,1830.04,1553.68,1846.59,1661.82,1827.53,1749.00,1718.55,1944.15,1749.00
1963,2378.45,2326.01,2087.42,1760.22,2173.96,1976.31,2087.65,1942.90,1917.54,2465.07,1942.90
1964,1611.23,1649.57,1583.75,1428.68,1555.18,1551.37,1588.05,1582.90,1587.79,1623.19,1582.90
1965,1856.90,1949.88,1835.85,1528.77,1880.68,1637.51,1815.93,1744.70,1725.79,1878.41,1744.70
1966,2179.89,2155.95,2004.45,1701.61,2033.31,1875.59,1995.61,1927.60,1908.55,2239.44,1927.60
1967,2420.93,2488.98,2349.10,2002.72,2411.57,2209.76,2311.74,2235.20,2226.40,2454.61,2235.20
1968,2680.63,2669.80,2443.21,2081.61,2510.07,2290.96,2458.63,2334.80,2336.75,2753.78,2334.80
1969,2241.86,2320.11,2209.44,1842.27,2234.69,2006.11,2176.39,2125.00,2092.98,2270.59,2125.00
1970,2861.58,3004.63,2873.65,2364.87,2947.47,2545.53,2806.13,2729.00,2694.03,2888.69,2729.00
1971,2792.64,2829.95,2655.73,2215.97,2723.61,2410.16,2608.99,2503.70,2488.27,2852.31,2503.70
1972,2593.03,2803.90,2655.50,2197.56,2729.07,2349.53,2616.74,2505.00,2481.86,2600.41,2505.00
1973,2419.88,2556.44,2417.38,1970.31,2458.59,2102.86,2396.90,2338.70,2309.60,2444.23,2338.70
1974,2231.89,2252.24,2088.36,1824.95,2115.45,2013.03,2093.23,2017.10,2043.58,2275.67,2017.10
1975,2570.21,2618.94,2444.65,2091.26,2458.48,2282.47,2439.45,2358.90,2363.23,2617.25,2358.90
1976,2844.10,3104.62,3024.18,2487.20,3143.74,2634.09,2919.69,2819.10,2792.24,2832.27,2819.10
1977,2176.05,2327.04,2197.67,1726.59,2272.49,1832.00,2153.55,2069.30,2009.98,2199.53,2069.30
1978,2293.10,2476.07,2371.82,1867.58,2432.62,1996.34,2299.18,2247.10,2189.51,2305.33,2247.10
1979,2588.06,2635.37,2459.87,2103.30,2497.69,2312.95,2457.32,2348.20,2331.36,2635.83,2348.20
1980,2142.30,2264.07,2138.98,1732.82,2200.49,1852.82,2099.75,2022.70,1988.82,2166.52,2022.70
1981,2393.92,2478.70,2306.63,1920.95,2358.77,2107.46,2285.64,2181.20,2173.76,2433.64,2181.20
1982,2177.35,2291.30,2136.95,1724.76,2222.23,1851.99,2094.74,1978.80,1939.65,2211.33,1978.80
1983,2070.57,2389.30,2378.31,1877.37,2433.77,1931.85,2282.17,2226.80,2155.76,2029.56,2226.80
1984,2463.24,2549.67,2432.18,2060.27,2457.05,2225.96,2418.49,2367.80,2351.48,2489.42,2367.80
1985,2037.08,2035.54,1909.73,1596.86,1924.98,1761.87,1896.67,1852.00,1836.29,2085.77,1852.00
1986,1909.87,2000.34,1903.33,1580.84,1942.75,1701.74,1880.22,1837.00,1804.79,1928.93,1837.00
1987,2077.50,2094.57,1990.95,1701.16,2006.70,1866.01,1972.37,1914.90,1908.92,2114.88,1914.90
1988,2145.91,2209.52,2084.48,1766.90,2109.24,1922.92,2067.35,2024.50,2009.34,2176.54,2024.50
1989,2792.84,2993.96,2839.40,2380.27,2905.07,2543.26,2816.06,2711.90,2684.01,2802.96,2711.90
1990,2915.36,3090.79,2931.36,2520.06,2970.88,2742.91,2916.04,2812.60,2791.59,2927.96,2812.60
1991,2200.01,2268.20,2118.58,1793.69,2147.65,1917.43,2119.75,2051.70,2047.93,2235.76,2051.70
1992,1957.39,1999.28,1829.52,1447.88,1924.21,1561.13,1792.26,1695.30,1646.16,2012.08,1695.30
1993,2393.30,2512.52,2290.13,1888.85,2391.73,2028.44,2294.19,2160.90,2134.87,2434.95,2160.90
1994,2389.20,2546.97,2394.97,1875.95,2496.11,1974.24,2330.63,2220.20,2169.91,2420.93,2220.20
1995,1974.69,2018.03,1899.56,1551.16,1933.04,1656.96,1868.10,1809.40,1782.09,2016.12,1809.40
1996,2666.73,2835.69,2705.14,2211.04,2777.83,2391.59,2634.23,2547.30,2508.67,2685.68,2547.30
1997,2077.71,2123.04,2046.40,1687.98,2122.91,1829.25,1978.25,1906.60,1879.08,2110.57,1906.60
1998,2011.33,2063.78,1988.80,1605.04,2031.58,1725.04,1932.85,1885.10,1842.47,2044.71,1885.10
1999,2291.94,2401.17,2296.24,1883.65,2336.36,2044.99,2229.03,2170.60,2136.05,2317.03,2170.60
2000,2662.18,2786.08,2681.68,2327.05,2700.44,2546.09,2659.72,2600.50,2590.11,2672.92,2600.50
2001,1927.54,1969.01,1866.95,1480.99,1938.85,1572.70,1817.95,1755.20,1720.17,1969.42,1755.20
2002,2254.92,2335.81,2259.22,1895.97,2303.68,2071.33,2204.54,2162.70,2120.12,2275.94,2162.70
2003,1907.76,1890.08,1794.88,1519.43,1828.86,1664.51,1776.40,1735.30,1716.29,1952.15,1735.30
2004,2203.45,2242.63,2124.95,1777.44,2185.40,1966.31,2081.79,2002.40,1980.55,2242.27,2002.40
2005,2562.98,2717.63,2622.29,2201.22,2661.59,2359.56,2569.03,2479.00,2456.06,2573.76,2479.00
2006,2314.98,2375.65,2330.12,2027.40,2361.08,2236.55,2273.44,2242.60,2235.24,2328.26,2242.60
2007,2648.16,2805.12,2736.98,2300.49,2753.89,2512.21,2678.44,2630.10,2582.07,2651.63,2630.10
2008,2488.93,2525.69,2379.65,2196.49,2369.98,2450.91,2426.23,2356.40,2394.40,2512.99,2356.40
2009,2039.59,2094.31,1983.27,1691.88,2048.18,1811.99,1963.64,1887.60,1886.18,2068.75,1887.60
2010,2276.69,2346.33,2195.62,1822.79,2265.29,1997.91,2163.75,2080.80,2051.04,2315.87,2080.80
2011,2375.30,2415.54,2294.96,2021.84,2334.35,2214.48,2291.97,2239.00,2227.03,2405.20,2239.00
2012,2267.07,2321.91,2201.44,1873.83,2253.98,2067.46,2163.45,2082.90,2063.20,2300.37,2082.90
2013,2592.74,2770.49,2678.15,2119.37,2755.29,2291.26,2576.94,2514.00,2428.87,2608.81,2514.00
2014,2097.12,2136.46,2014.41,1719.36,2032.98,1899.27,1991.77,1923.70,1917.20,2132.31,1923.70
2015,2393.11,2538.80,2386.78,1970.67,2423.24,2102.31,2354.89,2267.90,2240.56,2417.11,2267.90
2016,2198.61,2230.32,2141.54,1862.06,2143.85,2054.57,2125.07,2078.60,2069.61,2226.58,2078.60
2017,2314.67,2419.93,2403.72,2073.64,2457.79,2258.76,2333.93,2297.60,2292.92,2312.32,2297.60
2018,2345.47,2464.58,2355.68,1900.36,2425.16,2033.04,2294.70,2207.40,2163.63,2372.53,2207.40
2019,1935.68,1898.13,1792.69,1596.97,1808.06,1772.30,1795.09,1740.10,1749.28,1979.32,1740.10
2020,2092.70,2039.06,2019.75,2018.41,1966.40,2276.93,2061.20,2064.30,2143.52,2098.99,2064.30
