Variable:,pr
,Iraq,Anbar,Basrah,Muthanna,Qadissiya,Najaf,Erbil,Kirkuk,Babil,Baghdad,Thi-Qar,Dahuk,Diyala,Kerbala,Missan,Ninewa,"Salah al-Din",Sulaymaniyah,Wassit
1914,195.29,123.49,133.92,85.03,105.85,76.57,468.56,339.43,119.83,156.57,125.35,663.20,257.64,102.52,216.56,393.50,251.81,414.93,182.51
1915,191.58,122.35,133.28,85.06,105.85,76.57,436.99,337.20,119.83,156.57,125.35,611.71,257.64,102.52,215.90,383.23,251.78,404.80,182.51
1916,190.11,122.84,125.19,84.94,105.85,76.57,425.04,337.20,119.83,156.57,125.17,581.10,257.64,102.52,214.09,381.19,251.78,402.82,182.51
1917,190.06,122.40,123.39,84.91,105.85,76.57,429.41,337.22,119.83,156.57,125.13,577.74,257.64,102.52,213.65,381.31,251.78,404.04,182.51
1918,191.91,123.25,127.88,84.97,105.85,76.57,442.91,338.22,119.83,156.57,125.21,595.54,257.64,102.52,215.58,385.01,251.79,408.76,182.51
1919,192.56,122.68,128.63,85.02,105.85,76.57,449.82,338.22,119.83,156.57,125.25,623.15,257.64,102.52,213.55,386.92,251.79,408.85,182.51
1920,193.81,122.05,136.58,84.99,105.85,76.57,458.79,338.22,119.83,156.57,125.38,648.90,257.64,102.52,219.96,388.33,251.79,408.96,182.51
1921,192.87,122.75,122.22,84.91,105.85,76.57,453.79,338.22,119.83,156.57,125.10,639.84,257.64,102.52,214.90,388.10,251.79,408.70,182.51
1922,192.34,122.10,111.22,84.82,105.85,76.57,455.19,338.22,119.83,156.57,124.89,643.29,257.64,102.52,214.36,388.61,251.79,408.53,182.51
1923,192.99,122.67,143.74,85.10,105.85,76.57,447.75,338.22,119.83,156.57,125.53,613.02,257.64,102.52,215.74,386.71,251.79,408.54,182.51
1924,192.25,123.24,131.84,84.97,105.85,76.57,444.80,338.22,119.83,156.57,125.31,598.38,257.64,102.52,216.41,385.26,251.79,409.34,182.51
1925,191.12,122.10,124.44,84.96,105.85,76.57,439.37,338.16,119.83,156.57,125.20,596.76,257.64,102.52,213.17,384.79,251.79,407.06,182.51
1926,190.75,122.79,128.73,84.95,105.85,76.57,430.62,337.44,119.83,156.57,125.21,580.69,257.64,102.52,218.22,381.72,251.79,405.00,182.51
1927,193.07,123.35,120.63,84.89,105.85,76.57,455.55,338.54,119.83,156.57,125.06,637.12,257.64,102.52,213.55,389.01,251.79,409.58,182.51
1928,194.39,122.73,124.97,84.93,105.85,76.57,458.95,341.85,119.83,156.64,125.17,641.06,257.70,102.54,214.17,397.83,255.91,410.91,182.51
1929,178.09,103.63,140.48,85.03,105.85,76.57,441.34,319.36,119.83,156.17,125.46,585.26,257.29,102.35,218.69,311.41,223.17,413.33,182.51
1930,178.41,106.45,126.21,84.92,105.85,76.57,420.55,325.77,119.83,156.36,125.19,552.11,257.48,102.40,219.49,322.10,235.48,402.10,182.51
1931,192.12,121.93,123.77,84.92,105.85,76.57,477.23,338.90,119.83,156.57,125.15,641.34,257.64,102.52,217.39,365.18,250.42,418.69,182.51
1932,191.05,122.77,117.13,84.86,105.85,76.57,484.18,348.57,119.83,156.84,125.00,610.70,257.84,102.62,212.66,344.46,262.29,426.15,182.51
1933,177.05,98.11,121.66,84.92,105.85,76.57,443.18,314.31,119.83,156.09,125.12,623.92,257.23,102.31,212.58,328.61,217.95,411.69,182.51
1934,187.03,114.97,134.85,85.01,105.85,76.57,434.26,334.34,119.83,156.51,125.34,589.29,257.61,102.47,215.44,364.88,247.24,406.78,182.51
1935,196.78,126.33,140.10,85.07,105.85,76.57,446.10,342.94,119.83,156.66,125.48,650.15,257.74,102.51,215.47,410.56,257.17,404.61,182.51
1936,188.48,106.09,156.53,94.76,111.72,77.00,447.36,323.84,120.75,156.34,148.21,646.27,257.67,102.43,254.20,352.36,231.52,409.63,193.05
1937,194.41,123.15,150.81,95.13,114.22,77.29,427.57,340.36,121.03,156.72,155.58,578.10,258.05,102.57,256.97,361.37,254.70,401.82,195.92
1938,192.14,122.04,134.05,84.98,105.85,76.57,433.21,342.52,119.83,156.55,125.32,608.04,257.66,102.50,218.50,391.08,252.24,403.67,182.51
1939,218.70,137.75,194.34,116.05,122.06,78.26,490.84,359.33,122.51,157.19,180.35,679.48,258.63,102.78,295.97,431.39,278.55,422.36,206.48
1940,192.58,119.47,129.01,84.95,105.85,76.57,457.32,338.02,119.83,156.47,125.23,653.06,257.59,102.49,216.11,390.36,247.30,411.77,182.51
1941,200.31,120.55,163.65,95.83,113.07,77.20,472.50,344.37,121.21,156.58,147.95,664.08,259.47,102.56,255.86,393.79,253.07,417.34,194.15
1942,193.92,118.64,122.35,81.33,85.83,72.36,535.20,337.97,97.81,127.49,105.80,830.35,200.72,89.98,174.59,466.50,232.43,377.84,140.76
1943,195.78,139.56,166.28,93.68,95.01,72.19,414.50,316.48,96.39,124.57,141.69,613.48,204.44,87.28,247.13,421.18,256.44,328.58,158.91
1944,195.30,135.88,77.67,68.34,82.64,71.26,484.61,364.63,100.19,144.95,86.37,709.22,265.31,89.16,147.75,435.17,256.40,437.87,150.92
1945,202.37,133.80,177.85,98.94,129.70,80.43,415.15,337.97,142.98,179.15,163.87,547.65,286.37,116.91,282.74,346.67,262.54,399.33,226.65
1946,226.03,127.56,209.87,118.80,146.85,84.70,492.72,375.42,158.35,201.93,204.20,703.94,327.94,126.36,316.04,408.60,283.41,472.93,250.27
1947,198.00,105.96,124.41,84.42,143.40,87.94,455.90,366.50,178.63,226.08,146.41,611.08,342.84,145.15,242.74,333.15,268.78,470.41,243.78
1948,195.48,142.13,114.33,78.12,109.09,77.67,411.43,330.00,125.58,160.87,117.99,601.89,256.62,106.55,206.95,406.94,256.88,366.21,184.00
1949,207.42,131.06,143.21,83.82,121.91,81.12,457.88,365.11,146.70,189.75,139.67,628.35,298.43,123.02,250.52,411.46,277.13,435.38,209.80
1950,185.40,123.44,103.61,75.62,88.66,72.06,430.33,335.20,105.80,149.19,104.56,613.05,258.80,92.88,185.57,394.28,248.47,375.05,162.14
1951,188.81,127.93,109.48,77.23,91.80,74.13,453.17,332.19,104.60,137.96,106.18,656.85,229.53,94.81,180.55,408.71,249.05,392.49,152.58
1952,195.65,129.10,122.18,81.03,97.96,73.99,461.49,346.13,111.04,148.76,114.28,625.94,248.97,95.71,201.05,424.64,264.37,395.90,171.14
1953,231.92,145.93,139.18,91.20,126.09,83.89,544.04,393.77,147.03,188.52,145.39,816.61,305.61,126.40,251.41,517.02,303.31,454.91,217.49
1954,263.41,159.57,215.25,117.88,145.53,86.90,594.60,444.11,161.63,210.50,188.59,833.82,356.33,133.11,326.28,561.29,336.09,529.71,260.82
1955,175.22,108.45,95.14,69.97,90.57,74.98,437.90,332.05,106.59,145.36,97.06,574.90,242.88,97.80,168.54,355.84,242.70,408.95,152.69
1956,161.53,115.03,92.72,68.49,83.32,71.86,373.51,272.85,91.12,113.76,92.56,541.82,181.70,84.92,160.95,343.50,213.72,312.48,132.19
1957,223.72,148.02,144.12,89.63,120.57,77.72,479.00,373.97,139.86,182.07,145.96,702.64,314.18,110.39,259.22,458.01,282.90,496.73,234.17
1958,148.30,92.44,102.60,70.90,91.42,75.12,339.07,248.60,103.72,126.37,96.56,506.59,180.39,96.52,160.79,303.62,199.37,277.92,135.85
1959,153.25,88.72,110.87,79.03,93.11,75.02,383.64,275.00,101.37,125.08,105.32,521.62,202.23,89.54,160.59,295.84,195.00,332.58,138.63
1960,144.42,71.96,75.87,62.03,93.93,74.29,380.29,283.75,106.48,130.81,87.81,487.77,225.21,87.77,159.39,279.46,192.30,346.75,156.68
1961,203.54,123.71,196.63,116.54,112.59,77.56,449.25,347.38,122.67,158.09,165.34,628.48,261.67,101.38,268.29,386.67,254.75,391.89,195.52
1962,160.26,84.99,110.13,76.15,101.86,75.54,391.34,297.00,115.23,143.91,110.21,521.08,235.53,95.66,192.57,306.88,210.28,360.17,172.52
1963,231.41,148.75,99.91,84.18,105.64,76.69,593.87,404.48,122.24,159.49,113.75,939.87,271.97,102.18,182.90,566.79,295.56,497.98,179.60
1964,152.68,103.86,47.51,48.34,76.18,71.94,403.78,304.41,90.85,117.48,57.84,541.36,180.09,85.90,98.54,351.84,219.27,331.37,106.31
1965,183.73,115.95,110.60,76.65,101.96,76.68,435.28,309.33,117.48,149.20,116.68,652.01,230.13,102.47,197.02,394.90,240.30,368.44,170.38
1966,166.92,102.90,88.26,68.98,93.83,75.11,409.14,306.75,109.86,142.83,99.61,558.10,226.64,97.40,168.60,337.83,224.56,377.21,153.56
1967,229.10,138.19,146.70,99.18,123.98,83.11,579.52,400.40,132.98,166.20,144.60,871.66,275.46,113.55,225.35,517.31,287.50,474.93,194.63
1968,233.21,134.61,122.04,88.20,120.59,80.59,618.60,422.80,137.94,177.12,130.31,892.75,309.26,111.30,227.21,522.09,294.80,545.18,214.30
1969,258.51,149.94,167.81,107.14,146.63,86.19,620.56,457.82,169.07,217.05,170.38,825.43,378.76,129.42,300.36,531.59,329.90,612.63,270.87
1970,147.70,82.67,115.83,74.61,97.11,73.27,327.45,278.52,107.82,135.97,113.58,424.30,219.95,90.86,202.90,252.73,199.46,324.05,164.99
1971,205.08,145.97,135.41,90.63,119.26,79.88,423.51,330.40,137.73,177.00,134.80,590.07,286.41,114.06,236.86,390.05,266.63,412.78,214.82
1972,232.47,156.42,218.54,127.82,126.33,79.90,504.67,364.95,132.02,173.64,186.19,665.68,292.21,112.02,308.34,426.36,286.24,470.12,224.36
1973,123.35,69.16,55.10,52.26,70.59,69.39,342.43,255.35,83.04,105.39,66.00,458.61,155.28,80.11,111.81,249.55,174.97,268.25,101.66
1974,235.21,173.89,192.81,100.03,128.44,80.52,431.55,359.25,153.25,210.46,168.04,561.18,331.09,126.79,308.89,458.65,321.21,433.28,241.06
1975,203.95,143.49,171.82,107.18,123.14,80.59,377.95,314.13,138.57,183.55,153.07,545.53,269.67,118.45,264.91,382.38,273.86,369.28,205.84
1976,206.05,141.53,192.15,118.47,115.00,76.66,420.40,314.68,117.92,150.03,164.35,614.88,238.31,99.41,265.48,404.52,248.64,371.76,192.49
1977,190.86,114.53,135.58,81.42,107.60,75.91,510.35,373.93,118.34,154.98,129.07,597.21,268.36,100.16,231.79,328.94,239.70,473.68,189.97
1978,163.43,76.13,113.87,77.48,83.62,70.39,444.51,338.36,91.28,122.68,106.28,601.52,223.00,79.46,179.48,352.53,214.89,389.33,141.66
1979,182.33,111.95,130.58,84.96,94.76,73.03,440.64,329.43,103.79,140.12,120.95,612.69,236.53,92.57,201.43,374.48,237.29,380.16,160.49
1980,203.40,126.58,162.29,92.29,114.84,76.72,434.89,339.68,126.59,166.28,145.92,611.45,281.70,103.28,258.54,419.44,267.04,400.79,205.04
1981,202.89,143.64,114.04,74.99,99.98,75.49,457.84,348.32,116.73,159.97,117.24,669.78,254.26,105.12,203.96,436.13,278.87,402.17,177.37
1982,235.38,180.83,175.38,102.16,129.93,83.28,474.41,373.98,151.50,207.39,163.89,609.70,328.08,131.13,278.14,417.46,308.48,474.23,233.94
1983,165.43,110.70,97.89,75.61,95.13,74.88,361.39,291.92,107.65,141.51,104.24,509.98,229.40,96.11,178.35,318.92,224.97,339.58,157.16
1984,177.17,118.94,122.19,78.96,102.92,76.16,410.14,323.96,116.16,155.72,119.12,487.30,265.58,102.14,210.72,287.93,234.69,415.04,182.91
1985,175.98,108.57,96.81,69.66,96.45,75.44,427.09,338.44,114.04,153.36,98.69,574.63,256.20,100.91,169.71,351.70,245.34,401.64,160.84
1986,197.73,110.21,181.82,108.79,126.18,78.65,474.74,341.45,125.27,152.00,162.20,612.30,262.49,98.99,275.24,359.43,235.20,430.86,216.33
1987,201.40,109.64,107.10,75.74,99.20,74.74,540.48,379.03,111.61,144.26,114.97,811.13,266.76,93.17,203.15,459.48,250.57,476.43,180.41
1988,232.19,179.39,104.95,70.17,97.72,74.97,546.96,387.47,120.74,168.84,107.51,845.12,268.99,109.90,198.05,536.82,307.58,448.08,176.99
1989,140.85,76.17,104.54,68.99,96.32,72.89,306.51,260.84,109.78,139.99,106.20,408.13,239.41,90.03,198.61,224.93,189.92,318.83,173.31
1990,144.39,96.71,87.47,66.79,83.15,72.60,346.00,268.60,94.87,120.00,90.55,468.34,187.50,88.73,145.53,265.27,194.65,295.62,128.35
1991,197.74,106.37,174.30,102.07,115.56,76.11,485.57,345.78,119.71,146.95,159.02,677.03,259.28,95.95,276.13,384.01,237.24,426.46,204.67
1992,206.22,141.52,145.68,88.94,110.97,76.99,459.95,348.78,123.69,161.40,138.60,653.29,270.45,104.13,245.96,408.46,262.28,409.45,198.21
1993,221.51,136.41,165.10,111.35,126.34,81.39,544.77,369.41,132.08,161.73,156.74,749.83,283.10,105.61,256.69,435.32,261.44,496.43,211.39
1994,218.71,116.89,154.97,95.03,112.87,76.85,561.08,397.48,121.94,163.77,152.88,799.14,312.89,97.64,269.05,456.34,267.11,515.54,209.39
1995,140.76,86.77,123.98,85.07,79.85,71.10,335.09,251.59,80.25,97.79,105.12,459.29,155.69,75.41,146.41,270.54,173.80,295.17,108.27
1996,219.57,150.08,169.19,101.94,118.60,78.80,422.52,349.28,133.78,176.55,153.34,683.71,277.28,113.84,266.08,476.15,290.12,385.18,211.71
1997,182.92,117.47,174.73,103.33,110.61,77.07,373.37,301.23,116.64,147.57,155.87,500.14,246.66,97.96,253.88,322.38,227.21,357.18,193.67
1998,156.17,87.82,115.88,77.36,88.33,72.15,365.79,289.44,99.45,128.05,111.74,484.67,218.32,86.78,185.21,306.97,207.48,339.07,153.82
1999,153.23,93.01,167.89,95.49,99.36,73.23,296.19,245.93,101.29,121.50,141.48,437.07,186.48,88.08,231.65,277.92,202.07,244.12,160.74
2000,164.59,110.44,118.07,72.38,94.43,73.38,343.17,279.60,105.39,132.76,110.15,493.32,208.00,93.75,199.80,337.45,223.78,303.68,157.57
2001,171.32,127.16,138.26,80.12,92.24,71.95,346.08,263.08,96.18,117.19,118.90,550.38,177.43,86.73,201.98,371.93,214.66,272.05,143.55
2002,194.09,124.94,140.08,87.18,104.73,77.91,466.51,343.78,120.83,158.31,123.93,619.20,256.46,107.15,203.57,385.63,256.97,404.83,174.32
2003,197.38,121.92,139.25,83.72,100.74,74.31,472.08,346.68,113.12,147.92,124.54,701.09,250.34,97.12,215.78,433.89,255.56,388.11,176.99
2004,185.39,110.86,166.77,91.86,108.61,76.37,424.39,311.24,115.23,143.57,139.52,600.29,234.83,98.53,240.26,370.09,234.97,364.02,179.40
2005,164.12,113.21,151.74,89.82,92.64,72.87,339.30,266.87,100.87,130.96,126.50,461.51,209.72,90.18,207.47,296.19,212.65,298.46,152.54
2006,207.35,123.43,155.26,89.27,120.14,80.41,491.92,359.79,135.63,172.95,142.96,693.11,279.56,114.25,252.46,420.59,267.77,435.95,205.88
2007,157.41,113.78,115.95,80.53,91.57,73.01,338.00,261.30,100.77,127.41,110.32,475.81,198.94,90.27,184.43,275.60,198.47,305.78,149.69
2008,123.08,86.26,66.62,59.12,75.07,69.74,273.26,217.28,81.84,102.44,77.20,366.82,158.29,79.44,122.73,223.13,177.59,235.09,112.72
2009,162.37,104.63,103.22,71.88,86.06,70.85,386.80,274.55,91.79,117.93,100.16,545.43,197.98,82.28,167.68,348.47,216.50,324.64,143.16
2010,143.85,104.35,56.01,65.51,79.22,73.42,337.36,265.48,94.04,122.96,72.86,455.24,188.98,91.30,114.55,266.47,204.23,308.85,119.92
2011,161.72,106.16,93.79,71.33,81.51,71.96,421.51,288.25,88.73,113.31,93.51,587.29,192.81,84.23,149.30,330.27,207.22,349.48,128.31
2012,161.65,88.33,111.61,74.12,86.25,70.80,414.61,289.34,89.92,115.33,102.88,616.10,193.82,81.91,168.55,366.85,213.62,329.25,137.43
2013,183.13,122.44,97.79,70.52,102.16,76.42,433.34,343.07,120.05,157.07,106.76,569.39,250.93,104.26,184.28,360.45,256.36,396.73,169.30
2014,165.06,122.93,80.42,66.33,95.00,75.22,380.35,285.43,107.50,135.48,90.77,508.24,206.01,97.80,159.92,317.34,221.49,339.74,147.01
2015,153.41,108.06,103.63,71.79,88.60,74.66,366.19,255.49,90.98,104.77,96.02,536.26,140.78,90.86,154.28,325.63,200.70,279.00,112.82
2016,197.81,126.56,136.96,90.45,107.25,76.90,465.78,347.88,121.16,158.33,130.35,652.89,257.52,103.26,221.65,394.21,256.49,414.59,184.50
2017,153.70,95.91,104.40,74.78,95.58,75.52,347.17,270.33,107.39,135.56,104.90,460.34,203.23,97.97,174.69,290.43,217.47,311.30,148.47
2018,225.25,125.68,164.41,105.56,120.35,78.34,559.30,408.90,133.43,177.07,161.42,754.05,322.79,107.20,257.49,448.86,282.83,540.08,222.88
2019,195.81,115.83,93.03,68.35,101.54,75.93,491.15,374.96,120.39,160.17,102.53,679.13,272.60,103.44,194.79,434.83,270.06,449.89,177.22
2020,196.41,118.17,130.35,81.46,102.41,76.06,494.57,363.09,116.22,153.24,119.95,664.26,260.67,101.11,203.23,413.77,259.49,433.87,174.89
