Variable:,pr
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
1959,850.88,871.91,1120.06,895.07,742.40,809.47,763.94,947.86,807.54,758.81,853.61
1960,870.57,854.92,1149.78,924.82,744.02,793.96,785.69,1023.42,812.68,802.14,858.66
1961,837.48,817.71,1055.69,849.04,834.10,815.05,830.41,906.74,742.88,807.04,784.44
1962,718.39,680.71,832.46,661.10,674.60,686.44,687.33,824.68,734.46,681.58,716.49
1963,942.10,900.13,1092.53,903.30,935.54,931.33,949.36,967.61,912.02,954.29,917.33
1964,831.49,829.19,1138.67,889.80,656.86,752.44,675.36,1012.70,833.10,671.89,878.93
1965,566.35,508.60,713.56,556.36,444.15,484.91,470.51,720.22,635.17,489.94,614.27
1966,682.03,637.35,773.02,638.59,646.77,658.38,644.40,754.14,713.99,652.19,694.23
1967,876.70,910.85,1148.29,957.50,822.84,842.37,814.73,975.22,773.68,789.11,826.11
1968,590.28,614.73,764.91,622.68,578.35,588.63,550.61,638.46,516.65,525.69,562.38
1969,726.94,769.34,873.38,749.13,662.71,723.45,659.70,791.65,693.25,637.57,736.00
1970,645.91,653.74,857.22,680.58,559.05,610.44,540.85,787.51,606.59,529.46,654.36
1971,704.39,643.47,927.48,706.74,597.79,626.65,628.61,844.21,725.15,628.70,726.04
1972,768.92,819.82,832.81,743.53,743.68,784.69,743.35,804.25,748.66,725.61,761.30
1973,692.70,680.14,875.72,735.74,552.42,619.24,582.93,847.80,710.46,566.68,740.34
1974,923.20,897.46,1089.42,900.69,843.30,875.19,883.58,969.93,962.05,907.56,941.65
1975,940.17,1013.27,1226.01,1014.95,835.28,909.22,797.47,1087.03,875.08,759.31,947.29
1976,1111.38,1093.63,1372.68,1094.38,999.79,1061.89,1062.52,1220.40,1080.54,1081.06,1095.19
1977,843.38,876.54,928.46,820.07,768.38,842.15,803.70,846.02,881.14,801.47,880.16
1978,865.11,929.41,1044.88,908.97,742.39,823.89,746.66,1008.22,842.64,731.83,888.82
1979,753.63,756.56,991.50,812.74,645.27,707.54,673.14,827.52,719.73,678.29,770.79
1980,586.36,589.64,775.11,630.80,490.13,528.56,501.80,681.96,593.05,514.86,597.73
1981,860.81,949.99,1040.61,900.22,816.93,879.96,812.05,880.05,779.73,793.88,833.91
1982,656.73,677.76,765.24,666.61,668.42,659.87,673.01,635.80,602.47,669.36,618.35
1983,689.27,634.48,928.36,699.71,571.53,617.26,594.04,866.24,686.14,591.46,705.11
1984,605.94,622.25,788.98,634.49,508.85,561.67,512.21,710.70,609.43,512.06,626.72
1985,746.06,646.88,857.36,685.40,627.85,670.38,682.64,875.85,841.70,730.11,796.58
1986,764.20,715.78,952.97,743.47,631.04,707.32,679.32,874.28,814.34,705.15,811.22
1987,845.02,818.92,1097.49,867.58,737.43,785.47,740.87,1024.17,801.01,735.85,852.41
1988,1035.35,1003.68,1236.53,1021.76,1015.67,1004.99,1028.00,1068.87,995.86,1053.75,999.51
1989,802.69,777.74,1053.80,824.28,714.04,747.22,719.22,920.73,781.55,710.98,815.60
1990,653.11,728.52,819.50,692.59,665.88,673.27,598.82,695.36,566.71,549.57,619.84
1991,904.13,917.25,1080.89,908.12,903.93,900.56,891.18,926.50,835.57,888.19,864.43
1992,494.44,473.40,697.78,535.27,388.10,421.73,413.28,630.30,483.54,423.84,499.88
1993,743.12,734.78,951.82,772.53,599.50,670.51,658.65,859.75,755.15,681.83,768.31
1994,596.73,614.89,765.76,624.09,516.05,539.02,477.71,712.63,640.09,472.01,635.24
1995,722.75,692.53,892.70,740.79,588.11,638.65,605.13,862.93,808.81,621.72,776.86
1996,927.78,939.08,1158.40,948.19,797.71,862.46,812.66,1072.56,939.94,822.16,954.18
1997,834.36,849.62,1162.84,882.36,643.83,753.33,679.38,1043.51,824.85,662.57,868.84
1998,927.32,930.61,1158.03,945.66,852.82,884.51,855.42,1020.72,898.10,875.53,914.03
1999,742.12,727.77,923.13,737.06,619.77,691.71,659.59,855.48,771.33,682.33,764.67
2000,876.32,883.15,1093.62,903.79,819.85,838.28,800.44,976.01,844.28,788.04,870.13
2001,932.22,953.45,1125.65,954.33,893.52,916.06,873.14,1013.57,876.09,842.58,921.47
2002,743.32,745.25,927.58,758.68,663.48,711.74,678.89,834.28,718.87,674.75,747.16
2003,616.55,601.72,794.43,627.35,530.44,571.65,555.99,702.61,610.85,572.65,624.52
2004,719.21,708.42,917.99,737.00,651.21,671.41,657.26,811.63,705.96,665.22,713.13
2005,634.11,610.88,796.18,631.62,563.34,592.52,590.45,706.23,632.88,611.70,634.57
2006,982.76,985.88,1152.75,983.74,919.81,952.68,916.65,1084.02,971.22,891.25,990.98
2007,747.58,731.04,909.72,739.63,669.81,708.64,678.51,858.01,749.05,675.29,762.81
2008,755.48,742.16,931.08,753.69,676.03,716.60,694.23,850.42,754.99,697.82,761.48
2009,813.02,846.86,1052.71,870.16,739.65,787.68,725.20,901.90,758.70,703.74,807.58
2010,915.69,948.19,1098.55,938.23,878.01,904.22,850.77,982.62,869.46,820.74,914.61
2011,900.15,945.62,1103.70,930.72,863.33,896.08,843.26,957.90,833.34,818.25,878.90
2012,710.86,676.35,869.32,701.78,623.40,658.44,657.47,811.71,726.35,667.51,724.25
2013,600.35,528.34,724.44,564.44,504.69,527.35,557.72,704.19,663.32,598.77,621.38
2014,687.75,654.89,888.44,697.37,595.42,627.89,620.57,797.06,696.92,638.11,691.81
2015,493.12,436.92,605.82,460.50,412.58,436.01,450.43,599.46,536.29,479.22,504.57
2016,627.60,596.59,797.67,624.59,532.65,575.86,563.81,741.99,635.20,576.09,639.08
2017,669.86,629.53,812.92,653.85,580.23,611.94,612.34,771.33,708.77,637.75,686.09
2018,578.63,535.89,722.30,559.58,499.76,521.43,520.10,695.09,608.02,534.85,591.08
2019,680.11,673.21,859.37,692.01,597.80,633.25,608.70,788.11,679.70,611.44,684.72
2020,869.92,902.98,1081.62,909.34,807.85,845.30,790.14,948.03,834.51,772.22,867.72
