Variable:,pr
,Liechtenstein,Balzers,Eschen,Gamprin,Mauren,Planken,Ruggell,Schaan,Schellenberg,Triesen,Triesenberg,Vaduz
1922,1935.54,1922.08,1937.28,1937.44,1938.00,1938.00,1938.00,1925.15,1938.00,1938.00,1938.00,1937.79
1923,1482.20,1471.25,1483.62,1483.74,1484.20,1484.20,1484.20,1473.75,1484.20,1484.20,1484.20,1484.03
1924,1430.48,1419.98,1431.84,1431.96,1432.40,1432.40,1432.40,1422.37,1432.40,1432.40,1432.40,1432.24
1925,1312.69,1305.55,1313.62,1313.70,1314.00,1314.00,1314.00,1307.18,1314.00,1314.00,1314.00,1313.89
1926,1510.46,1500.98,1511.69,1511.80,1512.20,1512.20,1512.20,1503.14,1512.20,1512.20,1512.20,1512.05
1927,1607.29,1596.83,1608.64,1608.76,1609.20,1609.20,1609.20,1599.22,1609.20,1609.20,1609.20,1609.04
1928,1499.82,1489.01,1501.22,1501.35,1501.80,1501.80,1501.80,1491.48,1501.80,1501.80,1501.80,1501.63
1929,1206.55,1198.64,1207.58,1207.67,1208.00,1208.00,1208.00,1200.45,1208.00,1208.00,1208.00,1207.88
1930,1631.57,1622.14,1632.80,1632.91,1633.30,1633.30,1633.30,1624.29,1633.30,1633.30,1633.30,1633.16
1931,1561.87,1550.25,1563.38,1563.52,1564.00,1564.00,1564.00,1552.90,1564.00,1564.00,1564.00,1563.82
1932,1374.47,1365.55,1375.62,1375.73,1376.10,1376.10,1376.10,1367.59,1376.10,1376.10,1376.10,1375.96
1933,1415.09,1405.20,1416.37,1416.49,1416.90,1416.90,1416.90,1407.46,1416.90,1416.90,1416.90,1416.75
1934,1366.19,1355.23,1367.62,1367.74,1368.20,1368.20,1368.20,1357.73,1368.20,1368.20,1368.20,1368.03
1935,1681.35,1667.96,1683.09,1683.24,1683.80,1683.80,1683.80,1671.01,1683.80,1683.80,1683.80,1683.59
1936,1534.82,1525.11,1536.08,1536.20,1536.60,1536.60,1536.60,1527.33,1536.60,1536.60,1536.60,1536.45
1937,1516.73,1505.95,1518.13,1518.25,1518.70,1518.70,1518.70,1508.41,1518.70,1518.70,1518.70,1518.53
1938,1312.63,1305.71,1313.53,1313.61,1313.90,1313.90,1313.90,1307.29,1313.90,1313.90,1313.90,1313.79
1939,1787.77,1777.75,1789.07,1789.18,1789.60,1789.60,1789.60,1780.04,1789.60,1789.60,1789.60,1789.45
1940,1805.86,1795.24,1807.23,1807.36,1807.80,1807.80,1807.80,1797.66,1807.80,1807.80,1807.80,1807.64
1941,1453.22,1443.49,1454.48,1454.59,1455.00,1455.00,1455.00,1445.71,1455.00,1455.00,1455.00,1454.85
1942,1349.14,1340.58,1350.24,1350.34,1350.70,1350.70,1350.70,1342.54,1350.70,1350.70,1350.70,1350.57
1943,1194.32,1184.04,1195.65,1195.77,1196.20,1196.20,1196.20,1186.38,1196.20,1196.20,1196.20,1196.04
1944,1725.73,1713.29,1727.34,1727.48,1728.00,1728.00,1728.00,1716.12,1728.00,1728.00,1728.00,1727.81
1945,1492.90,1481.94,1494.32,1494.44,1494.90,1494.90,1494.90,1484.44,1494.90,1494.90,1494.90,1494.73
1946,1317.67,1309.29,1318.75,1318.85,1319.20,1319.20,1319.20,1311.20,1319.20,1319.20,1319.20,1319.07
1947,1254.19,1247.05,1255.12,1255.20,1255.50,1255.50,1255.50,1248.68,1255.50,1255.50,1255.50,1255.39
1948,1350.88,1342.04,1352.03,1352.13,1352.50,1352.50,1352.50,1344.05,1352.50,1352.50,1352.50,1352.36
1949,1084.76,1078.52,1085.57,1085.64,1085.90,1085.90,1085.90,1079.94,1085.90,1085.90,1085.90,1085.80
1950,1435.38,1426.55,1436.53,1436.63,1437.00,1437.00,1437.00,1428.56,1437.00,1437.00,1437.00,1436.86
1951,1342.06,1336.39,1342.80,1342.86,1343.10,1343.10,1343.10,1337.68,1343.10,1343.10,1343.10,1343.01
1952,1640.76,1630.18,1642.14,1642.26,1642.70,1642.70,1642.70,1632.59,1642.70,1642.70,1642.70,1642.54
1953,1105.80,1100.34,1106.51,1106.57,1106.80,1106.80,1106.80,1101.59,1106.80,1106.80,1106.80,1106.72
1954,1634.03,1622.70,1635.50,1635.63,1636.10,1636.10,1636.10,1625.28,1636.10,1636.10,1636.10,1635.93
1955,1546.65,1536.50,1547.96,1548.08,1548.50,1548.50,1548.50,1538.82,1548.50,1548.50,1548.50,1548.34
1956,1550.63,1539.88,1552.03,1552.15,1552.60,1552.60,1552.60,1542.34,1552.60,1552.60,1552.60,1552.44
1957,1437.92,1427.11,1439.32,1439.45,1439.90,1439.90,1439.90,1429.58,1439.90,1439.90,1439.90,1439.73
1958,1661.37,1651.37,1662.67,1662.78,1663.20,1663.20,1663.20,1653.65,1663.20,1663.20,1663.20,1663.05
1959,1209.64,1202.75,1210.53,1210.61,1210.90,1210.90,1210.90,1204.32,1210.90,1210.90,1210.90,1210.79
1960,1644.27,1634.29,1645.57,1645.68,1646.10,1646.10,1646.10,1636.57,1646.10,1646.10,1646.10,1645.95
1961,1355.95,1345.86,1357.26,1357.38,1357.80,1357.80,1357.80,1348.16,1357.80,1357.80,1357.80,1357.65
1962,1415.64,1403.81,1417.17,1417.31,1417.80,1417.80,1417.80,1406.51,1417.80,1417.80,1417.80,1417.62
1963,1378.60,1368.72,1379.87,1379.99,1380.40,1380.40,1380.40,1370.98,1380.40,1380.40,1380.40,1380.25
1964,1473.78,1461.09,1475.42,1475.57,1476.10,1476.10,1476.10,1463.99,1476.10,1476.10,1476.10,1475.91
1965,1950.23,1937.30,1951.91,1952.06,1952.60,1952.60,1952.60,1940.25,1952.60,1952.60,1952.60,1952.40
1966,1841.93,1827.34,1843.82,1843.99,1844.60,1844.60,1844.60,1830.67,1844.60,1844.60,1844.60,1844.38
1967,1481.64,1472.00,1482.89,1483.00,1483.40,1483.40,1483.40,1474.20,1483.40,1483.40,1483.40,1483.25
1968,1545.51,1536.79,1546.64,1546.74,1547.10,1547.10,1547.10,1538.78,1547.10,1547.10,1547.10,1546.97
1969,1359.88,1351.59,1360.96,1361.05,1361.40,1361.40,1361.40,1353.48,1361.40,1361.40,1361.40,1361.27
1970,1876.11,1861.43,1878.02,1878.19,1878.80,1878.80,1878.80,1864.78,1878.80,1878.80,1878.80,1878.57
1971,1179.67,1173.49,1180.47,1180.54,1180.80,1180.80,1180.80,1174.90,1180.80,1180.80,1180.80,1180.71
1972,1233.12,1226.68,1233.96,1234.03,1234.30,1234.30,1234.30,1228.15,1234.30,1234.30,1234.30,1234.20
1973,1560.64,1548.83,1562.17,1562.31,1562.80,1562.80,1562.80,1551.53,1562.80,1562.80,1562.80,1562.62
1974,1736.85,1721.83,1738.80,1738.97,1739.60,1739.60,1739.60,1725.26,1739.60,1739.60,1739.60,1739.37
1975,1460.01,1451.33,1461.14,1461.24,1461.60,1461.60,1461.60,1453.31,1461.60,1461.60,1461.60,1461.47
1976,1308.51,1300.91,1309.50,1309.58,1309.90,1309.90,1309.90,1302.64,1309.90,1309.90,1309.90,1309.78
1977,1544.08,1535.20,1545.23,1545.33,1545.70,1545.70,1545.70,1537.23,1545.70,1545.70,1545.70,1545.56
1978,1549.85,1539.70,1551.16,1551.28,1551.70,1551.70,1551.70,1542.02,1551.70,1551.70,1551.70,1551.54
1979,1766.62,1750.88,1768.66,1768.84,1769.50,1769.50,1769.50,1754.47,1769.50,1769.50,1769.50,1769.26
1980,1512.77,1501.69,1514.21,1514.34,1514.80,1514.80,1514.80,1504.22,1514.80,1514.80,1514.80,1514.63
1981,1884.38,1871.13,1886.09,1886.25,1886.80,1886.80,1886.80,1874.15,1886.80,1886.80,1886.80,1886.60
1982,1514.04,1503.30,1515.43,1515.55,1516.00,1516.00,1516.00,1505.75,1516.00,1516.00,1516.00,1515.84
1983,1495.92,1483.43,1497.53,1497.68,1498.20,1498.20,1498.20,1486.28,1498.20,1498.20,1498.20,1498.01
1984,1444.78,1435.91,1445.93,1446.03,1446.40,1446.40,1446.40,1437.93,1446.40,1446.40,1446.40,1446.26
1985,1365.64,1355.45,1366.96,1367.08,1367.50,1367.50,1367.50,1357.77,1367.50,1367.50,1367.50,1367.34
1986,1627.04,1614.13,1628.71,1628.86,1629.40,1629.40,1629.40,1617.08,1629.40,1629.40,1629.40,1629.20
1987,1577.81,1567.50,1579.15,1579.27,1579.70,1579.70,1579.70,1569.86,1579.70,1579.70,1579.70,1579.54
1988,1701.21,1689.76,1702.69,1702.82,1703.30,1703.30,1703.30,1692.37,1703.30,1703.30,1703.30,1703.12
1989,1266.49,1259.31,1267.42,1267.50,1267.80,1267.80,1267.80,1260.95,1267.80,1267.80,1267.80,1267.69
1990,1574.98,1562.86,1576.55,1576.70,1577.20,1577.20,1577.20,1565.63,1577.20,1577.20,1577.20,1577.01
1991,1332.14,1325.25,1333.03,1333.11,1333.40,1333.40,1333.40,1326.82,1333.40,1333.40,1333.40,1333.29
1992,1556.71,1544.16,1558.33,1558.48,1559.00,1559.00,1559.00,1547.02,1559.00,1559.00,1559.00,1558.81
1993,1597.61,1586.73,1599.02,1599.15,1599.60,1599.60,1599.60,1589.21,1599.60,1599.60,1599.60,1599.43
1994,1596.83,1586.61,1598.16,1598.27,1598.70,1598.70,1598.70,1588.94,1598.70,1598.70,1598.70,1598.54
1995,1766.38,1753.16,1768.10,1768.25,1768.80,1768.80,1768.80,1756.18,1768.80,1768.80,1768.80,1768.60
1996,1462.03,1450.73,1463.50,1463.63,1464.10,1464.10,1464.10,1453.31,1464.10,1464.10,1464.10,1463.93
1997,1372.07,1362.61,1373.30,1373.41,1373.80,1373.80,1373.80,1364.77,1373.80,1373.80,1373.80,1373.65
1998,1531.98,1518.73,1533.69,1533.85,1534.40,1534.40,1534.40,1521.75,1534.40,1534.40,1534.40,1534.20
1999,1962.77,1946.78,1964.85,1965.03,1965.70,1965.70,1965.70,1950.43,1965.70,1965.70,1965.70,1965.45
2000,1709.58,1694.72,1711.51,1711.68,1712.30,1712.30,1712.30,1698.11,1712.30,1712.30,1712.30,1712.07
2001,1820.74,1806.17,1822.62,1822.79,1823.40,1823.40,1823.40,1809.49,1823.40,1823.40,1823.40,1823.18
2002,1794.23,1783.48,1795.63,1795.75,1796.20,1796.20,1796.20,1785.94,1796.20,1796.20,1796.20,1796.03
2003,1198.57,1190.20,1199.65,1199.75,1200.10,1200.10,1200.10,1192.11,1200.10,1200.10,1200.10,1199.97
2004,1349.25,1341.33,1350.28,1350.37,1350.70,1350.70,1350.70,1343.14,1350.70,1350.70,1350.70,1350.58
2005,1389.83,1379.63,1391.16,1391.28,1391.70,1391.70,1391.70,1381.96,1391.70,1391.70,1391.70,1391.54
2006,1450.80,1440.94,1452.07,1452.19,1452.60,1452.60,1452.60,1443.19,1452.60,1452.60,1452.60,1452.45
2007,1617.45,1604.60,1619.12,1619.27,1619.80,1619.80,1619.80,1607.53,1619.80,1619.80,1619.80,1619.60
2008,1535.46,1522.67,1537.12,1537.27,1537.80,1537.80,1537.80,1525.59,1537.80,1537.80,1537.80,1537.60
2009,1477.18,1466.11,1478.61,1478.74,1479.20,1479.20,1479.20,1468.64,1479.20,1479.20,1479.20,1479.03
2010,1524.84,1514.69,1526.16,1526.28,1526.70,1526.70,1526.70,1517.01,1526.70,1526.70,1526.70,1526.54
2011,1425.37,1415.39,1426.67,1426.78,1427.20,1427.20,1427.20,1417.67,1427.20,1427.20,1427.20,1427.05
2012,1657.46,1646.29,1658.91,1659.04,1659.50,1659.50,1659.50,1648.84,1659.50,1659.50,1659.50,1659.33
2013,1563.53,1553.29,1564.85,1564.97,1565.40,1565.40,1565.40,1555.63,1565.40,1565.40,1565.40,1565.24
2014,1440.03,1429.83,1441.36,1441.48,1441.90,1441.90,1441.90,1432.16,1441.90,1441.90,1441.90,1441.74
2015,1370.79,1355.95,1372.71,1372.88,1373.50,1373.50,1373.50,1359.33,1373.50,1373.50,1373.50,1373.27
2016,1734.44,1718.81,1736.47,1736.65,1737.30,1737.30,1737.30,1722.37,1737.30,1737.30,1737.30,1737.06
2017,1776.12,1757.08,1778.59,1778.81,1779.60,1779.60,1779.60,1761.43,1779.60,1779.60,1779.60,1779.31
2018,1329.59,1315.30,1331.44,1331.61,1332.20,1332.20,1332.20,1318.56,1332.20,1332.20,1332.20,1331.98
2019,1678.94,1663.84,1680.90,1681.07,1681.70,1681.70,1681.70,1667.29,1681.70,1681.70,1681.70,1681.47
2020,1508.54,1491.26,1510.78,1510.98,1511.70,1511.70,1511.70,1495.21,1511.70,1511.70,1511.70,1511.43
