Variable:,pr
,"Cape Verde","Boa Vista",Brava,Cima,Fogo,"Ilheu Branco","Ilheu Raso",Maio,Rombo,Sal,"Santa Luzia",Santiago,"Santo Antao","Sao Nicolau","Sao Vicente"
1951,319.75,226.36,434.10,434.10,419.12,406.50,406.50,321.50,434.10,204.40,406.50,318.87,485.90,282.80,428.14
1952,560.39,484.15,1002.70,1002.70,945.79,643.00,643.00,586.80,1002.70,516.10,643.00,570.55,648.26,497.20,661.00
1953,577.73,422.39,703.60,703.60,485.10,622.30,622.30,592.90,703.60,399.80,622.30,580.05,769.93,633.50,675.31
1954,402.79,445.54,509.40,509.40,416.76,742.20,742.20,393.30,509.40,500.50,742.20,406.75,825.17,637.70,736.86
1955,618.18,471.44,696.20,696.20,751.15,745.20,745.20,624.10,696.20,483.50,745.20,632.67,835.35,640.80,776.65
1956,298.99,300.75,640.50,640.50,532.84,746.20,746.20,270.70,640.50,354.30,746.20,285.17,938.78,606.80,795.68
1957,381.44,363.52,577.30,577.30,497.81,750.10,750.10,349.20,577.30,388.50,750.10,378.39,917.90,681.30,797.29
1958,379.93,313.69,771.70,771.70,623.05,597.10,597.10,343.00,771.70,340.70,597.10,381.97,950.16,465.70,743.66
1959,390.12,302.21,273.10,273.10,252.11,261.60,261.60,325.90,273.10,278.60,261.60,374.05,263.32,218.20,264.69
1960,454.23,354.73,749.50,749.50,692.21,439.00,439.00,392.90,749.50,354.90,439.00,445.08,485.29,456.80,473.29
1961,442.05,494.79,692.60,692.60,699.28,630.50,630.50,480.90,692.60,484.20,630.50,448.67,652.68,606.70,646.69
1962,572.31,520.13,593.00,593.00,500.82,609.40,609.40,632.30,593.00,482.90,609.40,578.25,676.45,644.90,621.29
1963,399.19,263.15,605.90,605.90,439.92,655.30,655.30,339.30,605.90,256.30,655.30,399.64,783.44,521.00,690.18
1964,544.14,431.93,567.50,567.50,536.27,584.50,584.50,527.90,567.50,433.30,584.50,545.09,681.91,513.60,604.89
1965,479.94,377.93,487.10,487.10,551.56,608.10,608.10,425.40,487.10,332.80,608.10,470.03,724.79,475.90,646.38
1966,358.87,376.18,450.40,450.40,432.30,393.10,393.10,336.40,450.40,369.50,393.10,364.37,439.90,413.70,401.70
1967,514.52,520.63,726.20,726.20,644.20,461.30,461.30,552.00,726.20,446.10,461.30,539.06,444.64,415.10,455.86
1968,190.78,155.59,151.30,151.30,231.31,315.10,315.10,172.30,151.30,115.90,315.10,183.28,391.82,252.70,316.28
1969,433.74,273.36,483.40,483.40,495.61,569.10,569.10,296.30,483.40,297.70,569.10,441.22,593.00,463.70,590.25
1970,211.65,273.44,576.90,576.90,657.49,615.90,615.90,152.50,576.90,289.10,615.90,200.14,778.58,438.20,642.29
1971,247.95,190.65,329.00,329.00,321.31,358.10,358.10,214.00,329.00,158.30,358.10,248.74,489.61,279.20,387.47
1972,166.15,187.86,670.10,670.10,661.85,444.90,444.90,120.70,670.10,189.00,444.90,165.88,609.56,310.70,505.37
1973,157.98,155.61,330.00,330.00,303.12,187.40,187.40,129.60,330.00,134.50,187.40,152.60,237.68,151.00,198.56
1974,170.11,290.74,268.70,268.70,243.38,110.60,110.60,164.90,268.70,231.60,110.60,171.95,106.73,167.80,107.58
1975,351.61,419.02,762.70,762.70,803.54,466.40,466.40,422.10,762.70,444.60,466.40,383.29,550.27,429.70,489.49
1976,278.53,321.87,517.00,517.00,405.51,441.20,441.20,258.10,517.00,264.50,441.20,283.37,510.76,437.60,451.71
1977,27.03,219.10,38.50,38.50,36.82,142.40,142.40,39.60,38.50,197.00,142.40,27.18,149.12,172.90,131.20
1978,372.63,309.45,315.90,315.90,232.14,250.30,250.30,361.40,315.90,261.50,250.30,366.97,282.78,261.60,254.15
1979,374.87,218.73,529.50,529.50,523.87,403.10,403.10,327.00,529.50,205.60,403.10,389.53,525.84,322.70,439.61
1980,429.12,272.97,512.60,512.60,605.82,620.70,620.70,308.20,512.60,266.90,620.70,428.46,729.45,451.90,638.90
1981,235.58,184.67,161.40,161.40,227.69,221.00,221.00,192.20,161.40,162.00,221.00,226.52,238.58,174.40,230.71
1982,190.87,131.55,297.30,297.30,380.48,270.60,270.60,158.60,297.30,136.10,270.60,183.09,262.31,222.00,262.35
1983,264.05,198.86,214.80,214.80,173.32,136.20,136.20,271.30,214.80,92.60,136.20,248.00,158.42,121.20,128.71
1984,561.12,299.75,322.20,322.20,544.69,549.00,549.00,542.80,322.20,285.80,549.00,561.50,604.47,429.80,558.05
1985,210.34,162.01,277.30,277.30,379.33,299.80,299.80,201.20,277.30,129.50,299.80,221.47,419.70,204.10,333.88
1986,355.41,292.44,503.00,503.00,514.93,385.60,385.60,322.20,503.00,301.10,385.60,349.52,471.74,343.70,415.59
1987,373.07,430.05,430.10,430.10,452.65,355.90,355.90,306.00,430.10,393.90,355.90,373.18,407.04,346.10,362.59
1988,301.40,335.72,372.60,372.60,370.87,331.10,331.10,311.70,372.60,275.90,331.10,303.94,401.88,292.70,345.97
1989,265.46,220.57,430.20,430.20,407.33,374.60,374.60,233.40,430.20,211.40,374.60,266.20,460.19,315.70,395.23
1990,300.77,224.80,545.50,545.50,553.35,618.90,618.90,215.90,545.50,238.00,618.90,299.21,749.69,486.10,643.21
1991,140.80,115.83,163.40,163.40,126.57,309.90,309.90,121.50,163.40,136.30,309.90,136.42,347.60,274.70,315.45
1992,217.57,185.93,420.40,420.40,406.88,500.10,500.10,154.40,420.40,206.00,500.10,214.46,636.77,400.10,523.54
1993,293.88,262.15,379.30,379.30,366.57,313.60,313.60,290.70,379.30,239.30,313.60,297.07,388.86,270.20,333.57
1994,166.70,156.90,219.60,219.60,220.41,293.50,293.50,155.40,219.60,157.60,293.50,166.31,409.31,234.10,317.91
1995,499.45,458.26,598.60,598.60,606.87,526.50,526.50,499.00,598.60,423.60,526.50,504.04,573.24,483.30,537.49
1996,209.56,172.72,281.50,281.50,264.28,260.40,260.40,188.20,281.50,170.50,260.40,209.26,353.99,223.10,279.47
1997,234.35,205.07,312.30,312.30,300.85,269.20,269.20,229.20,312.30,181.80,269.20,236.72,352.83,220.90,292.33
1998,98.98,78.11,180.10,180.10,158.45,182.00,182.00,87.40,180.10,71.90,182.00,99.58,283.72,125.30,211.09
1999,396.18,359.79,463.40,463.40,465.77,369.20,369.20,395.70,463.40,323.20,369.20,399.84,421.54,337.60,384.59
2000,400.77,356.88,459.80,459.80,468.57,383.70,383.70,393.30,459.80,315.60,383.70,403.02,425.32,351.20,398.54
2001,343.93,301.78,489.00,489.00,483.91,446.00,446.00,317.00,489.00,286.00,446.00,345.15,522.91,383.00,464.03
2002,343.93,301.78,489.00,489.00,483.91,446.00,446.00,317.00,489.00,286.00,446.00,345.15,522.91,383.00,464.03
2003,341.02,296.99,482.40,482.40,474.50,427.30,427.30,317.00,482.40,280.00,427.30,342.52,502.32,367.70,445.71
2004,340.17,299.92,480.00,480.00,472.12,428.10,428.10,317.00,480.00,284.00,428.10,341.65,502.67,369.60,446.03
2005,350.11,315.64,511.40,511.40,513.89,523.80,523.80,317.00,511.40,309.60,523.80,350.59,609.90,444.90,541.10
2006,343.93,301.78,489.00,489.00,483.91,446.00,446.00,317.00,489.00,286.00,446.00,345.15,522.91,383.00,464.03
2007,343.93,301.78,489.00,489.00,483.91,446.00,446.00,317.00,489.00,286.00,446.00,345.15,522.91,383.00,464.03
2008,343.93,301.78,489.00,489.00,483.91,446.00,446.00,317.00,489.00,286.00,446.00,345.15,522.91,383.00,464.03
2009,343.93,301.78,489.00,489.00,483.91,446.00,446.00,317.00,489.00,286.00,446.00,345.15,522.91,383.00,464.03
2010,343.93,301.78,489.00,489.00,483.91,446.00,446.00,317.00,489.00,286.00,446.00,345.15,522.91,383.00,464.03
2011,247.86,194.91,426.50,426.50,400.11,333.70,333.70,214.60,426.50,182.00,333.70,250.37,428.32,267.60,358.11
2012,273.66,222.71,438.30,438.30,416.89,364.30,364.30,245.40,438.30,210.00,364.30,275.93,451.94,300.00,386.28
2013,332.01,286.35,456.50,456.50,453.94,361.00,361.00,313.40,456.50,261.00,361.00,334.26,405.23,318.50,373.14
2014,329.21,297.09,460.40,460.40,455.30,430.30,430.30,308.00,460.40,282.90,430.30,330.51,511.28,370.60,448.47
2015,341.84,297.06,477.50,477.50,472.75,415.00,415.00,317.00,477.50,278.00,415.00,343.31,478.14,361.20,430.60
2016,422.34,408.27,498.40,498.40,524.14,458.90,458.90,422.90,498.40,374.90,458.90,424.22,492.46,418.30,465.80
2017,340.45,300.48,473.30,473.30,468.31,430.10,430.10,317.00,473.30,284.60,430.10,341.87,500.18,372.80,446.22
2018,343.93,301.78,489.00,489.00,483.91,446.00,446.00,317.00,489.00,286.00,446.00,345.15,522.91,383.00,464.03
2019,474.03,435.87,581.20,581.20,599.32,534.30,534.30,463.90,581.20,399.50,534.30,475.49,589.50,478.90,548.31
2020,343.93,301.78,489.00,489.00,483.91,446.00,446.00,317.00,489.00,286.00,446.00,345.15,522.91,383.00,464.03
