Variable:,pr
,"Cayman Islands","Grand Cayman","Cayman Brac","Little Cayman"
1943,1264.90,1264.90,1264.90,1264.90
1944,1252.10,1252.10,1252.10,1252.10
1945,1212.90,1212.90,1212.90,1212.90
1946,1238.30,1238.30,1238.30,1238.30
1947,1292.30,1292.30,1292.30,1292.30
1948,1329.60,1329.60,1329.60,1329.60
1949,1264.00,1264.00,1264.00,1264.00
1950,1307.40,1307.40,1307.40,1307.40
1951,1326.20,1326.20,1326.20,1326.20
1952,1300.80,1300.80,1300.80,1300.80
1953,1261.70,1261.70,1261.70,1261.70
1954,1287.00,1287.00,1287.00,1287.00
1955,1248.70,1248.70,1248.70,1248.70
1956,1201.40,1201.40,1201.40,1201.40
1957,1184.80,1184.80,1184.80,1184.80
1958,1423.60,1423.60,1423.60,1423.60
1959,1312.00,1312.00,1312.00,1312.00
1960,1285.40,1285.40,1285.40,1285.40
1961,1216.50,1216.50,1216.50,1216.50
1962,1199.00,1199.00,1199.00,1199.00
1963,1294.00,1294.00,1294.00,1294.00
1964,1263.80,1263.80,1263.80,1263.80
1965,1193.00,1193.00,1193.00,1193.00
1966,1305.80,1305.80,1305.80,1305.80
1967,1156.10,1156.10,1156.10,1156.10
1968,1331.10,1331.10,1331.10,1331.10
1969,1338.80,1338.80,1338.80,1338.80
1970,1307.20,1307.20,1307.20,1307.20
1971,1323.20,1323.20,1323.20,1323.20
1972,1284.40,1284.40,1284.40,1284.40
1973,1268.70,1268.70,1268.70,1268.70
1974,1181.90,1181.90,1181.90,1181.90
1975,1196.20,1196.20,1196.20,1196.20
1976,1188.30,1188.30,1188.30,1188.30
1977,1237.00,1237.00,1237.00,1237.00
1978,1333.80,1333.80,1333.80,1333.80
1979,1327.80,1327.80,1327.80,1327.80
1980,1324.90,1324.90,1324.90,1324.90
1981,1240.70,1240.70,1240.70,1240.70
1982,1178.70,1178.70,1178.70,1178.70
1983,1236.00,1236.00,1236.00,1236.00
1984,1242.50,1242.50,1242.50,1242.50
1985,1248.10,1248.10,1248.10,1248.10
1986,1201.20,1201.20,1201.20,1201.20
1987,1302.60,1302.60,1302.60,1302.60
1988,1316.20,1316.20,1316.20,1316.20
1989,1229.40,1229.40,1229.40,1229.40
1990,1243.90,1243.90,1243.90,1243.90
1991,1240.10,1240.10,1240.10,1240.10
1992,1210.40,1210.40,1210.40,1210.40
1993,1263.20,1263.20,1263.20,1263.20
1994,1225.70,1225.70,1225.70,1225.70
1995,1283.50,1283.50,1283.50,1283.50
1996,1296.00,1296.00,1296.00,1296.00
1997,1211.30,1211.30,1211.30,1211.30
1998,1215.40,1215.40,1215.40,1215.40
1999,1285.50,1285.50,1285.50,1285.50
2000,1224.00,1224.00,1224.00,1224.00
2001,1278.00,1278.00,1278.00,1278.00
2002,1264.40,1264.40,1264.40,1264.40
2003,1267.10,1267.10,1267.10,1267.10
2004,1195.50,1195.50,1195.50,1195.50
2005,1289.10,1289.10,1289.10,1289.10
2006,1262.60,1262.60,1262.60,1262.60
2007,1299.40,1299.40,1299.40,1299.40
2008,1266.50,1266.50,1266.50,1266.50
2009,1232.90,1232.90,1232.90,1232.90
2010,1370.70,1370.70,1370.70,1370.70
2011,1340.60,1340.60,1340.60,1340.60
2012,1195.30,1195.30,1195.30,1195.30
2013,1194.60,1194.60,1194.60,1194.60
2014,1291.00,1291.00,1291.00,1291.00
2015,1178.50,1178.50,1178.50,1178.50
2016,1243.90,1243.90,1243.90,1243.90
2017,1363.50,1363.50,1363.50,1363.50
2018,1163.10,1163.10,1163.10,1163.10
2019,1197.70,1197.70,1197.70,1197.70
2020,1308.20,1308.20,1308.20,1308.20
