Variable:,pr
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1922,677.44,735.41,781.24,796.74,565.85,558.77,1000.97,593.59,446.36,692.62,613.19,505.36,838.59,918.97,573.56,526.50,528.69,684.53,770.18,719.59,806.69,754.04,719.80,1074.06,499.45,823.30
1923,487.73,479.12,549.89,604.40,350.92,393.92,730.52,387.61,330.55,539.81,387.58,431.36,574.95,680.07,442.48,354.91,405.36,406.85,625.59,469.22,598.69,593.08,591.21,782.01,362.69,636.70
1924,458.88,502.99,521.40,527.80,396.40,396.32,681.97,414.04,328.66,413.21,430.50,399.11,547.39,617.92,405.82,362.32,352.68,460.16,510.34,461.53,501.28,472.52,527.88,760.20,349.87,521.10
1925,629.87,629.38,690.32,659.35,570.44,655.89,924.28,620.09,517.42,526.29,555.89,625.88,671.88,832.56,687.09,496.29,440.07,638.25,609.53,704.14,642.53,583.30,613.43,1029.76,589.17,637.43
1926,526.23,503.03,522.57,640.24,466.68,481.05,832.23,476.60,423.35,491.19,486.95,432.35,534.47,763.77,498.68,477.49,463.61,461.87,596.00,482.45,600.79,548.77,607.27,912.28,435.94,568.71
1927,522.54,524.11,578.29,606.02,481.72,505.30,795.93,540.31,368.07,461.83,477.66,402.85,542.38,725.04,528.58,414.59,395.65,541.17,544.69,586.95,560.61,506.10,558.49,863.33,440.20,540.88
1928,490.55,501.61,585.61,573.44,423.88,456.68,693.50,489.56,341.50,461.76,423.76,397.96,575.41,600.04,477.01,374.25,389.04,491.08,517.64,534.74,510.67,536.92,490.74,754.74,391.63,576.22
1929,480.04,548.01,563.17,542.37,442.51,412.04,704.53,442.02,313.09,423.62,490.62,350.72,550.26,646.15,431.46,378.88,370.37,555.08,517.12,550.20,511.03,470.29,537.56,757.21,348.95,509.43
1930,568.69,629.34,655.71,636.04,516.93,444.52,814.30,505.92,459.74,524.53,586.58,417.62,661.83,728.28,445.45,524.71,475.27,605.70,603.69,619.39,593.91,584.49,606.06,894.87,448.90,635.33
1931,571.51,583.08,598.21,583.22,519.18,509.09,762.55,550.54,525.75,482.97,533.75,631.75,628.65,719.93,493.30,526.24,483.79,537.42,594.26,588.08,553.36,573.11,584.53,857.05,524.56,615.31
1932,608.98,672.14,699.04,619.96,615.18,571.84,717.44,645.09,505.05,505.44,617.71,504.55,683.71,641.46,579.22,558.88,521.01,691.50,585.60,700.61,546.98,604.51,556.49,767.77,549.80,630.86
1933,684.01,731.64,792.05,754.82,604.01,640.41,950.07,623.56,556.55,590.35,651.11,601.91,795.62,845.83,632.79,603.41,598.57,674.91,695.90,723.88,671.86,685.65,675.32,1028.96,597.20,744.01
1934,412.97,392.81,464.05,499.67,328.08,379.26,639.49,372.71,280.55,400.77,338.71,335.45,448.81,611.41,392.77,307.62,334.36,372.71,478.94,445.56,487.03,433.14,517.90,713.77,339.09,455.01
1935,529.10,527.32,666.50,520.76,494.58,495.17,707.75,554.80,399.58,441.23,477.76,455.12,588.07,668.97,500.21,405.77,378.87,582.21,562.03,644.25,527.16,468.37,578.84,790.46,451.01,564.82
1936,540.87,584.33,635.13,611.66,463.82,458.42,823.69,506.33,349.93,495.02,503.58,410.48,629.73,779.76,463.84,411.48,420.82,569.69,589.15,604.19,597.45,563.28,615.24,936.09,386.82,599.34
1937,598.27,655.71,739.76,615.73,526.84,471.46,733.38,536.53,488.02,542.95,555.71,615.03,734.10,678.93,453.49,499.00,502.76,616.05,614.80,682.56,582.91,653.95,583.14,833.51,531.80,700.59
1938,523.33,500.15,534.21,640.20,476.92,431.51,849.17,466.36,454.90,495.71,460.86,504.11,555.63,775.89,417.42,450.22,403.79,462.68,585.52,466.87,608.21,531.26,596.64,929.26,478.63,584.48
1939,553.68,553.23,560.94,573.23,500.52,529.81,758.82,470.47,520.45,494.64,503.03,683.17,587.26,706.67,500.46,485.59,440.39,524.78,594.91,519.82,581.17,531.66,585.20,854.29,541.75,587.34
1940,606.59,605.36,628.33,756.56,524.22,582.60,923.90,543.38,500.43,560.07,538.29,581.34,649.97,803.80,563.24,511.96,550.42,579.02,598.35,614.81,658.31,632.02,621.06,1018.93,542.89,620.08
1941,715.50,724.95,771.30,841.51,641.91,687.67,1075.81,742.28,526.26,658.94,649.59,572.22,754.43,940.23,714.28,582.60,609.26,780.87,687.02,825.76,794.34,731.86,702.24,1142.81,579.50,695.62
1942,453.34,456.38,481.90,523.47,429.92,441.51,647.47,461.29,353.57,397.07,433.26,373.26,456.14,592.75,444.01,378.69,371.25,485.53,445.70,506.15,483.29,452.52,487.26,715.68,411.93,426.09
1943,497.09,525.62,535.04,551.49,427.68,394.56,675.34,428.42,435.19,461.85,480.03,486.88,548.37,620.20,360.05,467.33,508.31,498.68,523.02,529.18,527.50,539.92,535.59,702.70,418.21,537.97
1944,529.97,547.25,581.85,641.50,455.53,496.95,821.29,468.93,398.57,492.49,489.98,446.71,580.11,717.89,498.40,438.77,442.07,518.41,549.51,548.54,598.59,541.62,549.66,911.82,455.67,560.91
1945,497.31,458.25,552.31,511.13,453.97,540.81,693.01,516.67,369.95,417.67,413.23,443.77,504.72,658.72,547.41,356.82,357.02,508.78,558.84,585.78,507.20,442.17,614.00,760.45,460.74,500.66
1946,428.28,439.63,402.45,465.10,428.96,482.18,544.49,396.89,384.91,347.46,431.51,387.28,418.31,505.68,465.99,418.75,396.06,410.05,441.38,405.36,392.34,406.80,470.95,619.96,427.30,413.32
1947,600.04,657.89,721.43,650.07,545.07,579.96,779.15,633.66,412.54,517.28,572.70,432.70,702.83,689.30,601.45,500.58,495.47,648.75,590.83,715.53,584.21,617.43,576.62,841.66,487.09,661.84
1948,511.56,554.87,567.23,595.30,440.25,420.89,757.71,509.46,304.31,494.03,480.68,327.80,593.88,715.90,442.15,385.43,388.91,540.03,605.20,574.38,576.20,570.59,632.04,817.63,368.54,581.85
1949,518.30,593.82,592.64,610.58,438.16,383.74,734.67,439.37,368.36,507.68,529.05,387.63,618.06,683.60,364.87,481.34,480.24,521.21,559.18,548.46,581.71,606.38,554.61,791.73,387.88,599.28
1950,492.40,504.55,554.02,550.98,457.45,416.57,690.30,495.88,434.85,400.26,468.26,478.61,510.69,627.27,440.23,440.36,397.17,521.94,500.99,573.93,476.45,463.04,544.11,780.19,424.05,469.52
1951,435.20,419.77,459.15,548.93,349.58,378.55,713.30,400.64,323.68,413.29,380.43,376.84,451.74,642.96,393.31,364.78,364.66,395.50,476.44,494.30,504.90,444.83,496.83,790.99,338.91,467.36
1952,635.18,711.19,724.61,549.41,634.94,562.10,759.77,631.29,553.72,453.23,685.43,537.25,689.22,768.66,554.62,641.65,589.08,729.25,606.67,768.26,542.45,559.33,638.19,928.08,575.84,591.10
1953,447.71,479.34,509.82,472.46,396.35,369.38,642.80,385.25,354.19,397.74,439.17,397.63,517.58,615.85,369.44,391.49,380.50,437.23,466.47,475.39,471.05,461.44,469.03,742.69,376.81,494.54
1954,509.23,502.42,555.10,570.97,432.81,407.52,746.13,498.39,399.17,469.05,463.72,454.85,557.79,676.79,412.77,439.59,467.56,511.58,570.98,567.05,556.23,518.98,574.60,801.59,394.25,565.86
1955,619.67,592.73,558.70,793.21,543.03,556.51,1022.77,549.03,500.38,616.74,564.37,633.78,612.08,873.62,545.94,524.25,572.86,568.48,663.77,575.11,753.25,661.91,667.58,1075.18,547.63,635.60
1956,556.22,560.20,626.02,558.94,481.42,550.32,694.94,503.42,476.34,494.34,495.13,560.91,641.87,637.48,507.41,479.14,479.11,515.18,626.39,570.97,549.86,563.93,619.23,734.77,536.82,635.83
1957,463.24,462.58,556.29,549.02,364.92,427.47,721.22,387.57,355.10,399.06,393.97,424.39,527.71,631.33,390.45,362.73,402.49,441.35,521.96,501.09,495.84,448.89,544.34,795.60,413.89,494.91
1958,612.80,638.91,676.45,644.83,569.89,613.31,842.87,617.52,399.78,542.93,589.73,430.48,669.61,791.74,641.40,498.86,513.30,634.84,665.04,660.93,637.91,616.00,673.91,920.25,522.08,653.00
1959,468.66,442.38,440.86,526.38,413.51,447.96,683.30,436.51,417.18,435.25,420.99,484.66,460.82,628.44,446.14,423.29,422.25,431.42,502.51,466.55,508.58,477.59,520.12,742.57,438.34,470.77
1960,645.64,665.26,669.14,650.67,601.38,582.71,861.69,643.65,565.71,551.26,603.35,607.29,695.17,839.07,582.41,572.79,528.20,676.33,666.81,700.80,633.01,636.68,711.13,976.35,600.98,648.04
1961,463.76,473.45,513.38,474.42,425.47,511.19,539.23,437.43,405.88,389.03,429.33,487.18,517.67,492.22,499.77,415.18,429.21,454.92,412.85,494.77,432.48,484.51,411.41,560.05,467.49,481.50
1962,552.55,565.93,597.19,634.09,445.32,456.62,815.84,430.46,450.01,557.93,503.68,533.16,638.34,763.98,465.32,487.00,483.01,461.38,648.61,496.69,649.22,617.16,661.61,811.89,466.98,651.72
1963,490.87,507.80,475.86,525.98,479.78,516.87,667.52,514.64,377.47,399.08,491.97,411.19,479.87,605.98,558.84,440.93,466.97,524.52,466.89,511.01,485.27,471.32,509.65,749.61,458.14,429.32
1964,532.65,528.46,575.75,623.45,441.22,459.24,810.38,476.22,393.49,550.87,464.34,461.67,605.68,734.97,454.81,412.69,423.00,507.55,600.15,553.87,630.56,586.74,593.93,861.22,438.99,623.17
1965,599.95,652.11,614.17,636.11,543.85,498.72,867.77,568.02,498.55,535.83,622.99,534.45,646.59,830.74,496.23,581.57,528.91,633.98,585.95,644.15,657.32,599.51,616.31,944.56,499.25,588.33
1966,692.98,790.14,732.70,678.16,646.10,644.10,903.54,629.62,579.46,576.53,692.40,591.96,799.33,903.31,651.45,637.10,641.94,708.29,653.70,690.97,669.16,730.36,715.21,997.46,642.72,695.24
1967,536.93,560.19,600.16,575.78,482.66,532.62,760.17,475.81,438.97,457.20,495.52,527.83,600.00,706.94,502.02,448.94,439.58,532.10,555.99,536.83,552.39,513.08,586.03,802.05,519.09,549.78
1968,567.14,598.51,572.55,646.06,440.43,462.48,817.00,487.58,448.51,567.88,501.19,560.04,648.25,807.86,466.79,491.32,505.47,516.56,643.49,551.82,651.28,652.75,664.31,859.50,437.44,663.09
1969,560.05,561.15,640.74,656.71,508.86,535.41,758.13,502.18,466.06,526.54,514.57,487.28,615.76,658.12,498.16,500.46,543.26,541.82,563.38,573.82,615.25,588.44,532.57,781.07,515.33,616.76
1970,680.57,742.00,733.03,778.47,600.17,578.51,934.99,618.83,521.61,633.56,655.13,564.51,799.55,847.93,544.47,590.56,569.90,706.64,739.98,725.35,706.79,753.93,729.67,1051.55,573.43,773.93
1971,552.94,656.02,699.60,668.89,467.84,455.82,726.23,472.80,344.67,571.58,564.40,349.27,696.45,620.45,424.32,472.21,529.43,612.66,563.68,629.44,632.61,666.64,520.72,704.99,409.79,652.30
1972,499.15,456.99,486.76,659.63,426.39,453.81,748.19,472.51,389.79,497.08,424.85,457.86,496.15,683.93,427.04,406.46,490.65,454.24,566.25,476.97,598.29,561.14,617.24,755.25,425.42,537.62
1973,578.91,560.94,639.55,515.05,595.62,635.51,651.50,649.76,542.59,430.67,537.79,603.12,573.21,615.62,624.08,520.47,446.67,647.83,549.47,711.50,511.52,501.58,565.05,683.88,603.54,529.48
1974,573.45,545.27,576.69,784.52,440.81,500.37,967.33,472.86,379.55,634.21,484.21,410.52,609.09,885.48,540.48,451.08,483.99,482.74,706.07,529.76,743.41,668.67,729.41,1034.51,410.05,686.49
1975,437.28,381.52,428.35,609.27,341.79,368.27,764.40,358.98,319.70,475.30,348.95,323.05,437.05,712.02,360.52,347.94,394.25,366.15,551.77,407.68,580.31,485.50,566.88,832.54,353.82,499.34
1976,586.18,562.07,530.82,655.25,593.28,639.54,762.67,602.05,504.65,567.64,551.01,511.33,578.77,685.15,640.32,524.03,511.18,594.82,571.40,556.19,635.53,604.25,549.11,805.43,603.67,589.21
1977,643.60,659.87,680.24,612.49,641.80,716.64,789.42,673.05,563.39,504.07,621.07,542.24,684.98,724.79,729.23,588.41,513.97,686.93,645.38,707.71,585.14,573.51,649.32,868.25,619.95,638.10
1978,613.24,618.84,584.03,753.82,611.07,553.47,921.46,641.03,473.15,591.08,593.95,480.19,623.81,773.07,533.21,535.16,531.14,662.55,614.17,645.90,699.43,661.80,600.96,950.74,541.00,623.61
1979,549.35,575.37,599.00,606.85,488.27,440.19,775.80,535.88,431.22,476.97,521.80,493.69,606.67,718.33,421.92,486.00,515.17,590.11,559.12,652.45,559.03,570.90,586.05,866.71,456.31,555.36
1980,711.16,774.13,774.37,767.21,627.92,647.14,974.95,664.55,516.52,658.61,700.20,563.31,798.37,915.52,671.04,612.96,612.52,744.03,750.43,776.67,747.42,755.73,731.17,1080.05,581.34,767.93
1981,665.28,695.90,695.20,731.98,636.31,583.88,862.17,643.76,565.19,614.93,654.17,661.95,701.40,769.68,613.68,613.27,577.68,732.43,654.29,746.69,695.48,687.23,632.87,893.36,584.59,673.90
1982,489.86,518.46,553.30,499.20,424.05,464.37,639.42,487.75,393.55,416.69,457.88,455.12,562.48,554.56,499.83,410.69,378.18,501.63,517.21,575.95,461.92,499.30,468.65,745.96,407.07,555.99
1983,492.20,486.13,523.71,542.49,396.49,465.87,674.01,441.83,397.83,488.84,428.85,474.78,554.24,675.81,421.22,399.94,376.93,433.69,576.90,491.82,563.24,557.89,564.28,709.47,434.04,579.93
1984,519.97,579.90,574.84,657.77,443.06,399.17,780.59,415.40,400.67,490.88,544.62,403.78,596.30,665.86,393.65,500.59,526.51,497.04,546.97,511.41,565.36,591.62,545.28,872.05,409.01,569.39
1985,604.45,635.10,669.45,634.31,537.74,534.90,800.45,549.71,531.21,526.44,594.28,536.40,666.31,779.10,564.94,565.51,510.88,595.01,616.38,641.71,612.90,623.22,636.65,899.97,540.37,631.48
1986,464.34,443.94,536.84,468.80,434.39,448.88,624.86,485.06,361.38,381.54,408.55,399.56,503.00,586.35,426.85,377.25,384.04,474.65,514.05,526.24,448.45,435.79,517.66,673.47,428.81,510.13
1987,524.81,499.42,566.81,567.46,456.66,564.57,725.01,484.89,427.41,479.73,441.66,557.62,552.50,671.18,531.95,419.68,427.80,480.17,544.29,527.12,549.81,535.39,538.80,797.14,516.22,567.76
1988,623.86,636.24,653.61,666.14,587.57,583.00,813.09,605.45,533.88,533.00,598.18,612.50,647.99,736.26,558.40,574.68,567.47,675.04,637.55,699.59,630.10,610.43,652.11,854.85,581.37,616.56
1989,522.26,532.69,577.13,603.16,447.86,526.38,711.96,555.17,332.68,503.73,440.67,412.26,619.54,636.93,554.20,363.04,390.67,512.36,568.41,549.64,553.09,591.03,517.89,809.03,433.73,630.28
1990,526.51,590.69,662.47,462.68,464.48,449.65,629.87,534.57,376.79,422.81,524.27,425.38,636.66,664.50,492.13,450.88,390.07,566.95,588.96,641.09,497.04,498.23,600.16,715.71,405.63,598.19
1991,522.34,532.00,556.35,662.62,462.61,483.78,758.05,473.46,422.84,500.23,485.05,465.25,569.94,636.16,448.65,463.78,467.90,505.60,506.52,557.16,567.26,590.64,490.66,817.68,479.15,559.23
1992,536.79,521.37,520.47,568.23,489.19,568.96,723.15,521.21,440.13,511.96,472.03,528.50,557.63,706.82,536.86,429.51,400.45,522.69,604.87,532.75,588.99,532.27,616.65,752.87,532.24,568.54
1993,529.15,554.15,622.73,638.70,447.34,528.49,737.35,498.15,340.97,517.95,472.27,334.89,625.03,615.05,570.27,426.25,442.29,517.02,591.42,558.91,573.67,594.46,554.09,749.54,420.58,631.94
1994,490.32,487.96,548.66,519.25,445.60,448.92,705.43,461.44,345.48,468.52,444.63,366.78,552.05,703.76,435.93,363.80,347.61,494.54,586.45,520.50,557.51,481.21,611.29,759.42,423.74,560.48
1995,601.20,632.87,603.58,633.10,592.50,631.98,731.31,640.25,489.97,523.86,584.79,573.87,629.44,648.02,625.75,540.04,546.03,636.18,553.98,650.01,568.31,630.46,558.77,804.00,575.18,576.14
1996,571.20,600.10,600.03,692.93,481.29,498.01,831.58,514.80,425.13,586.74,526.33,505.26,655.36,736.36,460.27,481.59,501.11,563.97,608.91,574.47,651.66,663.54,593.17,869.35,471.07,651.64
1997,663.99,681.27,645.46,691.46,657.86,670.98,845.22,650.52,640.19,548.91,660.94,704.69,677.00,777.08,625.06,639.09,599.22,665.89,638.33,677.84,655.14,650.86,643.14,870.51,653.95,647.58
1998,600.60,573.82,687.89,730.10,503.36,504.88,941.90,519.72,457.86,573.73,523.73,511.35,661.73,850.10,503.13,495.83,485.13,575.70,688.01,646.52,701.36,608.18,695.23,997.18,503.17,678.04
1999,548.44,515.62,618.79,618.26,483.20,508.05,821.12,467.06,472.06,490.68,479.55,562.62,599.10,742.24,485.27,456.08,451.11,509.39,577.74,566.41,587.07,530.64,579.21,930.65,516.09,588.26
2000,522.30,525.38,586.95,515.11,451.63,494.92,662.34,479.83,394.50,479.90,474.49,445.48,594.56,694.17,504.62,440.36,403.88,508.38,600.03,568.65,561.77,523.45,623.57,725.30,463.53,596.62
2001,631.31,619.18,654.03,760.41,562.25,633.59,936.36,607.00,476.55,602.16,560.55,540.22,660.94,854.50,648.42,505.79,484.86,620.62,685.71,663.26,717.63,651.92,684.50,979.25,554.22,655.22
2002,543.61,581.16,574.72,563.11,492.49,515.14,690.17,529.15,438.69,482.57,523.09,493.60,617.88,648.98,504.59,476.94,466.16,571.35,557.28,565.55,547.88,578.26,535.08,784.66,478.23,598.86
2003,521.40,528.89,583.78,491.21,514.82,541.47,620.19,557.94,427.49,430.36,497.93,480.59,555.23,576.68,552.60,442.93,411.98,580.21,512.80,604.06,489.78,489.07,500.25,689.33,490.39,536.56
2004,644.88,627.32,631.62,615.34,660.64,696.84,799.85,679.75,612.51,488.56,642.71,652.71,636.84,724.43,700.10,624.34,577.07,666.78,604.00,661.43,576.83,570.29,610.62,929.40,665.97,603.29
2005,602.00,602.44,622.56,673.50,553.87,614.75,858.54,590.71,494.85,521.36,556.37,564.58,639.17,720.22,652.76,531.36,534.62,587.24,574.42,611.66,609.18,610.90,553.13,957.21,562.06,607.50
2006,556.48,569.35,634.59,656.55,484.14,507.73,830.73,497.16,453.54,505.48,510.13,501.93,624.71,713.98,519.09,478.16,449.01,549.69,558.10,596.07,610.58,572.08,545.74,880.52,487.72,601.43
2007,534.08,518.66,599.34,656.17,458.13,451.25,852.73,522.30,387.29,517.10,453.94,458.69,584.43,730.77,460.07,400.45,420.32,522.43,604.64,568.37,617.61,546.25,602.84,943.57,428.56,598.09
2008,550.86,571.75,614.52,694.92,455.23,433.58,871.24,437.84,424.65,549.56,518.03,440.24,626.11,771.82,407.50,476.96,448.51,524.54,659.64,537.87,659.36,583.43,676.57,912.50,448.96,641.25
2009,568.13,531.51,646.22,552.93,541.30,577.55,740.52,566.60,445.19,464.17,506.33,494.28,582.56,761.06,562.78,455.98,441.45,588.67,668.04,618.07,556.51,491.49,704.98,866.36,534.07,587.43
2010,667.52,633.42,609.56,775.10,597.69,597.98,1027.25,583.74,604.06,614.22,618.27,661.59,659.08,953.86,578.32,639.90,617.75,605.18,713.39,612.50,746.10,683.63,745.44,1181.90,623.23,670.47
2011,458.65,492.59,525.07,451.04,412.94,470.52,583.17,460.41,345.77,370.61,440.09,396.25,511.06,556.08,476.97,383.56,370.82,473.44,479.68,518.35,433.90,446.62,497.61,661.79,393.32,482.89
2012,564.93,580.67,687.97,605.49,481.71,479.56,749.19,558.91,373.19,551.98,514.03,378.69,667.84,702.18,508.58,445.62,478.80,585.51,677.02,638.16,618.28,603.84,642.10,759.96,427.71,692.96
2013,570.75,587.56,637.85,671.65,465.05,486.49,804.20,531.36,388.23,576.33,498.51,461.06,664.14,749.06,498.99,437.78,461.17,561.30,693.51,613.85,648.44,631.35,687.65,850.98,440.30,681.67
2014,522.27,509.86,499.27,622.03,479.91,510.55,779.91,491.70,423.65,476.96,486.24,450.69,522.20,706.21,478.85,465.18,522.23,501.98,530.63,497.82,564.27,543.81,559.67,860.62,477.94,529.70
2015,495.47,487.45,508.36,465.40,511.49,518.04,604.34,518.47,455.19,371.46,494.85,498.37,487.85,560.41,513.01,471.13,465.60,529.93,466.47,534.18,429.71,425.22,495.96,705.02,502.88,454.19
2016,641.18,626.19,666.73,608.84,654.51,677.85,814.99,692.32,556.79,498.70,609.52,613.86,633.68,777.35,665.33,565.47,535.90,700.87,621.13,720.79,581.81,562.84,664.82,947.27,625.85,593.33
2017,528.83,503.76,578.28,580.21,433.25,492.20,741.51,481.78,404.13,484.53,452.59,490.68,564.79,718.58,499.99,433.77,473.51,485.94,621.85,546.05,571.12,534.98,662.57,820.00,456.50,584.81
2018,552.33,583.85,580.47,619.75,507.73,539.97,753.03,532.37,440.82,492.95,534.46,508.67,599.21,680.79,524.82,483.07,483.51,565.34,545.81,563.06,571.41,568.87,560.14,810.27,515.49,553.97
2019,463.61,421.58,452.55,540.09,427.06,465.26,698.61,446.96,394.07,418.00,414.69,450.27,456.24,633.60,467.21,394.61,356.68,427.58,499.60,458.99,512.33,442.88,518.15,778.00,449.11,477.96
2020,497.11,470.88,516.18,622.15,425.95,445.32,803.07,454.13,367.34,490.28,425.10,403.00,516.69,749.94,449.55,400.07,389.93,468.61,557.62,514.24,597.39,523.53,584.41,879.74,416.26,534.80
