Variable:,pr
,Netherlands,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-brabant,Noord-holland,Overijssel,Utrecht,Zeeland,Zuid-holland
1925,911.46,854.48,931.82,911.59,898.93,874.86,936.77,934.70,942.99,859.72,960.48,938.47,974.85
1926,776.40,778.80,777.23,794.79,750.91,805.26,806.82,774.35,771.73,760.77,791.43,757.18,785.65
1927,789.39,771.88,802.06,810.92,769.43,818.46,773.74,785.71,829.37,759.16,813.64,787.75,821.66
1928,761.69,738.78,768.35,775.20,741.78,775.84,767.85,767.36,788.61,728.72,790.88,770.74,795.74
1929,595.20,574.45,616.49,621.01,574.99,600.60,612.34,588.71,632.20,569.94,619.58,596.82,610.99
1930,867.69,836.05,894.82,894.90,850.27,856.20,906.96,867.36,905.36,834.11,898.68,844.68,887.77
1931,772.90,783.84,798.85,813.58,754.20,811.60,771.48,748.53,778.29,767.43,786.92,747.29,770.92
1932,739.24,712.06,763.27,760.80,718.62,733.76,770.96,739.76,767.14,708.40,769.92,733.55,764.43
1933,567.00,551.64,566.90,581.19,544.62,570.51,592.91,570.84,582.50,544.31,577.72,582.95,595.25
1934,634.38,607.95,645.00,654.31,611.74,646.28,639.19,636.85,667.23,598.94,660.02,646.16,674.36
1935,813.32,782.37,820.82,825.40,792.49,808.41,838.85,826.90,836.92,774.06,841.64,818.46,854.85
1936,734.92,725.70,741.42,767.55,701.31,765.12,761.69,727.42,765.65,703.67,754.52,721.10,759.55
1937,774.75,742.90,793.95,787.61,759.05,773.43,799.57,778.57,801.17,740.26,806.74,798.89,807.38
1938,714.61,701.57,715.47,735.70,689.88,734.64,706.47,716.08,736.47,689.06,736.81,738.07,748.46
1939,833.49,792.26,837.64,845.42,804.26,807.53,856.69,848.84,886.21,788.02,867.38,879.37,893.83
1940,800.58,783.19,810.40,818.51,790.32,796.05,825.56,802.67,818.92,780.02,822.65,766.27,817.18
1941,713.76,694.26,713.94,727.35,690.26,721.48,727.49,723.03,729.38,683.77,735.57,719.75,751.27
1942,756.20,720.16,761.14,763.24,735.05,730.49,752.81,773.42,795.99,717.05,788.91,786.11,820.04
1943,665.47,623.96,657.04,648.16,653.59,627.77,738.46,697.86,672.29,630.55,683.64,680.28,702.41
1944,831.91,796.44,838.94,841.79,825.18,791.31,883.52,853.87,846.71,802.81,852.92,801.54,853.26
1945,738.48,721.83,739.63,748.12,727.24,749.83,766.75,745.91,743.54,718.21,748.37,731.50,751.63
1946,758.96,701.04,750.72,752.11,736.23,742.39,789.73,797.80,803.20,692.49,786.70,804.99,828.76
1947,646.78,622.30,642.73,638.23,635.62,636.58,696.23,668.82,641.87,620.20,666.34,637.88,668.51
1948,733.45,676.16,719.73,694.88,719.80,696.23,834.75,783.66,722.09,679.97,753.38,782.52,784.35
1949,613.65,613.43,612.49,631.43,596.33,652.28,622.02,605.88,631.82,600.10,627.61,575.36,620.34
1950,871.25,826.27,882.16,873.69,850.32,875.72,878.92,888.27,913.49,817.67,913.92,877.27,935.22
1951,810.67,753.38,805.58,792.92,789.54,779.12,852.09,851.09,837.21,753.75,841.66,865.21,886.49
1952,835.82,750.09,832.54,811.37,819.44,763.88,924.39,890.61,865.86,777.82,870.42,891.11,906.22
1953,569.12,557.51,576.72,579.11,563.19,577.06,586.32,571.46,570.10,554.17,577.23,555.48,581.13
1954,789.69,766.98,796.76,807.33,777.97,805.06,816.55,792.25,810.07,760.91,809.72,755.34,808.56
1955,658.64,655.34,678.27,689.26,649.48,668.06,664.11,648.50,660.63,657.04,676.04,628.54,654.94
1956,790.84,758.82,809.58,801.88,785.19,774.77,813.48,796.79,808.38,770.08,822.43,755.67,816.49
1957,828.99,808.43,849.76,858.52,814.33,830.27,839.96,828.47,856.99,803.14,856.28,781.29,848.22
1958,822.42,799.33,829.31,829.75,809.36,826.05,864.85,831.93,831.67,793.43,837.61,826.28,842.88
1959,531.92,499.49,536.50,537.67,524.38,504.02,535.75,543.31,563.99,508.55,559.81,553.45,568.82
1960,903.12,858.27,915.86,919.77,881.20,887.50,902.91,917.56,958.86,857.75,947.95,920.78,956.33
1961,903.89,880.79,914.55,922.41,888.80,908.77,921.03,908.97,931.21,870.60,933.89,872.82,930.05
1962,741.40,707.78,744.97,743.46,730.91,729.71,784.31,761.25,757.28,708.92,761.66,714.05,768.29
1963,686.07,655.60,700.61,705.38,673.16,687.87,668.39,694.51,718.98,658.21,717.06,673.41,720.23
1964,696.46,646.57,703.68,699.36,676.44,659.67,680.29,724.68,737.64,654.46,738.74,743.62,766.51
1965,967.06,926.15,968.93,953.46,956.29,944.08,1021.11,1002.16,966.30,928.93,992.54,948.71,1004.90
1966,1006.25,954.07,1018.01,997.12,996.94,966.37,1049.30,1042.04,1018.12,962.73,1054.17,995.03,1051.78
1967,782.14,793.05,813.62,833.87,765.38,835.11,733.20,747.25,826.34,771.49,819.40,705.96,784.09
1968,787.84,790.31,820.92,842.76,768.34,829.26,733.32,756.71,834.13,777.73,816.68,750.14,798.34
1969,709.39,688.23,712.11,717.35,687.18,719.48,713.10,717.49,732.40,677.39,731.81,757.87,751.74
1970,809.04,821.74,832.17,847.40,793.67,865.45,799.43,783.60,825.99,797.53,831.39,739.19,802.12
1971,566.45,543.72,566.62,569.93,553.96,563.41,577.49,581.71,579.59,542.49,583.58,585.65,591.22
1972,661.25,655.77,676.14,680.04,652.82,672.98,659.87,656.71,655.64,653.54,673.63,672.69,668.09
1973,704.09,699.57,723.15,738.64,684.73,739.29,682.93,688.15,743.51,683.49,734.23,648.96,724.34
1974,902.58,836.97,894.35,899.23,867.38,868.06,931.53,947.29,942.00,835.35,944.48,984.34,989.12
1975,658.51,638.61,665.03,680.54,632.68,664.22,620.85,657.98,702.62,633.82,687.09,720.28,706.48
1976,539.32,553.28,553.86,572.81,525.09,583.42,503.28,512.71,571.30,536.84,551.44,511.38,542.27
1977,749.12,716.74,749.30,749.09,727.98,744.29,776.15,769.26,755.97,713.30,772.54,806.65,791.79
1978,664.76,657.48,665.56,678.08,648.75,691.94,675.12,666.85,673.52,641.16,676.53,669.07,678.88
1979,828.68,806.10,845.51,844.70,817.53,825.44,811.25,832.02,852.67,803.38,871.80,830.10,861.77
1980,824.08,815.31,831.48,843.30,800.78,861.39,839.58,824.02,831.06,795.29,841.38,820.76,841.74
1981,910.12,879.21,896.90,903.12,888.48,918.56,956.97,944.20,904.10,858.36,934.27,941.19,952.79
1982,711.41,673.83,709.09,708.51,693.81,695.83,763.12,733.60,729.75,670.78,735.32,734.73,747.76
1983,780.23,774.11,798.06,801.82,775.58,803.16,789.82,769.90,793.44,764.82,807.51,722.42,784.12
1984,848.47,808.93,853.35,846.58,838.44,822.55,889.37,873.92,854.41,810.42,884.27,853.93,886.34
1985,746.87,747.49,768.64,777.82,735.57,776.42,701.55,728.12,770.53,736.89,773.21,729.08,769.82
1986,790.88,760.64,783.65,789.30,770.11,786.07,822.83,813.90,800.60,746.92,816.78,834.17,837.06
1987,839.33,815.42,836.99,843.67,821.57,849.04,876.38,860.65,837.68,800.35,855.27,847.09,870.67
1988,889.33,867.35,896.85,912.02,867.93,891.23,894.14,895.90,908.09,856.97,920.12,904.81,933.54
1989,649.94,641.79,663.18,665.66,643.12,664.45,673.02,645.34,650.30,636.53,664.92,633.23,652.30
1990,719.61,721.22,733.74,750.08,702.24,769.28,704.72,703.20,745.53,697.47,741.57,691.43,730.02
1991,650.45,622.64,647.61,651.52,627.96,657.66,637.78,677.97,651.00,612.15,674.92,705.57,699.65
1992,803.46,776.18,806.49,817.70,777.30,816.69,787.28,819.10,833.51,763.52,830.60,831.08,855.47
1993,857.93,849.55,867.13,889.64,830.02,900.91,841.20,848.32,897.22,829.60,876.68,861.65,886.51
1994,878.32,871.12,894.67,920.16,856.44,926.62,824.19,866.40,918.41,849.61,915.61,860.68,903.45
1995,792.89,795.88,814.01,834.82,781.98,824.89,786.12,771.72,811.07,781.89,813.89,741.38,793.73
1996,577.44,551.78,584.97,593.85,552.94,581.05,560.09,584.92,622.95,543.44,607.99,597.19,624.19
1997,665.12,647.38,666.91,662.64,653.34,666.22,710.47,677.68,659.46,640.62,678.63,674.35,681.89
1998,1008.39,979.42,1042.78,1051.82,994.35,1014.90,959.55,1004.40,1066.85,967.21,1066.21,960.78,1048.77
1999,884.40,831.03,912.28,896.17,881.42,842.96,861.92,902.29,930.56,848.02,934.97,893.61,937.01
2000,870.11,812.54,889.95,876.26,855.04,812.50,898.77,895.48,910.82,825.56,913.93,909.21,927.85
2001,916.33,868.93,944.18,931.57,900.53,875.36,928.91,927.51,964.03,874.58,964.67,942.11,969.24
2002,902.25,893.21,906.61,922.22,877.16,929.32,892.56,906.50,916.97,873.93,928.02,907.03,935.04
2003,624.65,603.65,634.35,636.20,614.76,619.06,634.43,629.10,639.77,604.88,648.25,634.93,645.07
2004,834.91,823.77,859.40,861.63,826.61,853.31,795.16,827.28,866.12,818.77,872.08,796.30,852.96
2005,799.37,764.77,822.32,818.62,785.00,790.26,764.49,814.55,832.75,762.23,837.01,809.68,849.95
2006,742.73,692.97,754.74,736.31,728.85,715.03,753.46,773.64,773.14,695.83,783.10,785.61,797.15
2007,899.22,926.35,901.62,936.04,877.23,956.41,880.55,882.62,887.37,898.53,904.24,849.58,898.73
2008,833.06,814.46,849.43,860.16,818.09,850.41,820.89,838.77,848.93,802.72,865.45,838.90,855.53
2009,746.09,731.97,748.50,757.20,728.46,752.90,764.41,750.78,759.45,722.30,766.57,761.32,770.61
2010,779.10,741.58,797.14,793.30,759.05,771.90,779.02,787.06,825.31,738.71,819.59,808.62,827.22
2011,749.06,734.66,770.69,779.23,733.11,787.00,712.65,745.71,770.94,720.76,779.64,737.02,775.66
2012,832.50,773.73,847.39,828.08,814.01,796.06,829.17,864.86,874.70,780.41,879.79,909.43,905.46
2013,712.92,672.80,716.92,716.51,692.42,695.58,746.04,735.36,739.47,668.85,743.67,749.72,758.24
2014,750.40,716.24,753.78,746.67,731.98,752.00,767.21,774.52,757.49,709.36,776.89,813.41,795.09
2015,805.87,796.72,825.79,845.89,783.40,843.00,724.23,798.15,851.18,776.25,847.60,813.53,849.74
2016,773.22,725.70,776.24,756.00,761.02,735.29,805.63,811.21,785.26,729.08,808.80,829.88,825.14
2017,848.23,868.30,867.59,909.97,818.13,923.12,785.25,816.50,875.95,835.43,870.10,803.48,865.24
2018,625.96,584.81,633.82,615.21,616.84,592.92,649.24,646.15,654.61,591.60,658.59,685.38,668.51
2019,798.60,776.87,809.56,829.86,776.12,822.14,767.73,801.47,837.25,761.86,831.81,808.37,835.10
2020,765.34,729.33,785.32,785.10,745.20,757.21,728.87,778.02,819.39,720.82,811.87,807.77,818.71
