Variable:,pr
,"United Kingdom",England,"Northern Ireland",Scotland,Wales
1946,1195.25,976.77,1188.54,1491.45,1605.65
1947,1030.08,769.14,1178.78,1395.48,1356.95
1948,1243.70,889.79,1270.82,1813.63,1526.14
1949,1075.61,742.07,1099.54,1652.74,1231.08
1950,1237.67,938.70,1280.54,1694.58,1599.78
1951,1261.87,1015.80,1158.51,1630.74,1634.81
1952,1046.66,824.69,974.38,1377.94,1415.59
1953,961.64,697.97,885.33,1414.51,1164.97
1954,1346.74,1015.10,1342.69,1855.02,1725.50
1955,939.11,735.66,1027.34,1231.97,1205.05
1956,1062.93,810.34,1086.57,1481.92,1237.36
1957,1119.50,839.54,1194.64,1540.36,1444.53
1958,1202.09,989.14,1275.15,1458.72,1634.97
1959,1021.76,764.19,1035.06,1399.63,1402.98
1960,1290.85,1102.07,1271.98,1479.47,1866.66
1961,1125.36,841.30,1147.64,1583.99,1372.43
1962,1044.46,746.58,1080.23,1539.05,1231.80
1963,1038.75,810.26,1130.97,1388.88,1206.95
1964,939.22,675.41,1071.16,1369.75,1111.03
1965,1183.82,955.45,1234.26,1513.20,1492.57
1966,1234.96,982.09,1343.08,1606.19,1501.54
1967,1231.02,939.51,1231.12,1668.03,1621.57
1968,1141.33,944.93,1112.58,1424.02,1406.71
1969,1051.10,875.52,1035.39,1289.25,1407.99
1970,1150.07,872.73,1171.94,1554.60,1552.53
1971,974.50,773.48,912.37,1271.55,1311.83
1972,1005.79,813.51,1050.00,1244.15,1439.63
1973,948.64,702.22,984.62,1340.10,1247.74
1974,1196.88,954.07,1164.29,1553.48,1578.82
1975,949.00,714.52,902.79,1342.32,1150.94
1976,1022.18,776.33,1091.13,1410.90,1221.88
1977,1145.70,887.84,1117.61,1524.52,1513.23
1978,1104.76,852.57,1114.22,1508.53,1320.85
1979,1205.26,946.69,1185.27,1595.69,1571.98
1980,1207.75,925.14,1235.80,1648.35,1477.41
1981,1206.10,947.11,1246.49,1585.73,1569.76
1982,1252.26,925.85,1223.96,1784.50,1521.86
1983,1117.58,840.55,1012.73,1564.32,1430.86
1984,1155.93,876.07,1119.74,1603.97,1428.35
1985,1158.73,839.87,1145.85,1684.05,1376.19
1986,1229.03,937.17,1210.02,1685.03,1560.31
1987,1122.21,885.48,1050.21,1487.64,1413.63
1988,1207.96,886.67,1254.65,1716.05,1496.15
1989,1069.17,773.84,1006.97,1557.76,1390.39
1990,1245.66,792.70,1262.69,2034.80,1449.07
1991,1047.58,746.65,1037.12,1540.42,1300.62
1992,1251.96,925.37,1197.97,1799.10,1524.83
1993,1219.57,947.02,1191.81,1646.03,1513.02
1994,1276.38,963.37,1186.61,1756.75,1718.49
1995,1114.09,798.31,1148.12,1630.90,1358.81
1996,981.27,712.15,1084.63,1404.25,1206.48
1997,1092.22,811.23,1091.69,1536.45,1363.66
1998,1333.32,1002.46,1273.15,1852.93,1712.71
1999,1281.65,984.25,1274.57,1735.42,1681.86
2000,1386.79,1124.68,1271.77,1757.69,1852.26
2001,1095.27,904.36,943.07,1405.78,1357.83
2002,1389.81,1078.13,1410.45,1831.88,1820.52
2003,932.72,727.49,964.52,1232.09,1221.67
2004,1187.05,911.10,1143.91,1637.44,1443.51
2005,1094.71,808.99,1080.20,1571.08,1312.20
2006,1152.42,880.57,1188.24,1575.67,1431.59
2007,1184.75,943.62,1107.20,1566.82,1476.64
2008,1301.45,1020.55,1353.95,1709.92,1656.42
2009,1261.56,922.35,1303.95,1809.15,1540.86
2010,1041.66,805.72,1039.37,1420.25,1270.52
2011,1133.51,760.78,1247.81,1787.55,1212.22
2012,1373.45,1135.86,1225.57,1704.48,1827.14
2013,1128.29,861.91,1136.71,1534.23,1448.74
2014,1369.80,1048.99,1386.71,1848.64,1776.10
2015,1264.58,918.16,1371.84,1813.27,1544.62
2016,1172.89,907.32,1147.60,1590.06,1458.63
2017,1163.11,866.74,1179.99,1641.75,1431.33
2018,1117.45,864.38,1170.79,1483.78,1462.29
2019,1270.59,988.60,1265.97,1687.62,1650.47
2020,1322.56,999.62,1341.40,1814.52,1700.18
