Variable:,pr
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
1911,1900.49,1041.00,1820.90,1184.08,1570.00,824.55,1350.41,733.57,2212.21,792.78,1436.90,688.67,1886.19,1201.49,2227.60,2117.80,3053.10,3175.82,2694.67,960.60,1086.65,1843.82,1062.11,1451.76,529.42,2273.05
1912,1945.32,1046.38,1802.71,1189.18,1658.27,844.86,1357.78,730.71,2205.23,792.78,1492.24,688.65,1821.25,1129.16,2307.16,2259.71,3186.73,3320.84,2823.40,1009.46,1088.67,1777.64,1006.38,1477.69,500.71,2228.66
1913,2359.77,1169.41,2406.16,1439.17,2193.83,1085.41,1886.90,756.28,2932.94,792.78,2026.46,694.99,2489.93,1550.54,2633.22,2862.27,3693.17,3844.48,3335.89,1327.74,1101.19,2418.92,1294.16,2040.71,599.87,3087.07
1914,1813.50,1028.80,1841.76,1169.28,1473.69,792.36,1342.35,733.95,2140.16,792.78,1376.62,688.20,1964.56,1256.01,2109.13,1899.64,2813.27,2942.74,2477.05,882.70,1083.87,1902.82,1115.77,1407.73,551.58,2292.87
1915,2526.67,1197.53,2665.01,1512.20,2186.91,1094.63,1976.00,767.53,3313.00,792.78,2040.49,696.65,2861.23,1850.10,2743.61,3027.79,3912.57,4064.46,3518.59,1350.01,1104.75,2797.35,1500.54,2108.56,682.19,3490.07
1916,2351.05,1153.52,2366.19,1412.37,2029.74,1028.35,1773.45,756.86,2944.77,792.78,1872.69,694.39,2480.72,1592.62,2622.34,2819.13,3728.13,3864.13,3343.77,1262.81,1100.08,2431.19,1321.48,1912.51,618.95,3053.98
1917,2701.29,1222.37,2622.28,1542.35,2446.65,1180.46,2023.00,763.18,3386.49,792.78,2222.25,697.32,2670.73,1665.96,3006.50,3501.35,4404.52,4561.27,3980.25,1526.13,1110.90,2626.85,1341.03,2233.13,602.02,3431.65
1918,2257.58,1140.75,2334.53,1389.75,1903.58,1005.39,1744.18,757.99,2833.70,792.78,1797.76,694.08,2466.65,1589.18,2517.51,2614.60,3520.26,3655.63,3149.53,1194.62,1097.49,2409.82,1324.34,1864.23,622.53,3015.71
1919,2076.08,1080.59,2039.32,1269.76,1788.28,904.80,1545.23,740.59,2501.05,792.78,1646.56,690.36,2119.97,1341.10,2380.31,2389.41,3304.66,3437.49,2941.75,1083.08,1091.36,2067.80,1155.75,1668.86,559.70,2598.57
1920,1709.24,981.53,1513.97,1065.14,1300.04,714.51,1103.03,721.98,1859.90,792.78,1181.38,685.44,1545.32,1002.63,2081.33,1835.11,2833.23,2944.13,2466.46,817.54,1080.35,1519.01,930.38,1201.33,494.62,1859.04
1921,2282.71,1138.42,2329.71,1384.84,1928.86,999.27,1726.96,755.29,2843.42,792.78,1799.72,693.83,2449.63,1564.28,2556.55,2682.68,3602.98,3742.03,3221.85,1202.68,1098.21,2393.45,1302.29,1847.31,608.09,2997.59
1922,1867.80,1045.09,1937.31,1204.95,1458.66,802.97,1381.73,742.15,2245.39,792.78,1377.74,689.37,2088.18,1362.80,2144.66,1938.84,2882.03,3003.35,2537.37,893.17,1085.58,2027.38,1198.28,1440.60,593.27,2428.00
1923,1710.79,994.55,1624.61,1096.60,1267.96,723.66,1156.53,729.71,1925.28,792.78,1181.26,686.53,1710.86,1131.04,2041.08,1757.25,2746.81,2852.67,2396.52,801.15,1080.47,1674.64,1031.68,1227.88,538.49,2004.61
1924,2300.00,1123.79,2177.37,1346.80,1969.73,982.13,1632.56,747.20,2771.00,792.78,1783.04,692.56,2216.17,1400.56,2634.46,2831.64,3772.69,3910.96,3379.02,1231.92,1098.82,2181.93,1176.27,1789.66,558.35,2785.50
1925,2250.30,1135.29,2273.17,1374.44,1852.19,985.29,1668.25,755.85,2750.82,792.78,1731.18,693.74,2389.31,1538.90,2543.88,2646.36,3562.87,3712.53,3175.92,1185.55,1097.90,2332.03,1296.63,1786.32,617.49,2897.72
1926,1584.42,929.99,1229.16,957.35,1149.15,620.13,872.75,708.41,1604.69,792.78,990.63,682.49,1203.12,789.46,2004.94,1707.38,2770.82,2859.14,2396.48,722.32,1076.03,1204.76,774.04,976.81,438.37,1466.04
1927,2391.86,1146.24,2306.82,1398.07,2102.83,1024.72,1759.62,751.50,2941.66,792.78,1911.60,693.39,2369.85,1500.28,2700.79,2955.27,3879.84,4022.38,3479.26,1299.08,1100.84,2325.98,1253.24,1932.88,592.59,2986.81
1928,2405.25,1187.40,2543.39,1480.37,2110.53,1088.35,1915.29,766.00,3060.02,792.78,1983.04,696.46,2695.42,1720.66,2647.41,2856.92,3707.99,3864.14,3334.00,1313.80,1102.67,2620.77,1420.74,2041.26,655.69,3275.29
1929,2234.17,1113.66,2307.93,1364.45,1904.38,983.88,1721.83,738.31,2798.15,792.78,1785.28,672.88,2448.49,1574.50,2478.59,2591.01,3499.14,3627.54,3127.37,1175.31,1064.14,2389.55,1315.74,1842.69,620.92,2984.95
1930,2110.76,950.48,1863.02,1154.74,1751.93,865.80,1467.80,579.29,2599.23,792.78,1645.36,549.42,1918.34,1294.84,2324.27,2663.71,3652.21,3665.70,3117.13,1118.91,920.25,1959.53,981.06,1675.62,475.81,2581.39
1931,1973.13,844.73,1841.35,1063.11,1684.91,787.65,1437.94,562.79,2525.83,792.78,1589.22,499.04,1967.10,1331.11,2032.50,2374.60,3367.20,3336.49,2950.50,991.28,748.94,1986.02,1038.91,1630.41,510.36,2582.93
1932,2417.49,1080.60,2293.71,1338.98,2046.74,988.07,1797.43,701.44,3074.61,792.78,1965.11,628.03,2405.65,1570.02,2579.69,3103.12,4079.67,4064.60,3494.58,1292.19,948.80,2410.20,1237.66,2028.39,583.26,3170.15
1933,2018.56,978.25,1927.62,1191.56,1760.28,879.34,1446.21,646.55,2389.40,792.78,1568.36,605.84,1978.01,1251.23,2311.98,2381.32,3326.20,3440.58,2983.07,1062.81,920.03,1922.48,1052.05,1569.02,507.91,2425.67
1934,2625.77,1481.84,2364.15,1585.99,2197.33,1097.45,1837.79,1032.17,3158.04,792.78,2042.24,984.71,2398.18,1561.95,3029.48,3299.88,4256.25,4318.18,3731.75,1406.06,1722.29,2443.57,1305.51,2077.87,604.31,3175.20
1935,2234.88,962.44,2034.27,1208.72,1951.79,914.03,1628.50,514.93,2844.90,792.78,1817.23,481.78,2120.85,1448.61,2525.95,2797.41,3741.73,3828.04,3294.64,1195.12,888.83,2184.43,1029.09,1855.04,469.74,2900.81
1936,1872.77,868.91,1730.44,1055.46,1463.17,760.40,1271.94,626.70,2245.00,792.78,1362.30,572.47,1804.11,1189.17,2094.40,2170.24,3186.10,3247.81,2752.63,926.67,823.27,1782.43,1004.54,1401.79,510.16,2241.92
1937,2023.45,1029.63,1799.88,1157.09,1804.20,824.54,1414.44,766.15,2448.66,792.78,1612.05,703.83,1866.43,1257.19,2273.58,2374.47,3316.86,3406.15,2990.85,1030.28,1073.82,1909.16,1037.25,1602.10,523.16,2463.60
1938,2294.81,895.08,2224.66,1211.16,2187.08,929.17,1770.01,453.16,3148.46,792.78,1977.12,384.89,2401.16,1645.76,2444.97,2814.02,3752.44,3796.87,3456.64,1201.69,684.01,2460.51,1152.54,1993.63,517.55,3244.55
1939,2096.98,1281.35,1857.43,1295.73,1632.15,853.54,1385.21,1316.96,2356.96,792.78,1517.79,1250.39,1897.18,1210.43,2330.73,2399.04,3378.02,3452.49,2921.19,1032.60,1438.89,1882.87,1258.40,1547.06,718.19,2357.80
1940,1859.59,1028.35,1713.91,1146.32,1519.74,797.02,1284.49,791.13,2123.82,792.78,1386.95,762.71,1755.47,1128.78,2179.38,2063.70,3009.08,3153.83,2647.71,934.36,1095.30,1731.69,1014.50,1403.22,515.71,2158.28
1941,2290.76,1382.27,2538.51,1546.66,1721.55,1021.11,1850.94,1224.51,3064.14,792.78,1827.50,1161.54,2801.56,1896.60,2411.30,2533.47,3179.29,3382.09,2676.55,1182.66,1411.30,2769.84,1720.23,1981.25,955.41,3348.23
1942,1673.10,745.59,1519.47,911.17,1286.42,663.30,1126.70,501.16,1974.69,792.78,1187.72,462.55,1602.15,1062.71,1855.25,1822.87,2941.57,2957.51,2535.88,798.59,708.86,1590.96,859.93,1222.05,423.60,1993.59
1943,2499.81,1440.36,2557.20,1620.89,2172.97,1096.89,1897.28,1130.44,3129.26,792.78,2024.62,966.28,2732.41,1750.73,2712.19,2932.95,3823.13,3903.77,3432.63,1298.16,1283.36,2655.95,1635.24,2056.20,887.40,3286.31
1944,1744.02,833.74,1604.00,979.74,1469.80,664.55,1149.81,600.64,2139.85,792.78,1271.84,515.92,1711.81,1129.03,1869.16,1835.15,3023.65,2955.04,2756.18,786.39,802.69,1684.30,973.45,1250.35,476.05,2052.01
1945,1808.94,1263.96,1623.95,1309.65,1535.80,721.76,1121.59,1063.62,2015.67,792.78,1289.39,1027.33,1750.55,1112.93,1928.71,1763.47,2884.20,2844.65,2673.23,760.16,1358.34,1720.76,1362.06,1224.60,836.98,1949.12
1946,1789.37,1387.82,1705.04,1419.17,1321.88,736.21,1137.05,1090.85,1947.73,792.78,1189.21,1015.11,1865.54,1221.90,2029.02,1649.04,2707.40,2740.08,2399.65,734.65,1565.52,1846.03,1435.19,1206.65,840.92,2033.70
1947,2210.41,1296.49,2146.23,1456.56,1755.75,954.45,1558.46,888.25,2534.52,792.78,1623.28,864.82,2262.30,1450.60,2546.18,2469.79,3505.38,3581.85,3094.89,1096.57,1544.12,2218.92,1316.40,1666.33,634.09,2666.62
1948,1727.53,1048.33,1585.87,1121.69,1278.43,697.45,1153.59,746.46,1897.50,792.78,1183.70,723.03,1697.68,1095.95,2043.37,1740.10,2805.35,2884.19,2418.88,771.91,1304.61,1670.08,1036.40,1226.09,507.17,2005.25
1949,2374.88,1124.28,2350.99,1365.32,2072.17,987.16,1764.18,781.67,3078.19,792.78,1929.71,628.59,2513.57,1687.82,2573.01,2946.38,3813.67,3880.61,3370.26,1244.14,904.89,2488.67,1370.02,1959.13,703.35,3138.90
1950,2055.44,846.44,1909.02,1056.35,1985.08,821.48,1541.42,488.81,2520.43,166.35,1693.57,466.56,2012.57,1276.68,2171.61,2390.11,3596.41,3457.58,3446.80,1050.78,904.16,1974.70,937.66,1659.02,391.41,2611.00
1951,2447.86,1319.17,2493.10,1546.99,1934.16,1113.54,1915.57,834.21,3123.24,1019.50,1918.21,691.53,2513.73,1610.65,2954.99,3155.87,3632.07,4113.12,3024.10,1456.68,1253.40,2524.04,1311.73,2072.15,600.45,3297.67
1952,1685.27,632.55,1492.40,821.11,1551.14,636.69,1182.62,357.88,2130.95,465.56,1345.00,336.15,1583.57,1043.09,1780.59,1925.30,3024.57,2969.43,2723.71,817.84,659.39,1588.07,748.92,1315.20,319.85,2089.48
1953,2927.24,1617.61,3218.20,1947.01,2279.67,1413.96,2360.44,1088.15,3499.48,1756.28,2228.08,891.46,3351.33,2158.92,3551.65,3636.41,4135.28,4734.84,3526.60,1710.56,1447.92,3202.52,1879.96,2423.44,980.25,3974.48
1954,1845.76,787.22,1606.08,974.97,1746.89,759.50,1305.58,438.89,2199.28,429.78,1519.74,376.26,1622.80,1010.94,2027.70,2226.13,3315.79,3268.36,3035.39,967.15,697.31,1608.03,770.00,1467.80,331.49,2135.87
1955,2108.43,851.29,1959.23,1082.85,1992.71,784.11,1470.68,555.67,2730.53,655.92,1727.00,505.25,2138.77,1419.12,2099.01,2430.64,3684.69,3411.40,3566.89,976.08,841.69,2123.61,1119.52,1665.27,527.79,2666.36
1956,2020.22,863.75,1768.73,1063.79,1830.06,772.29,1330.41,556.18,2522.35,1088.73,1607.84,502.21,1864.19,1224.63,2162.82,2382.86,3542.06,3420.91,3240.42,960.49,866.69,1868.29,1006.89,1555.12,499.00,2389.13
1957,2439.13,1347.97,2629.20,1607.32,1772.01,1129.59,1848.89,919.54,2924.46,1635.33,1739.27,824.51,2723.98,1760.81,3094.43,2904.99,3483.54,4066.75,2853.30,1348.26,1277.65,2638.04,1485.86,1891.96,699.74,3236.02
1958,2011.28,1638.04,2058.62,1602.93,1404.16,858.31,1362.61,1574.05,2190.38,510.19,1330.80,1354.10,2261.02,1479.80,2147.37,1934.22,2925.84,3016.78,2436.82,877.40,1597.92,2179.15,1847.41,1403.38,1210.26,2415.32
1959,2149.10,1161.66,2081.61,1336.38,1765.79,941.28,1537.58,861.63,2577.33,820.29,1630.76,780.29,2149.72,1383.97,2480.71,2534.73,3408.38,3597.60,2943.63,1128.25,1110.84,2103.24,1242.91,1665.06,666.67,2616.04
1960,1676.31,742.71,1490.44,883.07,1408.65,629.42,1086.44,499.50,1931.55,363.14,1220.93,502.11,1568.79,1005.76,1855.84,1854.90,2980.17,2932.40,2661.64,771.17,895.03,1534.08,846.49,1199.30,400.52,1919.17
1961,1821.35,828.83,1780.63,1057.23,1581.82,806.21,1350.05,495.33,2145.70,613.22,1418.74,463.19,1867.97,1205.67,2086.30,2090.11,2991.95,3179.64,2578.90,960.40,823.72,1811.22,958.47,1433.89,445.47,2262.59
1962,1656.33,625.08,1502.56,837.66,1481.36,619.30,1124.41,429.06,2036.29,570.07,1290.65,441.42,1632.48,1086.59,1614.14,1824.39,2971.57,2844.44,2711.47,747.91,752.94,1613.01,880.89,1268.12,434.35,2003.63
1963,1803.70,836.17,1899.24,1123.16,1374.46,795.58,1295.72,546.27,1908.48,481.18,1209.86,561.89,1975.31,1180.25,1986.53,1959.93,3054.59,3153.07,2705.27,865.00,901.10,1819.32,1100.15,1231.55,515.81,2150.68
1964,1825.97,801.93,1653.73,1012.70,1478.29,724.26,1205.21,494.81,2010.33,309.32,1280.63,505.07,1742.30,1125.08,2022.93,2107.15,3232.39,3250.43,2843.43,886.83,919.92,1682.06,962.17,1278.03,471.99,2075.41
1965,2381.30,1314.28,2493.66,1574.39,1927.25,1140.22,1864.01,816.69,2954.19,1024.78,1862.46,799.15,2522.67,1612.98,3049.94,2815.94,3443.06,3924.26,2921.74,1372.86,1318.20,2476.74,1303.21,1976.38,559.74,3139.68
1966,1893.09,913.63,1808.12,1146.22,1621.46,819.23,1375.44,523.03,2313.50,455.40,1490.82,461.72,1877.46,1219.36,2123.61,2199.89,3169.92,3191.86,2856.71,1010.14,829.26,1851.32,1002.43,1510.21,478.32,2325.29
1967,1799.77,928.28,1681.12,1078.62,1424.00,715.36,1185.67,624.01,2052.91,617.66,1262.84,626.28,1799.05,1186.02,2074.36,1957.65,2974.43,3051.25,2629.05,817.66,1094.32,1754.65,1044.92,1279.93,519.43,2111.76
1968,1754.69,773.41,1397.87,945.39,1622.58,687.90,1076.95,435.48,1938.40,687.39,1336.38,429.24,1370.79,820.73,1944.85,2121.78,3301.00,3176.25,3030.13,844.25,795.48,1356.18,708.14,1252.82,302.09,1741.69
1969,2341.01,1175.07,2398.19,1494.99,1903.87,1082.69,1781.90,630.76,2930.33,1090.01,1804.52,524.35,2423.58,1560.20,2966.64,2826.79,3568.86,3991.31,3051.39,1348.31,970.95,2415.07,1219.88,1877.31,491.70,3094.93
1970,2093.95,1029.15,1975.82,1251.47,1820.32,890.31,1480.63,620.11,2534.17,345.58,1650.14,570.75,2030.24,1285.02,2388.92,2458.82,3523.23,3530.21,3174.20,1047.17,1019.23,2007.23,1091.49,1649.73,474.15,2513.34
1971,2122.47,942.93,1818.08,1127.81,2013.63,803.27,1423.61,682.53,2685.31,778.14,1776.30,695.79,1933.96,1285.69,2119.78,2532.90,3717.41,3465.53,3524.86,983.19,1056.34,1983.59,1050.45,1730.63,515.84,2522.73
1972,3057.76,1668.53,3223.94,2005.13,2443.97,1443.53,2336.09,1107.66,3932.24,1856.03,2351.72,1031.39,3230.22,2085.45,3957.50,3867.02,4298.71,4970.35,3703.65,1795.87,1506.53,3220.62,1675.17,2495.54,738.73,4076.93
1973,2350.95,1313.95,2308.54,1402.46,1847.35,975.34,1670.70,1097.45,2681.29,602.99,1693.01,1016.19,2452.97,1581.33,2619.61,2706.24,3736.74,3760.64,3435.16,1183.74,1453.99,2350.05,1460.86,1745.62,791.52,2875.03
1974,2059.23,965.14,1791.11,1197.35,1830.59,897.67,1441.37,498.69,2424.43,857.35,1671.33,473.49,1766.23,1089.63,2439.24,2561.03,3542.40,3602.84,3176.41,1108.88,970.81,1782.83,858.21,1661.70,350.44,2330.67
1975,2735.90,1467.27,2691.21,1704.10,2155.99,1214.30,1993.19,1024.01,3136.61,1226.35,1994.88,921.73,2783.59,1792.81,3307.58,3277.89,4238.52,4524.05,3840.16,1505.95,1433.55,2720.48,1567.13,2075.63,840.60,3379.97
1976,2305.13,1279.22,2576.46,1576.04,1731.13,1080.24,1823.80,827.36,2796.65,1309.86,1724.38,691.14,2733.14,1766.91,2816.97,2611.20,3319.87,3772.97,2733.98,1248.39,1061.97,2622.48,1533.08,1857.55,728.96,3146.28
1977,1789.60,868.38,1631.14,1060.36,1472.61,736.27,1185.20,540.51,2092.92,713.30,1336.75,529.97,1677.56,1087.60,2085.91,2062.91,3037.70,3123.36,2631.22,886.02,873.02,1649.12,921.86,1332.84,437.75,2037.59
1978,1619.88,687.88,1401.05,861.52,1413.80,609.73,1068.49,438.51,1902.58,727.63,1223.49,418.09,1486.21,959.64,1686.75,1852.68,2950.01,2860.66,2608.52,748.13,706.44,1468.33,793.46,1199.70,366.01,1885.94
1979,1459.32,535.15,1108.30,681.51,1325.81,491.33,864.59,345.93,1702.06,551.83,1104.91,347.31,1183.38,780.93,1349.37,1643.84,2909.26,2612.63,2713.54,618.37,609.84,1195.12,643.31,1038.02,310.21,1548.30
1980,1736.22,980.66,1632.41,1065.13,1422.88,740.50,1195.65,765.19,1964.23,539.72,1279.29,733.49,1701.21,1064.83,1920.84,1888.11,2900.62,2939.86,2484.17,828.04,1060.57,1627.04,1006.02,1286.38,513.38,2001.09
1981,1896.67,825.06,1668.15,1038.11,1773.81,767.11,1317.43,505.70,2174.13,757.45,1519.39,474.00,1721.91,1068.43,2005.38,2280.99,3398.75,3294.96,3149.51,950.12,810.30,1677.64,883.74,1457.67,399.38,2173.33
1982,2051.60,1045.51,1967.26,1298.09,2078.59,1034.99,1609.60,569.13,2586.07,640.55,1868.60,546.28,1888.95,1092.35,2353.55,2512.58,3374.47,3425.54,3082.06,1188.87,979.28,1878.28,853.19,1793.15,301.20,2516.59
1983,3241.80,2027.40,3829.48,2327.46,2349.44,1661.37,2750.26,1534.53,3970.26,1609.23,2416.28,1362.38,3955.53,2541.94,4218.47,3897.74,4088.42,5112.83,3278.50,1954.51,1829.78,3780.44,2205.08,2702.15,1115.42,4629.65
1984,2141.69,1080.20,2036.97,1283.96,1877.18,913.95,1567.17,747.99,2642.51,534.31,1736.06,706.69,2152.07,1379.37,2292.92,2470.15,3543.60,3447.70,3357.00,1090.97,1054.22,2136.66,1165.34,1741.14,543.55,2685.35
1985,1487.74,660.71,1188.24,775.88,1382.29,562.60,921.15,412.65,1781.73,424.34,1179.52,372.85,1214.30,780.85,1587.88,1668.03,2792.19,2665.53,2514.52,677.26,661.75,1232.69,628.81,1088.02,289.37,1580.69
1986,1724.91,859.63,1667.29,1044.23,1525.49,735.55,1259.06,561.63,2078.17,918.98,1377.72,507.36,1788.03,1162.57,1845.55,1895.13,2860.66,2887.39,2505.46,851.93,820.25,1749.81,998.15,1367.94,503.06,2140.56
1987,2291.24,1489.20,2344.54,1474.07,1666.85,1007.13,1658.35,1458.94,2681.22,1704.85,1636.21,1275.07,2498.04,1653.23,2668.16,2534.75,3265.35,3603.64,2725.43,1160.69,1485.31,2426.65,1582.17,1750.95,980.53,2902.57
1988,2021.80,883.01,1796.05,1116.49,1747.15,815.37,1353.89,510.38,2315.61,332.64,1521.81,464.11,1832.52,1132.46,2255.97,2416.86,3619.84,3553.31,3353.87,1014.78,853.83,1779.84,968.07,1493.43,431.96,2275.53
1989,1985.89,1140.73,2079.03,1310.97,1523.99,847.86,1431.69,900.77,2355.54,656.51,1425.90,798.06,2285.52,1524.45,2172.48,2103.07,3051.27,3155.64,2662.64,935.66,1120.54,2198.51,1446.51,1484.22,828.60,2527.79
1990,1761.84,893.75,1643.90,1080.65,1602.74,813.24,1255.63,532.22,2243.14,846.52,1446.92,474.51,1592.82,957.23,2066.48,2076.17,2939.69,3003.96,2590.19,962.13,807.80,1562.37,814.67,1419.33,366.33,2043.49
1991,1702.60,805.33,1543.25,970.47,1449.64,699.03,1125.82,514.29,1866.79,1513.60,1241.14,468.49,1589.43,982.60,1897.63,1847.41,3051.88,2929.38,2730.39,808.46,773.86,1514.71,875.70,1203.02,423.51,1836.37
1992,2542.68,1300.08,2660.77,1567.75,1883.68,1113.57,1963.58,910.96,3438.33,1608.26,1963.92,766.00,2878.97,2036.45,3001.02,3052.88,3628.04,4050.98,3031.96,1363.61,1158.41,2949.57,1573.69,2169.08,772.68,3717.58
1993,2147.09,1232.27,2278.46,1429.43,1599.15,976.15,1611.48,933.17,2341.46,957.91,1518.20,894.94,2417.31,1510.73,2491.59,2316.26,3313.78,3484.51,2899.71,1077.92,1261.57,2265.63,1412.92,1613.71,716.73,2710.73
1994,2141.76,1173.76,2194.56,1372.44,1764.46,946.78,1606.87,886.99,2493.57,749.54,1641.35,813.03,2304.07,1419.60,2412.01,2388.35,3373.35,3530.62,2973.02,1091.05,1139.50,2212.57,1328.57,1675.15,672.47,2690.77
1995,1854.92,800.22,1640.93,992.44,1543.32,747.11,1225.93,486.79,2099.39,987.00,1354.31,449.60,1679.01,1062.39,2044.98,2208.77,3332.67,3340.99,2924.12,925.18,757.40,1645.97,869.13,1339.76,405.83,2071.38
1996,1790.45,800.51,1663.04,986.54,1455.65,709.88,1192.65,521.78,1880.90,452.37,1238.47,457.64,1756.55,1102.63,1948.97,1991.28,3244.22,3209.46,2860.37,839.27,781.66,1659.30,974.63,1231.83,484.78,2000.22
1997,2662.38,1505.83,2663.03,1737.04,1913.22,1290.62,2053.15,1008.38,3137.02,841.74,1973.63,935.63,2574.85,1591.90,3472.82,3614.01,3872.06,4657.32,3102.18,1688.10,1437.32,2547.72,1323.84,2189.58,614.56,3409.81
1998,3234.79,1548.79,3619.92,2002.76,2632.20,1554.77,2779.74,1019.95,5143.80,1017.86,2871.29,839.34,3775.85,2693.33,3735.67,4300.96,4197.32,4996.70,3468.92,2018.06,1263.43,3915.38,1911.67,3174.01,895.42,5201.92
1999,2445.14,1471.86,2570.37,1661.40,1864.61,1115.54,1845.04,1144.62,2764.91,651.87,1780.97,1064.30,2720.67,1723.13,2891.15,2705.01,3592.35,3998.63,3115.76,1261.27,1507.62,2598.85,1650.32,1883.92,908.32,3129.15
2000,2189.38,1403.84,2171.10,1507.88,1623.48,994.32,1609.63,1098.63,2380.59,991.20,1552.28,1122.42,2225.48,1362.57,2667.72,2403.29,3297.22,3551.29,2887.82,1134.50,1595.61,2140.88,1333.21,1655.98,659.92,2652.74
2001,1866.26,1146.58,1746.21,1228.08,1441.73,776.26,1184.62,971.51,2005.56,963.79,1227.81,987.60,1835.16,1158.16,2190.84,1776.69,3013.00,3095.51,2691.16,818.12,1326.96,1774.03,1192.54,1216.49,642.40,2046.05
2002,2265.71,1191.36,2245.97,1382.45,1933.08,1016.25,1824.65,904.28,2791.37,1219.48,1922.78,895.38,2369.06,1559.60,2440.44,2718.61,3495.68,3616.54,3060.02,1245.17,1202.43,2359.02,1280.95,2014.91,639.59,3053.79
2003,2521.40,1271.82,2401.41,1508.14,2131.60,1134.92,1922.76,832.77,3120.13,693.61,2128.59,786.47,2368.89,1448.34,2946.83,3574.90,4010.25,4312.38,3247.99,1522.85,1209.15,2347.57,1204.44,2199.10,553.30,3177.92
2004,1857.25,979.11,1754.97,1164.12,1446.21,837.97,1197.89,644.51,1961.64,1093.92,1231.52,653.81,1737.44,1011.11,2303.73,1973.34,3147.44,3308.09,2753.51,923.63,1021.43,1612.95,969.44,1215.59,454.90,1905.48
2005,1548.35,770.18,1421.58,934.89,1285.42,653.11,900.30,508.88,1506.67,450.15,957.11,464.31,1452.14,826.93,1831.99,1414.70,2863.25,2865.18,2632.36,655.38,705.82,1305.22,858.66,864.37,424.37,1410.68
2006,1849.68,927.63,1749.63,1103.97,1557.91,775.83,1211.72,662.75,2012.69,615.96,1294.74,662.79,1814.66,1121.23,2110.50,1957.58,3148.93,3213.51,2847.77,877.59,1019.15,1702.13,1053.95,1252.63,542.95,1991.79
2007,1949.41,940.15,1766.96,1140.69,1578.75,841.73,1238.72,559.13,2152.38,733.70,1336.29,520.79,1740.45,1074.23,2488.66,2244.30,3307.63,3544.62,2905.04,1003.00,928.62,1695.62,915.69,1305.78,424.82,2096.13
