Variable:,pr
,Guyana,"Barima Waini (region N°1)","Cuyuni/mazaruni (region N°7)","Demerara Mahaica (region N°4)","East Berbice/corentyne (region N°6)","Essequibo Islands/west Demerara (region N°3)","Mahaica Berbice (region N°5)","Pomeroon/supenaam (region N°2","Potaro/siparuni (region N°8)","Upper Demerara/berbice (region N°10)","Upper Takutu/upper Essequibo (region N°9)"
1918,2347.74,2265.31,2526.78,2574.78,2169.27,2573.31,2420.70,2446.86,2922.31,2876.64,1905.84
1919,2239.44,2154.42,2401.88,2359.66,2085.31,2332.28,2224.06,2221.51,2762.29,2665.30,1880.71
1920,2010.22,2006.62,2128.25,1996.34,1868.14,2012.11,1849.35,1965.35,2391.39,2182.89,1813.24
1921,2412.30,2670.17,2712.29,2693.54,2071.43,2736.93,2391.57,2730.21,2922.18,2823.42,1891.20
1922,2447.92,2628.46,2702.07,2831.03,2150.00,2870.14,2539.39,2822.68,2966.15,2958.81,1906.64
1923,2124.19,2188.00,2268.50,2251.59,1948.61,2287.27,2054.81,2245.03,2513.32,2381.56,1833.22
1924,2235.99,2325.88,2433.73,2386.96,1994.67,2404.47,2142.75,2362.89,2711.23,2560.54,1877.27
1925,1935.96,1773.17,2008.54,1797.98,1860.97,1777.33,1691.62,1689.91,2354.97,2090.64,1821.65
1926,2094.15,2147.77,2242.20,2121.90,1914.40,2132.17,1924.28,2089.88,2500.13,2307.81,1845.04
1927,2864.86,3093.82,3248.53,3592.43,2436.40,3663.83,3247.23,3545.91,3575.79,3760.69,1994.34
1928,2443.20,2474.40,2689.59,2782.28,2176.50,2818.52,2569.53,2717.35,3039.62,3009.30,1905.25
1929,2225.15,2133.48,2373.21,2396.41,2052.82,2406.68,2168.85,2297.23,2744.81,2630.74,1886.37
1930,2263.25,2243.20,2457.07,2374.85,2044.72,2398.12,2187.91,2329.83,2822.95,2636.50,1891.66
1931,2280.15,2228.64,2433.65,2450.63,2098.57,2471.62,2213.46,2359.14,2814.75,2704.65,1916.32
1932,2393.05,2358.23,2621.63,2602.30,2166.26,2614.78,2419.23,2523.83,2998.66,2905.11,1917.19
1933,2703.39,2967.48,3074.71,3239.32,2278.43,3317.43,2890.57,3291.28,3365.77,3373.56,1961.74
1934,1877.12,1811.01,1953.03,1730.08,1779.51,1739.04,1570.49,1702.94,2222.47,1919.19,1801.71
1935,2311.83,2356.54,2540.13,2414.81,2034.51,2452.30,2168.01,2448.13,2916.21,2678.70,1908.58
1936,2479.28,2578.81,2772.37,2755.64,2188.22,2785.01,2554.30,2732.71,3079.63,3018.63,1912.56
1937,2483.08,2568.44,2756.14,2762.44,2180.67,2814.76,2473.80,2745.06,3102.95,2988.56,1952.16
1938,2777.96,2859.50,3081.83,3277.80,2417.66,3235.88,3076.10,3068.57,3526.68,3659.54,2052.50
1939,2237.51,2419.90,2557.27,2570.52,2063.70,2596.59,2395.18,2526.59,2701.45,2762.57,1582.43
1940,1790.39,1899.02,1859.64,1986.45,1790.20,1976.22,1817.52,1915.55,2091.09,2084.96,1442.82
1941,2261.33,2422.38,2410.26,2773.46,2101.26,2765.61,2495.64,2645.38,2689.21,2827.04,1723.28
1942,2454.37,2372.56,2602.40,2427.22,2157.49,2462.16,2191.15,2420.86,3028.15,2745.87,2255.00
1943,2986.01,3003.69,3354.77,3179.10,2444.65,3275.46,2876.52,3244.03,3773.37,3496.11,2503.05
1944,2567.01,2536.63,2801.29,2534.83,2198.77,2615.12,2258.16,2603.97,3190.05,2865.51,2294.04
1945,2866.33,2762.36,3030.62,2887.63,2430.56,2958.02,2599.92,2931.00,3544.94,3221.87,2677.10
1946,2342.84,2505.59,2517.29,2566.86,2132.52,2582.87,2392.25,2557.62,2785.60,2749.56,1920.96
1947,2267.32,2519.65,2594.17,2634.64,1964.19,2701.11,2314.49,2700.27,2714.84,2711.10,1685.54
1948,2636.90,2522.76,2813.83,2907.51,2354.52,2912.19,2689.05,2770.91,3299.18,3229.32,2217.31
1949,3022.53,2862.73,3158.84,3442.73,2537.23,3499.59,3130.49,3380.02,3740.99,3672.88,2703.33
1950,2461.18,2439.88,2595.84,2591.84,2173.06,2604.53,2371.26,2500.07,3031.21,2859.78,2179.51
1951,2870.00,2860.76,3091.45,3194.79,2427.54,3219.37,2917.37,3107.73,3572.67,3457.54,2449.70
1952,2328.54,2158.72,2422.47,2560.18,2102.73,2535.08,2344.22,2357.38,2941.44,2817.78,2031.71
1953,2817.20,2704.97,3099.84,2872.95,2385.27,2974.26,2604.26,2938.61,3586.26,3257.77,2445.67
1954,3158.05,3280.14,3555.48,3549.46,2546.26,3580.94,3208.49,3480.83,3908.72,3785.89,2603.51
1955,2719.14,2738.58,3025.50,3133.26,2325.47,3167.77,2822.24,3045.17,3418.41,3349.77,2145.91
1956,2956.64,2952.48,3231.03,3300.24,2454.47,3332.68,2969.25,3217.82,3705.71,3556.54,2503.41
1957,1969.97,2027.92,2147.22,1843.22,1813.96,1949.20,1614.51,2015.35,2384.78,2066.93,1728.68
1958,1945.98,2021.88,2106.62,2130.36,1920.36,2126.03,1978.50,2044.73,2381.03,2384.72,1452.17
1959,2175.13,2122.87,2309.08,2300.51,1984.38,2331.71,2056.82,2288.58,2647.74,2497.19,1894.60
1960,2245.71,2128.89,2343.56,2433.33,2095.57,2423.90,2247.18,2300.94,2813.41,2713.49,1903.17
1961,1792.23,1929.70,1971.95,1850.43,1535.67,1887.19,1673.09,1892.35,2214.73,2077.26,1490.99
1962,2104.08,2076.68,2277.61,2172.74,1843.60,2222.73,1927.43,2189.11,2658.30,2388.67,1819.71
1963,2411.03,2208.11,2457.55,2309.54,2310.46,2335.26,2155.80,2271.45,3023.12,2771.85,2192.40
1964,2040.49,2031.11,2273.93,2188.37,1631.50,2264.13,1913.99,2204.48,2646.33,2346.34,1748.60
1965,1886.98,2037.11,2076.75,2001.21,1662.82,2040.28,1821.31,2033.28,2330.22,2222.24,1512.49
1966,2296.75,2365.11,2485.14,2431.50,2092.87,2476.02,2172.57,2441.43,2771.86,2662.02,1915.29
1967,2596.08,2682.42,2839.19,2871.97,2289.02,2903.76,2609.54,2859.71,3173.30,3057.15,2124.67
1968,2663.83,2488.68,2783.78,2734.59,2550.61,2724.09,2544.64,2603.74,3277.57,3152.94,2303.98
1969,2176.03,2142.23,2285.23,2488.66,2030.34,2453.76,2285.91,2286.94,2714.72,2698.22,1761.50
1970,2710.85,2859.22,2918.53,3173.36,2516.86,3167.66,2894.28,3048.11,3173.28,3299.25,2141.14
1971,2582.67,2723.08,2804.78,2981.32,2478.59,2985.44,2728.32,2902.74,3056.48,3187.43,1941.60
1972,2451.32,3013.79,3025.71,2972.78,2073.40,3084.02,2678.90,3149.41,2866.22,3037.78,1504.80
1973,2317.43,2514.22,2555.77,2767.25,2115.28,2743.57,2488.09,2648.43,2732.72,2867.98,1743.50
1974,2364.21,2218.05,2488.47,2560.20,2147.65,2528.15,2346.83,2373.76,2979.54,2846.81,2036.94
1975,2561.77,2624.27,2810.71,2942.33,2362.54,2962.08,2650.48,2846.00,3100.82,3147.26,1977.05
1976,2841.92,2887.23,3189.91,3325.80,2454.48,3390.36,3055.53,3290.78,3502.43,3433.74,2217.07
1977,2088.68,2023.91,2194.55,2205.65,1915.27,2211.37,2031.98,2131.08,2603.35,2468.96,1797.77
1978,2140.70,2235.05,2323.44,2405.98,1957.35,2395.00,2225.42,2314.87,2582.17,2605.94,1697.35
1979,2516.43,2527.30,2708.60,2817.87,2365.88,2795.07,2594.92,2643.91,3058.08,3092.94,1998.20
1980,2261.22,2321.89,2422.82,2320.92,1970.63,2327.33,2106.45,2283.60,2785.04,2552.69,1995.98
1981,2528.79,2837.91,2881.12,2646.96,2199.37,2688.97,2428.33,2754.44,2991.94,2882.11,2006.04
1982,2150.01,2276.56,2496.06,2178.03,1874.77,2241.58,2016.45,2238.77,2720.06,2519.91,1637.36
1983,1888.35,2175.36,2114.88,2331.06,1602.87,2297.83,2155.72,2190.40,2331.65,2411.24,1348.77
1984,2688.98,2734.81,2929.23,2926.71,2354.68,2935.02,2624.71,2829.34,3305.17,3160.25,2257.00
1985,2201.27,2262.50,2401.90,2180.21,1981.44,2174.99,1972.91,2110.89,2671.04,2504.48,1895.67
1986,2157.41,2282.79,2496.73,2201.41,1774.51,2291.25,1944.20,2306.01,2725.24,2453.29,1743.66
1987,2252.61,2156.85,2373.04,2339.30,2088.94,2340.56,2149.24,2261.87,2792.16,2622.27,1957.30
1988,2384.52,2664.13,2785.49,2630.93,2014.18,2712.15,2296.32,2723.20,2910.58,2779.35,1788.61
1989,2486.05,2452.31,2769.18,3115.62,2235.66,3060.37,2878.19,2794.79,3177.21,3347.99,1748.71
1990,3050.51,2667.26,3069.55,3387.97,2669.06,3343.86,3160.94,3092.23,3850.61,3720.07,2853.71
1991,2263.61,2223.30,2410.62,2404.90,2065.38,2408.92,2153.32,2313.22,2790.79,2661.91,1933.08
1992,1782.67,1749.53,1765.57,1755.17,1836.48,1737.13,1663.98,1683.07,2074.75,1996.09,1612.34
1993,2504.71,2620.83,2821.53,2675.39,2123.44,2747.66,2379.28,2734.17,3111.67,2891.24,2040.97
1994,2213.18,2324.83,2465.00,2321.94,2013.98,2355.00,2087.90,2328.27,2670.49,2563.36,1777.45
1995,2216.66,1944.33,2379.56,2069.09,1947.73,2077.42,1852.54,1947.51,2892.47,2475.72,2064.96
1996,2511.99,2475.56,2711.93,2776.55,2246.46,2774.54,2585.93,2654.27,3126.48,3066.67,2060.84
1997,2273.32,2296.30,2584.92,2276.47,1978.16,2372.01,2065.09,2373.88,2911.65,2623.90,1822.99
1998,2431.32,2285.84,2729.74,2248.90,2018.35,2312.57,1994.56,2254.09,3129.69,2650.99,2212.77
1999,2648.95,2751.03,3108.15,2582.36,2146.99,2671.93,2307.20,2696.88,3274.50,2928.54,2232.03
2000,2937.56,2792.51,3201.17,3265.90,2482.03,3275.99,2994.21,3093.16,3721.48,3585.08,2493.98
2001,1929.87,1833.29,1945.73,1878.96,1907.75,1860.83,1723.89,1803.49,2341.29,2126.42,1772.75
2002,2327.33,2441.56,2565.87,2479.95,2091.38,2520.64,2270.42,2506.70,2781.68,2703.34,1904.24
2003,2131.11,1933.75,2240.82,2136.40,1954.27,2142.10,1924.11,2043.51,2655.93,2432.24,1939.88
2004,2323.28,2113.53,2342.44,2342.36,2129.17,2287.13,2234.75,2130.49,2926.70,2717.84,2174.21
2005,2741.24,2613.27,2884.88,3015.19,2371.67,3034.16,2758.21,2853.92,3406.36,3277.29,2432.96
2006,2660.11,2561.36,2748.90,2849.61,2281.83,2839.35,2635.16,2691.52,3327.94,3133.30,2436.11
2007,2889.94,2846.49,3195.24,3249.63,2396.59,3261.66,2945.11,3122.44,3583.60,3490.97,2437.89
2008,2943.96,3014.30,3368.07,3488.48,2382.46,3557.84,3146.21,3445.61,3768.46,3692.45,2233.88
2009,2178.08,2234.03,2371.22,2338.44,1995.99,2385.70,2115.54,2364.21,2701.83,2524.34,1759.54
2010,2615.46,2640.54,2834.57,2560.74,2225.37,2578.06,2323.35,2566.12,3240.74,2898.81,2369.72
2011,2592.99,2469.82,2630.72,2803.40,2338.21,2767.16,2627.87,2634.44,3213.53,3109.19,2341.50
2012,2353.88,2437.21,2556.45,2584.01,2121.33,2619.82,2397.26,2575.97,2909.22,2829.69,1880.95
2013,2459.41,2531.21,2625.08,2714.91,2225.14,2689.35,2529.36,2605.21,2981.22,2934.84,2045.86
2014,1795.75,1454.87,1692.23,2370.59,1948.93,2241.08,2194.94,1806.91,2103.34,2475.41,1484.03
2015,2102.20,2340.44,2331.58,2534.13,1989.56,2542.67,2329.61,2506.14,2333.55,2601.84,1539.70
2016,2255.25,2032.88,2262.36,2607.57,2119.55,2559.41,2424.44,2330.24,2845.82,2814.73,1953.43
2017,2366.50,2368.75,2530.21,2759.12,2161.54,2739.36,2578.51,2593.53,2875.07,2983.78,1886.25
2018,2262.52,2123.48,2367.00,2288.33,2094.39,2267.42,2143.79,2157.27,2815.84,2593.16,2026.22
2019,2364.56,2306.21,2527.91,2407.59,2052.95,2456.54,2131.66,2429.42,2903.22,2647.66,2147.99
2020,2731.72,3006.05,3230.47,3372.37,2182.86,3489.63,2928.86,3498.85,3319.94,3444.04,1940.31
