Variable:,pr
,Belize,Belize,Cayo,Corozal,"Orange Walk","Stann Creek",Toledo
1967,1929.06,1764.50,1827.50,1467.91,1420.60,2209.83,2724.26
1968,2046.07,1822.55,1943.31,1519.60,1477.61,2322.67,2977.35
1969,2348.99,1994.91,2234.09,1594.08,1566.21,2689.30,3676.88
1970,1977.67,1689.72,1882.81,1309.62,1353.88,2238.23,3075.80
1971,1734.74,1616.28,1622.79,1324.26,1293.45,1920.39,2468.21
1972,2048.40,1862.16,1908.74,1678.78,1649.84,2193.21,2827.82
1973,1935.21,1649.64,1817.45,1470.22,1471.87,2101.61,2861.92
1974,1918.80,1682.28,1850.59,1347.59,1301.76,2221.47,2873.11
1975,1764.68,1666.22,1649.56,1371.48,1399.75,1956.83,2401.23
1976,2205.83,2094.02,2124.26,1767.84,1701.95,2495.16,2909.37
1977,2094.08,2019.04,1999.05,1716.78,1662.50,2300.03,2736.46
1978,2305.81,2076.73,2185.03,1760.81,1742.90,2590.55,3261.41
1979,2657.95,2429.35,2548.17,1950.48,1872.88,3060.67,3818.86
1980,2455.35,2170.88,2412.81,1693.06,1729.41,2848.15,3554.72
1981,2288.22,2063.86,2182.75,1636.03,1624.78,2601.27,3356.26
1982,2427.03,2303.90,2279.87,1984.29,1844.44,2676.00,3320.58
1983,2182.99,2019.01,2056.00,1678.66,1627.08,2403.20,3109.06
1984,2378.30,2142.49,2248.97,1881.19,1748.34,2627.66,3409.29
1985,1985.55,1813.93,1922.30,1461.52,1522.04,2200.21,2759.29
1986,1891.89,1731.87,1796.51,1479.74,1476.41,2058.35,2624.96
1987,1768.36,1578.35,1707.61,1221.23,1346.62,1958.51,2538.31
1988,2484.34,2274.08,2330.38,1866.59,1825.00,2805.62,3567.98
1989,2286.05,2168.87,2191.61,1704.92,1718.73,2565.85,3143.71
1990,2416.82,2240.43,2359.38,1703.64,1768.53,2820.09,3345.93
1991,1984.58,1805.88,1924.13,1467.60,1489.76,2240.65,2767.81
1992,2363.62,2109.80,2297.40,1584.45,1735.49,2765.24,3380.03
1993,2340.10,2111.25,2230.85,1676.19,1690.34,2703.49,3374.79
1994,1859.72,1691.30,1778.19,1421.82,1406.54,2050.87,2618.22
1995,2319.46,2026.14,2221.30,1586.31,1699.45,2653.36,3416.20
1996,1991.80,1750.65,1904.00,1385.73,1431.61,2250.95,2956.93
1997,2147.89,1899.11,2083.58,1530.56,1598.25,2416.08,3082.79
1998,2401.22,2230.57,2279.18,1784.89,1755.37,2789.41,3368.75
1999,2127.73,1941.16,2018.39,1589.07,1582.68,2346.95,3055.82
2000,2086.68,1867.02,1988.90,1556.71,1509.58,2366.46,3016.45
2001,2128.86,1841.09,2043.51,1504.05,1549.37,2406.84,3148.50
2002,1923.49,1757.72,1828.80,1457.59,1436.40,2141.00,2727.35
2003,1909.53,1780.91,1831.65,1454.31,1464.39,2133.87,2616.72
2004,1917.57,1719.61,1819.53,1451.87,1412.25,2179.90,2744.85
2005,2168.17,1954.87,2095.22,1621.75,1682.62,2355.05,3032.61
2006,2736.18,2565.64,2565.26,2185.07,2064.00,3125.72,3748.74
2007,2031.78,1887.31,1945.70,1536.68,1538.75,2256.61,2825.27
2008,2287.97,2094.00,2161.54,1757.26,1681.87,2601.60,3240.19
2009,1823.91,1679.11,1740.51,1348.20,1319.50,2065.97,2604.65
2010,2309.12,2042.35,2188.36,1712.71,1694.99,2543.28,3398.41
2011,2481.48,2285.21,2380.05,1791.15,1799.50,2877.58,3505.34
2012,2074.39,1887.58,1953.33,1604.13,1579.06,2291.80,2934.06
2013,2936.73,2754.08,2787.22,2293.94,2249.11,3209.19,4065.60
2014,2233.30,2126.10,2117.03,1785.44,1731.73,2524.11,2980.16
2015,1848.53,1750.60,1784.64,1396.36,1428.43,2074.72,2483.60
2016,2079.64,1895.27,2003.14,1519.12,1551.67,2330.64,2937.16
2017,2120.89,1947.04,2000.29,1593.63,1546.98,2469.39,2997.25
2018,2341.68,2295.48,2191.60,1937.59,1920.27,2565.93,3017.49
2019,1555.84,1437.47,1493.46,1139.18,1286.59,1705.52,2089.41
2020,2045.02,1838.44,1957.61,1569.58,1535.28,2260.21,2897.30
