Variable:,pr
,Rwanda,East/Iburasirazuba,"Kigali City/Umujyi wa Kigali",North/Amajyaruguru,South/Amajyepfo,West/Iburengerazuba
1980,1189.53,921.78,967.26,1213.12,1299.27,1488.84
1981,1174.28,906.84,961.22,1171.02,1307.47,1458.77
1982,1191.74,954.07,946.90,1138.39,1329.16,1451.27
1983,1171.87,919.23,960.38,1210.31,1268.13,1451.58
1984,1052.85,834.16,850.05,1132.62,1102.57,1311.69
1985,1134.33,951.22,976.84,1141.71,1198.93,1354.03
1986,1108.18,919.42,926.25,1072.02,1191.44,1339.42
1987,1187.80,990.72,1055.38,1222.78,1250.74,1413.65
1988,1230.95,1003.71,1079.30,1275.39,1316.91,1472.92
1989,1079.33,880.57,931.73,1072.04,1175.33,1294.55
1990,1113.86,928.47,945.72,1092.62,1195.10,1336.91
1991,1117.21,917.62,949.09,1132.78,1187.05,1351.90
1992,1075.93,861.73,919.14,1129.26,1139.43,1322.08
1993,1061.82,866.51,911.87,1109.72,1116.74,1288.52
1994,1221.06,1000.77,1051.64,1267.21,1283.26,1482.01
1995,1175.56,956.93,1018.34,1209.31,1246.73,1428.33
1996,1129.55,950.22,978.16,1190.40,1163.78,1348.02
1997,1207.35,998.20,1015.47,1207.69,1284.96,1457.04
1998,1218.30,1007.09,1017.62,1215.81,1300.88,1470.59
1999,1040.59,811.45,836.67,1029.44,1147.77,1295.44
2000,1049.31,857.21,880.63,1062.94,1118.60,1274.50
2001,1377.23,1053.88,1118.76,1416.91,1488.18,1751.95
2002,1157.34,966.43,978.30,1142.93,1237.25,1384.77
2003,1205.22,928.17,972.45,1215.55,1309.35,1528.25
2004,849.90,710.39,715.37,850.53,897.45,1022.29
2005,975.20,779.26,805.50,978.29,1052.05,1201.72
2006,1301.06,1081.84,1113.85,1309.66,1386.31,1556.50
2007,1281.38,1069.12,1088.67,1334.23,1328.50,1546.85
2008,1092.33,885.35,923.45,1091.20,1174.87,1329.56
2009,1204.36,1013.61,1032.71,1233.41,1268.91,1429.61
2010,1331.69,1072.74,1126.23,1382.05,1407.85,1637.01
2011,1382.46,1071.19,1126.74,1326.30,1551.77,1722.55
2012,1081.09,876.13,921.18,1148.46,1125.33,1328.82
2013,1206.23,1010.78,1029.57,1217.87,1276.64,1437.49
2014,1187.14,957.21,997.19,1205.16,1274.49,1450.26
2015,1232.76,1033.19,1060.49,1245.76,1309.28,1463.90
2016,1225.16,1015.20,1045.07,1245.11,1306.14,1464.48
2017,1122.43,916.77,951.16,1139.25,1194.59,1364.05
2018,1124.17,901.83,930.22,1126.34,1210.05,1384.98
2019,1350.47,1043.26,1098.94,1375.57,1454.51,1713.29
2020,1345.30,1082.39,1117.06,1331.58,1461.54,1645.86
