Variable:,pr
,Mexico,Aguascalientes,"Baja California","Baja California Sur",Campeche,Chiapas,Chihuahua,Coahuila,Colima,"Distrito Federal",Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,"Nuevo Leon",Oaxaca,Puebla,Queretaro,"Quintana Roo","San Luis Potosi",Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
1911,693.32,427.17,173.44,185.00,1139.62,1951.94,459.11,295.22,1013.25,779.40,592.53,460.00,832.04,819.95,823.55,741.73,801.04,651.51,1047.46,409.21,1163.94,778.02,525.18,1091.71,520.10,781.96,433.86,2226.47,533.47,596.29,1505.01,828.42,416.25
1912,695.31,402.76,175.31,180.09,1297.52,2051.48,355.39,231.85,929.23,898.39,425.43,486.73,961.32,920.48,773.34,847.90,800.52,825.11,918.36,399.42,1323.85,926.27,581.59,1219.60,525.38,569.99,402.43,2397.56,596.80,685.39,1721.21,990.15,375.80
1913,788.92,770.05,156.82,180.17,1476.04,1978.71,389.22,358.45,1078.11,1174.05,408.28,784.30,1121.72,1300.39,979.55,1148.09,1095.07,1026.19,755.95,561.05,1320.94,1166.63,864.26,1474.05,864.25,545.22,355.54,2340.12,753.17,872.19,1854.79,1250.94,518.42
1914,751.01,510.52,203.15,183.39,1552.12,1966.28,488.19,317.09,1050.30,817.06,481.94,524.97,844.00,879.71,869.84,773.44,837.47,693.48,942.07,534.41,1143.57,884.35,562.69,1612.68,581.66,664.11,512.09,2223.22,693.06,678.41,1516.74,1387.55,426.86
1915,692.39,526.38,217.91,184.20,1236.67,1923.05,410.95,254.55,1050.90,658.35,588.61,479.25,832.17,688.72,898.13,627.63,812.28,604.61,1150.34,376.36,1198.91,713.18,468.57,1238.14,548.92,787.33,385.34,2195.83,542.97,491.67,1493.75,987.26,454.31
1916,742.77,445.68,206.78,184.20,1808.41,1893.41,398.37,318.02,1050.79,796.10,589.71,376.92,881.06,682.72,855.38,696.30,751.22,689.10,1150.30,508.63,1213.94,778.64,436.00,1885.45,454.61,787.33,390.08,2187.34,615.73,578.37,1459.64,1751.15,447.05
1917,587.39,417.11,150.57,181.70,1123.24,1855.50,287.91,155.60,1050.68,684.64,463.64,308.63,803.78,590.26,804.30,571.63,703.52,568.85,895.50,198.20,1114.70,673.79,358.51,1046.81,353.92,637.29,364.64,2107.82,357.13,486.55,1342.47,777.77,365.73
1918,702.19,467.29,195.33,181.58,1170.43,2252.64,383.51,258.24,1050.82,785.98,480.66,432.04,876.57,745.62,839.04,716.92,799.36,682.84,908.50,376.10,1449.84,819.15,481.80,1120.77,484.71,639.28,355.53,2646.35,532.04,586.71,1768.74,870.67,418.75
1919,843.99,519.96,155.96,183.48,1469.16,2244.18,447.06,488.36,1050.90,981.59,558.88,558.94,1079.44,1093.76,891.30,948.17,925.50,896.36,1104.60,687.62,1590.55,1120.18,654.39,1407.84,648.19,762.50,463.04,2618.36,761.34,768.04,2123.98,1196.23,474.82
1920,642.10,406.65,199.25,183.06,1189.21,1893.11,401.47,269.85,1050.67,726.74,515.04,322.19,840.96,614.79,812.89,617.66,704.89,642.99,969.72,290.72,1216.14,751.94,381.22,1154.11,367.55,692.40,344.44,2032.30,419.01,550.81,1403.92,916.56,391.38
1921,693.80,482.73,207.16,172.84,1399.17,2194.04,351.37,246.43,792.85,729.27,444.11,469.07,885.22,712.59,697.59,690.59,725.65,649.94,868.83,368.80,1362.59,732.22,524.01,1383.91,536.47,594.27,389.32,2547.74,524.94,515.04,1630.08,1135.11,432.89
1922,722.56,544.74,193.32,180.07,1172.70,1892.97,312.31,300.51,876.81,1019.70,550.73,619.71,1070.70,1091.98,806.50,990.68,907.99,932.58,1135.56,568.99,1156.01,1065.60,711.87,1210.10,698.21,707.02,342.26,2135.55,762.43,791.07,1703.24,948.12,481.37
1923,732.76,547.09,196.24,192.31,766.51,1368.46,541.36,379.52,1016.44,963.58,762.33,619.91,953.62,1082.86,886.44,951.64,953.25,857.95,1046.47,521.29,1233.03,1018.97,688.96,899.77,674.13,998.07,451.30,1597.32,677.78,763.57,1684.93,651.55,473.35
1924,687.40,411.13,124.97,178.10,1253.48,2036.19,339.94,210.16,974.16,1116.63,504.99,483.41,1346.72,818.94,788.86,1010.63,960.00,1083.76,1034.45,396.79,1223.24,945.45,526.83,1250.88,486.55,736.70,278.09,2166.82,559.11,704.67,1429.32,1027.04,358.73
1925,829.86,625.64,176.46,181.61,1349.47,1942.21,485.81,264.02,1080.02,1172.64,633.11,718.06,1194.46,1418.95,936.55,1122.27,1032.62,1054.70,1120.20,468.94,1562.40,1358.66,842.70,1385.23,790.63,848.90,370.12,2431.17,675.00,949.52,2181.08,1150.10,481.93
1926,779.77,592.57,206.67,208.31,1146.82,1911.58,429.83,354.34,954.07,941.50,716.88,672.94,1122.22,1035.66,892.87,994.07,1000.17,934.94,1321.93,496.61,1419.89,972.26,741.87,1115.92,668.07,921.56,424.98,2119.53,659.31,727.20,1711.92,853.58,535.86
1927,754.11,536.75,232.98,198.07,1372.72,2229.92,398.84,225.90,1043.86,774.09,628.48,609.96,1041.64,1002.05,929.89,859.71,917.26,761.31,1233.18,385.59,1318.02,908.73,667.56,1175.98,583.62,897.39,417.31,2521.07,575.72,673.67,1633.10,932.96,424.75
1928,710.09,559.77,111.22,168.02,1118.27,2078.92,358.78,289.05,979.73,822.00,518.94,646.99,1167.89,1061.65,823.08,942.47,1066.13,759.91,989.46,420.30,1212.37,938.15,712.42,1074.79,625.29,690.60,301.74,2423.07,578.91,688.07,1695.15,837.21,416.30
1929,679.78,501.01,125.03,172.25,1353.68,2081.45,332.02,233.71,793.09,768.52,388.86,591.28,1081.31,932.85,727.10,858.15,943.74,722.21,893.37,323.93,1227.64,864.39,620.77,1314.94,511.73,616.24,366.09,2297.64,495.70,631.90,1582.97,1087.52,326.66
1930,764.54,618.86,193.79,199.87,1497.85,1946.43,436.13,315.26,864.44,872.55,679.81,657.59,888.46,1065.91,831.87,939.22,950.07,798.81,1008.76,544.00,975.80,929.66,717.25,1516.00,693.02,875.42,456.86,2276.55,725.80,726.54,1509.71,1308.15,496.74
1931,813.07,558.81,263.89,191.05,1204.53,2199.90,460.39,325.59,900.47,1079.01,655.23,707.64,1233.22,1237.37,860.95,1100.66,1062.05,1013.33,1192.68,461.09,1355.64,1080.76,830.41,1134.62,749.64,865.48,492.64,2512.05,666.30,861.35,1869.51,873.44,467.98
1932,795.22,469.18,216.55,172.39,1425.14,2212.80,436.83,337.20,972.89,971.73,586.29,553.12,1164.80,1047.21,809.27,983.79,1010.90,939.85,1094.29,468.39,1447.65,1008.83,677.74,1424.90,599.12,753.35,383.02,2845.35,651.67,746.68,1861.08,1212.80,399.91
1933,798.94,659.14,155.50,153.45,1343.39,2134.14,396.82,282.31,1063.90,944.98,615.73,794.11,1090.76,1208.06,919.31,998.70,1105.81,847.59,1239.35,652.61,1316.77,1007.28,876.21,1283.47,818.17,838.12,373.02,2128.12,904.19,761.93,1754.69,1140.98,501.87
1934,685.92,630.43,150.76,156.02,1138.50,1652.38,292.45,241.22,995.87,1035.46,501.74,717.67,1001.55,1106.00,890.14,972.88,955.37,907.81,1037.64,438.96,1145.32,1083.13,753.13,1194.24,716.97,710.53,325.33,1925.61,586.01,820.31,1652.16,985.52,468.69
1935,784.54,704.88,236.69,200.04,1161.43,1842.89,401.70,368.52,1023.09,1029.12,685.58,870.34,1068.24,1241.64,922.25,1087.45,1135.38,936.39,1039.42,558.22,1213.64,1031.67,930.94,1063.44,888.15,885.34,410.21,2171.89,775.33,824.79,1708.05,881.30,533.73
1936,772.50,546.06,226.55,179.71,1473.62,2161.62,382.50,305.00,1062.13,920.27,664.00,599.98,1051.54,1048.33,863.82,937.69,1044.51,814.53,1101.50,485.52,1289.38,968.82,672.49,1465.99,633.97,842.25,333.54,2330.43,695.03,752.33,1639.90,1190.47,460.71
1937,773.04,525.48,181.55,165.49,1644.90,2386.08,387.66,258.76,990.60,1047.43,483.21,590.12,1082.97,1049.45,829.17,994.22,1003.31,914.08,943.43,395.41,1422.81,1073.80,650.08,1378.63,570.98,740.61,391.70,3037.99,515.51,835.69,1791.62,1145.42,379.50
1938,696.80,419.68,216.40,150.90,1305.95,1774.96,465.77,307.51,808.78,848.72,676.35,431.62,942.13,876.74,774.34,815.85,798.13,762.61,1032.60,482.24,1054.09,880.24,493.97,1225.85,502.66,781.25,335.84,2068.55,630.27,671.20,1389.26,1044.43,451.17
1939,674.45,400.95,149.20,188.94,1145.90,1690.49,410.46,306.37,824.48,845.23,654.23,508.17,927.70,880.03,742.45,887.42,935.42,762.59,992.57,436.69,1014.52,861.56,564.62,1152.64,494.44,864.18,347.59,2026.13,499.76,676.07,1441.52,959.67,413.10
1940,644.18,376.57,232.46,124.11,1364.55,1659.15,428.80,341.40,782.07,798.12,497.47,419.97,796.09,782.86,679.43,786.54,741.76,696.77,830.07,469.94,756.96,777.20,469.91,1316.33,437.84,692.31,413.95,2174.22,537.97,605.44,1228.22,1086.78,388.37
1941,841.24,649.85,294.52,132.85,1182.45,1944.04,525.71,414.40,1144.62,1150.92,678.31,830.55,1201.75,1415.98,974.50,1199.97,1303.11,1008.65,957.77,632.30,1274.47,1211.38,916.44,1316.61,773.91,702.46,404.06,2180.39,839.31,907.44,2002.31,1029.29,524.14
1942,732.74,467.30,121.44,82.37,1244.34,2113.90,428.84,301.80,890.74,1045.69,548.27,555.31,932.90,1038.19,787.26,986.71,928.64,859.21,960.76,523.46,1255.08,1032.09,605.81,1245.12,557.04,751.98,352.60,2378.05,731.04,782.06,1721.55,943.37,434.49
1943,759.40,524.21,188.59,209.15,1166.56,2306.70,453.23,291.41,919.91,920.24,815.18,561.37,1075.19,996.58,871.78,932.16,949.33,792.91,1092.80,386.81,1086.11,910.59,621.26,1161.26,527.49,1090.13,415.10,2559.43,506.71,698.05,1476.41,909.40,550.19
1944,739.46,535.73,230.11,134.96,1050.21,2184.17,382.92,308.85,928.20,1033.24,492.51,584.88,1008.16,1138.33,844.65,984.17,943.41,892.17,1055.79,585.84,1376.65,1052.60,725.98,874.43,704.03,736.70,366.92,2211.40,850.85,803.82,1710.13,737.68,411.04
1945,614.82,372.31,195.31,111.33,1088.60,1767.09,313.13,260.13,809.76,784.91,446.84,395.85,888.47,749.73,711.42,723.59,719.35,827.43,997.78,371.28,1146.37,848.14,440.85,1030.33,445.97,708.86,301.75,1942.90,484.26,604.88,1472.62,811.58,324.75
1946,753.36,556.93,158.49,151.30,1276.06,1691.73,423.23,331.43,1044.49,1028.73,611.85,563.86,1094.74,1046.68,893.51,975.09,972.74,954.18,1162.36,472.08,1337.38,1074.84,622.61,1289.59,573.31,769.62,439.56,2151.75,643.23,792.83,1741.68,1071.29,466.18
1947,756.06,501.28,120.78,147.73,1490.40,2270.37,371.08,295.48,1044.54,1103.77,562.20,676.84,996.72,1100.29,843.70,1031.26,1020.56,1031.15,961.46,426.60,1282.29,1115.70,695.31,1343.69,614.24,709.69,306.91,2680.99,545.59,862.50,1778.36,1220.10,456.39
1948,732.40,544.84,124.14,196.17,1319.55,2145.71,346.32,300.28,1012.42,1093.27,586.91,626.00,1195.17,1011.90,909.11,1049.27,939.12,964.73,1160.54,511.19,1006.89,944.61,683.68,1257.86,589.66,866.46,378.71,2231.02,593.06,767.12,1449.53,1090.40,463.14
1949,676.09,414.89,152.10,251.84,1058.03,1894.71,479.67,351.20,742.72,755.55,570.85,449.89,942.38,752.04,741.21,712.20,723.10,736.19,964.16,411.59,1076.20,842.75,447.08,1013.76,472.76,774.09,430.75,2086.23,512.39,589.83,1394.18,893.80,355.51
1950,661.25,417.26,90.47,110.61,1152.10,1711.86,334.37,275.14,990.62,951.88,450.41,481.44,1067.58,721.92,825.73,870.69,873.29,882.61,1239.03,325.67,1378.23,940.24,453.30,1121.67,437.69,687.95,311.24,2032.31,500.79,680.64,1624.09,973.44,345.36
1951,692.05,506.47,201.09,169.25,1184.60,1973.00,270.89,212.75,1108.26,1006.92,492.96,546.53,985.12,956.42,866.68,922.86,864.23,849.89,965.62,485.98,1335.40,973.89,615.10,1022.44,661.72,649.23,337.74,2348.98,682.79,766.90,1597.31,905.86,433.74
1952,756.00,583.01,238.62,148.97,1405.78,2118.68,346.61,153.64,1120.82,1072.00,421.83,571.27,1250.51,1180.51,982.18,1028.88,943.58,1075.94,1231.10,283.23,1382.31,1274.81,649.39,1472.16,711.04,695.76,331.60,2256.15,610.30,935.69,1954.00,1322.45,349.25
1953,629.87,499.58,89.52,129.68,1238.99,1872.16,283.19,244.99,746.84,831.66,483.66,588.79,938.32,899.26,790.06,832.69,806.64,864.40,926.30,388.33,969.67,936.01,633.38,1227.74,535.16,668.93,261.63,1993.79,447.42,720.42,1325.35,1073.83,408.63
1954,756.50,414.43,131.36,171.31,1411.13,2493.94,408.64,198.05,1193.12,1073.62,506.10,511.61,1207.01,1035.17,907.83,1029.75,954.96,1038.76,1245.96,329.59,1326.50,1127.76,596.13,1240.98,583.50,668.82,364.56,2545.90,606.07,871.59,1803.93,970.58,323.13
1955,817.79,530.81,113.00,128.20,1341.68,2594.41,412.99,314.56,1305.74,1109.52,521.43,702.79,1273.26,1111.29,989.58,1059.75,1267.22,1062.67,1248.01,448.83,1465.84,1149.21,697.20,1273.80,614.69,781.25,373.83,3058.36,618.89,896.37,1854.56,1005.61,441.18
1956,667.90,448.79,47.52,181.75,1368.45,1870.49,254.51,151.46,907.45,1073.54,425.35,506.42,1132.34,1011.07,847.03,992.72,870.18,986.69,1100.93,257.94,1267.89,1066.27,616.30,1416.58,563.41,611.38,283.95,2040.29,511.71,846.99,1683.99,1178.65,333.17
1957,644.02,303.08,176.94,130.72,1267.84,1859.94,359.12,255.16,885.69,705.96,376.81,395.81,1018.18,769.29,670.48,728.86,727.19,772.33,872.65,382.82,1001.85,903.48,462.33,1354.99,473.39,681.76,385.47,2173.72,560.81,650.74,1425.25,1175.01,245.40
1958,989.69,674.35,182.46,261.24,1485.21,2340.88,552.14,504.16,1239.44,1471.48,866.18,950.90,1419.16,1416.19,1185.28,1399.62,1290.15,1287.15,1711.47,664.32,1643.12,1417.66,996.87,1322.25,922.54,1154.87,518.31,2534.20,809.77,1028.60,2273.47,1100.61,669.40
1959,770.92,455.40,143.82,238.25,1189.53,2002.75,385.34,310.61,1107.31,1117.27,535.60,700.95,1160.69,978.23,950.46,1071.42,1071.32,995.48,1384.43,402.29,1277.41,1172.88,744.81,1335.10,642.10,848.44,444.62,2399.90,567.40,913.33,1729.52,1114.85,471.56
1960,718.96,359.99,122.97,188.57,1248.39,2312.89,390.34,316.98,928.32,857.97,531.00,450.19,978.19,884.90,773.09,818.96,794.27,783.15,930.84,445.33,1381.83,1003.07,502.02,1211.03,476.23,704.16,373.42,2223.90,545.63,748.13,1733.40,1021.87,350.37
1961,753.42,408.87,117.69,158.40,1331.97,2157.05,430.59,276.37,852.98,932.50,635.95,441.17,1051.88,967.65,860.93,897.17,893.52,932.54,1206.96,381.60,1259.47,1044.98,562.09,1319.20,545.33,898.11,446.91,2349.24,565.04,763.55,1770.83,1044.75,394.44
1962,668.89,424.89,177.20,234.71,1104.23,1919.03,368.88,194.78,1152.34,963.23,472.31,510.91,1041.81,925.49,925.79,871.13,989.36,822.48,1222.49,346.09,1152.44,924.81,509.21,993.02,490.14,714.47,336.69,1905.90,540.87,748.84,1499.54,814.32,343.00
1963,727.17,563.49,117.86,138.39,1201.90,2100.82,422.44,273.26,1119.69,1098.29,648.89,697.36,949.33,946.68,952.36,1036.86,1010.00,926.48,1205.60,399.68,1102.41,934.57,681.34,1068.02,544.51,888.04,366.03,2523.54,513.73,811.08,1564.68,862.28,460.70
1964,684.47,483.33,87.45,104.39,1249.16,2029.97,335.81,252.38,979.33,1113.18,545.01,640.83,958.81,982.85,827.67,1042.69,964.72,985.13,1023.17,417.31,1100.28,985.66,662.12,1107.37,577.57,702.29,331.01,2150.69,555.54,809.30,1554.64,879.96,389.46
1965,730.95,606.07,264.21,190.79,1316.83,1923.28,351.76,280.03,936.68,1116.08,472.54,693.90,969.85,1122.60,903.92,1073.52,959.36,976.74,1005.43,454.37,1134.70,1117.94,747.35,1308.61,591.63,751.39,381.12,2598.84,575.50,884.31,1694.85,1132.07,402.64
1966,807.43,579.64,169.43,168.10,1347.42,2005.34,472.06,311.93,1107.13,1009.30,593.31,749.01,1046.53,1113.57,1013.57,975.87,1040.89,896.60,1278.38,612.10,1327.28,1095.96,839.20,1385.18,763.57,697.37,415.23,2292.31,828.34,837.10,1827.36,1198.81,483.59
1967,815.16,745.72,203.92,263.36,1262.85,1787.06,434.50,331.53,1258.02,1246.52,582.84,842.80,1238.55,1210.75,1173.08,1177.38,1251.52,990.11,1263.08,697.60,1117.67,1059.28,916.55,1275.79,802.85,789.49,412.77,2413.76,862.51,794.40,1692.19,1112.31,536.66
1968,791.31,521.42,88.57,108.49,1161.21,2006.67,548.20,367.99,1214.68,1195.91,699.84,697.25,986.63,1177.42,896.08,1093.09,1015.47,892.94,1031.15,573.18,1259.87,1053.69,778.65,1211.09,726.53,787.83,402.44,2433.15,731.11,867.13,1815.75,904.94,500.14
1969,781.15,340.85,182.27,125.72,1312.55,2330.14,297.92,242.51,1300.01,1052.70,445.64,492.04,1040.84,1055.73,820.65,931.59,876.86,949.93,1216.60,516.91,1968.32,1122.83,630.35,1323.36,633.88,681.78,345.14,2395.47,771.64,820.08,2219.85,1139.20,307.40
1970,745.59,504.41,138.72,146.41,1151.39,1942.13,375.35,281.05,1184.53,947.75,618.98,628.52,1188.75,1014.06,954.36,882.31,953.09,919.78,1299.47,443.22,1445.83,1025.18,692.08,995.53,672.82,782.71,372.43,2162.92,701.79,763.39,1717.14,813.88,446.94
1971,778.50,602.36,110.04,138.69,1047.37,1993.71,379.39,461.09,1278.98,1113.17,609.51,867.29,1065.84,1127.23,1044.65,1083.00,1092.31,1081.87,1298.14,571.42,1233.76,1136.77,906.00,1019.38,763.50,806.32,396.01,2424.29,649.31,868.65,1741.06,817.15,527.67
1972,771.55,478.93,141.15,257.72,1245.00,1794.63,474.89,318.55,1047.56,1046.12,610.66,488.03,961.70,1114.42,901.53,971.70,936.60,922.55,1193.71,603.87,1166.86,1150.21,630.61,1326.86,679.63,817.30,373.29,2384.86,833.37,887.73,1879.57,1090.40,453.25
1973,844.23,600.08,148.34,132.09,1337.15,2377.88,385.39,397.92,913.74,1162.29,664.53,781.89,1172.65,1156.54,988.61,1097.22,1068.69,1042.78,1305.22,771.94,1495.11,1132.88,844.06,1320.00,777.81,645.83,320.91,2714.83,972.61,887.98,1824.76,1161.71,596.34
1974,724.22,375.53,135.26,154.30,1067.29,1600.90,443.11,268.20,1113.92,946.88,563.39,534.87,1154.89,1182.53,900.53,944.08,969.05,892.92,1109.70,380.71,1396.27,1077.20,682.92,1117.58,631.24,789.43,391.62,1865.14,582.06,778.10,1768.60,1060.33,375.87
1975,720.01,445.77,100.87,104.99,1311.46,1799.42,336.74,288.09,1089.34,1064.88,477.30,609.87,1128.33,1100.83,892.31,1017.30,985.01,913.58,1158.77,574.83,1208.71,1028.74,766.20,1170.13,663.07,684.89,313.72,2245.55,803.94,781.17,1678.34,1003.96,398.45
1976,836.77,676.09,242.16,213.53,1310.03,1680.25,449.36,460.54,1154.61,1324.99,692.48,857.39,1063.21,1441.05,973.95,1227.77,1118.95,1013.42,1126.73,706.28,1257.70,1212.53,1021.00,1437.63,886.12,886.46,378.05,2091.83,873.50,941.35,1878.47,1131.19,605.29
1977,656.93,497.97,195.47,173.46,1310.21,1553.35,352.17,229.50,889.90,965.00,502.78,619.40,947.56,913.94,824.94,931.99,888.13,923.92,1037.24,378.29,955.45,1011.19,613.10,1308.40,529.30,689.98,351.84,1889.16,548.10,753.73,1395.86,1041.73,387.67
1978,838.83,533.85,419.49,250.35,1514.82,1953.01,491.63,433.66,1126.80,1106.27,611.28,643.60,1187.29,1114.26,927.91,1060.06,1020.06,984.53,1218.90,610.33,1410.18,1141.54,751.75,1384.98,657.57,784.20,460.17,2313.12,686.67,835.15,1871.18,1125.99,519.02
1979,688.64,312.12,194.72,199.29,1437.09,2053.96,355.00,252.62,858.44,898.56,451.28,424.23,958.75,935.53,658.65,851.00,767.88,781.82,1003.23,394.45,1290.28,956.63,514.16,1445.75,477.23,627.21,313.00,2412.52,567.28,740.15,1599.14,1155.01,303.83
1980,715.72,529.08,280.75,124.91,1284.45,1789.36,407.05,255.17,984.54,1072.82,557.37,554.96,1110.15,896.17,947.27,1027.16,1014.52,955.56,1231.25,386.08,1270.05,1074.53,541.40,1238.38,451.80,810.78,326.58,1916.87,486.95,794.39,1627.32,1065.45,400.26
1981,871.88,542.83,161.25,226.16,1331.77,2129.90,540.14,431.81,975.04,1211.41,707.12,606.77,1313.09,1212.47,860.93,1151.97,997.21,1183.58,1056.40,625.46,1826.46,1324.22,725.04,1246.13,679.46,900.31,452.40,2036.25,752.12,985.06,2165.43,996.70,501.17
1982,649.63,396.50,252.96,191.15,1482.16,1847.72,356.98,284.88,913.32,763.33,449.62,437.20,767.34,644.75,764.76,700.04,718.46,692.55,857.97,338.09,1025.25,783.00,427.28,1472.50,406.58,701.96,402.70,2127.75,480.98,635.79,1313.71,1062.50,347.47
1983,806.59,598.75,397.80,419.32,1423.27,2009.76,455.85,256.99,1062.87,939.14,604.53,588.88,1050.40,931.20,973.00,892.37,1078.03,831.26,1220.44,549.88,1153.98,975.57,604.14,1490.02,555.98,934.57,590.73,2437.60,653.96,713.96,1543.54,1291.78,496.40
1984,876.60,587.52,262.00,383.48,1418.98,2267.99,579.55,306.40,1126.42,1150.01,810.24,544.21,1341.53,1147.70,927.32,1064.62,1029.57,969.78,1273.16,456.73,1361.79,1210.98,652.84,1349.10,689.07,1188.23,589.46,2109.46,690.69,914.91,1780.79,1109.87,527.36
1985,776.01,623.20,165.15,141.19,1342.33,1946.79,440.45,340.20,748.93,1051.92,596.73,619.29,1184.96,1178.87,903.83,1065.46,881.07,978.15,1113.53,467.54,1250.63,1120.32,741.87,1352.14,680.97,846.38,413.19,2136.12,676.87,844.49,1746.15,1160.84,507.77
1986,729.59,657.11,138.70,129.93,1188.60,1432.18,519.79,437.13,1061.75,955.68,663.58,643.08,825.07,1072.77,881.98,911.33,920.17,780.28,882.42,571.11,1124.23,984.83,704.97,1100.52,671.07,715.70,466.31,1787.92,591.84,725.77,1610.93,839.84,584.53
1987,645.60,519.07,187.00,160.82,1227.93,1298.92,392.54,369.66,833.86,930.51,629.78,391.44,944.50,861.83,747.60,860.51,757.92,858.18,1026.69,507.63,954.45,889.19,476.62,994.32,551.58,636.03,292.77,1543.41,625.39,662.21,1419.21,886.66,526.11
1988,766.87,555.99,121.28,77.95,1478.10,1981.16,415.70,336.96,1174.20,1125.02,570.62,560.04,1207.23,957.52,937.41,1021.24,976.39,979.88,1187.78,576.79,1254.55,905.82,617.10,1486.98,599.52,734.78,402.28,2133.22,639.68,708.30,1609.84,1305.15,490.68
1989,719.61,515.28,100.88,194.76,1460.44,2020.70,390.19,247.98,1060.00,1050.16,514.55,535.85,1235.53,933.45,823.81,995.35,868.99,971.18,1119.64,352.48,1236.54,944.32,620.04,1347.66,541.33,792.86,353.63,2329.70,444.56,686.99,1560.13,1138.79,423.89
1990,815.41,671.41,91.99,240.81,1358.54,1859.60,543.26,406.62,1022.44,1362.34,746.74,680.25,1353.91,1218.95,970.99,1323.43,1021.95,1219.43,1156.41,441.93,1174.54,1137.43,797.75,1185.67,663.14,994.96,476.31,2276.77,525.05,902.46,1661.54,982.59,590.95
1991,750.19,518.11,238.29,222.01,1261.43,1579.06,533.53,367.83,767.51,1144.35,727.25,657.71,1093.46,1169.28,749.53,1079.11,864.08,952.86,964.29,455.14,1069.00,1089.50,805.79,1118.19,664.47,850.69,430.60,1951.35,615.60,823.62,1689.25,939.17,467.31
1992,771.26,528.58,289.87,259.58,1395.43,1704.24,400.81,342.79,1099.92,1198.97,504.71,625.50,1185.78,1138.05,960.93,1133.12,1064.48,1016.85,1242.66,484.35,1333.55,1187.92,696.11,1197.16,624.19,771.03,417.87,2097.66,668.53,900.22,1849.85,960.96,398.30
