Variable:,pr
,Philippines,"Cordillera Administrative region (CAR)","National Capital region (NCR)","Region I (Ilocos region)","Region II (Cagayan Valley)","Region V (Bicol region)","Region VI (Western Visayas)","Region VII (Central Visayas)","Region VIII (Eastern Visayas)","Region XIII (Caraga)","Autonomous region in Muslim Mindanao (ARMM)","Region IX (Zamboanga Peninsula)","Region X (Northern Mindanao)","Region XI (Davao Region)","Region XII (Soccsksargen)","Region III (Central Luzon)","Region IV-A (Calabarzon)","Region IV (Southern Tagalog)"
1955,2274.63,2057.90,2140.98,1941.14,2276.01,2922.12,2123.25,1965.15,2913.99,2818.00,2329.80,2403.72,2599.96,2337.32,1938.40,1966.38,2401.96,1928.31
1956,2920.61,3206.93,3043.25,3066.82,3374.22,3838.27,2679.83,2279.32,3502.76,3199.23,2394.08,2542.16,2885.19,2578.76,2011.96,2946.46,3423.60,2725.73
1957,2037.14,2677.85,2089.20,2447.32,2639.37,2433.83,1822.75,1519.88,2328.31,2098.59,1586.62,1500.64,1947.73,1800.13,1390.01,2081.65,2185.17,1807.60
1958,2071.43,2307.50,2579.03,2219.62,2366.19,2751.49,1887.72,1496.55,2493.48,2015.92,1562.76,1537.94,1863.49,1688.85,1339.97,2488.58,2629.82,2210.11
1959,2183.76,2144.05,2285.91,1961.34,2386.35,2838.76,1979.89,1735.29,2680.75,2484.29,1970.48,1991.79,2359.98,2116.38,1674.10,1998.13,2657.06,2082.98
1960,2445.69,2381.30,3283.21,2413.08,2458.90,3050.79,2274.52,1906.42,2612.52,2612.12,2077.49,2186.84,2487.50,2096.85,1695.78,2855.13,3444.63,2566.12
1961,2364.97,3184.73,2829.51,3244.54,2776.32,2385.31,1814.40,1543.42,2147.94,2598.03,1891.08,1779.65,2173.79,2254.64,1736.47,2971.58,2782.14,2053.49
1962,2541.85,3087.72,2771.36,2990.00,2633.70,2852.73,2260.06,1843.28,2687.93,2989.60,2194.03,2148.57,2514.02,2497.17,1904.38,2793.06,2721.87,2405.60
1963,2142.65,2330.66,2381.98,2445.66,2290.89,2602.08,1738.60,1477.51,2495.49,2678.02,1731.27,1567.35,2151.61,2140.96,1544.54,2558.94,2336.89,1891.55
1964,2626.08,3218.88,3190.71,3035.84,3374.92,3500.94,2235.04,1906.18,2714.92,2628.37,2032.04,2182.34,2401.62,2190.85,1731.28,2940.52,3352.84,2286.54
1965,2332.51,2310.63,2393.11,2253.64,2279.70,3059.00,2087.73,1817.63,2978.51,2804.90,1949.18,1724.66,2415.77,2419.71,1852.19,2456.48,2479.45,2272.11
1966,2451.78,2896.29,3414.29,2914.16,3091.01,3101.90,2202.98,1688.97,2511.13,2182.83,1800.69,1723.97,2118.75,1940.78,1570.02,3162.74,3408.17,2361.77
1967,2239.58,2986.36,2548.12,2957.27,2543.68,2508.17,1886.14,1696.31,2625.68,2341.73,1723.74,1741.56,1998.70,1841.05,1463.07,2685.25,2564.77,2079.56
1968,2009.43,3601.67,1776.00,3561.40,2407.22,1817.46,1450.38,1255.01,2013.04,2065.70,1565.17,1471.43,1758.36,1762.10,1389.63,2348.07,1659.68,1590.93
1969,1961.25,2507.73,2094.85,2479.27,2301.19,2154.46,1618.61,1301.80,1862.85,1988.26,1659.93,1528.81,1946.53,1851.94,1471.23,2209.44,2166.43,1915.54
1970,2450.63,2554.99,2902.52,2472.90,2764.35,3241.58,2042.53,1723.18,2877.24,2687.37,2073.42,1927.07,2393.78,2339.07,1854.40,2714.88,3038.49,2345.17
1971,2833.41,3103.80,3300.20,2815.44,3584.56,3804.69,2452.65,2053.11,3296.89,2963.95,2282.30,2210.16,2700.33,2533.66,2011.44,2894.73,3707.42,2575.90
1972,2447.22,3227.18,2941.10,3594.12,2740.10,2889.74,1912.01,1698.56,2765.73,2560.72,1757.15,1663.38,2129.93,2062.10,1568.15,3463.70,2805.50,1973.15
1973,2335.81,2511.40,2490.63,2355.92,2677.36,3384.81,2242.24,1833.90,2541.87,2383.53,2005.69,2137.13,2346.82,2071.30,1715.69,2326.28,2769.19,2156.87
1974,2506.48,3096.07,2976.15,3284.67,3044.05,2973.21,2033.75,1761.20,2594.01,2634.28,1943.23,2015.94,2262.48,2182.43,1701.12,3109.84,3080.88,2127.59
1975,2315.72,2025.37,2615.67,1976.23,2106.54,3059.87,2172.68,1978.53,2873.76,2870.46,2254.32,2292.64,2583.79,2438.91,1969.57,2085.76,2840.51,2069.80
1976,2217.07,2225.23,2587.19,2269.51,2251.72,3366.82,2044.97,1747.85,2814.16,2336.66,1811.54,1879.39,2057.22,1837.87,1490.09,2654.34,2765.07,2117.37
1977,2216.93,3078.54,2640.13,3058.97,2639.32,2514.68,1790.74,1443.53,2276.05,2161.09,1681.73,1526.57,1949.10,1884.98,1505.86,2641.23,2696.31,2138.02
1978,2223.25,2743.72,2858.17,2789.59,2531.24,2725.25,1662.12,1372.95,2496.04,2321.60,1723.23,1647.79,1996.05,1850.31,1447.15,2920.88,2714.15,2176.53
1979,2052.49,2321.58,2321.45,2386.34,2302.20,2385.67,1905.92,1439.95,2128.97,2194.73,1665.21,1641.77,1965.65,1796.46,1402.13,2431.65,2291.91,2211.60
1980,2399.90,2664.12,2585.07,2527.39,2993.41,2840.35,2193.15,1909.06,2867.85,2754.14,1939.90,1980.94,2383.76,2107.48,1619.71,2551.28,2650.66,2110.02
1981,2173.88,2748.05,2333.23,2675.94,2574.58,2729.58,1659.93,1497.84,2574.68,2506.41,1695.12,1658.49,1986.73,1920.89,1451.84,2418.47,2489.46,1940.58
1982,2044.56,2367.58,1963.63,2423.26,2430.19,2729.52,1779.97,1420.84,2388.86,2273.80,1526.90,1400.48,1860.10,1859.34,1416.70,2430.22,2101.96,1904.49
1983,1977.08,2024.38,1805.75,1917.84,2119.09,2565.34,1984.94,1652.98,2667.68,2088.92,1806.50,1795.46,2123.48,1850.84,1550.06,1808.16,1973.17,1812.21
1984,2536.02,2978.96,2682.56,2911.17,2895.72,2862.95,2531.70,2110.81,2972.03,2681.69,2082.25,2184.92,2388.56,2139.36,1739.62,2907.25,2637.45,2346.78
1985,2503.43,3119.90,2829.16,2943.52,2846.16,2949.39,2188.46,1852.54,2837.48,2718.99,1964.21,1887.48,2411.91,2311.61,1811.10,2766.59,2847.30,2248.18
1986,2682.27,3822.36,3670.11,3678.38,3390.34,2812.22,2116.52,1804.54,2949.92,2722.95,1834.69,1844.43,2203.73,2108.87,1619.59,3436.81,3513.24,2314.36
1987,1871.55,1915.90,2169.28,1875.16,1988.87,2511.33,1754.84,1360.07,2399.97,2082.19,1509.90,1389.71,1795.79,1757.67,1379.37,1918.21,2313.68,1851.58
1988,2462.76,2514.72,3097.04,2563.83,2671.83,3023.50,2420.72,1940.62,3067.39,2523.86,2014.90,2011.66,2318.79,2159.19,1742.07,2784.49,3144.46,2371.49
1989,2524.21,3018.35,2702.83,2931.35,2844.32,3217.29,2169.69,1859.33,3306.35,2664.78,1941.04,1803.93,2418.05,2273.32,1768.94,2780.63,2841.98,2233.20
1990,2376.54,2970.20,3230.00,2850.41,2701.43,2645.88,2104.71,1752.61,2495.81,2395.10,1900.56,2034.51,2227.12,1932.94,1554.78,2924.28,3166.39,2085.03
1991,1962.77,2623.42,2327.36,2527.90,2500.02,2381.02,1704.31,1343.57,2487.81,1959.43,1380.79,1346.59,1601.27,1525.49,1170.16,2379.77,2302.10,1786.74
1992,1913.99,2681.36,2488.25,2741.93,2403.94,2079.33,1565.67,1208.91,1809.98,1695.47,1402.81,1362.72,1663.41,1448.01,1195.53,2661.29,2289.28,1815.98
1993,2181.51,2092.91,2704.11,2132.48,2269.52,2989.80,1857.99,1607.87,2638.83,2542.54,1719.79,1602.47,2110.55,2079.08,1593.33,2487.00,2937.60,2076.52
1994,2113.17,2219.81,2588.24,2340.40,1982.67,2597.81,1868.98,1557.16,2505.19,2326.06,1914.56,1878.59,2085.30,1989.82,1594.10,2419.51,2705.16,2032.32
1995,2526.73,2364.90,3381.39,2276.39,2533.40,3550.45,2536.46,1983.27,3047.43,2782.69,1986.30,1988.23,2451.16,2275.60,1775.05,2683.38,3585.77,2557.76
1996,2400.44,2861.72,2359.05,2547.05,2871.73,2996.66,2206.78,2018.73,3221.89,2705.95,2097.51,2184.84,2313.12,2087.49,1674.45,2242.94,2509.89,2040.94
1997,1977.86,2173.84,2405.47,2223.55,2208.12,1980.69,1637.43,1495.16,2157.56,2418.11,1626.45,1585.63,2008.84,1846.05,1371.38,2494.92,2268.50,1770.07
1998,2095.60,2594.12,2891.87,2454.85,2867.34,2919.31,1776.77,1353.72,2149.13,1740.04,1518.86,1616.29,1647.68,1459.26,1210.40,2419.07,3188.23,2237.06
1999,3098.80,3373.78,3424.20,3360.09,3539.98,3901.33,2632.71,2475.38,3717.97,3510.51,2603.85,2742.77,2967.19,2828.89,2228.43,3440.01,3730.77,2576.68
2000,2918.13,2908.13,3844.72,3070.85,3326.59,4031.91,2382.24,2067.06,3548.84,3005.51,2230.92,2109.49,2559.13,2568.61,2029.00,3610.23,4292.87,2756.99
2001,2667.03,2889.10,2446.60,2827.84,2746.51,3479.36,2588.73,2357.51,3693.80,3376.87,2353.34,2441.06,2778.53,2304.75,1917.36,2527.13,2678.31,2173.22
2002,2255.94,2105.58,2418.14,2130.47,2121.85,2764.39,2254.31,1908.29,2810.33,2856.56,1989.02,2013.44,2563.54,2152.68,1631.23,2266.50,2570.41,2024.88
2003,2599.56,2743.02,2598.76,2747.88,2565.84,2833.80,2598.88,2224.91,3025.65,3183.19,2340.68,2417.00,2989.12,2529.40,2007.71,2691.97,2590.56,2100.59
2004,2272.52,2360.91,2671.30,2398.40,2274.93,2807.32,2115.34,1754.48,2566.21,2586.59,1892.72,1888.61,2336.60,2149.30,1700.78,2456.44,2820.44,2135.74
2005,2393.55,2487.46,2531.52,2422.86,2446.45,3100.91,2188.95,1809.80,2850.93,2725.49,2138.40,2087.36,2540.56,2331.88,1929.41,2383.47,2775.76,2119.92
2006,2343.90,2346.93,2653.17,2329.76,2547.31,3278.54,2207.27,1866.69,2962.82,2584.60,2041.53,2093.81,2244.65,2005.31,1682.54,2457.99,2877.98,2207.88
2007,2569.50,2590.41,2848.33,2505.01,2788.16,3217.57,2212.47,1991.70,3034.73,3104.98,2350.51,2421.17,2741.06,2454.10,2017.33,2596.23,3043.50,2134.49
2008,2939.90,3078.08,3001.70,3000.42,3101.98,3788.09,2813.87,2512.78,3786.78,3481.43,2599.18,2688.08,3049.05,2778.42,2244.04,2890.97,3255.29,2342.42
2009,2650.84,3091.40,2969.58,3091.19,2917.94,3132.40,2216.39,1973.23,3141.43,3150.23,2199.19,2230.65,2554.25,2367.68,1824.75,3120.10,2971.34,2280.14
2010,2430.87,2500.66,2612.99,2393.25,2682.54,2821.90,2017.16,1781.31,2577.58,2926.49,2331.27,2339.52,2691.32,2569.58,2072.18,2440.72,2747.06,1971.86
2011,3128.48,3284.82,3581.86,3216.17,3428.37,4195.44,2949.28,2491.54,3915.12,3842.01,2390.24,2322.29,3142.27,2898.39,2091.39,3343.13,3839.83,2587.41
2012,2764.45,2852.06,3085.05,2852.42,2898.07,3592.41,2617.66,2337.41,3468.76,3265.54,2374.48,2488.47,2820.39,2443.53,1919.70,2909.58,3329.67,2347.77
2013,2533.23,2556.07,2614.04,2498.49,2671.64,3113.14,2411.57,2151.62,3128.60,3033.87,2301.93,2393.92,2737.22,2359.44,1929.76,2525.86,2751.14,2180.22
2014,2345.38,2395.23,2474.68,2425.15,2242.97,2994.73,2295.54,1983.91,3080.08,2926.08,1911.00,1970.19,2384.30,2179.70,1660.38,2449.94,2577.37,2140.65
2015,2249.93,2494.72,2402.09,2442.47,2570.69,2824.25,2114.66,1823.97,2768.62,2520.38,1752.54,1879.85,2272.02,1936.53,1479.27,2412.04,2511.26,2017.86
2016,2362.35,2709.79,2657.58,2615.75,2881.99,2706.87,2298.99,1965.48,2669.80,2562.55,1860.86,2002.16,2375.46,1942.03,1546.89,2584.84,2697.55,2066.96
2017,2928.63,2865.57,3037.51,2817.64,3027.57,3958.26,2732.93,2540.54,3867.42,3607.91,2577.55,2700.41,3057.82,2772.97,2194.98,2869.86,3359.53,2355.83
2018,2596.05,2835.36,3083.41,2957.94,2522.68,3765.47,2331.76,2094.25,3598.76,2953.37,1893.38,1926.94,2396.17,2155.66,1644.85,3061.42,3170.60,2349.22
2019,2286.55,3115.95,2481.49,2942.68,3124.79,2393.19,2048.08,1697.51,2188.12,2322.27,1701.83,1810.73,2153.54,1852.59,1445.79,2628.55,2471.44,2041.71
2020,2332.73,2062.02,2487.18,1944.59,2447.69,3529.31,2383.23,2029.04,2997.46,2731.87,1996.10,2087.67,2453.62,2133.62,1671.09,2127.39,2970.65,2116.69
