Variable:,pr
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
1916,1863.56,2017.24,2307.32,1348.30,2210.80,1559.34,1446.46,2272.27,1402.05,2150.05,1989.16,2307.80,1517.28,1157.31,3041.65
1917,2021.67,2238.91,2473.76,1480.46,2320.21,1708.91,1578.21,2543.27,1496.55,2194.90,2146.25,2517.57,1666.46,1318.21,3398.02
1918,1934.65,1666.73,2037.23,1552.50,2032.56,1614.89,1722.99,1946.77,1508.07,2190.15,2008.02,2006.14,1614.81,1472.68,3524.81
1919,1513.76,1034.97,1422.37,1250.19,1694.49,1195.67,1264.03,1311.04,1357.72,2131.57,1381.12,1286.26,1070.65,919.47,2836.88
1920,1973.07,1777.15,2127.53,1570.85,2097.61,1650.46,1727.36,2056.56,1522.41,2199.61,2048.68,2101.00,1635.16,1431.95,3599.97
1921,1766.79,1216.13,1634.01,1501.42,1793.59,1401.11,1625.62,1489.41,1492.76,2189.59,1705.17,1542.67,1387.58,1274.04,3441.58
1922,1681.90,1461.42,1836.79,1333.49,1913.46,1353.00,1311.33,1717.23,1426.20,2169.61,1591.45,1721.01,1213.14,929.34,3051.50
1923,1744.69,1499.42,1848.95,1364.29,1933.52,1453.20,1478.44,1778.68,1402.54,2134.81,1785.40,1784.41,1412.43,1274.56,3082.86
1924,1949.26,1591.48,1992.80,1598.26,1994.97,1602.74,1754.26,1858.33,1543.46,2209.69,1966.08,1945.75,1615.47,1451.39,3683.19
1925,1888.77,1202.83,1619.96,1708.23,1800.15,1486.62,1854.61,1492.90,1576.96,2201.95,1801.16,1544.53,1492.84,1569.16,3815.43
1926,1834.45,1642.27,2026.22,1405.67,2013.77,1521.99,1532.04,1896.01,1446.49,2173.98,1927.27,1983.26,1520.45,1258.47,3258.24
1927,1771.85,1638.26,1964.50,1312.56,2023.96,1524.48,1478.38,1936.54,1380.80,2147.76,1853.14,1923.59,1469.67,1281.10,3026.56
1928,1910.06,1616.89,2009.09,1467.99,2026.36,1654.25,1742.70,1884.69,1455.46,2171.88,2055.97,1990.53,1693.74,1549.09,3404.11
1929,1801.17,1579.84,1953.57,1362.29,1991.73,1550.38,1540.08,1842.80,1413.02,2154.04,1906.77,1906.66,1526.15,1353.47,3135.24
1930,1629.02,1426.77,1795.75,1189.99,1885.98,1409.32,1339.44,1700.51,1298.23,2096.65,1732.80,1720.70,1357.76,1145.69,2723.28
1931,1665.08,1497.10,1834.66,1205.47,1933.76,1443.18,1362.42,1763.03,1331.69,2135.95,1754.18,1769.77,1381.20,1145.18,2795.97
1932,1641.91,1225.77,1628.80,1299.97,1798.02,1383.57,1408.14,1510.95,1383.26,2146.62,1619.62,1517.22,1295.23,1142.03,2989.86
1933,1681.29,1282.58,1660.09,1352.43,1824.41,1380.04,1442.95,1568.62,1422.04,2174.67,1631.74,1570.08,1294.88,1137.27,3097.61
1934,1645.41,1311.10,1685.27,1238.38,1839.51,1429.47,1432.53,1606.70,1334.54,2125.81,1707.05,1605.86,1368.36,1232.41,2855.69
1935,1829.24,1858.22,2158.17,1321.23,2119.72,1583.28,1461.80,2148.80,1387.25,2146.39,1949.36,2144.75,1528.44,1215.98,3042.89
1936,1913.41,1593.80,2007.00,1547.81,2002.48,1621.40,1706.79,1870.25,1493.54,2168.38,2016.07,1958.22,1610.45,1467.36,3490.26
1937,1647.91,1317.51,1680.37,1316.12,1843.41,1354.01,1353.43,1586.97,1396.20,2141.95,1608.00,1584.83,1264.48,1082.09,2976.96
1938,2026.61,1685.04,2069.81,1640.22,2037.36,1726.48,1877.80,1967.89,1552.19,2206.11,2134.63,2053.14,1764.73,1652.14,3768.35
1939,1667.82,1509.71,1830.94,1269.67,1937.37,1388.67,1363.30,1780.02,1347.37,2126.84,1682.26,1768.57,1307.84,1102.10,2835.29
1940,1703.32,1192.69,1617.58,1378.08,1778.55,1410.05,1542.24,1458.55,1420.62,2158.78,1726.52,1518.15,1394.39,1299.74,3201.05
1941,1951.84,1522.10,1964.29,1540.25,1978.10,1718.47,1893.82,1797.26,1462.51,2150.71,2174.77,1943.38,1814.68,1807.84,3504.41
1942,1735.17,1213.55,1625.03,1427.50,1808.16,1419.23,1574.52,1484.58,1460.37,2197.44,1699.08,1536.69,1378.07,1254.59,3322.23
1943,1784.94,1231.04,1663.33,1408.19,1825.87,1558.73,1724.48,1524.47,1414.64,2148.24,1912.63,1603.40,1610.48,1638.43,3275.00
1944,1987.24,1477.40,1923.08,1698.74,1949.89,1648.95,1900.72,1749.71,1564.84,2191.23,2020.50,1864.88,1679.81,1649.67,3834.92
1945,1859.43,1385.22,1791.28,1563.59,1892.44,1540.07,1708.86,1664.46,1515.59,2196.97,1851.52,1719.53,1515.29,1448.38,3525.84
1946,2103.80,1740.27,2093.12,1888.00,2090.37,1610.70,1927.11,2012.01,1679.10,2225.02,2010.25,2070.06,1610.78,1537.74,4170.71
1947,1824.14,1619.39,1979.59,1356.13,2018.14,1622.98,1619.91,1898.10,1375.87,2123.90,1996.98,1950.06,1620.32,1485.21,3115.11
1948,1766.06,1634.24,1989.23,1271.91,2012.99,1524.20,1467.02,1901.44,1363.71,2147.57,1924.53,1960.58,1518.26,1269.66,2975.66
1949,1699.31,1236.42,1632.51,1371.07,1804.43,1404.00,1504.73,1507.74,1434.01,2182.06,1677.85,1537.92,1352.66,1240.86,3167.16
1950,1724.72,1106.83,1531.99,1503.90,1739.50,1387.88,1622.68,1390.20,1469.98,2154.40,1649.25,1425.43,1354.10,1349.48,3345.75
1951,1880.57,1363.76,1758.98,1697.71,1866.03,1494.53,1862.36,1665.33,1463.44,1976.85,1906.28,1693.55,1522.12,1496.06,3792.41
1952,1783.65,1379.78,1797.40,1413.50,1889.28,1487.21,1614.73,1679.99,1414.49,2151.68,1873.05,1723.28,1511.18,1411.29,3259.36
1953,1783.48,1461.23,1667.14,1492.42,1689.88,1422.96,1782.22,1839.50,1347.98,1925.92,1921.99,1690.74,1499.39,1449.19,3445.99
1954,1717.44,1417.89,1885.45,1279.71,2056.96,1598.41,1523.74,1752.82,1304.87,1997.77,1833.45,1748.13,1517.52,1401.71,2975.71
1955,1829.58,1369.39,1907.87,1371.62,2125.99,1717.95,1715.70,1605.68,1382.81,2149.02,2015.35,1798.92,1675.51,1658.29,3208.96
1956,1985.20,1973.08,2376.84,1388.24,2477.49,1968.31,1845.59,2370.93,1282.00,1844.38,2467.15,2340.03,1978.57,1755.11,3303.48
1957,1826.21,1110.14,1542.42,1555.32,1695.07,1383.29,1679.80,1287.45,1641.20,2537.37,1669.87,1478.10,1389.24,1387.76,3541.13
1958,1733.33,1463.35,1722.91,1330.87,1685.73,1394.88,1455.23,1800.17,1444.16,2222.38,1782.41,1724.32,1434.58,1254.09,3082.12
1959,1595.39,1386.00,1801.16,1115.51,1931.13,1478.45,1307.82,1673.78,1258.95,1979.97,1731.74,1701.35,1431.50,1257.72,2590.35
1960,1766.97,1516.21,1976.04,1310.52,2112.90,1673.82,1540.99,1836.91,1324.53,1990.06,1936.19,1868.79,1596.94,1463.05,3011.74
1961,1743.04,1438.69,1888.69,1295.25,2073.06,1558.00,1432.56,1741.16,1396.01,2189.04,1831.52,1796.73,1506.56,1350.88,2920.15
1962,2000.82,1690.47,2158.63,1505.70,2260.76,1863.89,2032.49,2008.25,1354.41,1995.27,2396.96,2105.78,1908.33,1795.88,3600.15
1963,1590.53,1119.80,1488.29,1335.50,1612.38,1287.30,1441.59,1360.94,1328.23,1983.93,1558.96,1414.97,1277.04,1289.91,3007.99
1964,1701.59,1436.65,1657.29,1322.10,1650.15,1387.22,1613.46,1753.92,1319.65,1964.98,1868.05,1689.83,1457.47,1353.58,3152.15
1965,1882.71,1463.28,1966.29,1448.18,2119.66,1658.27,1649.47,1769.66,1506.73,2321.81,1950.65,1848.04,1600.26,1481.39,3322.58
1966,1746.12,1554.91,1942.05,1276.99,1996.84,1663.01,1663.15,1862.71,1200.79,1738.02,2095.39,1905.72,1692.05,1542.55,3065.01
1967,1757.57,1364.68,1746.21,1407.03,1753.79,1473.73,1649.30,1587.39,1393.72,2063.88,1862.33,1704.49,1490.50,1372.65,3276.67
1968,1864.49,1485.32,1777.82,1531.81,1880.56,1503.84,1755.69,1880.18,1479.65,2170.92,1898.76,1746.33,1525.51,1464.35,3514.69
1969,1583.92,1318.68,1549.36,1191.73,1570.99,1277.89,1330.26,1693.17,1333.81,2119.34,1601.57,1519.14,1285.43,1148.75,2782.25
1970,1831.73,1382.65,1860.25,1447.15,2021.50,1621.36,1769.27,1600.84,1389.14,2061.73,1992.46,1779.72,1607.81,1607.80,3390.60
1971,1888.19,1625.95,2237.84,1306.47,2456.48,1902.84,1582.44,1965.39,1371.86,2139.81,2165.69,2086.92,1847.85,1638.94,2987.33
1972,1791.30,1210.40,1546.18,1478.54,1622.10,1289.23,1476.01,1459.93,1695.35,2746.44,1563.13,1487.78,1260.81,1191.94,3289.66
1973,1563.16,1162.99,1617.51,1203.84,1763.39,1389.03,1369.86,1330.53,1272.22,1956.28,1608.78,1528.23,1360.91,1259.64,2752.81
1974,1781.70,1187.49,1761.78,1471.65,2005.38,1655.90,1796.95,1359.06,1339.92,1925.67,1902.32,1628.06,1625.59,1677.87,3354.69
1975,1882.42,1332.49,1797.10,1605.76,1897.83,1551.82,1802.99,1577.35,1515.43,2185.68,1911.30,1708.39,1570.73,1541.08,3591.50
1976,1863.86,1525.87,2012.31,1437.94,2125.64,1726.00,1763.65,1827.71,1341.38,1965.80,2119.08,1912.80,1727.79,1611.00,3341.71
1977,1844.44,1287.40,1903.32,1424.75,2138.81,1733.10,1687.12,1456.91,1444.96,2231.84,1955.06,1766.37,1680.48,1638.22,3246.42
1978,1792.74,1231.09,1554.23,1600.17,1664.06,1382.45,1684.14,1501.02,1540.26,2219.22,1662.42,1511.27,1375.73,1396.25,3504.35
1979,1993.47,1648.65,2032.85,1605.69,2155.44,1712.11,1815.36,2118.24,1540.46,2237.00,2046.55,1954.71,1671.33,1541.12,3661.72
1980,1819.44,1362.15,1810.38,1417.28,1924.12,1598.29,1594.83,1644.12,1500.25,2317.91,1852.38,1705.16,1552.00,1456.08,3222.91
1981,1769.31,1274.86,1669.18,1455.10,1839.09,1462.92,1628.55,1563.29,1469.67,2182.93,1713.52,1581.12,1433.21,1407.45,3340.55
1982,1587.87,1018.05,1383.11,1271.63,1475.84,1206.21,1286.54,1192.64,1521.79,2481.34,1391.29,1306.93,1166.44,1097.46,2877.11
1983,1795.77,1097.41,1412.00,1604.64,1434.23,1217.69,1683.22,1310.73,1649.31,2494.16,1616.64,1386.43,1295.17,1295.14,3629.73
1984,1790.44,1324.30,1706.87,1443.65,1757.55,1434.35,1553.54,1554.08,1549.70,2388.30,1751.42,1642.68,1421.26,1306.51,3262.07
1985,1658.07,1465.27,1856.08,1185.95,1988.56,1563.59,1532.87,1795.32,1157.90,1764.47,1945.25,1792.87,1565.27,1446.65,2860.27
1986,1770.09,1249.80,1534.94,1491.50,1554.03,1314.54,1633.92,1529.17,1526.77,2355.02,1758.14,1523.79,1378.84,1353.78,3348.98
1987,1783.21,1216.88,1644.68,1471.16,1742.22,1434.80,1619.06,1401.13,1531.57,2336.43,1724.27,1560.76,1411.98,1327.63,3403.74
1988,1772.68,1365.18,1776.68,1368.68,1920.53,1477.43,1518.45,1682.73,1476.19,2326.35,1748.48,1674.96,1415.46,1293.30,3198.07
1989,1814.71,1405.59,1879.13,1443.88,2042.95,1577.03,1647.42,1721.52,1405.95,2053.84,1898.62,1772.22,1590.91,1510.99,3319.95
1990,1738.34,1354.33,1808.52,1364.01,1918.76,1569.70,1722.63,1512.85,1273.20,1837.08,1970.22,1754.45,1572.01,1526.78,3238.39
1991,1825.12,1357.00,1782.86,1455.20,1847.00,1527.47,1611.30,1575.61,1527.64,2370.88,1833.01,1714.11,1496.37,1411.38,3291.85
1992,1789.32,1468.96,1934.56,1383.32,1970.63,1597.13,1595.79,1719.75,1389.50,2082.21,1917.26,1873.26,1581.29,1431.55,3091.18
1993,1607.08,1087.37,1443.60,1319.32,1717.70,1262.61,1429.55,1298.57,1413.40,2198.35,1489.92,1316.84,1231.05,1268.11,3031.26
1994,1855.36,1231.95,1787.08,1497.68,1894.43,1531.52,1647.80,1299.08,1604.76,2524.70,1823.60,1667.92,1494.90,1441.23,3408.95
1995,2088.74,1567.40,1996.60,1647.03,1980.26,1790.96,2008.52,1924.09,1602.01,2408.71,2362.96,2004.05,1880.93,1723.21,3898.13
1996,1829.52,1406.89,1820.89,1490.99,1905.14,1573.82,1731.43,1698.28,1426.11,2051.14,1920.35,1757.78,1560.86,1479.26,3446.53
1997,1656.20,1198.91,1546.48,1303.60,1776.17,1272.82,1327.08,1461.16,1541.68,2550.36,1372.70,1413.40,1170.65,1165.24,2900.88
1998,1899.40,1342.48,1661.71,1537.50,1830.36,1470.36,1774.73,1669.87,1600.83,2475.44,1957.54,1624.31,1563.31,1516.38,3580.71
1999,1767.03,1440.79,1729.13,1380.18,1860.44,1446.87,1556.47,1875.49,1442.49,2243.97,1749.53,1684.33,1431.48,1370.98,3128.49
2000,1720.96,1243.68,1535.78,1471.83,1576.10,1321.53,1611.12,1455.09,1455.02,2152.80,1668.65,1514.73,1354.07,1327.90,3333.74
2001,1765.86,1334.05,1945.16,1310.27,2030.76,1629.34,1566.87,1583.26,1363.21,2110.23,1892.31,1796.91,1597.39,1438.40,3101.75
2002,1840.58,1329.25,1703.65,1476.44,1780.43,1454.25,1588.74,1595.06,1610.24,2542.74,1744.02,1639.69,1434.04,1375.60,3374.82
2003,1626.92,1294.68,1717.90,1189.54,1858.92,1443.06,1383.04,1573.57,1319.93,2083.97,1688.25,1622.44,1408.43,1304.96,2780.58
2004,1873.93,1276.83,1523.93,1514.24,1766.44,1378.18,1704.95,1664.07,1642.71,2668.13,1860.38,1458.03,1483.82,1519.78,3511.52
2005,1562.40,1264.03,1615.52,1153.76,1814.07,1344.86,1238.30,1678.80,1356.85,2165.14,1436.21,1482.01,1224.82,1137.15,2618.97
2006,1748.79,1139.42,1526.53,1484.87,1770.64,1280.93,1566.39,1435.28,1580.47,2478.37,1511.68,1386.91,1246.22,1263.42,3350.26
2007,1548.95,1280.80,1457.11,1215.10,1744.39,1216.91,1299.11,1799.07,1337.27,2084.27,1360.00,1361.98,1144.96,1151.69,2760.16
2008,1852.99,1445.47,1810.31,1466.67,1907.39,1585.31,1740.19,1841.85,1443.53,2166.40,1983.25,1773.61,1606.77,1542.69,3368.56
2009,1697.49,1287.53,1669.11,1378.82,1828.57,1398.48,1518.32,1531.05,1421.33,2147.10,1621.90,1576.57,1350.21,1293.04,3101.21
2010,1776.61,1272.24,1773.46,1377.95,1898.14,1561.11,1623.37,1376.31,1431.81,2222.74,1881.17,1692.97,1565.28,1510.64,3207.33
2011,1920.77,1561.83,2019.78,1388.95,2005.11,1703.57,1661.69,1793.87,1519.57,2434.41,2164.14,1992.82,1750.49,1587.21,3225.93
2012,1712.78,1328.88,1716.53,1321.15,1856.76,1480.76,1513.31,1638.23,1396.50,2147.04,1757.94,1627.69,1446.63,1400.26,3033.45
2013,1742.01,1219.85,1808.14,1329.06,1901.34,1568.90,1608.23,1337.33,1382.56,2140.95,1933.53,1707.16,1582.84,1478.24,3076.13
2014,1643.28,1364.47,1576.93,1268.91,1793.39,1322.57,1482.36,1785.05,1353.33,2130.96,1539.63,1511.72,1275.17,1283.39,2945.55
2015,1814.00,1199.12,1672.44,1625.19,1851.87,1448.03,1703.50,1319.99,1533.12,2199.29,1672.08,1542.31,1376.01,1381.82,3627.89
2016,1709.99,1232.63,1488.91,1505.53,1756.08,1235.83,1567.48,1706.91,1479.28,2179.02,1405.24,1376.94,1176.65,1236.02,3418.44
2017,1716.80,1274.30,1644.63,1405.09,1837.71,1414.02,1584.69,1528.24,1427.99,2160.00,1628.72,1537.05,1343.82,1351.39,3207.64
2018,1755.63,1344.84,1671.86,1434.65,1840.28,1432.82,1612.95,1765.87,1436.95,2162.95,1675.67,1583.14,1381.62,1362.89,3271.60
2019,1992.80,1417.60,1850.83,1770.24,1919.95,1615.67,1892.88,1639.42,1607.15,2226.45,1974.93,1804.93,1616.07,1512.32,3990.27
2020,1767.51,1236.93,1800.63,1386.68,1890.87,1537.76,1619.35,1416.90,1411.04,2151.71,1947.96,1702.18,1574.96,1468.82,3182.34
