Variable:,pr
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
1955,589.24,1135.83,615.77,478.69,772.83,291.98,1352.82,731.98,1425.48
1956,627.33,1218.31,544.57,583.87,797.50,373.07,1344.38,735.83,1448.42
1957,784.48,1590.35,875.87,719.21,1327.07,561.06,1392.50,808.67,1450.05
1958,661.26,1616.89,597.89,580.21,1011.58,328.92,1257.37,835.74,1376.40
1959,633.72,1267.05,633.07,596.93,843.68,392.32,1221.65,702.17,1348.78
1960,622.21,981.43,643.02,519.59,806.32,482.42,1393.13,661.31,1487.74
1961,1014.28,1917.64,1011.05,981.28,1391.81,661.01,1856.86,1103.10,2023.09
1962,690.05,1290.09,581.25,607.07,1038.00,416.12,1621.19,826.39,1736.60
1963,892.59,1632.03,921.03,850.48,1464.78,567.97,1599.60,982.49,1790.17
1964,706.01,1367.95,631.75,639.02,965.35,469.40,1572.10,796.24,1563.95
1965,585.19,1044.79,619.87,535.40,898.93,404.97,1288.82,606.43,1315.45
1966,686.16,1230.33,702.62,617.22,916.97,446.10,1405.00,763.15,1493.84
1967,860.29,1636.34,992.47,761.04,1139.21,654.86,1450.51,882.57,1599.38
1968,988.96,1802.77,1219.24,964.84,1274.07,745.00,1759.03,911.29,1698.48
1969,634.78,1053.21,610.26,614.58,638.46,411.01,1394.42,682.63,1485.93
1970,668.83,1326.45,568.51,581.99,976.14,347.67,1493.24,845.80,1658.61
1971,618.57,1185.56,591.79,508.26,932.59,407.21,1350.94,726.38,1430.15
1972,676.01,1305.44,730.97,576.50,880.22,443.02,1531.06,732.04,1627.81
1973,500.72,1030.00,548.15,370.02,744.36,238.87,1284.28,622.23,1403.73
1974,583.62,1183.59,511.09,510.42,849.10,349.66,1307.82,700.52,1304.57
1975,568.45,1107.06,509.59,425.67,736.00,322.69,1333.13,736.42,1521.99
1976,508.46,1012.89,532.69,399.42,622.94,302.04,1342.28,580.65,1424.27
1977,862.26,1658.50,770.75,779.33,1420.83,554.79,1604.44,1020.29,1823.56
1978,835.58,1520.62,875.46,756.20,1108.54,569.45,1644.17,913.42,1590.77
1979,790.47,1434.10,972.38,747.99,943.48,528.45,1406.62,794.67,1414.07
1980,496.00,1088.15,499.20,412.79,1001.76,250.37,1224.81,592.56,1253.89
1981,715.03,1400.80,678.64,643.84,971.32,535.63,1332.96,777.63,1457.45
1982,837.54,1478.38,950.85,779.28,1045.56,598.12,1523.74,856.70,1637.69
1983,572.04,1260.00,554.71,449.18,812.94,308.80,1352.70,705.84,1475.11
1984,514.63,846.12,670.59,469.47,519.81,345.51,1206.56,479.64,1251.74
1985,652.68,1242.30,584.39,629.94,805.17,404.10,1370.34,730.82,1510.58
1986,656.05,1284.49,715.24,584.37,919.84,505.34,1390.27,651.36,1325.78
1987,572.89,1030.79,582.39,435.58,785.57,405.46,1443.06,651.14,1408.89
1988,771.58,1593.59,723.92,712.18,1194.60,469.14,1638.58,876.25,1661.09
1989,756.11,1589.96,694.24,678.60,1171.69,521.70,1448.79,856.18,1508.19
1990,747.51,1482.45,735.91,721.08,1062.48,516.15,1387.42,790.17,1525.18
1991,593.43,1191.51,640.21,465.42,862.01,322.03,1468.57,705.06,1520.41
1992,626.03,1308.57,641.23,542.03,939.95,415.59,1325.59,685.10,1479.80
1993,624.27,1185.34,571.83,591.83,860.64,444.82,1285.12,669.59,1297.59
1994,705.71,1373.04,851.30,600.53,961.68,483.25,1441.66,734.85,1421.96
1995,635.66,1284.11,560.17,562.51,882.31,444.39,1342.85,721.51,1367.41
1996,525.73,970.95,467.56,375.65,656.66,290.49,1447.73,680.02,1596.43
1997,944.56,1548.81,1017.36,948.88,1074.53,806.41,1631.81,867.39,1593.52
1998,716.41,1667.36,827.42,579.41,1151.77,429.08,1383.23,816.72,1480.04
1999,585.27,1024.04,645.52,474.50,688.41,332.20,1427.89,678.82,1504.07
2000,479.96,756.73,521.85,380.98,528.36,269.78,1209.32,565.67,1368.70
2001,622.60,1254.75,569.03,549.81,905.51,361.09,1489.63,723.34,1581.86
2002,785.42,1552.95,883.60,724.53,1187.49,518.60,1585.28,815.03,1547.33
2003,615.12,1211.28,502.10,541.46,766.36,433.66,1222.77,719.33,1452.83
2004,634.08,1096.99,567.23,573.17,666.99,452.86,1257.27,714.48,1483.64
2005,524.42,951.85,472.48,447.81,571.37,367.84,1164.12,597.95,1310.66
2006,769.28,1526.93,959.64,680.55,1212.63,441.89,1590.20,820.98,1540.41
2007,692.64,1195.79,624.62,538.69,745.00,473.34,1551.75,839.80,1876.16
2008,661.27,1171.27,563.08,620.83,818.09,389.49,1370.83,785.10,1645.51
2009,655.41,1303.83,649.75,610.05,891.19,473.46,1365.98,678.94,1369.78
2010,650.73,1172.10,525.90,547.82,809.52,371.13,1630.28,811.67,1814.70
2011,626.92,1084.69,613.69,547.00,733.21,464.26,1467.43,666.33,1479.65
2012,783.07,1542.05,617.03,728.14,1020.19,426.37,1782.30,954.41,2011.47
2013,740.69,1274.62,637.02,625.42,913.97,438.63,1722.72,912.62,2002.22
2014,608.32,1079.87,645.68,528.94,766.97,379.67,1349.73,681.58,1390.90
2015,778.31,1555.42,784.92,698.10,1160.48,470.41,1672.04,875.83,1767.17
2016,686.81,1359.53,643.28,605.75,1082.48,422.21,1692.58,777.74,1621.50
2017,1002.64,1699.86,947.33,1013.77,1095.89,726.11,1609.89,1062.69,1971.91
2018,806.64,1648.15,750.50,661.35,1163.29,502.00,1674.86,978.81,1881.02
2019,1100.16,2012.55,1092.49,1035.51,1478.89,677.58,2390.74,1210.33,2452.96
2020,791.50,1473.33,704.47,646.23,1024.10,396.59,1789.81,1036.61,2020.63
