Variable:,pr
,Jordan,Zarqa,Ajloon,Amman,Aqaba,Irbid,Jarash,Karak,Ma'an,Madaba,Mafraq,Tafiela,Balqa
1988,165.75,154.48,642.80,283.92,73.06,613.01,642.14,358.68,96.57,456.01,137.95,271.80,571.69
1989,74.63,68.97,285.90,133.22,39.07,289.97,285.60,169.93,48.13,226.25,48.87,141.76,264.09
1990,94.17,89.71,331.90,156.38,58.68,346.28,331.56,200.55,56.91,258.85,77.05,131.28,304.20
1991,145.30,143.03,630.90,264.61,68.86,634.54,630.22,337.92,80.31,458.15,104.44,226.25,566.20
1992,132.85,126.57,608.30,230.16,66.78,618.15,607.65,275.54,63.16,407.27,116.10,169.87,533.81
1993,91.87,76.11,361.80,146.87,52.74,336.97,361.39,174.81,51.01,257.31,86.11,127.96,324.20
1994,142.42,132.11,568.30,252.22,63.02,602.18,567.72,317.78,78.09,438.75,114.46,220.93,521.23
1995,67.82,68.29,253.40,109.36,31.22,265.87,253.14,131.22,35.55,178.16,66.56,87.67,225.15
1996,93.40,94.62,381.20,162.88,32.68,389.53,380.81,208.76,47.03,274.58,82.88,136.98,340.65
1997,119.25,114.20,495.50,200.93,65.61,497.81,494.98,244.82,62.39,341.56,104.05,163.28,437.80
1998,84.60,83.30,346.20,149.27,40.85,347.71,345.84,179.54,47.47,234.22,68.58,121.88,303.38
1999,61.60,59.68,233.10,103.42,33.58,229.85,232.87,139.86,39.77,162.87,44.06,108.84,205.09
2000,86.96,85.22,376.00,153.27,38.31,406.36,375.61,190.19,42.45,271.11,73.21,124.20,337.52
2001,93.27,84.98,382.10,150.14,42.06,404.72,381.70,183.30,49.24,248.58,88.37,119.11,331.21
2002,112.58,106.43,480.00,193.90,46.48,496.41,479.49,248.40,57.50,335.54,97.10,160.37,425.33
2003,123.72,130.81,579.30,229.25,40.76,613.60,578.69,261.14,57.52,386.80,104.25,159.73,508.71
2004,86.48,79.62,354.50,151.92,36.22,364.05,354.12,198.54,45.00,261.37,72.93,129.24,319.08
2005,80.08,79.33,338.00,132.57,28.27,359.81,337.65,154.85,36.72,222.44,81.82,94.03,294.75
2006,85.88,79.54,341.40,142.40,39.46,353.56,341.05,169.22,43.22,236.01,83.57,109.19,302.24
2007,85.83,77.71,321.60,140.02,38.32,332.82,321.27,175.66,46.83,228.59,81.36,118.02,286.11
2008,63.81,62.95,277.80,115.36,29.83,285.40,277.51,145.31,32.46,200.33,50.46,91.06,248.91
2009,70.72,70.23,309.50,121.29,29.90,332.39,309.18,140.13,33.07,207.81,66.06,86.36,272.06
2010,96.29,92.49,371.10,175.64,40.24,354.05,370.72,229.53,57.39,288.00,71.34,161.11,339.43
2011,96.84,90.47,387.00,158.96,48.80,416.58,386.60,187.27,52.22,262.44,88.05,130.80,340.72
2012,91.51,93.48,423.00,168.04,38.31,451.77,422.55,204.76,45.11,296.73,70.54,125.68,376.40
2013,106.77,97.13,441.40,181.65,51.28,455.53,440.93,251.10,56.85,313.32,87.87,160.24,390.63
2014,105.58,91.02,364.80,165.67,80.23,359.81,364.43,215.71,67.19,273.58,86.68,153.83,329.74
2015,94.24,88.06,390.10,156.06,47.93,402.56,389.69,200.29,50.12,272.44,81.79,130.72,345.37
2016,94.93,93.20,382.60,160.67,49.53,395.18,382.21,191.85,50.91,263.67,83.67,121.01,337.91
2017,50.21,40.99,175.30,80.51,40.31,177.23,175.11,111.27,35.41,133.49,34.18,76.43,158.67
2018,110.78,95.95,440.10,181.19,66.38,456.04,439.63,239.54,62.76,312.69,92.15,159.75,390.96
2019,102.71,98.58,429.40,180.32,45.19,447.71,428.95,230.57,56.48,300.80,81.63,152.25,380.18
2020,129.81,121.66,544.80,225.68,58.06,554.44,544.22,294.78,69.82,392.99,104.97,198.00,487.10
