Variable:,pr
,Cyprus,Famagusta,"Girne (Kyrenia)",Larnaca,Nicosia,Paphos,"Sovereign Base Areas of Akrotiri and Dhekelia (U.K.)",Limassol
1936,491.77,505.18,453.29,488.18,483.14,542.72,515.16,535.20
1937,389.43,405.92,355.89,392.56,380.62,420.16,410.72,416.80
1938,567.89,572.12,514.46,586.64,553.39,614.95,601.14,619.50
1939,441.69,443.67,396.41,453.95,429.22,492.41,468.60,486.20
1940,536.50,557.54,487.34,556.31,521.64,574.81,568.31,574.60
1941,378.33,389.34,322.89,418.61,357.15,409.01,413.46,422.30
1942,492.72,514.05,462.19,486.61,489.55,525.90,509.46,518.80
1943,447.41,439.10,401.20,460.29,437.11,500.42,472.04,493.30
1944,557.84,541.67,492.97,577.68,540.08,624.87,597.91,632.20
1945,419.56,421.23,372.76,415.34,410.14,484.13,441.28,465.30
1946,430.97,426.86,407.39,406.65,432.99,494.88,439.63,466.60
1947,482.30,491.35,436.41,482.90,471.89,537.58,507.24,528.10
1948,476.61,504.06,430.30,505.99,456.34,502.33,511.98,512.40
1949,531.88,496.68,466.51,554.07,516.92,605.27,565.08,606.40
1950,382.95,413.29,359.02,399.07,373.84,399.61,407.85,400.00
1951,438.27,439.82,404.46,434.12,433.13,480.84,457.20,476.40
1952,547.45,544.45,506.31,535.20,543.69,607.73,564.03,586.30
1953,479.42,506.01,437.72,494.20,466.74,508.17,508.49,511.60
1954,554.17,557.17,504.41,546.32,548.74,620.02,575.34,606.60
1955,381.20,383.17,348.42,379.54,375.26,422.90,398.80,421.30
1956,396.08,392.02,363.11,395.01,390.92,442.65,412.77,432.00
1957,432.55,447.19,403.63,432.94,424.78,459.05,454.19,466.90
1958,370.15,382.18,343.20,357.83,367.73,411.07,380.75,393.50
1959,358.55,371.59,327.63,355.27,353.43,391.91,374.71,388.60
1960,343.43,348.39,312.37,340.33,339.85,389.09,354.71,366.80
1961,566.47,584.15,530.59,563.29,558.76,595.26,588.21,596.00
1962,503.45,499.24,470.54,492.77,500.33,548.37,517.25,541.90
1963,414.31,419.74,380.03,417.80,408.11,465.25,433.83,455.00
1964,421.44,423.66,393.06,431.57,416.27,453.65,441.99,450.80
1965,465.81,495.22,424.43,469.98,453.53,502.47,492.08,499.00
1966,500.40,535.98,459.56,509.02,486.87,525.46,524.75,520.60
1967,530.73,550.22,488.68,544.33,522.18,566.99,556.29,564.20
1968,604.53,639.02,559.49,599.05,595.85,640.04,628.64,634.10
1969,499.67,522.49,444.88,504.35,484.68,558.87,534.84,549.70
1970,413.77,414.48,384.79,419.56,408.19,450.30,433.76,446.10
1971,414.22,427.10,380.69,429.81,404.97,448.43,440.38,452.40
1972,285.30,303.01,269.25,283.83,281.52,307.57,295.79,302.10
1973,280.30,273.12,259.66,285.02,279.52,304.20,292.11,298.70
1974,400.96,426.07,364.85,412.48,392.95,428.50,423.74,420.70
1975,545.63,552.46,502.04,548.23,536.91,592.41,567.96,591.40
1976,509.50,528.60,476.34,501.18,506.04,548.76,527.43,539.10
1977,372.33,367.32,336.24,382.78,367.47,414.83,392.11,410.10
1978,547.15,570.43,496.47,549.47,533.32,591.65,575.59,588.40
1979,442.46,439.56,404.91,433.90,437.34,498.56,462.57,491.00
1980,415.07,422.52,371.97,422.25,401.56,465.24,444.26,462.90
1981,598.53,634.53,537.88,617.22,577.86,642.73,637.62,644.80
1982,333.21,329.33,300.41,354.52,325.09,364.64,358.07,364.90
1983,466.58,473.10,425.91,465.34,456.53,520.14,493.06,513.60
1984,470.41,486.79,437.16,478.56,465.57,496.40,489.24,499.70
1985,412.86,440.23,377.13,403.17,404.63,450.13,431.69,444.40
1986,373.32,382.39,341.75,378.90,367.66,414.27,392.96,406.20
1987,515.99,500.41,466.03,524.78,505.11,581.27,543.84,569.60
1988,598.17,611.22,552.27,597.65,588.87,646.54,623.22,644.10
1989,326.87,330.19,299.33,315.81,322.54,358.77,339.39,356.20
1990,280.25,291.40,267.30,266.52,278.37,302.74,290.58,302.40
1991,573.17,600.66,520.65,587.05,556.65,608.45,609.53,617.80
1992,408.18,419.63,382.63,423.25,400.58,429.78,432.38,443.90
1993,327.36,322.90,296.30,325.12,321.16,377.80,343.85,366.70
1994,572.48,604.17,529.18,581.33,561.90,605.66,601.30,602.10
1995,285.86,298.64,272.53,268.25,289.69,319.36,284.73,288.80
1996,458.16,465.22,419.85,456.31,454.09,505.32,473.78,488.00
1997,407.36,398.39,386.48,387.36,412.79,457.12,408.84,429.80
1998,410.92,419.76,376.62,411.88,406.03,452.25,425.17,434.30
1999,272.37,276.31,254.81,265.02,270.84,308.02,281.76,294.70
2000,469.82,484.98,432.20,474.18,461.69,505.96,490.49,500.70
2001,482.10,500.67,438.66,485.16,471.21,520.27,504.25,514.30
2002,414.89,434.68,380.07,422.44,405.21,445.75,438.03,446.20
2003,553.72,561.12,501.35,568.24,540.45,616.43,581.72,601.70
2004,467.83,467.09,411.58,477.38,452.97,536.40,496.46,524.80
2005,369.03,377.54,340.95,375.78,364.11,403.08,384.55,393.10
2006,347.99,356.34,328.57,342.56,347.03,375.98,360.55,368.60
2007,424.32,437.05,392.58,424.81,417.28,460.05,443.59,456.50
2008,266.20,293.62,256.64,262.37,262.86,271.97,277.04,271.50
2009,582.98,587.93,547.06,566.23,580.17,634.71,599.80,623.60
2010,394.38,407.01,365.93,374.17,389.69,446.81,408.76,428.50
2011,488.78,519.74,444.81,500.31,472.97,521.10,519.96,524.20
2012,669.83,710.82,617.10,676.20,655.46,713.00,705.56,714.90
2013,324.85,337.81,299.89,336.70,317.72,351.37,343.82,346.20
2014,429.51,418.72,424.09,388.65,440.35,477.94,429.28,459.90
2015,464.69,468.19,422.57,467.42,457.01,518.02,487.07,507.10
2016,378.76,427.18,355.01,390.95,371.23,383.67,397.13,381.80
2017,324.78,347.87,318.51,294.31,329.52,352.38,325.22,332.90
2018,518.13,569.86,476.90,532.48,503.50,542.86,548.86,544.80
2019,591.41,643.40,549.51,589.74,579.90,630.15,619.93,621.50
2020,457.48,468.41,402.13,497.94,436.99,492.90,499.71,511.10
