Variable:,tas
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govi-Altai,Govisu'mber,O'mnogovi,O'vorxangai,Orxon,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Xentii,Xo'vsgol,Xovd,Zavxan
1959,-0.78,-4.42,-7.60,-0.64,-2.13,-0.86,0.18,3.64,2.19,-0.23,-0.92,4.76,1.05,-2.01,-1.43,1.02,-2.03,-2.46,-4.58,-1.74,-6.10,-1.85,-5.98
1960,-0.83,-4.25,-7.77,-0.48,-2.14,-1.13,-0.48,3.64,2.16,-0.15,-0.99,4.80,1.05,-2.01,-1.64,0.83,-2.13,-2.60,-4.51,-1.96,-6.10,-1.83,-5.69
1961,-0.42,-3.77,-7.16,-0.08,-1.73,-0.90,-0.01,4.25,2.68,0.04,-0.49,5.22,1.62,-1.69,-1.40,1.41,-1.71,-2.16,-4.23,-1.54,-5.78,-1.55,-5.54
1962,-0.28,-3.38,-6.04,0.19,-1.53,-0.80,-0.25,3.58,2.30,0.73,-0.94,4.87,1.65,-1.54,-1.31,0.90,-1.90,-2.38,-3.20,-1.86,-5.18,-0.57,-4.69
1963,0.41,-2.81,-6.01,0.93,-0.94,0.07,0.61,4.51,3.35,1.30,0.18,5.82,2.50,-0.80,-0.43,1.82,-0.88,-1.32,-3.19,-0.77,-4.86,-0.34,-4.34
1964,-0.89,-4.25,-6.93,-0.48,-2.04,-1.13,-0.65,2.89,1.73,0.16,-1.58,4.43,0.93,-1.88,-1.64,0.22,-2.34,-2.80,-3.97,-2.35,-5.97,-1.21,-5.47
1965,0.11,-2.99,-6.14,0.72,-1.07,-0.43,-0.56,4.33,3.11,1.07,-0.31,5.72,2.35,-1.05,-0.92,1.33,-1.33,-1.83,-3.21,-1.46,-5.00,-0.44,-4.53
1966,-0.58,-3.82,-6.83,0.01,-2.09,-1.38,-1.23,3.68,2.26,0.66,-1.12,4.95,1.37,-2.13,-1.91,0.58,-2.25,-2.79,-3.53,-2.30,-5.66,-0.83,-4.83
1967,-0.94,-4.26,-7.95,-0.61,-2.07,-1.01,0.15,3.14,2.03,-0.45,-1.28,4.45,1.14,-1.98,-1.50,0.83,-2.08,-2.56,-4.98,-1.81,-6.14,-2.18,-6.05
1968,-1.05,-4.59,-7.48,-0.81,-2.28,-1.18,-0.29,3.07,1.77,-0.32,-1.28,4.25,0.73,-2.12,-1.68,0.51,-2.22,-2.61,-4.68,-2.01,-6.31,-1.81,-5.96
1969,-1.65,-4.82,-8.25,-1.02,-2.79,-1.81,-2.09,2.34,1.14,-0.42,-2.24,3.89,0.37,-2.67,-2.37,-0.73,-3.01,-3.47,-5.00,-3.24,-6.66,-2.22,-6.05
1970,-1.23,-4.81,-7.39,-0.95,-2.77,-1.76,-0.78,3.03,1.56,-0.36,-1.55,4.16,0.55,-2.69,-2.24,0.38,-2.79,-3.26,-4.55,-2.42,-6.58,-1.72,-5.91
1971,-0.74,-4.36,-6.67,-0.26,-2.47,-1.36,-0.22,3.11,1.85,0.44,-1.41,4.59,1.12,-2.31,-1.85,0.58,-2.38,-2.88,-3.74,-2.13,-6.24,-1.01,-5.25
1972,-0.18,-3.40,-6.58,0.49,-1.53,-0.71,-0.63,3.84,2.85,0.92,-0.50,5.40,2.03,-1.39,-1.24,0.71,-1.54,-2.05,-3.27,-1.78,-5.46,-0.68,-4.60
1973,0.13,-3.20,-6.12,0.56,-1.20,-0.22,0.27,4.21,3.06,1.01,-0.06,5.49,2.14,-1.01,-0.72,1.39,-1.08,-1.57,-3.19,-1.02,-5.26,-0.45,-4.57
1974,-0.97,-4.23,-7.24,-0.46,-2.26,-1.38,-0.96,3.06,1.78,0.11,-1.39,4.41,0.99,-2.19,-1.89,0.20,-2.38,-2.86,-4.25,-2.39,-6.16,-1.46,-5.54
1975,0.01,-3.53,-6.75,0.12,-1.19,-0.22,0.75,4.63,3.14,0.33,0.05,5.50,1.95,-1.04,-0.70,1.93,-1.09,-1.52,-3.77,-0.92,-5.36,-1.11,-5.09
1976,-0.92,-4.47,-7.18,-0.62,-2.38,-1.32,-0.56,3.30,1.97,-0.11,-1.26,4.55,1.03,-2.15,-1.79,0.68,-2.28,-2.75,-4.22,-2.07,-6.45,-1.48,-5.74
1977,-0.35,-3.46,-6.52,0.23,-1.42,-0.70,-0.49,3.50,2.38,0.62,-0.91,5.00,1.73,-1.25,-1.17,0.79,-1.72,-2.21,-3.58,-1.80,-5.38,-0.89,-4.85
1978,0.23,-2.85,-5.73,0.92,-0.99,-0.38,-0.11,4.00,3.01,1.27,-0.48,5.72,2.40,-0.98,-0.88,1.07,-1.40,-1.95,-2.69,-1.56,-4.69,-0.14,-4.08
1979,0.47,-2.29,-5.54,1.15,-0.58,-0.14,-0.21,4.05,2.95,1.69,-0.53,5.70,2.54,-0.64,-0.66,1.14,-1.36,-1.94,-2.02,-1.61,-3.98,0.34,-3.29
1980,-0.40,-3.55,-6.60,0.29,-1.73,-1.03,-0.59,3.66,2.46,0.73,-0.95,5.20,1.81,-1.74,-1.52,0.72,-1.98,-2.55,-3.82,-2.02,-5.63,-0.87,-5.03
1981,-0.60,-4.10,-6.93,-0.25,-2.02,-0.81,-0.11,3.57,2.49,0.08,-0.68,4.93,1.44,-1.94,-1.31,0.91,-1.77,-2.21,-4.33,-1.50,-6.05,-1.44,-5.68
1982,0.42,-3.13,-5.52,0.78,-1.13,-0.25,0.79,4.59,3.36,1.25,0.08,5.89,2.37,-1.01,-0.75,1.84,-1.07,-1.62,-2.79,-0.84,-5.02,0.01,-4.32
1983,-0.19,-3.96,-6.35,-0.00,-1.72,-0.41,0.42,4.21,2.89,0.41,-0.33,5.27,1.62,-1.56,-0.95,1.49,-1.45,-1.96,-3.77,-1.11,-5.66,-0.87,-5.27
1984,-1.41,-4.83,-8.38,-1.34,-2.37,-1.43,-0.91,3.10,1.73,-0.99,-1.45,4.13,0.44,-2.27,-1.95,0.23,-2.50,-2.99,-5.19,-2.45,-6.34,-2.53,-6.45
1985,-1.01,-4.28,-7.31,-0.51,-2.20,-1.36,-0.86,2.87,1.79,-0.01,-1.57,4.49,1.00,-2.14,-1.88,0.04,-2.48,-3.01,-4.32,-2.52,-6.06,-1.51,-5.65
1986,-0.31,-3.53,-6.74,0.32,-1.54,-0.49,0.15,3.34,2.42,0.73,-0.87,5.10,1.88,-1.42,-1.00,0.74,-1.71,-2.22,-3.81,-1.62,-5.51,-1.01,-4.98
1987,-0.39,-3.48,-6.40,0.34,-1.50,-1.00,-0.87,3.38,2.24,0.84,-1.36,5.22,1.72,-1.48,-1.50,0.31,-2.14,-2.76,-3.27,-2.43,-5.30,-0.57,-4.60
1988,-0.15,-3.52,-6.50,0.13,-1.43,-0.49,0.44,3.84,2.44,0.72,-0.74,5.09,1.65,-1.31,-0.97,1.36,-1.73,-2.20,-3.42,-1.41,-5.18,-0.73,-4.70
1989,0.67,-2.71,-5.53,1.15,-0.84,0.05,0.92,4.83,3.58,1.55,0.35,6.11,2.78,-0.70,-0.43,2.01,-0.76,-1.21,-2.62,-0.69,-4.67,-0.01,-3.93
1990,0.61,-2.66,-5.23,1.03,-0.55,0.22,0.87,4.36,3.28,1.49,-0.20,5.97,2.56,-0.54,-0.32,1.69,-1.04,-1.63,-2.30,-1.01,-4.31,0.24,-3.75
1991,-0.02,-3.50,-5.86,0.46,-1.59,-0.68,0.06,4.02,2.76,0.99,-0.54,5.45,1.91,-1.51,-1.18,1.14,-1.69,-2.21,-3.02,-1.59,-5.26,-0.24,-4.54
1992,0.16,-3.27,-6.22,0.43,-1.07,-0.02,0.75,4.25,3.05,0.72,-0.20,5.43,2.03,-0.95,-0.50,1.72,-1.16,-1.71,-3.10,-0.91,-4.94,-0.62,-4.51
1993,-0.24,-3.84,-6.64,-0.26,-1.52,-0.35,0.70,4.01,2.58,0.32,-0.42,4.89,1.37,-1.48,-0.87,1.54,-1.54,-1.97,-3.55,-1.12,-5.43,-0.96,-5.00
1994,0.72,-2.78,-5.47,1.05,-0.76,0.10,0.95,4.91,3.64,1.59,0.40,6.16,2.61,-0.65,-0.40,2.07,-0.79,-1.25,-2.34,-0.63,-4.57,0.22,-3.76
1995,0.93,-2.23,-5.46,1.14,-0.10,0.79,1.45,5.03,3.87,1.35,0.65,6.08,2.97,-0.03,0.32,2.47,-0.31,-0.80,-2.42,-0.16,-3.99,0.07,-3.79
1996,-0.10,-3.21,-6.37,0.34,-1.26,-0.63,0.05,3.78,2.56,0.83,-0.80,5.20,1.88,-1.17,-1.09,1.06,-1.74,-2.29,-3.25,-1.64,-4.95,-0.56,-4.42
1997,0.97,-2.02,-4.63,1.55,-0.25,0.57,0.68,4.67,3.47,2.13,0.07,6.14,2.96,-0.23,-0.02,1.77,-0.85,-1.44,-1.68,-0.95,-3.72,0.91,-3.13
1998,1.66,-1.34,-4.59,2.23,0.50,1.06,1.44,5.45,4.23,2.76,0.86,6.93,3.71,0.56,0.61,2.64,0.02,-0.52,-1.24,-0.08,-3.13,1.21,-2.35
1999,1.18,-1.98,-4.92,1.69,-0.14,0.55,0.83,5.13,3.85,2.32,0.57,6.51,3.13,-0.00,0.09,2.16,-0.43,-0.95,-1.64,-0.47,-3.74,0.91,-2.86
2000,0.27,-3.16,-5.77,0.65,-1.21,-0.42,0.31,4.33,3.12,1.24,-0.20,5.75,2.23,-1.15,-0.86,1.50,-1.32,-1.82,-2.74,-1.17,-4.95,-0.13,-4.16
2001,0.85,-2.39,-5.23,1.54,-0.67,0.03,0.55,4.81,3.63,2.05,0.01,6.39,3.07,-0.58,-0.45,1.73,-0.81,-1.39,-2.07,-1.01,-4.39,0.49,-3.35
2002,1.27,-2.03,-4.89,1.70,0.05,0.81,1.46,5.39,4.06,2.04,0.75,6.59,3.25,0.14,0.31,2.63,-0.24,-0.77,-1.87,-0.11,-3.78,0.68,-3.22
2003,0.24,-2.99,-6.16,0.73,-1.03,-0.28,0.60,4.22,3.13,1.00,-0.33,5.75,2.35,-1.00,-0.81,1.37,-1.23,-1.78,-3.02,-1.24,-4.80,-0.52,-4.24
2004,1.28,-1.95,-5.07,1.72,-0.16,0.65,1.32,5.49,4.14,2.18,0.83,6.71,3.28,-0.09,0.13,2.61,-0.32,-0.86,-1.88,-0.23,-3.75,0.65,-3.09
2005,-0.11,-3.49,-7.02,0.25,-1.48,-0.53,0.44,4.54,3.04,0.42,-0.23,5.64,2.01,-1.43,-1.07,1.68,-1.42,-1.97,-4.17,-1.23,-5.43,-1.37,-5.26
2006,1.08,-2.14,-5.01,1.71,-0.34,0.35,0.44,5.31,4.09,2.13,0.70,6.76,3.30,-0.37,-0.20,2.14,-0.48,-1.07,-2.08,-0.66,-4.17,0.70,-3.33
2007,2.39,-0.83,-4.22,2.68,1.33,2.22,2.32,6.77,5.61,2.91,2.47,7.77,4.51,1.41,1.68,3.84,1.42,0.95,-1.11,1.31,-2.75,1.40,-2.28
2008,1.29,-1.98,-4.92,1.60,-0.05,0.78,1.52,5.51,4.21,2.02,0.97,6.62,3.28,-0.02,0.26,2.72,-0.11,-0.61,-1.93,-0.05,-3.87,0.67,-3.27
2009,0.69,-2.41,-5.82,1.39,-0.57,0.04,0.22,4.94,3.64,1.71,0.21,6.46,2.99,-0.57,-0.47,1.80,-0.88,-1.50,-2.81,-1.08,-4.43,0.00,-3.83
2010,-0.42,-3.75,-6.83,0.02,-1.86,-1.07,-0.57,4.00,2.45,0.62,-0.86,5.34,1.62,-1.84,-1.59,0.83,-2.06,-2.66,-3.87,-2.11,-5.59,-0.96,-5.04
2011,0.04,-3.72,-6.28,0.27,-1.64,-0.50,0.55,4.45,2.94,0.88,-0.20,5.52,1.80,-1.57,-1.03,1.72,-1.42,-1.88,-3.32,-1.00,-5.45,-0.56,-4.71
2012,-0.62,-4.01,-6.64,0.01,-2.26,-1.40,-0.67,3.40,2.15,0.61,-1.19,4.99,1.43,-2.23,-1.93,0.39,-2.39,-2.95,-3.74,-2.30,-5.89,-0.90,-5.02
2013,1.00,-2.34,-4.78,1.73,-0.69,-0.06,0.21,5.16,3.98,2.22,0.51,6.74,3.17,-0.76,-0.61,1.92,-0.83,-1.45,-1.83,-0.96,-4.26,0.83,-3.19
2014,1.30,-2.22,-5.48,1.50,-0.23,0.74,1.40,6.14,4.54,1.83,1.42,6.99,3.22,-0.21,0.18,3.17,-0.11,-0.61,-2.30,0.16,-3.97,0.20,-3.42
2015,1.69,-1.53,-4.39,2.11,0.37,1.15,1.64,5.62,4.50,2.63,1.14,7.04,3.67,0.31,0.59,2.83,0.15,-0.41,-1.26,0.10,-3.20,1.23,-2.61
2016,0.78,-2.56,-5.49,1.36,-0.79,0.08,0.55,4.98,3.74,1.88,0.18,6.46,2.88,-0.81,-0.49,1.97,-0.88,-1.46,-2.51,-0.88,-4.40,0.29,-3.76
2017,1.89,-1.28,-4.32,2.52,0.56,1.21,1.33,6.01,4.82,3.00,1.32,7.51,4.07,0.48,0.62,2.90,0.19,-0.44,-1.18,0.05,-3.09,1.42,-2.36
2018,1.18,-1.91,-5.71,1.58,-0.06,0.77,1.39,5.45,4.10,1.93,0.86,6.62,3.26,-0.09,0.24,2.72,-0.22,-0.73,-2.45,-0.11,-3.76,0.10,-3.37
2019,1.32,-1.85,-5.32,1.78,0.12,1.03,1.55,5.49,4.25,2.13,1.07,6.73,3.38,0.13,0.47,2.68,-0.00,-0.50,-2.27,0.02,-3.71,0.43,-3.28
2020,1.31,-1.97,-4.72,1.69,0.15,0.98,1.58,5.04,4.12,2.14,0.77,6.71,3.37,0.13,0.44,2.35,-0.13,-0.71,-1.72,-0.18,-3.62,0.77,-3.14
