Variable:,tas
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
1960,21.09,10.45,NaN,16.87,24.59,15.95,22.35,18.63,10.10,13.51,21.63
1961,21.79,10.85,NaN,17.39,25.03,16.22,22.58,19.60,10.94,14.64,22.70
1962,21.67,10.43,NaN,16.93,24.97,15.94,22.89,19.21,10.27,13.88,22.53
1963,21.57,10.88,NaN,17.19,24.92,16.10,22.55,19.39,10.00,13.97,22.33
1964,21.49,10.36,NaN,16.80,25.06,16.10,23.01,18.68,9.63,13.26,22.17
1965,21.93,10.82,NaN,17.65,25.17,16.28,23.05,19.67,9.86,13.82,22.72
1966,21.21,10.33,NaN,16.83,24.46,15.88,22.64,18.67,10.10,13.49,21.85
1967,21.52,11.08,NaN,17.54,24.42,16.19,22.92,19.13,10.08,14.03,22.19
1968,21.33,11.08,NaN,17.30,24.64,16.50,22.87,19.08,9.91,13.99,21.62
1969,21.70,10.84,NaN,17.30,24.80,16.33,23.39,18.96,10.20,13.76,22.38
1970,21.58,10.31,NaN,16.80,24.97,15.83,22.92,18.78,10.04,13.48,22.50
1971,21.44,10.49,NaN,16.95,24.88,15.96,22.80,19.08,10.46,13.91,21.99
1972,21.85,10.92,NaN,17.42,24.99,16.24,22.82,19.36,10.72,14.12,22.89
1973,22.17,11.46,NaN,17.99,25.55,16.94,23.77,19.76,10.67,14.17,22.56
1974,21.05,10.58,NaN,16.86,23.80,16.04,22.27,18.82,10.66,13.98,21.85
1975,21.49,11.04,NaN,17.46,24.47,16.53,22.93,19.18,10.39,14.23,22.04
1976,21.04,10.46,NaN,16.67,23.78,16.04,22.19,18.44,10.22,13.75,22.13
1977,21.68,11.04,NaN,17.56,24.25,16.54,22.66,19.46,10.23,13.95,22.81
1978,21.43,10.85,NaN,16.97,24.51,16.28,22.64,18.78,10.27,13.90,22.39
1979,22.03,11.37,NaN,17.94,25.16,16.78,23.27,19.61,10.49,14.25,22.76
1980,22.39,11.61,NaN,18.22,25.70,17.21,23.72,19.98,10.78,14.43,23.00
1981,21.96,11.44,NaN,17.90,25.14,16.73,23.19,19.68,11.00,14.53,22.55
1982,21.76,11.44,NaN,17.86,24.50,16.67,23.04,19.63,10.61,14.40,22.46
1983,22.07,11.28,NaN,17.63,25.12,16.69,23.50,19.57,10.34,14.10,22.86
1984,21.32,10.29,NaN,16.71,24.42,15.95,22.65,18.84,10.25,13.48,22.19
1985,21.86,10.83,NaN,17.27,25.08,16.33,23.09,19.23,10.43,13.99,22.80
1986,21.87,10.50,NaN,17.19,25.50,16.22,23.58,19.16,10.12,13.48,22.37
1987,21.83,10.75,NaN,17.43,24.98,16.52,23.48,19.18,10.27,13.77,22.47
1988,22.40,11.63,NaN,17.97,25.72,17.11,23.91,19.85,11.35,14.75,22.96
1989,21.64,10.85,NaN,17.27,24.84,16.44,22.89,19.03,10.86,14.09,22.44
1990,22.12,11.31,NaN,17.81,25.60,16.71,23.30,19.82,10.74,14.47,22.72
1991,22.30,11.40,NaN,17.99,25.33,17.02,23.34,20.00,10.38,14.18,23.27
1992,21.75,10.29,NaN,16.94,25.37,15.97,23.34,18.95,10.14,13.54,22.41
1993,22.00,11.06,NaN,17.68,25.18,16.68,23.68,19.68,10.81,14.07,22.44
1994,21.93,10.93,NaN,17.47,24.85,16.54,23.04,19.53,10.27,13.90,22.99
1995,21.77,10.59,NaN,17.23,25.07,16.13,23.52,19.30,9.81,13.52,22.29
1996,22.11,10.47,NaN,17.15,25.57,16.05,23.49,19.52,9.84,13.38,23.01
1997,21.82,11.38,NaN,17.91,24.74,16.74,23.18,19.62,10.44,14.19,22.42
1998,22.42,11.55,NaN,17.84,25.78,17.16,23.95,19.61,10.57,13.97,23.20
1999,21.90,11.29,NaN,17.67,25.01,16.67,23.14,19.86,11.06,14.44,22.47
2000,21.52,11.23,NaN,17.55,24.36,16.73,22.78,19.96,10.98,14.47,21.93
2001,21.58,11.36,NaN,17.72,24.36,16.95,23.25,19.52,10.92,14.35,21.91
2002,22.25,11.34,NaN,18.13,25.30,16.83,23.73,19.86,10.84,14.33,22.86
2003,22.22,11.26,NaN,17.86,25.34,16.63,23.82,19.86,10.70,14.20,22.79
2004,22.07,11.36,NaN,17.87,25.22,16.95,23.54,19.90,10.23,14.04,22.60
2005,22.57,11.46,NaN,18.21,25.95,17.04,24.12,20.17,10.93,14.43,23.07
2006,21.92,11.54,NaN,18.02,24.86,16.83,23.45,19.91,10.14,14.19,22.33
2007,22.08,11.76,NaN,18.24,25.07,16.97,23.26,20.21,11.06,14.82,22.58
2008,21.78,10.85,NaN,17.40,25.13,16.11,22.99,19.63,10.39,14.05,22.39
2009,22.22,11.79,NaN,18.29,25.32,17.03,23.34,20.32,10.75,14.62,22.77
2010,21.58,11.25,NaN,17.42,24.34,16.68,22.69,19.07,10.81,14.08,22.61
2011,21.53,11.17,NaN,17.63,23.98,16.68,22.59,19.63,10.79,14.31,22.41
2012,21.83,10.96,NaN,17.58,24.63,16.47,22.94,19.65,11.12,14.41,22.71
2013,22.81,12.00,NaN,18.50,26.08,17.39,24.17,20.65,11.36,15.02,23.34
2014,22.63,12.17,NaN,18.67,25.43,17.55,23.98,20.56,11.47,15.13,23.23
2015,22.43,11.66,NaN,18.12,25.26,17.13,23.90,19.91,10.93,14.57,23.27
2016,22.50,12.22,NaN,18.51,25.71,17.73,24.17,19.87,11.44,14.90,22.91
2017,22.57,12.11,NaN,18.66,25.55,17.62,24.31,20.27,11.31,14.91,22.91
2018,22.58,12.11,NaN,18.60,25.70,17.52,24.09,20.35,11.44,15.06,23.00
2019,22.88,12.32,NaN,18.72,26.02,17.78,24.02,20.47,11.31,14.95,23.70
2020,22.65,11.88,NaN,18.26,25.85,17.38,24.19,19.86,10.94,14.47,23.42
