Variable:,tas
,Georgia,"Abkhazia Aut. Rep.","Adjara Aut. Rep.",Guria,Imereti,Kakheti,"Kvemo Kartli",Mtskheta-Mtianeti,"Racha-Lechkhumi and Kvemo (lower) Svaneti","Samergelo and Zemo (upper) Svaneti",Samtskhe-Javakheti,"Shida Kartli",Tbilisi
1975,7.30,7.95,8.86,9.91,9.91,9.38,8.43,4.87,3.65,7.30,3.82,6.20,10.67
1976,6.17,6.54,7.91,8.91,8.85,8.29,7.46,3.69,2.40,6.07,2.91,5.06,9.53
1977,6.67,7.28,8.44,9.46,9.34,8.66,7.84,4.10,2.96,6.68,3.36,5.50,9.95
1978,6.92,7.32,8.72,9.72,9.63,8.99,8.20,4.41,3.18,6.86,3.66,5.79,10.24
1979,8.04,8.56,9.81,10.82,10.75,10.06,9.28,5.51,4.32,8.00,4.74,6.91,11.37
1980,7.14,7.50,8.83,9.83,9.81,9.29,8.48,4.69,3.39,7.02,3.83,6.04,10.52
1981,7.99,8.55,9.67,10.69,10.64,10.06,9.21,5.51,4.27,7.92,4.66,6.84,11.33
1982,6.31,6.98,8.10,9.13,8.97,8.30,7.45,3.75,2.59,6.34,2.97,5.11,9.57
1983,6.95,7.51,8.61,9.64,9.58,9.03,8.15,4.49,3.23,6.89,3.64,5.82,10.30
1984,6.90,7.42,8.67,9.66,9.58,8.95,8.14,4.35,3.18,6.86,3.61,5.73,10.21
1985,6.57,6.89,8.35,9.35,9.26,8.67,7.87,4.06,2.80,6.48,3.32,5.44,9.92
1986,7.28,7.80,9.03,10.04,9.98,9.30,8.48,4.75,3.58,7.26,3.99,6.14,10.58
1987,6.69,6.81,8.38,9.36,9.37,8.92,8.11,4.29,2.87,6.47,3.43,5.66,10.13
1988,6.72,7.26,8.21,9.23,9.27,8.95,7.99,4.32,3.00,6.61,3.22,5.66,10.17
1989,7.65,7.91,9.09,10.09,10.18,10.00,9.05,5.40,3.85,7.36,4.23,6.70,11.23
1990,7.27,7.80,8.80,9.85,9.89,9.45,8.48,4.84,3.54,7.18,3.84,6.15,10.63
1991,7.17,7.53,8.79,9.80,9.81,9.38,8.46,4.78,3.44,7.00,3.83,6.09,10.59
1992,5.49,6.05,7.05,8.08,8.05,7.71,6.75,3.11,1.69,5.39,2.03,4.33,8.89
1993,5.82,6.36,7.51,8.50,8.44,7.95,7.05,3.33,2.06,5.72,2.46,4.70,9.17
1994,6.96,7.57,8.78,9.75,9.65,8.96,8.13,4.37,3.26,6.96,3.64,5.84,10.23
1995,7.58,8.09,9.15,10.18,10.16,9.76,8.83,5.17,3.84,7.48,4.17,6.45,10.95
1996,7.48,7.94,9.26,10.22,10.13,9.61,8.72,4.94,3.74,7.42,4.15,6.36,10.83
1997,6.97,7.40,8.66,9.67,9.62,9.13,8.21,4.49,3.24,6.92,3.60,5.85,10.33
1998,8.06,8.38,9.78,10.78,10.76,10.19,9.37,5.53,4.35,7.97,4.77,7.00,11.47
1999,8.19,8.66,9.87,10.89,10.84,10.31,9.42,5.69,4.46,8.11,4.84,7.07,11.53
2000,7.61,7.93,9.26,10.27,10.22,9.86,8.93,5.19,3.83,7.47,4.22,6.49,11.04
2001,8.33,8.61,10.05,11.06,11.03,10.46,9.64,5.82,4.63,8.24,5.04,7.28,11.75
2002,7.26,7.74,8.94,9.96,9.91,9.39,8.51,4.80,3.52,7.17,3.89,6.14,10.63
2003,7.24,7.49,8.95,9.96,9.92,9.40,8.54,4.75,3.55,7.15,3.92,6.15,10.67
2004,7.43,7.85,9.05,10.06,10.01,9.73,8.67,5.02,3.70,7.34,3.98,6.25,10.80
2005,7.54,8.08,9.17,10.18,10.14,9.75,8.75,5.07,3.80,7.44,4.13,6.40,10.87
2006,7.70,8.14,9.46,10.45,10.36,9.85,8.93,5.20,3.97,7.63,4.38,6.57,11.05
2007,7.38,8.12,8.96,10.01,9.98,9.49,8.51,4.89,3.74,7.40,3.93,6.17,10.64
2008,7.35,7.84,9.02,10.02,9.95,9.54,8.61,4.90,3.55,7.21,3.99,6.25,10.73
2009,7.66,8.34,9.39,10.38,10.27,9.73,8.82,5.15,3.95,7.61,4.28,6.49,10.94
2010,9.34,9.94,11.25,12.21,12.01,11.37,10.50,6.77,5.59,9.30,6.03,8.16,12.61
2011,6.99,7.47,8.76,9.74,9.62,9.13,8.20,4.48,3.23,6.90,3.66,5.85,10.30
2012,7.94,8.41,9.69,10.67,10.61,10.09,9.23,5.43,4.13,7.80,4.62,6.84,11.35
2013,7.75,8.35,9.36,10.39,10.37,9.89,8.93,5.33,4.02,7.69,4.30,6.64,11.09
2014,8.54,9.11,10.28,11.27,11.21,10.54,9.76,6.00,4.84,8.49,5.25,7.45,11.89
2015,8.26,8.76,9.85,10.91,10.92,10.37,9.48,5.84,4.57,8.22,4.87,7.15,11.61
2016,7.86,8.47,9.54,10.57,10.54,9.88,9.01,5.41,4.18,7.85,4.46,6.75,11.13
2017,8.02,8.56,9.61,10.67,10.71,10.07,9.20,5.56,4.35,8.00,4.64,6.94,11.31
2018,9.22,9.70,11.04,12.03,11.92,11.23,10.49,6.63,5.47,9.17,5.99,8.13,12.53
2019,8.62,9.16,10.28,11.32,11.32,10.65,9.79,6.16,4.96,8.61,5.24,7.54,11.90
2020,8.60,9.35,10.26,11.32,11.34,10.48,9.62,6.10,5.03,8.71,5.11,7.50,11.68
