Variable:,tas
,Finland,Aaland,"Eastern Finland",Lapland,Oulu,"Southern Finland","Western Finland"
1966,-0.15,3.80,0.95,-3.11,-0.74,2.64,2.00
1967,2.07,5.22,3.22,-0.54,1.80,4.28,3.76
1968,0.61,4.68,1.78,-2.40,0.06,3.37,2.75
1969,0.64,4.34,1.58,-1.99,0.17,2.99,2.59
1970,1.27,3.83,2.35,-1.17,0.97,3.35,2.86
1971,1.00,5.09,2.22,-2.20,0.42,3.93,3.32
1972,2.90,5.78,3.97,0.43,2.61,4.99,4.53
1973,1.74,5.43,2.86,-1.18,1.37,4.23,3.78
1974,3.38,6.10,4.37,0.96,3.13,5.41,4.98
1975,3.09,6.66,4.40,-0.06,2.78,5.72,5.19
1976,0.49,4.19,1.29,-1.90,0.07,2.66,2.31
1977,1.23,4.58,2.42,-1.51,0.93,3.53,3.04
1978,0.19,3.95,1.13,-2.39,-0.31,2.57,2.13
1979,1.49,4.31,2.66,-1.19,1.18,3.76,3.24
1980,0.94,4.42,2.14,-1.94,0.49,3.45,2.93
1981,0.96,4.40,2.52,-2.27,0.59,3.74,2.95
1982,1.93,5.17,2.99,-0.74,1.57,4.29,3.75
1983,2.09,5.58,3.41,-0.98,1.66,4.80,4.12
1984,2.48,5.64,3.67,-0.27,2.18,4.80,4.28
1985,-0.42,2.96,0.70,-3.05,-0.98,2.13,1.41
1986,1.25,4.41,2.38,-1.37,0.84,3.64,2.98
1987,-0.11,3.08,0.70,-2.34,-0.53,1.96,1.51
1988,1.91,5.36,3.10,-1.05,1.56,4.48,3.89
1989,3.69,6.70,4.93,0.97,3.39,5.92,5.43
1990,3.01,6.58,3.94,0.51,2.49,5.34,4.88
1991,2.39,5.77,3.50,-0.39,1.90,4.89,4.37
1992,2.79,6.22,3.75,0.25,2.35,5.11,4.63
1993,1.85,5.32,2.75,-0.71,1.44,4.07,3.74
1994,1.81,5.35,2.80,-0.69,1.39,4.10,3.56
1995,2.44,5.63,3.71,-0.55,2.11,4.97,4.41
1996,1.72,4.60,2.70,-0.69,1.50,3.79,3.30
1997,2.32,5.90,3.26,-0.33,1.86,4.71,4.28
1998,1.36,5.19,2.52,-1.67,0.88,4.07,3.51
1999,2.40,6.18,3.62,-0.54,1.93,5.07,4.43
2000,3.56,6.78,4.68,0.82,3.29,5.87,5.36
2001,2.14,5.83,3.24,-0.57,1.69,4.62,4.00
2002,2.26,6.13,3.34,-0.55,1.77,4.79,4.26
2003,2.50,5.73,3.46,0.12,2.24,4.51,4.12
2004,2.62,5.93,3.55,0.17,2.24,4.75,4.37
2005,3.27,6.19,4.27,0.84,3.12,5.20,4.84
2006,2.97,6.57,3.97,0.33,2.54,5.32,4.88
2007,3.15,6.56,4.24,0.51,2.79,5.51,4.94
2008,3.29,7.06,4.56,0.24,2.88,5.97,5.36
2009,2.49,5.88,3.46,-0.01,2.15,4.70,4.21
2010,1.17,4.47,2.21,-1.30,0.76,3.50,2.82
2011,3.60,6.76,4.58,1.14,3.30,5.76,5.29
2012,1.91,5.59,2.95,-0.71,1.44,4.28,3.77
2013,3.48,6.44,4.65,0.82,3.18,5.72,5.20
2014,3.62,6.62,4.89,0.71,3.39,5.96,5.49
2015,3.88,6.92,5.15,0.94,3.58,6.33,5.78
2016,3.29,6.13,4.26,0.90,3.03,5.37,4.87
2017,2.66,5.94,3.82,-0.15,2.32,5.07,4.54
2018,3.41,6.58,4.56,0.59,3.14,5.81,5.25
2019,2.94,6.64,4.44,-0.46,2.52,5.87,5.14
2020,4.45,7.70,5.85,1.23,4.23,7.07,6.49
