Variable:,tas
,Andorra,"Andorra La Vella",Canillo,Encamp,Escaldes-engordany,"La Massana",Ordino,"Sant Julia De Loria"
1931,7.52,7.53,7.08,7.10,7.75,7.31,7.14,8.32
1932,7.51,7.52,7.07,7.09,7.74,7.30,7.13,8.32
1933,7.72,7.72,7.25,7.27,7.92,7.54,7.32,8.54
1934,7.95,7.96,7.52,7.54,8.18,7.74,7.57,8.74
1935,7.54,7.54,7.14,7.15,7.75,7.33,7.19,8.31
1936,7.58,7.59,7.16,7.18,7.78,7.41,7.22,8.34
1937,8.25,8.25,7.82,7.84,8.46,8.04,7.88,9.04
1938,7.56,7.56,7.17,7.18,7.76,7.34,7.21,8.31
1939,7.50,7.51,7.10,7.11,7.70,7.32,7.16,8.24
1940,7.27,7.28,6.74,6.76,7.51,7.10,6.83,8.16
1941,6.97,6.98,6.50,6.52,7.20,6.78,6.57,7.81
1942,7.79,7.80,7.32,7.34,8.02,7.60,7.39,8.63
1943,8.48,8.50,8.05,8.07,8.73,8.26,8.10,9.28
1944,7.66,7.67,7.23,7.25,7.89,7.46,7.29,8.45
1945,8.52,8.53,8.04,8.06,8.75,8.34,8.11,9.35
1946,7.90,7.90,7.49,7.51,8.11,7.69,7.54,8.67
1947,8.61,8.62,8.18,8.20,8.83,8.40,8.24,9.39
1948,8.35,8.36,7.87,7.89,8.58,8.17,7.94,9.20
1949,8.47,8.48,8.04,8.06,8.69,8.27,8.10,9.27
1950,8.21,8.22,7.77,7.79,8.43,8.02,7.83,9.02
1951,7.76,7.78,7.33,7.35,7.99,7.56,7.39,8.56
1952,8.47,8.49,8.03,8.05,8.71,8.27,8.09,9.28
1953,8.05,8.06,7.58,7.60,8.30,7.83,7.64,8.89
1954,7.65,7.66,7.18,7.20,7.88,7.43,7.24,8.50
1955,8.50,8.51,8.02,8.04,8.74,8.28,8.08,9.36
1956,7.20,7.22,6.73,6.75,7.46,6.98,6.79,8.05
1957,7.79,7.80,7.34,7.36,8.01,7.59,7.40,8.61
1958,8.26,8.28,7.79,7.81,8.51,8.04,7.85,9.12
1959,8.44,8.44,8.00,8.02,8.64,8.25,8.06,9.24
1960,8.05,8.06,7.63,7.64,8.24,7.88,7.69,8.82
1961,8.82,8.83,8.38,8.40,9.04,8.63,8.44,9.63
1962,7.68,7.70,7.22,7.24,7.92,7.47,7.28,8.51
1963,7.32,7.34,6.86,6.88,7.57,7.11,6.92,8.15
1964,8.16,8.18,7.68,7.70,8.44,7.93,7.74,9.02
1965,7.77,7.79,7.30,7.32,8.03,7.55,7.36,8.63
1966,8.34,8.35,7.88,7.90,8.57,8.13,7.94,9.18
1967,8.25,8.27,7.78,7.80,8.52,8.03,7.84,9.11
1968,8.14,8.15,7.68,7.70,8.38,7.93,7.74,8.98
1969,7.58,7.59,7.13,7.15,7.81,7.38,7.19,8.41
1970,8.09,8.11,7.64,7.66,8.33,7.89,7.70,8.92
1971,7.87,7.89,7.41,7.43,8.12,7.66,7.47,8.69
1972,7.56,7.58,7.13,7.15,7.80,7.37,7.19,8.34
1973,7.93,7.94,7.48,7.50,8.16,7.73,7.54,8.74
1974,7.89,7.89,7.46,7.48,8.08,7.71,7.52,8.66
1975,7.94,7.94,7.51,7.53,8.14,7.76,7.57,8.71
1976,8.01,8.02,7.58,7.60,8.21,7.83,7.64,8.80
1977,7.92,7.93,7.48,7.50,8.14,7.73,7.54,8.72
1978,7.75,7.76,7.28,7.30,7.99,7.53,7.34,8.61
1979,8.08,8.09,7.63,7.65,8.31,7.87,7.69,8.89
1980,7.52,7.53,7.05,7.07,7.76,7.30,7.11,8.36
1981,8.20,8.20,7.75,7.77,8.40,8.00,7.81,9.01
1982,8.83,8.83,8.39,8.41,9.04,8.64,8.45,9.62
1983,8.46,8.46,8.00,8.02,8.68,8.25,8.06,9.30
1984,7.62,7.62,7.17,7.19,7.83,7.42,7.23,8.45
1985,7.80,7.81,7.32,7.34,8.05,7.58,7.38,8.70
1986,8.13,8.13,7.68,7.70,8.34,7.93,7.74,8.95
1987,8.13,8.14,7.67,7.69,8.36,7.92,7.73,8.98
1988,8.47,8.48,8.02,8.04,8.70,8.27,8.08,9.30
1989,9.18,9.18,8.73,8.75,9.39,8.98,8.79,9.98
1990,9.10,9.11,8.66,8.68,9.32,8.91,8.72,9.91
1991,8.27,8.28,7.82,7.84,8.50,8.07,7.88,9.09
1992,8.34,8.35,7.90,7.92,8.56,8.14,7.96,9.15
1993,8.13,8.14,7.69,7.71,8.35,7.94,7.75,8.93
1994,9.36,9.37,8.93,8.95,9.59,9.15,8.99,10.16
1995,9.20,9.20,8.74,8.76,9.42,8.99,8.80,10.04
1996,8.58,8.59,8.13,8.15,8.80,8.38,8.19,9.40
1997,9.71,9.72,9.26,9.28,9.93,9.52,9.32,10.49
1998,8.95,8.96,8.50,8.52,9.18,8.75,8.56,9.75
1999,9.17,9.19,8.74,8.76,9.40,8.99,8.80,9.92
2000,9.37,9.40,8.94,8.96,9.62,9.19,9.00,10.12
2001,9.05,9.07,8.62,8.64,9.29,8.84,8.68,9.85
2002,9.27,9.27,8.82,8.84,9.48,9.07,8.88,10.08
2003,9.56,9.57,9.13,9.15,9.77,9.37,9.19,10.33
2004,8.97,8.99,8.52,8.54,9.21,8.77,8.58,9.79
2005,8.53,8.54,8.08,8.10,8.76,8.33,8.14,9.35
2006,9.59,9.59,9.14,9.16,9.80,9.39,9.20,10.40
2007,8.97,8.98,8.51,8.53,9.19,8.76,8.57,9.80
2008,8.84,8.85,8.40,8.42,9.07,8.65,8.46,9.65
2009,9.36,9.37,8.92,8.94,9.59,9.16,8.98,10.18
2010,8.25,8.26,7.81,7.83,8.48,8.05,7.87,9.07
2011,9.72,9.72,9.27,9.29,9.93,9.53,9.33,10.52
2012,9.09,9.11,8.64,8.66,9.33,8.89,8.70,9.92
2013,8.76,8.77,8.30,8.32,8.98,8.55,8.36,9.59
2014,9.94,9.95,9.49,9.51,10.17,9.74,9.55,10.77
2015,9.72,9.72,9.26,9.28,9.93,9.53,9.33,10.54
2016,9.59,9.60,9.14,9.16,9.82,9.39,9.20,10.41
2017,9.52,9.52,9.04,9.06,9.71,9.36,9.12,10.36
2018,9.91,9.93,9.50,9.52,10.16,9.69,9.55,10.71
2019,9.81,9.81,9.37,9.39,10.03,9.60,9.43,10.61
2020,9.97,9.98,9.53,9.55,10.19,9.76,9.59,10.77
