Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1911,13.98,14.13,15.76,9.61,21.39,9.75,16.51,20.01,17.22,22.49,9.28,14.60,14.81,11.59,19.69,10.05,11.85,15.68,9.53,15.96,7.87,18.09,20.42,5.39,16.62
1912,14.70,14.90,16.45,10.47,22.10,10.39,17.33,20.49,17.94,23.09,10.10,15.44,15.73,12.46,20.18,10.75,12.60,16.49,10.40,16.72,8.17,18.84,21.25,5.55,17.49
1913,15.19,15.87,17.58,11.03,22.16,10.64,18.23,20.72,18.78,22.98,10.25,16.25,16.43,13.20,20.06,11.25,13.11,16.65,11.09,17.56,8.01,19.57,21.67,4.94,17.96
1914,14.45,14.90,16.61,10.38,21.77,9.78,17.27,20.37,18.04,22.76,10.02,15.14,15.47,12.10,20.40,10.23,12.13,16.34,10.19,16.55,7.61,18.87,21.06,4.76,17.37
1915,14.46,14.86,16.50,10.46,21.64,9.84,17.28,20.04,17.81,22.71,10.13,15.26,15.56,12.34,19.99,10.38,12.18,16.40,10.32,16.76,7.72,18.64,20.98,4.99,17.41
1916,14.52,14.99,16.69,10.26,21.48,10.17,17.38,20.14,17.97,22.41,9.73,15.33,15.51,12.24,19.64,10.45,12.43,16.08,10.15,16.69,8.18,18.75,20.86,5.84,17.20
1917,14.56,15.04,16.57,9.88,21.19,10.84,17.18,19.99,17.76,22.09,9.10,15.57,15.35,12.37,19.25,11.02,13.02,15.52,10.03,16.63,8.60,18.54,20.50,5.95,16.65
1918,14.27,14.83,16.40,9.82,21.16,10.09,16.94,19.90,17.59,22.15,9.32,15.27,15.13,12.12,19.46,10.48,12.41,15.63,9.81,16.43,7.90,18.36,20.43,5.36,16.68
1919,14.73,15.02,16.68,10.50,22.05,10.29,17.39,20.64,18.11,23.12,10.21,15.44,15.67,12.45,20.44,10.71,12.57,16.53,10.33,16.77,8.21,18.95,21.18,5.76,17.46
1920,14.69,15.13,16.73,10.48,21.79,10.26,17.49,20.37,18.04,22.80,10.01,15.50,15.74,12.50,20.06,10.63,12.57,16.34,10.41,16.88,8.18,18.87,21.06,5.77,17.37
1921,14.10,14.57,16.11,9.54,21.23,9.88,16.59,19.88,17.36,22.36,9.35,14.94,14.77,11.76,19.92,10.16,12.11,15.64,9.48,16.13,8.01,18.12,20.26,5.72,16.50
1922,14.17,14.69,16.21,9.53,21.14,10.22,16.58,19.83,17.37,22.26,9.35,15.06,14.71,11.77,19.95,10.39,12.41,15.62,9.38,16.09,8.20,18.12,20.21,5.69,16.48
1923,14.07,14.35,16.00,9.84,21.49,9.61,16.71,20.12,17.51,22.59,9.64,14.77,15.01,11.76,20.13,10.03,11.89,15.94,9.64,16.09,7.47,18.35,20.56,4.64,16.82
1924,14.09,14.16,15.70,9.73,21.24,10.02,16.56,19.64,17.17,22.30,9.59,14.71,14.95,11.82,19.46,10.29,12.07,15.84,9.67,16.09,8.20,18.03,20.39,5.63,16.74
1925,14.48,14.90,16.52,10.44,21.82,9.63,17.38,20.41,17.94,22.86,9.94,15.23,15.75,12.37,20.25,10.26,12.01,16.26,10.42,16.88,7.69,18.79,21.03,5.06,17.27
1926,14.79,15.29,17.01,10.68,22.41,9.77,17.67,21.07,18.48,23.51,10.32,15.58,15.93,12.62,21.01,10.49,12.27,16.69,10.60,17.11,7.62,19.27,21.48,5.07,17.71
1927,14.58,15.26,16.85,10.12,21.64,10.09,17.40,20.52,18.09,22.66,9.52,15.57,15.52,12.46,20.37,10.59,12.46,15.87,10.21,16.92,8.00,18.81,20.80,5.28,17.00
1928,13.98,14.57,16.13,9.43,21.08,9.72,16.45,19.86,17.35,22.30,9.32,14.86,14.52,11.64,20.16,10.05,11.99,15.57,9.31,16.02,7.83,17.98,20.05,5.28,16.39
1929,14.70,15.41,17.03,10.43,21.82,10.10,17.59,20.56,18.24,22.73,9.77,15.63,15.79,12.50,20.26,10.53,12.49,16.12,10.46,17.02,7.97,19.01,21.07,5.27,17.33
1930,14.66,15.14,16.82,10.36,22.04,10.10,17.40,20.70,18.19,23.08,10.07,15.43,15.59,12.37,20.62,10.59,12.46,16.40,10.33,16.79,7.87,18.99,21.12,5.02,17.34
1931,13.91,14.47,16.14,9.07,21.27,9.71,16.16,20.04,17.31,22.39,9.29,14.62,14.38,11.54,20.20,10.09,11.96,15.58,9.28,15.67,7.80,17.99,19.94,4.94,16.08
1932,14.79,15.60,17.35,10.23,22.30,10.19,17.51,21.10,18.59,23.32,10.00,15.58,15.61,12.46,21.08,10.65,12.57,16.42,10.31,16.86,7.75,19.28,21.16,4.53,17.20
1933,14.43,14.94,16.67,9.99,22.13,9.63,17.22,21.16,18.25,23.24,9.68,15.02,15.53,12.16,20.98,10.12,11.96,16.04,10.22,16.53,7.50,19.08,20.82,4.74,16.88
1934,14.13,14.59,16.19,9.66,21.86,9.65,16.51,20.62,17.73,23.04,9.62,14.62,14.89,11.56,20.75,10.00,11.86,15.99,9.68,15.86,7.64,18.45,20.49,4.85,16.66
1935,14.57,14.96,16.50,10.18,22.38,10.02,17.34,20.91,18.14,23.48,10.09,15.23,15.47,12.05,20.87,10.47,12.36,16.50,10.08,16.55,7.53,19.08,21.16,4.32,17.20
1936,14.41,14.85,16.58,10.00,22.36,9.80,17.02,20.83,18.00,23.49,10.15,14.87,15.15,11.80,20.92,10.23,12.08,16.56,9.68,16.17,7.55,18.80,21.10,4.77,17.17
1937,14.45,14.68,16.33,10.24,22.36,9.73,17.47,20.70,17.83,23.36,10.08,15.02,15.42,12.13,20.61,10.27,12.04,16.53,9.89,16.65,7.30,18.98,21.33,4.26,17.35
1938,14.20,14.83,16.50,9.71,21.62,9.62,17.15,20.29,17.79,22.82,9.79,14.98,15.07,11.79,20.39,9.92,11.86,16.09,9.65,16.39,7.42,18.58,20.48,4.49,16.74
1939,14.36,14.80,16.55,9.99,21.91,9.70,17.15,20.69,18.08,23.06,9.90,15.02,15.31,12.25,20.75,10.33,11.98,16.26,10.14,16.60,7.28,18.80,20.72,4.09,17.06
1940,14.30,14.87,16.59,9.53,21.82,9.96,16.85,20.53,17.95,23.05,9.99,14.98,14.73,11.85,20.79,10.32,12.15,16.26,9.57,16.18,7.69,18.61,20.44,4.79,16.64
1941,14.14,14.42,15.97,9.65,21.47,9.75,16.75,20.35,17.53,22.69,9.79,14.82,14.90,11.91,20.51,10.28,12.00,16.07,9.82,16.21,7.61,18.33,20.31,4.88,16.67
1942,14.13,14.63,16.17,9.28,21.36,10.05,16.55,20.39,17.62,22.59,9.25,15.00,14.54,11.78,20.46,10.55,12.30,15.60,9.45,16.02,7.82,18.25,20.04,5.04,16.31
1943,14.62,15.41,17.04,9.63,21.77,10.61,17.08,21.03,18.42,22.92,9.34,15.55,14.94,12.14,21.00,11.03,12.84,15.70,9.87,16.39,8.28,18.92,20.42,5.37,16.52
1944,15.06,15.30,16.82,10.53,22.87,10.43,17.88,21.97,18.77,23.94,9.98,15.75,15.84,12.93,21.82,11.17,12.88,16.50,10.75,17.30,7.93,19.72,21.55,4.94,17.52
1945,15.15,15.41,17.01,10.66,22.74,10.57,18.12,21.79,18.75,23.72,10.08,15.83,16.00,13.10,21.58,11.21,12.90,16.57,10.89,17.54,8.17,19.78,21.60,5.17,17.62
1946,14.37,14.74,16.38,9.96,21.86,9.65,17.12,20.62,17.82,23.08,10.01,15.03,15.31,12.45,20.74,10.44,12.03,16.34,10.25,16.73,7.39,18.65,20.71,4.58,16.93
1947,14.54,15.02,16.48,9.82,21.94,10.10,17.12,20.86,17.92,23.06,9.53,15.51,15.24,12.67,20.82,10.81,12.51,15.94,10.32,16.86,7.70,18.77,20.71,4.78,16.75
1948,14.54,14.82,16.38,10.15,22.44,9.80,17.27,21.04,17.94,23.63,10.18,15.17,15.39,12.44,21.07,10.41,12.11,16.59,10.28,16.82,7.46,18.93,21.14,4.32,17.22
1949,14.55,14.95,16.48,9.78,22.09,10.18,17.13,21.09,18.09,23.26,9.53,15.42,15.24,12.40,21.13,10.76,12.54,15.95,10.20,16.68,7.89,18.85,20.68,4.81,16.67
1950,14.51,14.93,16.45,10.07,22.16,9.60,17.40,21.05,18.10,23.23,9.68,15.44,15.53,12.61,21.12,10.45,12.14,16.15,10.40,17.06,7.30,18.93,20.97,4.38,17.03
1951,14.72,15.15,16.85,10.09,22.29,10.00,17.69,21.15,18.45,23.37,9.73,15.45,15.61,12.64,21.01,11.01,12.36,16.23,10.39,16.96,7.86,19.27,21.07,5.03,16.96
1952,14.70,15.18,16.97,9.87,22.01,10.55,17.12,21.12,18.49,23.15,9.40,15.55,15.39,12.50,21.14,11.34,12.82,15.85,10.29,16.54,8.25,18.95,20.66,5.32,16.69
1953,14.77,14.87,16.73,10.20,22.55,10.39,17.38,21.43,18.54,23.67,10.04,15.28,15.63,12.57,21.51,11.11,12.61,16.46,10.44,16.75,7.84,19.24,21.19,4.99,17.14
1954,14.36,14.77,16.58,9.68,21.95,10.01,17.02,20.91,18.03,23.13,9.34,15.03,15.15,12.14,21.17,10.82,12.22,15.78,9.96,16.44,7.48,18.67,20.55,4.68,16.55
1955,14.05,14.30,16.16,9.38,21.62,9.84,16.51,20.45,17.59,22.86,9.16,14.57,14.74,11.95,20.73,10.66,11.95,15.59,9.58,15.97,7.45,18.22,20.24,4.87,16.32
1956,13.77,14.14,15.98,8.94,20.68,9.94,16.11,20.07,17.28,21.87,8.41,14.46,14.43,11.58,20.39,10.56,11.92,14.71,9.29,15.58,7.86,17.79,19.52,5.31,15.73
1957,14.35,14.85,16.69,9.79,21.53,9.93,16.97,20.98,18.18,22.65,9.22,14.99,15.31,12.48,21.06,10.72,12.11,15.52,10.23,16.52,7.59,18.74,20.38,4.71,16.53
1958,14.61,15.21,16.92,9.95,21.99,10.14,17.42,21.16,18.39,23.06,9.67,15.37,15.42,12.45,21.32,10.65,12.34,15.99,10.25,16.82,7.68,19.12,20.83,4.56,16.84
1959,14.09,14.48,16.30,9.43,21.70,9.82,16.43,21.04,17.81,22.99,9.24,14.66,14.82,11.93,21.35,10.27,11.79,15.56,9.75,15.96,7.45,18.39,20.17,4.13,16.32
1960,14.69,15.29,17.06,10.14,21.90,10.27,17.53,21.18,18.64,22.94,9.30,15.43,15.58,12.58,21.17,10.76,12.35,15.78,10.36,16.91,8.00,19.27,20.94,5.03,17.01
1961,14.68,15.13,16.84,10.52,22.63,9.48,17.47,21.34,18.36,23.78,10.38,15.53,15.81,12.66,21.67,10.48,12.14,16.88,10.65,17.06,6.94,19.21,21.36,4.13,17.67
1962,14.55,14.95,16.23,10.07,21.24,10.60,17.10,20.29,17.81,22.40,9.30,15.64,15.52,12.37,20.41,10.90,12.74,15.79,10.27,16.74,8.36,18.50,20.56,5.39,17.00
1963,14.48,14.80,16.61,10.02,22.76,9.77,17.25,21.40,18.21,24.04,9.97,14.76,15.34,11.83,21.88,10.21,11.91,16.48,9.99,16.43,7.42,19.16,21.08,4.43,17.10
1964,14.09,14.24,15.97,9.69,21.54,9.64,16.92,20.24,17.42,22.77,9.51,14.60,15.04,11.93,20.74,10.18,11.72,15.89,9.87,16.36,7.40,18.43,20.56,4.57,16.73
1965,14.60,15.13,16.82,10.27,21.95,9.76,17.71,20.78,18.40,23.10,9.91,15.33,15.72,12.34,20.96,10.33,12.10,16.36,10.42,16.91,7.46,19.26,21.15,5.18,17.22
1966,14.38,14.78,16.39,9.92,21.78,9.94,17.29,20.49,17.81,23.03,9.73,15.02,15.36,12.02,21.04,10.18,12.02,16.08,10.03,16.58,7.77,18.80,20.73,4.69,16.87
1967,14.72,15.22,16.86,10.45,22.11,10.02,17.60,20.99,18.35,23.26,10.11,15.49,15.86,12.39,21.20,10.32,12.32,16.58,10.33,16.99,7.84,19.17,21.22,4.73,17.48
1968,14.83,15.35,16.84,10.26,21.94,10.44,17.78,20.67,18.26,23.03,9.72,15.61,15.73,12.57,20.61,10.74,12.68,16.24,10.45,17.18,8.39,19.18,21.18,5.21,17.23
1969,14.95,15.44,17.09,10.88,22.16,10.14,18.20,20.66,18.43,23.22,10.40,15.58,16.38,12.95,20.75,10.40,12.36,16.83,11.00,17.56,7.89,19.42,21.65,4.64,17.77
1970,14.88,15.36,16.94,10.61,22.34,10.08,18.09,20.90,18.39,23.31,10.16,15.59,16.05,12.65,20.77,10.46,12.32,16.67,10.66,17.38,7.91,19.41,21.57,4.91,17.58
1971,14.30,15.06,16.58,9.97,21.52,9.31,17.57,20.23,17.84,22.45,9.41,15.40,15.48,12.46,20.06,10.01,11.84,15.88,10.33,17.12,6.94,18.77,20.83,4.15,16.88
1972,14.46,15.21,16.89,10.30,21.84,9.44,17.52,20.57,18.20,22.92,9.93,15.20,15.66,12.18,20.64,10.15,11.90,16.37,10.32,16.77,7.15,19.04,21.10,4.44,17.28
1973,14.24,14.82,16.54,9.97,21.52,9.74,16.94,20.24,17.68,22.56,9.71,14.94,15.40,12.01,20.31,10.14,11.95,16.02,10.08,16.37,7.44,18.49,20.64,4.41,16.87
1974,14.26,15.00,16.75,9.80,21.44,9.61,17.26,20.28,17.91,22.40,9.44,15.05,15.21,12.04,20.10,10.13,11.89,15.82,9.87,16.51,7.57,18.69,20.58,5.16,16.70
1975,14.54,15.36,17.04,10.06,21.71,9.99,17.47,20.38,18.13,22.64,9.72,15.47,15.45,12.17,20.14,10.31,12.30,16.18,10.08,16.80,7.76,18.89,20.96,4.98,17.05
1976,14.00,14.51,16.29,9.63,21.33,9.32,16.89,20.05,17.73,22.30,9.25,14.73,15.03,11.86,19.84,10.04,11.69,15.69,9.72,16.24,7.18,18.40,20.46,4.30,16.53
1977,14.92,15.52,17.12,10.41,22.41,10.19,17.89,21.33,18.57,23.44,9.93,15.84,15.94,12.99,21.52,11.04,12.72,16.34,10.76,17.44,7.57,19.34,21.17,4.78,17.19
1978,14.77,15.18,16.69,10.38,22.22,10.42,17.31,20.76,18.06,23.34,9.99,15.54,15.74,12.65,20.92,10.83,12.64,16.51,10.50,16.92,8.11,18.81,21.06,5.30,17.27
1979,14.59,15.34,17.01,9.73,21.74,10.52,17.06,20.48,18.18,22.76,9.73,15.48,15.05,12.25,20.39,10.75,12.78,16.05,9.99,16.50,8.15,18.70,20.64,5.31,16.70
1980,14.88,15.83,17.51,10.30,21.97,10.18,17.91,21.01,18.95,22.93,9.95,15.96,15.70,12.85,20.75,10.76,12.64,16.32,10.55,17.32,7.63,19.43,21.13,4.63,17.18
1981,14.78,15.53,16.98,10.31,21.87,10.21,17.52,20.94,18.64,22.84,9.69,15.77,15.67,12.72,20.80,10.81,12.56,16.13,10.45,17.03,7.96,19.20,21.01,5.10,17.24
1982,14.84,15.61,17.20,10.41,22.09,9.96,17.88,21.19,18.85,22.94,9.85,15.77,15.87,12.73,21.00,10.74,12.57,16.20,10.68,17.26,7.60,19.52,21.20,4.96,17.31
1983,14.50,15.07,16.59,9.93,21.42,10.35,17.16,20.40,18.16,22.33,9.75,15.24,15.39,12.16,20.22,10.49,12.37,15.91,10.17,16.57,8.37,18.76,20.50,5.29,16.75
1984,13.94,14.62,16.42,9.47,21.52,9.10,16.77,20.59,17.97,22.57,9.33,14.50,14.89,11.53,20.75,9.69,11.33,15.66,9.71,15.94,7.14,18.59,20.25,4.43,16.41
1985,14.89,15.44,17.21,10.15,22.24,10.49,17.59,21.45,18.88,23.16,9.89,15.50,15.63,12.60,21.30,10.90,12.68,16.25,10.57,16.86,8.38,19.49,20.99,5.40,17.07
1986,14.91,15.36,17.22,10.74,22.57,9.85,17.99,21.53,18.95,23.45,10.25,15.37,16.21,12.82,21.30,10.53,12.27,16.69,10.99,17.27,7.63,19.65,21.53,4.61,17.69
1987,14.81,15.31,17.10,10.26,21.70,10.74,17.41,20.57,18.57,22.56,10.04,15.49,15.73,12.64,20.27,11.10,12.88,16.30,10.67,16.85,8.33,18.99,20.92,5.37,17.14
1988,14.39,14.83,16.35,9.90,21.48,9.93,17.28,20.26,17.87,22.47,9.73,15.04,15.42,12.31,20.21,10.26,12.05,16.07,10.31,16.72,7.96,18.69,20.65,5.16,16.80
1989,15.11,15.80,17.40,10.75,21.84,10.63,18.11,20.71,18.84,22.60,10.09,16.10,16.27,13.20,20.06,11.02,13.04,16.54,11.09,17.65,8.26,19.41,21.44,5.23,17.68
1990,14.74,15.20,16.87,10.18,21.72,10.50,17.50,20.54,18.36,22.68,9.92,15.60,15.69,12.73,20.37,10.81,12.66,16.25,10.54,17.07,8.26,18.92,20.83,5.06,17.08
1991,14.75,15.30,17.14,10.50,22.24,9.72,17.61,21.25,18.79,23.17,10.26,15.47,15.99,12.80,21.03,10.55,12.24,16.55,10.88,17.10,7.44,19.34,21.14,4.53,17.35
1992,14.37,15.06,16.87,9.86,21.53,9.54,17.29,20.52,18.28,22.40,9.85,15.18,15.24,12.46,20.22,10.32,11.87,16.14,10.22,16.86,7.47,18.85,20.56,4.64,16.83
1993,14.73,15.31,16.98,10.31,21.92,10.11,17.46,20.86,18.37,22.90,10.13,15.49,15.63,12.77,20.70,10.72,12.32,16.50,10.50,17.08,8.11,18.97,20.90,5.21,17.28
1994,15.31,15.78,17.36,11.30,22.77,10.29,18.34,21.52,19.10,23.69,10.81,16.17,16.70,13.46,21.42,11.09,12.84,17.21,11.42,17.91,7.67,19.81,21.95,4.62,18.27
1995,14.73,15.06,16.62,10.91,21.93,9.89,17.60,20.82,18.26,22.95,10.16,15.51,16.39,12.73,20.92,10.73,12.42,16.58,10.92,17.06,7.51,18.87,21.40,4.68,17.83
1996,14.74,15.43,17.15,10.36,21.56,10.31,17.58,20.55,18.56,22.48,9.83,15.52,15.83,12.64,20.34,10.70,12.51,16.25,10.61,17.02,8.12,19.01,21.01,5.30,17.28
1997,15.13,15.64,17.50,11.16,22.68,10.09,18.16,21.50,19.20,23.60,10.56,15.76,16.48,13.01,21.36,11.12,12.68,17.06,11.17,17.38,7.43,19.84,21.89,4.52,18.12
1998,14.80,15.15,16.82,10.24,21.52,11.00,17.18,20.39,18.14,22.50,10.05,15.46,15.65,12.60,20.58,11.08,12.92,16.29,10.56,16.68,8.87,18.70,20.85,5.82,17.24
1999,14.54,15.05,16.70,9.73,21.50,10.49,17.06,20.63,18.36,22.61,9.50,15.31,15.18,12.31,20.83,10.95,12.71,15.84,10.08,16.45,8.14,18.82,20.50,5.22,16.64
2000,14.21,15.05,16.90,9.68,21.51,9.46,17.00,20.42,18.22,22.64,9.63,14.89,15.03,12.04,20.68,10.27,11.84,15.98,9.91,16.31,7.17,18.66,20.48,4.50,16.67
2001,14.85,15.72,17.63,10.24,22.35,10.00,17.70,21.40,19.06,23.46,9.93,15.55,15.66,12.70,21.52,10.89,12.54,16.40,10.49,17.00,7.49,19.57,21.13,4.67,17.19
2002,14.60,15.31,17.27,10.30,22.20,9.75,17.36,21.09,18.64,23.42,10.03,15.10,15.59,12.39,21.49,10.53,12.26,16.52,10.40,16.62,7.07,19.20,21.09,4.28,17.31
2003,15.00,15.40,16.85,10.91,22.24,10.28,17.81,20.86,18.34,23.25,10.18,15.87,16.28,13.28,21.09,10.92,12.71,16.75,11.07,17.49,7.91,19.17,21.52,5.13,17.86
2004,14.96,15.46,17.23,10.63,21.89,10.73,17.57,20.81,18.66,22.75,10.00,15.59,16.01,12.71,20.77,11.06,12.78,16.45,10.71,16.91,8.66,19.20,21.31,5.83,17.59
2005,14.64,15.17,17.04,10.31,21.92,10.02,17.37,20.92,18.49,22.88,9.94,15.29,15.77,12.46,20.96,10.52,12.28,16.37,10.55,16.83,7.76,19.03,21.06,5.08,17.29
2006,15.16,15.54,17.30,11.20,22.59,10.19,18.07,21.52,19.04,23.54,10.33,15.86,16.65,13.26,21.40,10.82,12.58,16.90,11.34,17.61,7.95,19.64,21.78,5.25,18.12
2007,14.20,14.61,16.39,9.88,21.66,9.78,16.69,20.56,17.86,22.76,9.58,14.76,15.27,11.85,20.75,9.94,11.82,15.99,9.98,16.13,7.66,18.45,20.52,4.71,16.84
2008,15.06,15.74,17.51,10.51,22.01,10.79,17.74,21.07,19.02,22.87,9.74,15.95,15.95,12.95,20.82,11.32,13.04,16.25,10.74,17.19,8.36,19.52,21.23,5.34,17.41
2009,15.12,15.76,17.25,10.98,22.24,10.33,18.12,21.01,18.70,23.14,10.10,16.10,16.49,13.23,20.88,10.72,12.67,16.70,11.22,17.69,8.05,19.47,21.65,4.94,17.86
2010,14.62,15.40,17.19,10.24,21.58,9.99,17.47,20.60,18.48,22.59,9.91,15.49,15.68,12.54,20.58,10.29,12.23,16.27,10.49,16.97,7.87,18.94,20.86,5.07,17.16
2011,14.90,15.46,17.05,10.36,21.86,10.63,17.86,20.86,18.47,22.85,9.83,15.73,15.90,12.69,20.91,10.75,12.78,16.30,10.64,17.24,8.38,19.16,21.08,5.29,17.24
2012,15.28,15.74,17.54,11.15,22.82,10.42,18.30,21.64,19.10,23.73,10.37,15.88,16.61,13.16,21.66,10.93,12.71,17.01,11.31,17.63,8.11,19.85,21.95,5.01,18.07
2013,15.12,15.55,17.08,10.87,22.22,10.70,17.90,20.73,18.58,23.05,10.11,15.96,16.27,13.08,20.70,11.11,12.95,16.77,11.09,17.43,8.44,19.34,21.60,5.40,17.87
2014,15.12,15.80,17.51,10.71,22.70,10.27,17.90,21.53,18.93,23.72,10.45,15.85,16.01,13.05,21.66,10.88,12.58,16.98,10.86,17.41,8.01,19.62,21.56,4.96,17.70
2015,15.25,15.86,17.55,10.80,22.71,10.65,18.01,21.53,19.09,23.75,10.55,15.92,16.12,13.06,21.62,11.21,12.91,17.01,11.00,17.37,8.24,19.78,21.59,4.99,17.69
2016,14.74,15.22,16.84,10.04,21.68,10.58,17.17,20.60,18.28,22.71,9.95,15.44,15.44,12.83,20.67,11.17,12.67,16.31,10.65,16.76,8.50,18.84,20.64,5.64,16.87
2017,15.30,16.09,17.96,10.84,22.64,10.62,17.97,21.55,19.25,23.62,10.46,16.02,16.18,13.19,21.57,11.18,12.92,16.98,11.08,17.43,8.38,19.76,21.64,5.46,17.80
2018,14.99,15.78,17.49,10.39,22.12,10.43,17.78,21.09,18.88,23.03,9.94,15.90,15.80,13.00,21.01,10.90,12.70,16.43,10.76,17.29,8.23,19.43,21.19,5.38,17.27
2019,14.97,15.54,17.23,10.25,22.26,10.42,17.58,21.25,18.66,23.38,10.09,15.85,15.65,13.19,21.54,11.12,12.72,16.52,10.76,17.25,8.19,19.28,21.03,5.23,17.15
2020,15.28,15.63,17.29,10.85,22.74,10.71,17.82,21.33,18.76,23.86,10.76,16.05,16.18,13.50,21.56,11.30,12.95,17.26,11.23,17.56,8.45,19.42,21.57,5.55,17.81
