Variable:,tas
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
1930,-4.81,1.28,0.93,-1.99,4.04,-1.46,-8.81,5.91,-13.98,0.83,5.42,-2.72,0.18,-7.32
1931,-4.01,2.10,1.70,-0.48,4.93,-1.20,-8.35,6.61,-13.57,2.33,6.18,-1.89,1.56,-6.64
1932,-5.56,-0.33,0.36,-2.88,4.26,-1.93,-10.04,5.98,-14.47,0.40,5.62,-3.10,-1.02,-8.49
1933,-6.37,-1.24,-0.33,-3.57,3.48,-2.28,-11.31,5.47,-15.47,-0.21,4.96,-3.75,-1.45,-9.35
1934,-5.38,1.33,1.79,-2.27,2.81,-2.69,-9.44,5.06,-14.83,-0.41,4.29,-4.14,0.49,-6.94
1935,-5.85,-0.50,0.39,-3.12,3.22,-2.43,-10.15,5.04,-14.77,-0.24,4.53,-3.67,-1.29,-8.15
1936,-6.11,-0.18,0.61,-3.85,3.51,-1.81,-10.96,5.65,-15.27,-0.84,5.09,-3.79,-1.35,-8.03
1937,-5.03,0.07,0.33,-2.62,4.75,-1.48,-8.86,6.49,-14.24,0.41,6.06,-2.19,-0.74,-6.60
1938,-4.43,1.64,1.53,-1.32,4.00,-2.03,-8.10,5.85,-13.68,1.00,5.32,-2.53,0.71,-6.41
1939,-5.17,1.28,1.41,-2.33,3.14,-2.73,-9.09,5.28,-14.16,0.13,4.68,-3.80,0.05,-7.23
1940,-4.52,1.03,1.82,-1.42,3.20,-1.74,-8.09,5.22,-13.32,0.22,4.60,-3.11,0.31,-5.60
1941,-4.63,1.46,2.04,-1.40,3.63,-2.20,-8.87,5.40,-13.94,1.12,4.88,-2.89,0.56,-6.54
1942,-4.67,1.19,1.60,-2.11,4.08,-1.48,-8.33,5.94,-14.04,0.65,5.51,-2.65,0.03,-6.11
1943,-4.88,1.44,1.17,-2.36,3.08,-2.46,-7.63,5.15,-14.03,-0.31,4.61,-3.67,0.18,-5.61
1944,-4.14,2.12,1.97,-1.39,4.11,-1.82,-7.25,5.96,-13.48,1.03,5.58,-2.66,0.75,-5.21
1945,-5.33,-0.17,0.86,-3.07,4.08,-1.94,-9.39,5.96,-14.34,-0.06,5.56,-2.84,-1.08,-6.92
1946,-5.30,0.34,0.92,-2.62,4.00,-2.32,-9.48,5.92,-14.37,0.41,5.44,-3.33,-0.47,-7.17
1947,-4.85,0.25,1.32,-2.64,4.26,-1.38,-9.26,6.24,-13.52,0.27,5.72,-2.37,-0.78,-6.18
1948,-5.24,0.00,0.33,-2.13,3.61,-2.25,-9.46,5.23,-14.28,0.75,4.82,-2.68,-0.60,-7.95
1949,-5.27,0.28,0.37,-2.71,4.68,-2.19,-8.99,6.60,-14.79,0.47,6.18,-2.78,-0.55,-6.96
1950,-6.30,-1.59,-0.50,-4.59,3.88,-2.39,-10.11,5.70,-15.09,-1.27,5.21,-3.50,-2.52,-7.92
1951,-5.79,-1.68,-0.32,-3.54,4.46,-0.96,-10.25,6.73,-14.71,0.08,6.23,-2.39,-2.45,-8.04
1952,-4.32,1.16,1.12,-1.28,4.67,-0.62,-8.49,6.51,-13.51,1.35,6.09,-1.76,0.31,-6.61
1953,-4.26,1.50,1.63,-1.40,5.33,-1.17,-8.18,7.13,-13.87,1.49,6.73,-1.77,0.68,-6.35
1954,-5.00,0.35,0.62,-2.04,4.13,-1.69,-8.90,6.31,-14.08,0.46,5.90,-2.74,-0.15,-7.13
1955,-5.36,-1.14,-0.83,-2.63,3.90,-0.69,-10.12,5.70,-14.15,0.98,5.35,-1.72,-1.48,-8.36
1956,-5.80,0.01,0.20,-3.06,3.39,-2.11,-10.02,5.48,-15.09,-0.18,5.04,-3.43,-0.89,-8.36
1957,-5.27,0.31,0.68,-2.62,4.10,-2.15,-9.32,5.98,-14.85,0.37,5.52,-2.81,-0.45,-6.18
1958,-4.50,1.41,2.20,-1.97,3.81,-0.78,-8.52,6.08,-13.82,0.35,5.49,-2.37,0.51,-6.21
1959,-5.48,0.18,0.67,-2.76,4.00,-1.91,-10.06,5.93,-14.62,0.09,5.54,-2.98,-0.53,-8.02
1960,-4.65,0.79,1.21,-2.36,4.68,-0.71,-9.03,6.63,-13.54,0.44,6.26,-2.03,-0.21,-6.37
1961,-5.26,0.67,1.25,-2.20,3.98,-1.19,-10.30,5.92,-15.11,0.82,5.40,-2.29,-0.05,-8.18
1962,-5.16,0.60,1.08,-2.78,3.37,-2.08,-8.97,5.30,-14.32,0.13,4.75,-3.21,-0.33,-6.50
1963,-4.88,1.17,1.63,-1.97,3.39,-2.00,-8.73,5.46,-14.10,0.23,4.86,-3.26,0.36,-6.42
1964,-5.67,0.14,0.35,-2.63,3.64,-2.34,-10.04,5.33,-15.19,0.30,4.88,-3.22,-0.50,-8.23
1965,-5.80,-0.49,0.63,-3.37,3.20,-2.18,-9.78,5.04,-14.67,-0.48,4.59,-3.78,-1.46,-7.84
1966,-5.47,-0.82,0.30,-3.50,4.67,-0.43,-10.27,6.41,-14.36,0.00,6.14,-1.79,-1.45,-8.93
1967,-5.53,0.25,1.23,-3.10,3.40,-1.70,-9.53,5.49,-14.98,-0.34,4.90,-3.35,-0.83,-7.25
1968,-5.00,0.26,0.50,-2.38,3.70,-1.44,-9.17,5.68,-13.96,0.54,5.12,-2.42,-0.15,-7.35
1969,-4.83,-0.17,0.60,-2.46,4.56,-0.56,-8.82,6.61,-13.49,0.58,6.19,-2.18,-0.78,-7.27
1970,-5.34,0.05,0.68,-2.98,3.79,-1.32,-9.26,5.65,-14.52,0.09,5.10,-2.98,-0.96,-7.13
1971,-5.17,0.08,0.20,-2.21,3.74,-1.30,-9.30,5.86,-13.95,0.51,5.32,-2.72,-0.50,-8.59
1972,-6.98,-1.17,-0.42,-4.21,2.64,-3.79,-10.62,4.89,-16.87,-1.14,4.19,-5.00,-1.85,-9.03
1973,-4.48,0.56,0.42,-1.43,4.73,-0.88,-8.25,6.37,-13.51,1.42,5.87,-1.81,0.45,-7.99
1974,-5.81,0.24,0.92,-3.10,3.30,-2.62,-10.30,5.40,-15.14,-0.27,4.80,-3.68,-0.63,-8.03
1975,-5.26,-0.13,0.13,-2.31,3.83,-2.03,-9.46,5.70,-14.28,0.86,5.24,-2.56,-0.72,-8.22
1976,-5.00,1.73,1.33,-2.02,3.43,-2.13,-8.24,5.99,-14.58,-0.21,5.42,-3.76,0.61,-6.12
1977,-4.15,1.34,1.30,-1.06,3.96,-0.77,-8.06,6.01,-13.05,1.08,5.50,-1.96,0.65,-6.08
1978,-5.57,0.38,1.09,-2.96,3.30,-2.13,-8.96,5.29,-15.46,-0.48,4.73,-3.76,-0.76,-5.86
1979,-5.28,0.15,0.86,-3.46,4.94,-0.41,-9.09,6.64,-15.01,-0.23,6.24,-2.26,-1.10,-6.65
1980,-4.65,1.15,1.40,-2.03,3.47,-1.44,-8.31,5.34,-13.47,0.04,4.71,-2.89,0.41,-6.44
1981,-3.18,2.74,2.38,-0.22,4.91,0.35,-6.81,6.74,-12.29,1.61,6.28,-1.23,2.01,-4.62
1982,-6.14,-1.15,0.06,-3.49,3.63,-2.41,-10.51,5.67,-15.47,-0.19,5.10,-3.41,-1.86,-8.38
1983,-4.99,0.74,1.25,-1.73,4.90,-1.23,-9.36,6.88,-14.84,1.12,6.41,-2.61,0.19,-7.43
1984,-4.87,0.86,1.02,-1.60,4.42,-1.68,-9.02,6.56,-14.54,1.05,5.98,-2.58,0.38,-6.62
1985,-5.12,0.33,0.60,-2.90,3.50,-1.71,-9.22,5.32,-13.68,-0.15,4.71,-2.72,-0.85,-6.80
1986,-4.97,1.62,1.74,-1.81,3.34,-2.04,-8.98,5.42,-14.98,0.78,4.68,-3.26,0.83,-6.38
1987,-3.53,3.22,2.73,0.33,4.16,-0.85,-7.23,5.84,-13.87,2.50,5.23,-1.92,2.62,-5.11
1988,-4.31,1.88,1.77,-1.60,4.09,-1.37,-8.25,5.94,-13.32,0.71,5.33,-2.58,0.91,-5.90
1989,-5.31,0.65,1.58,-2.97,3.28,-1.89,-8.75,5.43,-14.82,-0.36,4.77,-3.61,-0.52,-6.44
1990,-5.20,0.66,1.29,-2.25,4.77,-2.37,-9.52,6.67,-14.95,1.08,6.16,-3.02,0.03,-7.40
1991,-4.62,1.57,1.85,-1.71,4.20,-2.63,-8.66,6.24,-14.06,1.18,5.66,-2.87,0.67,-6.15
1992,-5.13,1.59,2.12,-2.23,3.39,-2.99,-8.55,5.31,-14.81,-0.07,4.68,-4.08,0.68,-6.48
1993,-4.81,1.53,1.92,-2.34,3.36,-2.85,-7.63,5.27,-14.43,0.17,4.65,-3.57,0.11,-4.87
1994,-4.63,0.93,1.73,-1.90,3.86,-1.98,-8.23,6.09,-13.58,0.66,5.43,-2.99,0.14,-6.46
1995,-4.60,0.74,1.63,-2.12,4.10,-1.63,-8.32,6.07,-13.68,0.61,5.43,-2.55,0.06,-5.88
1996,-5.38,-1.23,-0.37,-3.45,4.35,-0.74,-9.27,6.15,-13.65,-0.22,5.71,-2.28,-1.75,-8.41
1997,-4.47,1.48,1.98,-1.67,3.28,-1.93,-7.84,5.37,-13.65,0.45,4.73,-2.98,0.65,-5.61
1998,-3.00,2.36,2.45,0.00,5.23,-0.42,-6.23,7.11,-12.14,2.80,6.57,-1.07,1.85,-5.26
1999,-3.50,2.04,1.76,-0.06,5.82,0.29,-7.52,7.72,-13.05,2.41,7.30,-0.77,1.57,-6.60
2000,-4.40,0.75,1.26,-1.79,4.24,-0.65,-8.14,6.39,-13.51,0.88,5.81,-2.07,0.12,-5.86
2001,-3.57,1.99,1.57,-0.32,4.81,-0.36,-7.41,6.58,-12.95,2.22,6.04,-1.11,1.57,-5.65
2002,-4.66,0.47,1.34,-2.27,3.97,-2.00,-8.27,5.98,-13.61,0.90,5.35,-2.83,-0.28,-5.47
2003,-4.20,1.12,1.82,-1.52,3.81,-1.06,-7.89,5.82,-12.80,0.65,5.28,-2.39,0.38,-5.76
2004,-5.05,0.84,2.21,-2.87,3.62,-0.98,-9.33,5.62,-14.79,0.19,5.08,-2.79,-0.37,-6.02
2005,-3.58,1.97,2.31,-0.89,4.49,-0.35,-7.35,6.47,-12.75,1.73,5.94,-1.43,1.19,-4.96
2006,-2.93,2.34,1.84,0.08,5.63,0.60,-6.72,7.51,-11.57,2.58,6.99,-0.45,1.81,-6.27
2007,-4.37,1.12,1.44,-1.68,3.90,-1.32,-8.16,5.81,-13.29,1.05,5.23,-2.40,0.40,-6.25
2008,-4.66,0.75,0.94,-2.59,4.48,-0.74,-8.50,6.50,-13.53,0.27,5.96,-1.97,-0.22,-6.88
2009,-4.55,0.34,0.94,-2.32,4.27,-0.83,-8.40,6.25,-12.95,0.36,5.71,-2.11,-0.43,-6.57
2010,-2.64,1.77,2.17,-0.21,6.21,1.18,-6.35,7.91,-10.82,2.40,7.49,0.04,1.15,-5.02
2011,-4.02,1.07,1.12,-1.12,5.12,-0.52,-7.69,7.03,-12.92,1.43,6.45,-1.66,0.62,-6.34
2012,-3.64,1.55,1.26,-0.49,5.85,0.31,-7.81,7.79,-12.74,2.60,7.22,-0.93,1.26,-7.35
2013,-4.56,1.15,1.95,-2.87,4.61,-0.72,-8.05,6.57,-13.75,0.05,6.01,-2.15,-0.38,-6.11
2014,-4.62,0.79,1.75,-3.02,4.34,-1.12,-8.03,6.41,-13.43,-0.49,5.88,-2.37,-0.43,-5.41
2015,-4.11,2.33,2.82,-0.86,4.32,-2.19,-7.40,6.26,-14.02,1.22,5.63,-2.92,1.52,-4.93
2016,-3.35,2.51,2.78,-0.30,5.43,-1.25,-6.72,7.28,-12.76,2.10,6.66,-1.94,1.90,-4.02
2017,-3.97,1.49,1.59,-1.33,5.13,-0.77,-7.45,6.99,-13.29,1.35,6.42,-1.69,0.90,-5.52
2018,-4.86,0.63,1.70,-2.60,4.71,-1.56,-8.39,6.59,-14.57,0.57,5.95,-2.72,-0.49,-5.33
2019,-4.58,0.40,1.65,-2.62,4.20,-1.13,-7.83,6.17,-14.02,0.34,5.59,-2.18,-0.62,-4.34
2020,-4.35,0.84,1.55,-1.60,5.46,-0.24,-8.65,7.36,-14.13,1.74,6.74,-1.33,0.25,-6.63
