Variable:,tas
,Malawi,"Central Region","Northern Region","Southern Region","Area under National Administration"
2009,22.45,22.01,21.13,23.52,23.23
2010,22.93,22.52,21.58,24.03,23.66
2011,22.32,21.86,21.00,23.40,23.09
2012,22.33,21.87,21.01,23.41,23.09
2013,22.38,21.90,21.14,23.38,23.21
2014,22.44,21.95,21.17,23.49,23.24
2015,22.76,22.34,21.36,23.90,23.49
2016,22.70,22.26,21.39,23.76,23.47
2017,22.50,22.00,21.32,23.48,23.36
2018,22.48,22.02,21.18,23.56,23.26
2019,22.74,22.28,21.44,23.81,23.53
2020,22.66,22.19,21.35,23.75,23.44
