Variable:,tas
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
1970,5.84,2.25,5.70,6.46,8.60,9.42,4.36,3.21,9.67,11.64,11.00,2.20,1.46,2.35,11.58,6.76,8.07
1971,6.61,3.31,6.48,7.11,9.15,10.01,5.30,4.22,10.37,12.04,11.52,3.10,2.45,3.11,12.06,7.38,8.67
1972,4.69,0.92,4.67,5.41,8.05,7.68,2.90,2.14,7.88,10.77,10.00,1.09,0.24,1.79,9.37,6.71,7.00
1973,6.30,2.89,6.00,7.10,8.77,9.69,4.98,3.63,9.71,11.26,10.74,3.18,2.11,3.43,11.51,7.19,8.61
1974,5.57,2.18,5.82,5.79,8.69,8.66,4.08,3.42,9.10,11.24,10.50,1.77,1.36,1.92,10.60,7.22,7.32
1975,6.84,3.60,7.21,6.75,10.07,9.61,5.34,4.85,10.46,12.45,11.82,3.24,2.87,2.99,11.63,8.61,8.17
1976,4.99,1.41,4.52,6.12,7.29,8.88,3.55,2.14,8.64,10.53,9.93,1.59,0.76,1.97,10.80,5.20,7.74
1977,6.35,3.01,6.25,7.09,8.84,9.82,5.07,3.80,9.99,11.35,10.91,2.86,2.09,3.05,11.76,7.17,8.63
1978,6.23,3.05,5.67,7.23,8.20,9.69,5.04,3.65,9.60,11.13,10.61,3.30,2.25,3.66,11.46,6.36,8.65
1979,6.49,2.73,6.65,6.91,9.55,9.81,5.05,3.74,10.50,12.38,11.83,2.57,1.67,3.01,11.83,7.63,8.48
1980,5.99,2.46,5.26,7.62,7.97,10.12,4.78,2.98,9.39,11.03,10.47,2.65,1.52,3.23,11.73,6.24,9.24
1981,7.02,3.77,7.04,7.11,10.02,10.05,5.61,4.65,10.54,12.62,12.00,3.78,3.12,3.47,12.09,8.48,8.47
1982,6.50,3.57,6.08,7.15,8.49,9.57,5.35,4.20,9.69,10.88,10.40,3.88,2.85,3.98,11.23,7.20,8.44
1983,7.85,4.85,7.89,8.00,10.16,10.67,6.71,5.73,11.60,12.47,12.14,4.87,4.06,4.52,12.65,8.57,9.25
1984,5.21,1.66,5.41,5.45,8.45,8.55,3.69,2.87,8.95,11.20,10.42,1.23,0.79,1.23,10.69,6.90,7.16
1985,5.80,2.27,5.78,6.28,8.31,9.32,4.49,3.16,9.77,11.07,10.70,2.18,1.34,2.26,11.52,6.58,7.82
1986,5.99,2.31,5.75,6.66,8.63,9.62,4.58,3.15,9.85,11.67,11.19,2.38,1.38,2.75,11.75,6.71,8.15
1987,5.72,2.28,5.05,6.99,7.32,9.67,4.49,3.07,9.43,10.63,10.28,2.48,1.56,2.97,11.67,5.36,8.47
1988,6.60,3.50,6.40,6.84,8.65,10.12,5.41,4.39,10.55,11.49,11.11,3.35,2.82,2.97,12.41,7.00,8.33
1989,6.89,3.75,6.79,6.93,9.56,9.55,5.58,4.60,10.40,12.36,11.76,3.84,2.98,3.88,11.54,8.05,8.13
1990,7.13,3.91,6.98,7.64,9.50,10.29,5.74,4.84,10.71,12.15,11.60,3.98,3.25,4.09,12.20,7.88,9.02
1991,6.97,3.93,6.94,7.32,9.49,9.97,5.72,4.82,10.39,11.94,11.52,3.79,3.19,3.68,11.85,7.92,8.49
1992,6.16,2.82,5.75,6.98,8.48,9.61,4.87,3.50,9.68,11.06,10.58,3.05,1.99,3.31,11.51,6.88,8.38
1993,5.26,1.79,5.06,6.06,7.71,8.59,3.72,2.67,8.86,10.63,10.27,1.89,1.19,2.34,10.54,5.96,7.61
1994,5.91,2.77,5.05,6.94,7.72,9.55,4.81,3.25,9.29,10.74,10.18,3.06,1.92,3.43,11.36,6.08,8.31
1995,7.65,4.46,7.99,7.44,10.78,10.30,6.14,5.55,11.30,13.17,12.71,4.30,3.86,3.96,12.54,9.19,8.63
1996,5.42,1.51,5.19,6.23,8.33,8.94,3.80,2.52,9.15,11.42,10.79,1.68,0.81,2.43,11.01,6.50,7.74
1997,7.27,4.21,6.73,8.16,9.03,10.68,6.22,4.72,10.84,11.84,11.50,4.37,3.24,4.65,12.53,7.18,9.40
1998,6.62,3.27,6.51,7.23,9.08,9.94,5.23,4.29,10.25,12.06,11.43,2.98,2.36,3.50,11.89,7.40,8.77
1999,7.37,3.74,7.46,7.95,10.16,10.59,5.89,4.69,11.22,12.83,12.40,3.77,2.86,4.16,12.68,8.37,9.40
2000,7.18,3.50,7.46,7.58,10.22,10.46,5.59,4.65,11.10,12.73,12.31,3.39,2.74,3.57,12.57,8.53,9.24
2001,7.21,3.64,7.22,7.73,9.89,10.61,5.79,4.62,11.06,12.67,12.17,3.58,2.73,3.84,12.70,8.19,9.34
2002,7.68,4.58,7.33,8.36,9.64,10.94,6.65,5.23,11.24,12.36,11.96,4.75,3.60,4.77,12.78,7.90,9.63
2003,6.54,3.32,6.39,6.85,8.90,9.73,5.16,4.27,10.30,11.62,11.18,3.34,2.79,3.27,11.95,7.23,8.34
2004,7.85,4.27,8.07,8.23,10.70,11.14,6.42,5.38,11.83,13.24,12.88,4.06,3.42,4.28,13.23,8.82,9.75
2005,7.44,4.05,7.50,7.80,10.17,10.78,6.18,4.91,11.37,12.88,12.49,4.01,3.26,3.54,12.76,8.38,9.29
2006,7.34,3.86,7.22,8.21,9.63,10.92,6.12,4.86,11.00,12.32,11.89,3.70,2.81,4.26,12.71,7.86,9.71
2007,7.62,4.23,7.28,8.34,10.21,10.97,6.22,4.90,11.12,12.97,12.45,4.49,3.59,4.68,12.76,8.45,9.82
2008,7.48,4.44,7.30,8.10,9.74,10.71,6.26,5.32,10.77,12.10,11.66,4.47,3.78,4.40,12.28,8.33,9.49
2009,6.85,3.16,6.85,7.47,9.66,10.34,5.36,4.26,10.77,12.32,11.86,2.89,2.26,3.40,12.44,8.01,9.08
2010,7.31,3.32,7.93,7.54,10.98,10.78,5.66,4.79,11.58,13.56,12.96,2.51,2.20,2.92,13.08,9.26,9.27
2011,6.25,2.71,5.78,7.24,8.65,10.07,4.82,3.45,9.92,11.59,11.07,2.90,2.09,3.09,11.97,6.95,8.92
2012,6.66,3.08,7.15,6.78,9.98,9.69,4.95,4.52,10.38,12.48,11.87,2.84,2.53,2.73,11.75,8.51,8.40
2013,8.09,4.58,8.28,8.45,10.85,11.34,6.80,5.59,11.93,13.24,12.87,4.48,3.57,4.66,13.18,9.14,9.85
2014,6.40,2.95,6.29,6.89,9.37,9.59,4.82,3.87,9.82,12.36,11.56,2.96,2.20,3.28,11.55,7.72,8.42
2015,7.83,4.36,7.58,8.52,10.33,11.28,6.53,5.16,11.53,12.97,12.45,4.47,3.52,4.76,13.11,8.67,9.95
2016,7.78,4.05,7.94,8.33,10.47,11.26,6.37,5.14,11.91,12.87,12.56,3.99,3.16,4.25,13.34,8.78,9.89
2017,7.54,4.19,7.42,7.92,10.30,10.68,6.21,4.94,11.08,12.90,12.37,4.25,3.38,4.48,12.65,8.56,9.31
2018,6.46,2.27,6.41,7.27,9.64,10.20,4.65,3.50,10.38,12.74,12.01,2.33,1.57,3.15,12.38,7.88,8.96
2019,7.77,4.13,7.74,8.36,10.57,11.15,6.31,5.17,11.67,13.27,12.75,4.13,3.37,4.32,13.24,8.80,9.83
2020,8.32,5.62,8.52,8.18,11.26,10.78,6.95,6.35,11.46,13.46,12.89,5.65,5.10,4.91,12.55,9.69,9.46
